,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
0,Freddie Freeman\freemfr01,31,12,Amateur Draft,10.033,Excel Sports Mana...,8 yrs/$135M (14-21),$22M,FA,,,,,,,"[-0.2, 1.5, 2.4, 5.3, 3.0, 3.0, 6.3, 4.7, 5.5, 3.6, 8.639999999999999]","[20.0, 157.0, 147.0, 147.0, 162.0, 118.0, 158.0, 117.0, 162.0, 158.0, 60.0, 61.0]","[{'type': 'salary', 'value': 22000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Ronald Acuna Jr.\acunaro01,23,4,Amateur Free Agent,2.159,Rep 1 Baseball,8 yrs/$100M (19-26) & 27-28 team option,$5M,$15M,$17M,$17M,$17M,$17M,$10M [FA-*],$0 [FA-*],"[3.9, 5.0, 5.94]","[111.0, 156.0, 46.0, 58.0]","[{'type': 'salary', 'value': 5000000.0}, {'type': 'salary', 'value': 15000000.0}, {'type': 'salary', 'value': 17000000.0}, {'type': 'salary', 'value': 17000000.0}, {'type': 'salary', 'value': 17000000.0}, {'type': 'salary', 'value': 17000000.0}, {'type': 'team option', 'value': 17000000.0}, {'type': 'team option', 'value': 17000000.0}]","[2018, 2019, 2020, 2021]",False,
2,Marcell Ozuna\ozunama01,30,9,Free Agency,7.124,CAA Sports,4 yrs/$65M (21-24) & 25 team option,$12M,$16M,$18M,$18M,$1M [FA-*],FA,,,"[0.9, 4.4, 0.9, 2.1, 5.6, 2.4, 2.3, 6.75]","[70.0, 153.0, 123.0, 148.0, 159.0, 148.0, 130.0, 60.0, 48.0]","[{'type': 'salary', 'value': 12000000.0}, {'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 18000000.0}, {'type': 'salary', 'value': 18000000.0}, {'type': 'team option', 'value': 16000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Will Smith\smithwi04,31,9,Free Agency,7.155,CAA Sports,3 yrs/$40M (20-22) & 23 team option,$13M,$13M,$1M [FA-*],FA,,,,,"[0.1, 0.1, 0.1, 1.1, 0.2, 0.9, 2.2, 0.5399999999999999]","[16.0, 19.0, 78.0, 76.0, 53.0, 54.0, 63.0, 18.0, 27.0]","[{'type': 'salary', 'value': 13000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'team option', 'value': 13000000.0}]","[2012, 2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021]",True,0.0
4,Ozzie Albies\albieoz01,24,5,Amateur Free Agent,3.062,SportsMeter,7 yrs/$35M (19-25) & 26-27 team option,$3M,$5M,$7M,$7M,$7M,$4M [FA-*],$0 [FA-*],FA,"[1.3, 4.1, 4.7, 1.89]","[57.0, 158.0, 160.0, 29.0, 60.0]","[{'type': 'salary', 'value': 3000000.0}, {'type': 'salary', 'value': 5000000.0}, {'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 7000000.0}, {'type': 'team option', 'value': 7000000.0}, {'type': 'team option', 'value': 7000000.0}]","[2017, 2018, 2019, 2020, 2021]",False,
5,Ender Inciarte\inciaen01,30,8,Traded,6.157,Octagon,5 yrs/$30.53M (17-21) & 22 team option,$8.7M,$1.02M [FA-*],FA,,,,,,"[3.3, 5.0, 3.8, 2.7, 3.2, 0.5, -1.62]","[118.0, 132.0, 131.0, 157.0, 156.0, 65.0, 46.0, 31.0]","[{'type': 'salary', 'value': 8700000.0}, {'type': 'team option', 'value': 9000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
6,Tanner Roark\roarkta01,34,9,,7.055,Matt Colleran,2 yrs/$24M (20-21),$12M,FA,,,,,,,"[2.1, 4.4, 0.7, 5.5, 1.1, 3.2, 2.3, -0.81]","[14.0, 31.0, 40.0, 34.0, 32.0, 31.0, 31.0, 11.0, 3.0]","[{'type': 'salary', 'value': 12000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.3333333333333333
7,Travis d'Arnaud\darnatr01,32,9,Free Agency,7.044,Wasserman,2 yrs/$16M (20-21),$8M,FA,,,,,,,"[-0.3, 0.5, 1.5, -0.5, 1.2, -0.1, 1.1, 2.1599999999999997]","[31.0, 108.0, 67.0, 75.0, 112.0, 4.0, 103.0, 44.0, 23.0]","[{'type': 'salary', 'value': 8000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
8,Charlie Morton\mortoch02,37,14,Free Agency,12.01,Jet Sports Manage...,1 yr/$15M (21),$15M,FA,,,,,,,"[-1.4000000000000001, 0.5, -2.6999999999999997, 1.5999999999999999, -0.5, 0.5, 0.0, -1.2000000000000002, 0.3, 2.0, 3.8, 4.7, 0.26999999999999996]","[16.0, 18.0, 17.0, 29.0, 9.0, 20.0, 26.0, 23.0, 4.0, 25.0, 30.0, 33.0, 9.0, 13.0]","[{'type': 'salary', 'value': 15000000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
9,Chris Martin\martich02,35,6,Traded,3.133,ISE Baseball,2 yrs/$14M (20-21),$7M,Arb,Arb,FA,,,,,"[-0.3, -0.1, 0.5, 1.6, 3.51]","[16.0, 24.0, 46.0, 58.0, 19.0, 13.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2018, 2019, 2020, 2021]",True,0.0
10,Drew Smyly\smylydr01,32,8,Free Agency,8.143,Frontline,1 yr/$11M (21),$11M,FA,,,,,,,"[1.7, 2.6, 3.7, 1.6, 0.1, -0.49999999999999994, 1.0799999999999998]","[23.0, 63.0, 28.0, 12.0, 30.0, 25.0, 7.0, 10.0]","[{'type': 'salary', 'value': 11000000.0}]","[2012, 2013, 2014, 2015, 2016, 2019, 2020, 2021]",True,1.0
11,Dansby Swanson\swansda01,27,6,Traded,4.047,Excel Sports,1 yr/$6M (21),$6M,Arb,FA,,,,,,"[1.1, -0.1, 2.2, 0.9, 7.290000000000001]","[38.0, 144.0, 136.0, 127.0, 60.0, 62.0]","[{'type': 'salary', 'value': 6000000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
