,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
0,Jason Heyward\heywaja01,31,12,Free Agency,11.0,Excel Sports Mana...,8 yrs/$184M (16-23),$21M,$22M,$22M,FA,,,"[6.4, 1.9, 5.5, 3.6, 5.5, 6.9, 1.0, 2.2, 2.1, 2.5, 4.319999999999999]","[142.0, 128.0, 158.0, 104.0, 149.0, 154.0, 142.0, 126.0, 127.0, 147.0, 50.0, 45.0]","[{'type': 'salary', 'value': 21000000.0}, {'type': 'salary', 'value': 22000000.0}, {'type': 'salary', 'value': 22000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Anthony Rizzo\rizzoan01,31,11,Traded,8.168,Sports One Athlet...,9 yrs/$75M (13-21),$16.5M,FA,,,,,"[-0.4, 2.2, 2.5, 5.6, 6.4, 5.8, 4.5, 3.1, 4.3, 3.51]","[49.0, 87.0, 160.0, 140.0, 160.0, 155.0, 157.0, 153.0, 146.0, 58.0, 57.0]","[{'type': 'salary', 'value': 16500000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
2,Kyle Hendricks\hendrky01,31,8,Traded,6.081,Wasserman,4 yrs/$55.5M (20-23) & 24 vesting option,$14M,$14M,$14M,$1.5M [FA-*],FA,,"[3.0, 1.2000000000000002, 5.2, 3.2, 2.8000000000000003, 4.0, 4.86]","[13.0, 32.0, 31.0, 24.0, 33.0, 30.0, 12.0, 13.0]","[{'type': 'salary', 'value': 14000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'vesting option', 'value': 16000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
3,Craig Kimbrel\kimbrcr01,33,12,Free Agency,9.161,David Meter,3 yrs/$43M (19-21) & 22 team option,$16M,$1M [FA-*],FA,,,,"[0.8, 2.5, 3.2, 3.1, 2.5, 1.3, 0.8, 3.6, 2.3, -0.6, -0.5399999999999999]","[21.0, 79.0, 63.0, 68.0, 63.0, 61.0, 57.0, 67.0, 63.0, 23.0, 18.0, 27.0]","[{'type': 'salary', 'value': 16000000.0}, {'type': 'team option', 'value': 16000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
4,Kris Bryant\bryankr01,29,7,Amateur Draft,5.171,Scott Boras,1 yr/$19.5M (21),$19.5M,FA,,,,,"[5.3, 7.3, 5.7, 2.3, 4.5, 1.62]","[151.0, 155.0, 151.0, 102.0, 147.0, 34.0, 59.0]","[{'type': 'salary', 'value': 19500000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,David Bote\boteda01,28,4,Amateur Draft,2.1,,5 yrs/$15M (20-24) & 25-26 team option,$1.01M,$2.51M,$4.01M,$5.51M,$1M [FA-*],$0 [FA-*],"[1.8, 2.2, 0.0]","[74.0, 127.0, 45.0, 49.0]","[{'type': 'salary', 'value': 1010000.0}, {'type': 'salary', 'value': 2510000.0}, {'type': 'salary', 'value': 4010000.0}, {'type': 'salary', 'value': 5510000.0}, {'type': 'team option', 'value': 7000000.0}, {'type': 'team option', 'value': 7600000.0}]","[2018, 2019, 2020, 2021]",False,
6,Javier Baez\baezja01,28,8,Amateur Draft,5.089,Wasserman,1 yr/$11.6M (21),$11.6M,FA,,,,,"[-0.9, 0.6, 2.8, 2.6, 6.4, 6.7, 2.43]","[52.0, 28.0, 142.0, 145.0, 160.0, 138.0, 59.0, 56.0]","[{'type': 'salary', 'value': 11600000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
7,Zach Davies\davieza02,28,7,Traded,5.02,,1 yr/$8.63M (21),$8.63M,FA,,,,,"[0.6, 1.9000000000000001, 3.4, -0.4, 2.5, 4.05]","[6.0, 28.0, 33.0, 13.0, 31.0, 12.0, 13.0]","[{'type': 'salary', 'value': 8630000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
8,Joc Pederson\pederjo01,29,8,Free Agency,6.028,Excel Sports Mana...,1 yr/$7M (21) & 22 mutual option,$4.5M,$2.5M [FA-*],FA,,,,"[0.0, 2.6, 3.4, -0.4, 2.2, 2.9, -0.81]","[18.0, 151.0, 137.0, 102.0, 148.0, 149.0, 43.0, 49.0]","[{'type': 'salary', 'value': 4500000.0}, {'type': 'mutual option', 'value': 10000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
9,Willson Contreras\contrwi01,29,6,Amateur Free Agent,4.108,,1 yr/$6.65M (21),$6.65M,Arb,FA,,,,"[1.7, 3.9, 3.1, 3.2, 2.97]","[76.0, 117.0, 138.0, 105.0, 57.0, 57.0]","[{'type': 'salary', 'value': 6650000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
10,Jake Arrieta\arrieja01,35,12,Free Agency,9.145,Boras Corporation,1 yr/$6M (21) & 22 team option,$4M,$2M [FA-*],FA,,,,"[0.8, 0.6, -0.9, 0.19999999999999993, 5.6, 8.600000000000001, 4.6, 1.8, 2.9, 0.7999999999999999, 1.89]","[18.0, 22.0, 24.0, 14.0, 25.0, 33.0, 31.0, 30.0, 31.0, 24.0, 9.0, 12.0]","[{'type': 'salary', 'value': 4000000.0}, {'type': 'team option', 'value': 10000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
11,Ian Happ\happia01,26,5,Amateur Draft,3.036,Excel Sports,1 yr/$4.1M (21),$4.1M,Arb,Arb,FA,,,"[1.5, 0.8, 1.3, 4.05]","[115.0, 142.0, 58.0, 57.0, 52.0]","[{'type': 'salary', 'value': 4100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
12,Jake Marisnick\marisja01,30,9,Free Agency,6.132,Reynolds Sports M...,1 yr/$1.5M (21) & 22 mutual option,$1M,$500k [FA-*],FA,,,,"[0.2, 1.3, 2.5, 1.7, 2.0, 1.8, 1.5, 0.5399999999999999]","[40.0, 65.0, 133.0, 118.0, 106.0, 103.0, 120.0, 16.0, 30.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'mutual option', 'value': 4000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Andrew Chafin\chafian01,31,8,Free Agency,6.02,Pro Star Manageme...,1 yr/$2.75M (21) & 22 mutual option,$2.25M,$500k [FA-*],FA,,,,"[0.30000000000000004, 1.6, -0.4, 1.0, 0.7, 0.7, -0.26999999999999996]","[3.0, 66.0, 32.0, 71.0, 77.0, 77.0, 15.0, 30.0]","[{'type': 'salary', 'value': 2250000.0}, {'type': 'mutual option', 'value': 5250000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
14,Trevor Williams\willitr01,29,6,Free Agency,4.027,,1 yr/$2.5M (21),$2.5M,Arb,FA,,,,"[-0.4, 1.6, 3.9, 0.7999999999999999, -2.7]","[7.0, 31.0, 31.0, 26.0, 11.0, 10.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
15,Austin Romine\rominau01,32,10,Free Agency,7.045,Moye Sports Assoc...,1 yr/$1.5M (21),$1.5M,FA,,,,,"[-0.2, -0.5, -0.1, -0.2, -0.2, -0.8, 1.3, 0.7, -0.5399999999999999]","[9.0, 60.0, 7.0, 1.0, 62.0, 80.0, 77.0, 72.0, 37.0, 6.0]","[{'type': 'salary', 'value': 1500000.0}]","[2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Matt Duffy\duffyma01,30,6,Free Agency,5.059,TWC Sports,1 yr/$1M (21),$1M,FA,,,,,"[-0.2, 3.9, 1.0999999999999999, 2.9, 0.1]","[34.0, 149.0, 91.0, 132.0, 46.0, 38.0]","[{'type': 'salary', 'value': 1000000.0}]","[2014, 2015, 2016, 2018, 2019, 2021]",False,
17,Dan Winkler\winklda01,31,7,Free Agency,5.063,MVP Sports Group,1 yr/$900k (21),$900k,FA,,,,,"[-0.1, 0.2, 0.5, 0.2, -0.2, 0.5399999999999999]","[2.0, 3.0, 16.0, 69.0, 27.0, 18.0, 25.0]","[{'type': 'salary', 'value': 900000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
