,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,career,games,contracts,years,pitcher,start_ratio
0,Fernando Tatis Jr.\tatisfe02,22,3,Traded,2.0,,14 yrs/$340M (21-34),$1.71M,$5.71M,$7.71M,$11.71M,$20.71M,$20.71M,$25.71M,$25.71M,$36.7M,$36.7M,$36.7M,$36.7M,$36.7M,$36.7M,"[4.2, 7.56]","[84.0, 59.0, 48.0]","[{'type': 'salary', 'value': 1714286.0}, {'type': 'salary', 'value': 5714286.0}, {'type': 'salary', 'value': 7714285.0}, {'type': 'salary', 'value': 11714286.0}, {'type': 'salary', 'value': 20714285.0}, {'type': 'salary', 'value': 20714286.0}, {'type': 'salary', 'value': 25714286.0}, {'type': 'salary', 'value': 25714286.0}, {'type': 'salary', 'value': 36714286.0}, {'type': 'salary', 'value': 36714285.0}, {'type': 'salary', 'value': 36714286.0}, {'type': 'salary', 'value': 36714285.0}, {'type': 'salary', 'value': 36714286.0}, {'type': 'salary', 'value': 36714286.0}]","[2019, 2020, 2021]",False,
1,Manny Machado\machama01,28,10,Free Agency,8.056,MVP Sports Group,10 yrs/$300M (19-28),$32M,$32M,$32M,$32M,$32M,$32M,$32M,$32M,FA,,,,,,"[1.6, 5.9, 2.2, 7.5, 7.3, 3.8, 6.1, 2.6, 8.639999999999999]","[51.0, 156.0, 82.0, 162.0, 157.0, 156.0, 162.0, 156.0, 60.0, 58.0]","[{'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
2,Eric Hosmer\hosmeer01,31,11,Free Agency,9.146,Scott Boras,8 yrs/$144M (18-25),$21M,$21M,$13M,$13M,$13M,FA,,,,,,,,,"[1.4, -0.5, 3.4, 0.8, 4.3, 1.6, 4.3, 0.9, -0.5, 3.24]","[128.0, 152.0, 159.0, 131.0, 158.0, 158.0, 162.0, 157.0, 160.0, 38.0, 58.0]","[{'type': 'salary', 'value': 21000000.0}, {'type': 'salary', 'value': 21000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'salary', 'value': 13000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Yu Darvish\darviyu01,34,9,Traded,9.0,Joel Wolfe & Nick...,6 yrs/$126M (18-23),$22M,$19M,$18M,FA,,,,,,,,,,,"[3.5, 5.6, 3.5, 2.6, 3.9999999999999996, -0.1, 3.0999999999999996, 6.48]","[29.0, 32.0, 22.0, 17.0, 31.0, 8.0, 31.0, 12.0, 13.0]",[],"[2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
4,Wil Myers\myerswi01,30,9,Traded,7.104,CAA (Jeff Berry),6 yrs/$83M (17-22) & 23 team option,$22.5M,$22.5M,$1M [FA-*],FA,,,,,,,,,,,"[2.2, -0.9, 1.2, 3.5, 2.1, 2.1, -0.4, 4.86]","[88.0, 87.0, 60.0, 157.0, 155.0, 83.0, 155.0, 55.0, 55.0]","[{'type': 'salary', 'value': 22500000.0}, {'type': 'salary', 'value': 22500000.0}, {'type': 'team option', 'value': 20000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,Blake Snell\snellbl01,28,6,Traded,4.072,Sosnick Cobbe & K...,5 yrs/$50M (19-23),$11.1M,$13.1M,$16.6M,FA,,,,,,,,,,,"[0.8, 0.9, 7.199999999999999, 1.3, 2.97]","[19.0, 24.0, 31.0, 23.0, 11.0, 13.0]","[{'type': 'salary', 'value': 11100000.0}, {'type': 'salary', 'value': 13100000.0}, {'type': 'salary', 'value': 16600000.0}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
6,Drew Pomeranz\pomerdr01,32,11,Free Agency,8.013,Beverly Hills Spo...,4 yrs/$34M (20-23),$8M,$10M,$10M,FA,,,,,,,,,,,"[0.0, 1.8, -0.2, 1.5, 0.3, 3.8, 3.9, -0.5, 0.39999999999999997, 2.7]","[4.0, 22.0, 8.0, 20.0, 53.0, 31.0, 32.0, 26.0, 46.0, 20.0, 14.0]","[{'type': 'salary', 'value': 8000000.0}, {'type': 'salary', 'value': 10000000.0}, {'type': 'salary', 'value': 10000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
7,Mike Clevinger\clevimi01,30,5,Traded,4.021,ACES,2 yrs/$11.5M (21-22),$3.5M,$8M,FA,,,,,,,,,,,,"[0.1, 3.0, 5.0, 4.2, 2.7]","[17.0, 27.0, 32.0, 21.0, 8.0]","[{'type': 'salary', 'value': 3500000.0}, {'type': 'salary', 'value': 8000000.0}]","[2016, 2017, 2018, 2019, 2020]",True,0.8761904761904762
8,Craig Stammen\stammcr01,37,12,Free Agency,9.16,Longo Law Group,2 yrs/$9M (20-21) & 22 team option,$4M,$1M [FA-*],FA,,,,,,,,,,,,"[0.30000000000000004, -0.2, 0.5, 2.1, 0.9, 0.2, 0.3, 1.8, 1.7, 0.9, -0.81]","[19.0, 35.0, 7.0, 59.0, 55.0, 49.0, 5.0, 60.0, 73.0, 76.0, 24.0, 26.0]","[{'type': 'salary', 'value': 4000000.0}, {'type': 'team option', 'value': 4000000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021]",True,0.0
9,Tommy Pham\phamth01,33,8,Traded,5.107,The Legacy Agency,1 yr/$8.9M (21),$8.9M,FA,,,,,,,,,,,,,"[-0.1, 1.5, -0.3, 6.2, 3.4000000000000004, 4.0, -0.26999999999999996]","[6.0, 52.0, 78.0, 128.0, 137.0, 145.0, 31.0, 62.0]","[{'type': 'salary', 'value': 8900000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
