,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,games,contracts,years,pitcher,start_ratio
0,Bryce Harper\harpebr03,28,10,Free Agency,8.159,Scott Boras,13 yrs/$330M (19-31),$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$23.54M,$23.54M,$23.54M,"[5.2, 3.7, 1.0, 9.7, 1.5, 4.8, 1.8, 4.5, 5.4]","[139.0, 118.0, 100.0, 153.0, 147.0, 111.0, 159.0, 157.0, 58.0, 44.0]","[{'type': 'salary', 'value': 27538462.0}, {'type': 'salary', 'value': 27538461.0}, {'type': 'salary', 'value': 27538462.0}, {'type': 'salary', 'value': 27538461.0}, {'type': 'salary', 'value': 27538462.0}, {'type': 'salary', 'value': 27538461.0}, {'type': 'salary', 'value': 27538462.0}, {'type': 'salary', 'value': 27538461.0}, {'type': 'salary', 'value': 23538462.0}, {'type': 'salary', 'value': 23538461.0}, {'type': 'salary', 'value': 23538462.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Zack Wheeler\wheelza01,31,7,Free Agency,7.098,Jet Sports Manage...,5 yrs/$118M (20-24),$22.5M,$26M,$24.5M,$23.5M,FA,,,,,,,"[1.2, 0.6000000000000001, 0.2, 4.2, 4.699999999999999, 7.56]","[17.0, 32.0, 17.0, 29.0, 31.0, 11.0, 13.0]","[{'type': 'salary', 'value': 22500000.0}, {'type': 'salary', 'value': 26000000.0}, {'type': 'salary', 'value': 24500000.0}, {'type': 'salary', 'value': 23500000.0}]","[2013, 2014, 2017, 2018, 2019, 2020, 2021]",True,1.0
2,J.T. Realmuto\realmjt01,30,8,Free Agency,6.038,CAA Sports,5 yrs/$115.5M (21-25),$20M,$23.88M,$23.88M,$23.88M,$23.88M,FA,,,,,,"[0.0, 2.4, 2.6, 4.4, 4.5, 4.6, 3.51]","[11.0, 126.0, 137.0, 141.0, 125.0, 145.0, 47.0, 46.0]","[{'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 23875000.0}, {'type': 'salary', 'value': 23875000.0}, {'type': 'salary', 'value': 23875000.0}, {'type': 'salary', 'value': 23875000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Jean Segura\segurje01,31,10,Traded,8.065,CAA Sports,5 yrs/$70M (18-22) & 23 team option,$14.85M,$14.85M,$1M [FA-*],FA,,,,,,,,"[0.3, 4.1, 0.9, 0.6, 6.4, 3.7, 3.7, 1.8, 3.24]","[45.0, 146.0, 146.0, 142.0, 153.0, 125.0, 144.0, 144.0, 54.0, 46.0]","[{'type': 'salary', 'value': 14850000.0}, {'type': 'salary', 'value': 14850000.0}, {'type': 'team option', 'value': 17000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
4,Andrew McCutchen\mccutan01,34,13,Free Agency,11.123,Steve Hammond,3 yrs/$50M (19-21) & 22 team option,$20M,$3M [FA-*],FA,,,,,,,,,"[2.3, 3.8, 5.4, 6.9, 7.8, 6.4, 5.0, -0.3, 3.0, 2.5, 1.8, -0.26999999999999996]","[108.0, 154.0, 158.0, 157.0, 157.0, 146.0, 157.0, 153.0, 156.0, 155.0, 59.0, 57.0, 57.0]","[{'type': 'salary', 'value': 20000000.0}, {'type': 'team option', 'value': 15000000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,Scott Kingery\kingesc01,27,4,Amateur Draft,3.0,PSI Sports Manage...,6 yrs/$24M (18-23) & 24-26 team option,$4.25M,$6.25M,$8.25M,$1M [FA-*],$0 [FA-*],$0 [FA-*],FA,,,,,"[-0.6, 2.6, -2.1599999999999997]","[147.0, 126.0, 36.0, 15.0]","[{'type': 'salary', 'value': 4250000.0}, {'type': 'salary', 'value': 6250000.0}, {'type': 'salary', 'value': 8250000.0}, {'type': 'team option', 'value': 13000000.0}, {'type': 'team option', 'value': 14000000.0}, {'type': 'team option', 'value': 15000000.0}]","[2018, 2019, 2020, 2021]",False,
6,Aaron Nola\nolaaa01,28,7,Amateur Draft,5.076,Paragon Sports In...,4 yrs/$45M (19-22) & 23 team option,$12.25M,$15.5M,$4.25M [FA-*],FA,,,,,,,,"[1.5, -0.2, 4.3, 9.7, 4.0, 5.67]","[13.0, 20.0, 27.0, 33.0, 34.0, 12.0, 13.0]","[{'type': 'salary', 'value': 12250000.0}, {'type': 'salary', 'value': 15500000.0}, {'type': 'team option', 'value': 16000000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
7,Odubel Herrera\herreod01,29,6,Rule 5 Draft,4.088,Victor Tranquillo...,5 yrs/$30.5M (17-21) & 22-23 team option,$10.35M,$2.5M [Arb-*],$0 [FA-*],FA,,,,,,,,"[4.1, 4.6, 2.7, 0.5, -0.4]","[147.0, 159.0, 138.0, 148.0, 39.0, 41.0]","[{'type': 'salary', 'value': 10350000.0}, {'type': 'team option', 'value': 11500000.0}, {'type': 'team option', 'value': 12500000.0}]","[2015, 2016, 2017, 2018, 2019, 2021]",False,
8,Didi Gregorius\gregodi01,31,10,Free Agency,7.159,Excel Sports Mana...,2 yrs/$28M (21-22),$12.75M,$15.25M,FA,,,,,,,,,"[0.1, 1.4, 1.3, 3.0, 2.3, 4.5, 4.9, 0.3, 3.24]","[8.0, 103.0, 80.0, 155.0, 153.0, 136.0, 134.0, 82.0, 60.0, 32.0]","[{'type': 'salary', 'value': 12750000.0}, {'type': 'salary', 'value': 15250000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
9,Archie Bradley\bradlar01,28,7,Free Agency,5.112,BBI Sports Group,1 yr/$6M (21),$6M,FA,,,,,,,,,,"[-0.5, 0.8, 3.5, 0.1, 0.9, 1.35]","[8.0, 26.0, 63.0, 76.0, 66.0, 16.0, 14.0]","[{'type': 'salary', 'value': 6000000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
10,Hector Neris\nerishe01,32,8,Amateur Free Agent,5.068,Octagon,1 yr/$5M (21),$5M,FA,,,,,,,,,,"[0.1, 0.3, 2.1, 2.1, 0.2, 1.8, -0.26999999999999996]","[1.0, 32.0, 79.0, 74.0, 53.0, 68.0, 24.0, 27.0]","[{'type': 'salary', 'value': 5000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
11,Rhys Hoskins\hoskirh01,28,5,Amateur Draft,3.053,Scott Boras,1 yr/$4.8M (21),$4.8M,Arb,Arb,FA,,,,,,,,"[2.2, 1.1, 2.1, 2.7]","[50.0, 153.0, 160.0, 41.0, 62.0]","[{'type': 'salary', 'value': 4800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
12,Zach Eflin\eflinza01,27,6,Traded,4.018,Tom O'Connell,1 yr/$4.45M (21),$4.45M,Arb,FA,,,,,,,,,"[-0.1, -0.3, 1.8, 1.4000000000000001, 4.05]","[11.0, 11.0, 24.0, 32.0, 11.0, 12.0]","[{'type': 'salary', 'value': 4450000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
13,Chase Anderson\anderch01,33,8,Free Agency,6.146,Hub Sports Manage...,1 yr/$4M (21),$4M,FA,,,,,,,,,,"[0.5, 0.5, 0.7, 4.2, 0.8999999999999999, 1.7, -1.35]","[21.0, 27.0, 31.0, 25.0, 30.0, 32.0, 10.0, 11.0]","[{'type': 'salary', 'value': 4000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.7272727272727273
14,Vince Velasquez\velasvi01,29,7,Traded,5.086,Paragon Sports In...,1 yr/$4M (21),$4M,FA,,,,,,,,,,"[0.1, 1.9, 0.5, 1.8, 0.7, 0.81]","[19.0, 24.0, 15.0, 31.0, 33.0, 9.0, 13.0]","[{'type': 'salary', 'value': 4000000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.6923076923076923
15,Brad Miller\millebr02,31,9,Free Agency,7.004,ISE Baseball,1 yr/$3.5M (21),$3.5M,FA,,,,,,,,,,"[2.1, 1.3, 0.1, 0.9, 0.7, 0.19999999999999998, 1.5, 2.1599999999999997]","[76.0, 123.0, 144.0, 152.0, 110.0, 75.0, 79.0, 48.0, 50.0]","[{'type': 'salary', 'value': 3500000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Andrew Knapp\knappan01,29,5,Amateur Draft,4.0,Sosnick Cobbe & K...,1 yr/$1.1M (21),$1.1M,Arb,FA,,,,,,,,,"[0.4, -0.5, 0.1, 2.1599999999999997]","[56.0, 84.0, 74.0, 33.0, 35.0]","[{'type': 'salary', 'value': 1100000.0}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
17,Jose Alvarado\alvarjo03,26,5,Traded,3.088,,1 yr/$1M (21),$1M,Arb,Arb,FA,,,,,,,,"[0.3, 1.4, -0.4, -0.5399999999999999]","[35.0, 70.0, 35.0, 9.0, 25.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
18,David Hale\haleda02,33,8,Traded,3.163,,1 yr/$850k (21),$850k,Arb,Arb,FA,,,,,,,,"[0.5, 0.5, -0.2, -0.1, 0.09999999999999998, 0.8, 1.0799999999999998]","[2.0, 45.0, 17.0, 2.0, 4.0, 20.0, 11.0, 14.0]","[{'type': 'salary', 'value': 850000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021]",True,0.07142857142857142
19,Seranthony Dominguez\dominse01,26,2,Amateur Free Agent,2.147,,1 yr/$728k (21),$728k,Arb,Arb,Arb,FA,,,,,,,"[2.3, 0.0]","[53.0, 27.0]","[{'type': 'salary', 'value': 728000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0
20,Brady Lail\lailbr01,27,3,,0.154,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,,"[-0.2, 0.0]","[1.0, 8.0, 2.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
21,Matt Joyce\joycema01,36,14,Free Agency,11.123,ACES,1 yr/$100k (21),$100k,FA,,,,,,,,,,"[1.7, -0.2, 1.9, 3.4, 2.1, 1.7, 1.5, -0.9, 1.8, 2.0, -0.2, 0.8, -1.35]","[92.0, 11.0, 77.0, 141.0, 124.0, 140.0, 140.0, 93.0, 140.0, 141.0, 83.0, 129.0, 46.0, 32.0]","[{'type': 'salary', 'value': 100000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
22,Brandon Kintzler\kintzbr01,36,12,Free Agency,9.003,Kevin Kohler,1 yr/$100k (21),$100k,FA,,,,,,,,,,"[-0.2, -0.2, 0.1, 1.1, 0.8, -0.2, 1.1, 1.7999999999999998, 0.20000000000000007, 1.7, 3.51]","[7.0, 9.0, 14.0, 71.0, 64.0, 7.0, 54.0, 72.0, 70.0, 62.0, 24.0, 20.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
23,Travis Jankowski\jankotr01,30,7,Free Agency,4.073,Excel Sports Mana...,1 yr/$100k (21),$100k,Arb,FA,,,,,,,,,"[0.1, 1.4, -0.2, 1.3, 0.0, -0.81]","[34.0, 131.0, 27.0, 117.0, 25.0, 16.0, 7.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
24,Bryan Mitchell\mitchbr01,30,5,,3.054,,1 yr/$100k (21),$100k,Arb,Arb,FA,,,,,,,,"[0.3, -0.6, 0.4, -0.3, -0.6]","[3.0, 20.0, 5.0, 20.0, 16.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018]",True,0.3125
25,David Paulino\paulida01,27,3,,0.144,Optimum Baseball,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,"[0.0, -0.4, 0.2]","[3.0, 6.0, 7.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",True,0.4375
26,Matt Moore\moorema02,32,10,Free Agency,8.0,Sosnick Cobbe & K...,,FA,,,,,,,,,,,"[0.3, 1.2, 2.5, 0.3, -0.4, 1.9, -0.2, -1.3, 0.7]","[3.0, 31.0, 27.0, 2.0, 12.0, 33.0, 32.0, 39.0, 2.0, 9.0]",[],"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021]",True,0.3333333333333333
27,Neftali Feliz\felizne01,33,9,,7.129,Reynolds Sports (...,,FA,,,,,,,,,,,"[1.6, 2.5, 1.5, 1.3, 0.3, 1.4, -1.1, 1.0, -0.8]","[20.0, 70.0, 64.0, 8.0, 6.0, 30.0, 48.0, 62.0, 49.0]",[],"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",True,0.0196078431372549
28,Ruben Tejada\tejadru01,31,9,,6.004,Rep 1 Baseball,,FA,,,,,,,,,,,"[-0.3, 2.1, 2.1, -0.6, 1.9, 0.1, -0.30000000000000004, -0.3, -0.2]","[78.0, 96.0, 114.0, 57.0, 119.0, 116.0, 36.0, 41.0, 6.0]",[],"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019]",False,
29,Ronald Torreyes\torrero01,28,7,Free Agency,3.006,,,Arb,,Arb,FA,,,,,,,,"[0.1, 0.3, 0.9, 0.2, -0.2, -0.26999999999999996]","[8.0, 72.0, 108.0, 41.0, 7.0, 4.0, 21.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
30,Adam Haseley\haselad01,25,3,Amateur Draft,1.118,,,,,Arb,Arb,Arb,FA,,,,,,"[1.8, 0.0]","[67.0, 40.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
31,Roman Quinn\quinnro01,28,5,Amateur Draft,2.088,Reynolds Sports,,,,Arb,Arb,FA,,,,,,,"[0.3, 0.7, -0.2, 0.26999999999999996]","[15.0, 50.0, 44.0, 41.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2018, 2019, 2020, 2021]",False,
32,Jorge Bonifacio\bonifjo01,28,4,,2.041,ISE Baseball,,,,Arb,Arb,FA,,,,,,,"[0.4, -0.3, 0.0, -1.0799999999999998]","[113.0, 69.0, 5.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",False,
