,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
0,Gregory Polanco\polangr01,29,8,Amateur Free Agent,6.103,Republik Sports,5 yrs/$35M (17-21) & 22-23 team option,$11.6M,$3M [FA-*],$0 [FA-*],"[0.3, 2.5, 1.6, 0.3, 2.2, -0.6, -2.7]","[89.0, 153.0, 144.0, 108.0, 130.0, 42.0, 50.0, 51.0]","[{'type': 'salary', 'value': 11600000.0}, {'type': 'team option', 'value': 12500000.0}, {'type': 'team option', 'value': 13500000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Felipe Vazquez\riverfe01,29,5,Traded,4.162,Scott Boras,4 yrs/$22M (18-21) & 22-23 team option,$7.75M,$1M [Arb-*],$0 [FA-*],"[0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 71.0, 66.0, 64.0, 51.0]","[{'type': 'salary', 'value': 7750000.0}, {'type': 'team option', 'value': 10000000.0}, {'type': 'team option', 'value': 10000000.0}]","[2015, 2016, 2017, 2018, 2019]",False,
2,Colin Moran\moranco01,28,6,Traded,3.107,Excel Sports,1 yr/$2.8M (21),$2.8M,Arb,Arb,"[-0.3, 0.1, 0.8, -1.1, 1.35]","[9.0, 7.0, 144.0, 149.0, 52.0, 37.0]","[{'type': 'salary', 'value': 2800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Adam Frazier\fraziad01,29,6,Amateur Draft,4.075,,1 yr/$4.3M (21),$4.3M,Arb,FA,"[0.4, 1.1, 2.7, 2.5, 1.89]","[66.0, 121.0, 113.0, 152.0, 58.0, 62.0]","[{'type': 'salary', 'value': 4300000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
4,Tyler Anderson\anderty01,31,6,Free Agency,5.065,The Legacy Agency,1 yr/$2.5M (21),$2.5M,FA,,"[3.2, 1.0999999999999999, 2.6999999999999997, -1.0, 1.0799999999999998]","[19.0, 17.0, 32.0, 5.0, 13.0, 12.0]","[{'type': 'salary', 'value': 2500000.0}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
5,Chad Kuhl\kuhlch01,28,5,Amateur Draft,4.079,,1 yr/$2.13M (21),$2.13M,Arb,FA,"[0.8, 1.4, 0.1, -0.26999999999999996]","[14.0, 31.0, 16.0, 11.0, 7.0]","[{'type': 'salary', 'value': 2130000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2020, 2021]",True,1.0
6,Steven Brault\braulst01,29,5,Traded,3.085,L. Warner Compani...,1 yr/$2.05M (21),$2.05M,Arb,Arb,"[-0.5, 0.1, 0.0, 1.5, 1.89]","[8.0, 11.0, 45.0, 25.0, 11.0]","[{'type': 'salary', 'value': 2050000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",True,0.45
7,Richard Rodriguez\rodriri05,31,5,Free Agency,3.016,,1 yr/$1.7M (21),$1.7M,Arb,Arb,"[-0.3, 1.8, 1.0, 1.0799999999999998]","[5.0, 63.0, 72.0, 24.0, 24.0]","[{'type': 'salary', 'value': 1700000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
8,Trevor Cahill\cahiltr01,33,13,Free Agency,11.056,John Boggs and As...,1 yr/$1.5M (21),$1.5M,FA,,"[1.7, 3.9, 2.6999999999999997, 1.9000000000000001, 0.39999999999999997, -1.6, -0.29999999999999993, 1.0, 0.6000000000000001, 1.1, -0.3, 1.35]","[32.0, 30.0, 34.0, 32.0, 26.0, 32.0, 26.0, 50.0, 21.0, 21.0, 37.0, 11.0, 9.0]","[{'type': 'salary', 'value': 1500000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.8888888888888888
9,Jacob Stallings\stallja01,31,6,Amateur Draft,2.149,,1 yr/$1.3M (21),$1.3M,Arb,Arb,"[0.2, 0.2, 0.0, 1.5, 2.7]","[5.0, 5.0, 14.0, 71.0, 42.0, 49.0]","[{'type': 'salary', 'value': 1300000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
