,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,career,games,contracts,years,pitcher,start_ratio
0,Yasmani Grandal\grandya01,32,10,Free Agency,8.115,Wasserman,4 yrs/$73M (20-23),$18.25M,$18.25M,$18.25M,FA,,,,"[2.5, 0.8, 1.1, 1.5, 3.0, 2.3, 3.6, 2.4, 2.43]","[60.0, 28.0, 128.0, 115.0, 126.0, 129.0, 140.0, 153.0, 46.0, 45.0]","[{'type': 'salary', 'value': 18250000.0}, {'type': 'salary', 'value': 18250000.0}, {'type': 'salary', 'value': 18250000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Yoan Moncada\moncayo01,26,6,Traded,3.106,Movement Manageme...,5 yrs/$70M (20-24) & 25 team option,$6.8M,$13.8M,$17.8M,$24.8M,$5M [FA-*],FA,,"[-0.4, 1.7, 1.4, 5.1, 1.62]","[8.0, 54.0, 149.0, 132.0, 52.0, 61.0]","[{'type': 'salary', 'value': 6800000.0}, {'type': 'salary', 'value': 13800000.0}, {'type': 'salary', 'value': 17800000.0}, {'type': 'salary', 'value': 24800000.0}, {'type': 'team option', 'value': 25000000.0}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
2,Dallas Keuchel\keuchda01,33,10,Free Agency,8.031,Scott Boras,3 yrs/$55.5M (20-22) & 23 team option,$18M,$18M,$1.5M [FA-*],FA,,,,"[-0.1, -0.1, 4.5, 6.5, 0.3, 3.9, 2.9, 2.1, 5.67]","[16.0, 31.0, 29.0, 33.0, 26.0, 23.0, 34.0, 19.0, 11.0, 13.0]","[{'type': 'salary', 'value': 18000000.0}, {'type': 'salary', 'value': 18000000.0}, {'type': 'team option', 'value': 20000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
3,Liam Hendriks\hendrli01,32,11,Free Agency,6.164,MVP Sports Group,3 yrs/$54M (21-23) & 24 team option,$11.33M,$13.33M,$14.33M,$15M [FA-*],FA,,,"[-0.2, -0.9, -0.8, -0.2, 1.1, 0.7, 0.2, 0.2, 3.4, 3.51]","[4.0, 16.0, 10.0, 9.0, 58.0, 53.0, 70.0, 25.0, 75.0, 24.0, 29.0]","[{'type': 'salary', 'value': 11333333.0}, {'type': 'salary', 'value': 13333334.0}, {'type': 'salary', 'value': 14333333.0}, {'type': 'team option', 'value': 15000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
4,José Abreu\abreujo02,34,8,Free Agency,7.0,ISE Baseball,3 yrs/$50M (20-22),$17.67M,$19.67M,FA,,,,,"[5.8, 3.5, 3.1, 4.9, 2.0, 2.3, 8.1]","[145.0, 154.0, 159.0, 156.0, 128.0, 159.0, 60.0, 59.0]","[{'type': 'salary', 'value': 17666666.0}, {'type': 'salary', 'value': 19666667.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,Luis Robert\roberlu01,23,2,Amateur Free Agent,1.0,,6 yrs/$50M (20-25) & 26-27 team option,$3.5M,$6M,$9.5M,$12.5M,$15M,$2M [FA-*],$0 [FA-*],[4.86],"[56.0, 25.0]","[{'type': 'salary', 'value': 3500000.0}, {'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 9500000.0}, {'type': 'salary', 'value': 12500000.0}, {'type': 'salary', 'value': 15000000.0}, {'type': 'team option', 'value': 20000000.0}, {'type': 'team option', 'value': 20000000.0}]","[2020, 2021]",False,
6,Eloy Jimenez\jimenel02,24,2,Traded,2.0,,6 yrs/$43M (19-24) & 25-26 team option,$4.33M,$7.33M,$10.33M,$13.83M,$3M [FA-*],$0 [FA-*],FA,"[1.4, 3.51]","[122.0, 55.0]","[{'type': 'salary', 'value': 4333334.0}, {'type': 'salary', 'value': 7333333.0}, {'type': 'salary', 'value': 10333333.0}, {'type': 'salary', 'value': 13833334.0}, {'type': 'team option', 'value': 16500000.0}, {'type': 'team option', 'value': 18500000.0}]","[2019, 2020]",False,
7,Lance Lynn\lynnla01,34,10,Traded,9.119,Excel Sports Mana...,3 yrs/$30M (19-21),$9.33M,FA,,,,,,"[0.6, 1.7, 1.9000000000000001, 3.5, 3.4, 3.0, 0.4, 7.5, 6.75]","[18.0, 35.0, 33.0, 33.0, 31.0, 33.0, 31.0, 33.0, 13.0, 11.0]","[{'type': 'salary', 'value': 9333333.0}]","[2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021]",True,1.0
8,Tim Anderson\anderti01,28,6,Amateur Draft,4.115,Reynolds Sports,6 yrs/$25M (17-22) & 23-24 team option,$7.25M,$9.5M,$1M [FA-*],$0 [FA-*],FA,,,"[2.4, -0.4, 3.7, 4.1, 6.209999999999999]","[99.0, 146.0, 153.0, 123.0, 49.0, 51.0]","[{'type': 'salary', 'value': 7250000.0}, {'type': 'salary', 'value': 9500000.0}, {'type': 'team option', 'value': 12500000.0}, {'type': 'team option', 'value': 14000000.0}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
9,Aaron Bummer\bummeaa01,27,5,Amateur Draft,2.15,,5 yrs/$16M (20-24) & 25-26 team option,$2M,$2.5M,$3.75M,$5.5M,$1.25M [FA-*],$0 [FA-*],FA,"[0.2, 0.0, 2.9, 1.0799999999999998]","[30.0, 37.0, 58.0, 9.0, 26.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'salary', 'value': 2500000.0}, {'type': 'salary', 'value': 3750000.0}, {'type': 'salary', 'value': 5500000.0}, {'type': 'team option', 'value': 7250000.0}, {'type': 'team option', 'value': 7500000.0}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
