,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
0,Giancarlo Stanton\stantmi03,31,12,Traded,10.118,Wasserman,13 yrs/$325M (15-27) & 28 team option,$29M,$29M,$32M,$32M,$32M,$29M,$25M,$10M [FA-*],"[2.8, 4.1, 5.4, 2.8, 6.5, 3.7, 2.5, 7.9, 4.4, 0.4, 1.62]","[100.0, 150.0, 123.0, 116.0, 145.0, 74.0, 119.0, 159.0, 158.0, 18.0, 23.0, 45.0]","[{'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 25000000.0}, {'type': 'team option', 'value': 25000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Gerrit Cole\colege01,30,9,Free Agency,7.111,Scott Boras,9 yrs/$324M (20-28),$36M,$36M,$36M,$36M,$36M,$36M,$36M,$36M,"[1.5999999999999999, 1.4, 4.3999999999999995, 1.7, 2.7, 5.6000000000000005, 6.6000000000000005, 5.67]","[19.0, 22.0, 32.0, 21.0, 33.0, 32.0, 33.0, 12.0, 13.0]","[{'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}, {'type': 'salary', 'value': 36000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
2,DJ LeMahieu\lemahdj01,32,11,Free Agency,8.128,Wasserman,6 yrs/$90M (21-26),$15M,$15M,$15M,$15M,$15M,$15M,FA,,"[-0.2, 1.4, 1.1, 0.8, 1.8, 5.3, 3.4, 2.9, 5.5, 8.1]","[37.0, 81.0, 109.0, 149.0, 150.0, 146.0, 155.0, 128.0, 145.0, 50.0, 60.0]","[{'type': 'salary', 'value': 15000000.0}, {'type': 'salary', 'value': 15000000.0}, {'type': 'salary', 'value': 15000000.0}, {'type': 'salary', 'value': 15000000.0}, {'type': 'salary', 'value': 15000000.0}, {'type': 'salary', 'value': 15000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Zack Britton\brittza01,33,10,Free Agency,8.158,Boras Corporation,3 yrs/$39M (19-21) & 22 team option,$13M,$0 [FA-*],FA,,,,,,"[0.8, 0.1, 0.0, 2.6, 2.3, 4.1, 1.0, 0.7, 2.5, 1.35]","[28.0, 12.0, 8.0, 71.0, 64.0, 69.0, 38.0, 41.0, 66.0, 20.0, 1.0]","[{'type': 'salary', 'value': 13000000.0}, {'type': 'team option', 'value': 14000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
4,Aaron Hicks\hicksaa01,31,9,Traded,7.041,CAA Sports,7 yrs/$70M (19-25) & 26 team option,$10.79M,$10.79M,$10.79M,$9.79M,$9.79M,$1M [FA-*],FA,,"[0.7, 0.4, 1.4, -0.2, 3.9, 4.4, 1.2, 1.89]","[81.0, 69.0, 97.0, 123.0, 88.0, 137.0, 59.0, 54.0, 32.0]","[{'type': 'salary', 'value': 10785714.0}, {'type': 'salary', 'value': 10785714.0}, {'type': 'salary', 'value': 10785714.0}, {'type': 'salary', 'value': 9785715.0}, {'type': 'salary', 'value': 9785715.0}, {'type': 'team option', 'value': 12500000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,Rougned Odor\odorro01,27,8,Traded,6.121,Beverly Hills Spo...,6 yrs/$49.5M (17-22) & 23 team option,$12.33M,$12.33M,$3M [FA-*],FA,,,,,"[0.5, 2.1, 2.7, -0.5, 2.5, -0.3, -1.89]","[114.0, 120.0, 150.0, 162.0, 129.0, 145.0, 38.0, 37.0]","[{'type': 'salary', 'value': 12333333.0}, {'type': 'salary', 'value': 12333333.0}, {'type': 'team option', 'value': 13500000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
6,Aroldis Chapman\chapmar01,33,12,Free Agency,10.009,ISE Baseball,3 yrs/$48M (20-22),$16M,$16M,FA,,,,,,"[0.4, 0.4, 3.4, 1.8, 1.9, 2.7, 2.5999999999999996, 1.0, 1.6, 1.7, 1.0799999999999998]","[15.0, 54.0, 68.0, 68.0, 54.0, 65.0, 59.0, 52.0, 55.0, 60.0, 13.0, 25.0]","[{'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 16000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
7,Luis Severino\severlu01,27,5,Amateur Free Agent,4.17,Rep 1 Baseball,4 yrs/$40M (19-22) & 23 team option,$10.75M,$11.5M,$2.75M [FA-*],FA,,,,,"[2.0, -0.4, 5.4, 3.9999999999999996, 0.6]","[11.0, 22.0, 31.0, 32.0, 3.0]","[{'type': 'salary', 'value': 10750000.0}, {'type': 'salary', 'value': 11500000.0}, {'type': 'team option', 'value': 15000000.0}]","[2015, 2016, 2017, 2018, 2019]",True,0.8888888888888888
8,Corey Kluber\klubeco01,35,11,Free Agency,8.074,Jet Sports Manage...,1 yr/$11M (21),$11M,FA,,,,,,,"[-0.1, -0.5, 1.5, 8.1, 4.2, 5.699999999999999, 8.0, 5.6000000000000005, -0.4, 0.26999999999999996]","[3.0, 12.0, 26.0, 34.0, 32.0, 32.0, 29.0, 33.0, 7.0, 1.0, 10.0]","[{'type': 'salary', 'value': 11000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
9,Aaron Judge\judgeaa01,29,6,Amateur Draft,4.051,PSI Sports Manage...,1 yr/$10.18M (21),$10.18M,Arb,FA,,,,,,"[-0.3, 8.0, 5.9, 5.5, 2.97]","[27.0, 155.0, 112.0, 102.0, 28.0, 61.0]","[{'type': 'salary', 'value': 10175000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
