,WAR,Age
0,,
1,,
2,-0.1,27
3,-0.2,28
4,0.3,29
5,0.5,30
6,3.4,31
7,2.5,32
8,0.2,33
9,1.8,34
10,0.0,35
11,0.6,36
12,0.3,37
13,,
14,,
15,-0.1,24
16,3.1,25
17,3.4,26
18,6.9,27
19,0.4,28
20,2.9,29
21,2.4,30
22,0.2,31
23,,
24,-0.8,23
25,-0.2,24
26,-0.1,25
27,-0.6,26
28,,
29,0.0,23
30,1.8,24
31,-0.2,25
32,1.8,26
33,-0.9,27
34,-0.9,28
35,,
36,-0.6,24
37,0.6,25
38,2.3,26
39,2.0,27
40,1.7,28
41,3.2,29
42,4.1,30
43,1.5,32
44,-0.7,33
45,0.4,34
46,-0.6,35
47,-0.3,36
48,,
49,0.5,23
50,-0.7,24
51,2.0999999999999996,25
52,1.8,26
53,3.4,27
54,2.9000000000000004,28
55,4.5,29
56,3.1999999999999997,30
57,0.09999999999999998,31
58,-0.7,32
59,-1.4,33
60,,
61,0.4,22
62,-0.5,23
63,0.1,24
64,0.2,25
65,-0.7,26
66,,
67,-1.3,29
68,1.8,30
69,-0.5,31
70,1.3,32
71,0.5,33
72,,
73,0.5,24
74,-0.30000000000000004,25
75,0.09999999999999998,26
76,3.7,27
77,5.0,28
78,5.5,29
79,1.6,30
80,1.1,31
81,-1.1,32
82,0.7999999999999999,33
83,1.3,34
84,-0.7,35
85,1.7000000000000002,36
86,0.6000000000000001,37
87,,
88,-1.3,24
89,-0.1,25
90,2.0,26
91,1.1,27
92,1.0,28
93,-0.8,29
94,0.9,30
95,-0.1,31
96,-1.1,32
97,,
98,0.7,23
99,0.4,24
100,1.4,25
101,-0.2,26
102,3.9,27
103,4.2,28
104,1.3,29
105,,
106,1.5,23
107,3.9,24
108,5.2,25
109,0.6,26
110,5.8,27
111,1.0,28
112,0.7000000000000001,29
113,5.1,30
114,1.1,31
115,-0.9,32
116,0.0,33
117,1.2000000000000002,34
118,-0.7,35
119,,
120,-0.1,23
121,-0.4,32
122,,
123,-0.3,24
124,7.9,25
125,5.9,26
126,5.5,27
127,,
128,-0.2,24
129,1.2,26
130,1.9,27
131,-0.1,28
132,-0.2,29
133,,
134,0.1,26
135,1.2,27
136,-0.9,28
137,-0.2,29
138,-0.1,30
139,2.2,31
140,-1.7,32
141,0.1,33
142,0.5,34
143,,
144,1.4,23
145,1.2,24
146,0.8,25
147,5.7,26
148,3.7,27
149,0.5,28
150,5.1,29
151,0.6,30
152,0.9,31
153,0.5,32
154,0.6,33
155,,
156,0.1,23
157,0.0,24
158,,
159,0.2,24
160,0.7,25
161,0.8,26
162,0.6,27
163,0.0,28
164,-0.7,29
165,0.6,30
166,,
167,0.2,21
168,-0.2,22
169,-0.1,23
170,-0.3,24
171,0.9,25
172,1.1,26
173,0.0,27
174,-0.6,28
175,2.3,29
176,-1.7,30
