,WAR,Age,pitcher,start_ratio
0,,,,
1,0.0,25,True,0.0
2,-0.2,26,True,0.0
3,0.5,27,True,0.0
4,,,,
5,-0.4,23,True,0.24050632911392406
6,-0.2,24,True,0.24050632911392406
7,1.1,25,True,0.24050632911392406
8,-0.7,26,True,0.24050632911392406
9,-0.1,27,True,0.24050632911392406
10,,,,
11,-0.1,27,False,
12,-0.2,28,False,
13,0.3,29,False,
14,0.5,30,False,
15,3.4,31,False,
16,2.5,32,False,
17,0.2,33,False,
18,1.8,34,False,
19,0.0,35,False,
20,0.6,36,False,
21,0.3,37,False,
22,,,,
23,0.4,23,True,0.0
24,0.8,24,True,0.0
25,-0.8,25,True,0.0
26,,,,
27,-0.1,24,False,
28,3.1,25,False,
29,3.4,26,False,
30,6.9,27,False,
31,0.4,28,False,
32,2.9,29,False,
33,2.4,30,False,
34,0.2,31,False,
35,,,,
36,0.2,24,True,0.0
37,,,,
38,-0.5,26,True,0.0
39,0.7,27,True,0.0
40,0.9,28,True,0.0
41,,,,
42,0.1,25,True,0.0
43,0.8,26,True,0.0
44,2.0,27,True,0.0
45,2.0,28,True,0.0
46,1.3,29,True,0.0
47,0.4,30,True,0.0
48,-0.5,31,True,0.0
49,,,,
50,-0.8,23,False,
51,-0.2,24,False,
52,-0.1,25,False,
53,-0.6,26,False,
54,,,,
55,0.0,23,False,
56,1.8,24,False,
57,-0.2,25,False,
58,1.8,26,False,
59,-0.9,27,False,
60,-0.9,28,False,
61,,,,
62,0.4,26,True,0.0
63,0.0,27,True,0.0
64,-0.2,31,True,0.0
65,,,,
66,-0.6,24,False,
67,0.6,25,False,
68,2.3,26,False,
69,2.0,27,False,
70,1.7,28,False,
71,3.2,29,False,
72,4.1,30,False,
73,1.5,32,False,
74,-0.7,33,False,
75,0.4,34,False,
76,-0.6,35,False,
77,-0.3,36,False,
78,,,,
79,-0.5,24,True,0.5957446808510638
80,-0.9,25,True,0.5957446808510638
81,0.1,28,True,0.5957446808510638
82,0.1,29,True,0.5957446808510638
83,,,,
84,0.2,23,True,0.0
85,-0.1,24,True,0.0
86,2.9,25,True,0.0
87,,,,
88,1.5,24,True,1.0
89,,,,
90,0.5,23,True,0.875
91,-0.7,24,True,0.875
92,2.0999999999999996,25,True,0.875
93,1.8,26,True,0.875
94,3.4,27,True,0.875
95,2.9000000000000004,28,True,0.875
96,4.5,29,True,0.875
97,3.1999999999999997,30,True,0.875
98,0.09999999999999998,31,True,0.875
99,-0.7,32,True,0.875
100,-1.4,33,True,0.875
101,,,,
102,0.4,22,False,
103,-0.5,23,False,
104,0.1,24,False,
105,0.2,25,False,
106,-0.7,26,False,
107,,,,
108,0.1,26,True,0.0021598272138228943
109,-0.19999999999999998,27,True,0.0021598272138228943
110,-0.2,28,True,0.0021598272138228943
111,-0.2,29,True,0.0021598272138228943
112,0.2,30,True,0.0021598272138228943
113,1.5,31,True,0.0021598272138228943
114,0.5,32,True,0.0021598272138228943
115,1.2,33,True,0.0021598272138228943
116,,,,
117,-1.3,29,False,
118,1.8,30,False,
119,-0.5,31,False,
120,1.3,32,False,
121,0.5,33,False,
122,,,,
123,0.5,24,True,0.9844961240310077
124,-0.30000000000000004,25,True,0.9844961240310077
125,0.09999999999999998,26,True,0.9844961240310077
126,3.7,27,True,0.9844961240310077
127,5.0,28,True,0.9844961240310077
128,5.5,29,True,0.9844961240310077
129,1.6,30,True,0.9844961240310077
130,1.1,31,True,0.9844961240310077
131,-1.1,32,True,0.9844961240310077
132,0.7999999999999999,33,True,0.9844961240310077
133,1.3,34,True,0.9844961240310077
134,-0.7,35,True,0.9844961240310077
135,1.7000000000000002,36,True,0.9844961240310077
136,0.6000000000000001,37,True,0.9844961240310077
137,,,,
138,-1.3,24,True,0.05241090146750524
139,-0.1,25,True,0.05241090146750524
140,2.0,26,True,0.05241090146750524
141,1.1,27,True,0.05241090146750524
142,1.0,28,True,0.05241090146750524
143,-0.8,29,True,0.05241090146750524
144,0.9,30,True,0.05241090146750524
145,-0.1,31,True,0.05241090146750524
146,-1.1,32,True,0.05241090146750524
147,,,,
148,0.7,23,False,
149,0.4,24,False,
150,1.4,25,False,
151,-0.2,26,False,
152,3.9,27,False,
153,4.2,28,False,
154,1.3,29,False,
155,,,,
156,1.5,23,False,
157,3.9,24,False,
158,5.2,25,False,
159,0.6,26,False,
160,5.8,27,False,
161,1.0,28,False,
162,0.7000000000000001,29,False,
163,5.1,30,False,
164,1.1,31,False,
165,-0.9,32,False,
166,0.0,33,False,
167,1.2000000000000002,34,False,
168,-0.7,35,False,
169,,,,
170,-0.1,23,False,
171,-0.4,32,False,
172,,,,
173,-0.3,24,False,
174,7.9,25,False,
175,5.9,26,False,
176,5.5,27,False,
177,,,,
178,0.5,22,True,0.4358974358974359
179,0.4,23,True,0.4358974358974359
180,0.6,24,True,0.4358974358974359
181,0.3,25,True,0.4358974358974359
182,0.4,26,True,0.4358974358974359
183,0.4,27,True,0.4358974358974359
184,-0.4,28,True,0.4358974358974359
185,0.1,30,True,0.4358974358974359
186,,,,
187,-0.2,24,False,
188,1.2,26,False,
189,1.9,27,False,
190,-0.1,28,False,
191,-0.2,29,False,
192,,,,
193,0.6,24,True,0.0
194,1.6,25,True,0.0
195,1.1,26,True,0.0
196,-0.2,27,True,0.0
197,0.0,28,True,0.0
198,0.8,29,True,0.0
199,0.30000000000000004,30,True,0.0
200,0.2,31,True,0.0
201,,,,
202,0.1,26,False,
203,1.2,27,False,
204,-0.9,28,False,
205,-0.2,29,False,
206,-0.1,30,False,
207,2.2,31,False,
208,-1.7,32,False,
209,0.0,33,False,
210,0.5,34,False,
211,,,,
212,1.5,22,True,1.0
213,-0.2,23,True,1.0
214,4.2,24,True,1.0
215,9.7,25,True,1.0
216,4.2,26,True,1.0
217,,,,
218,0.1,27,True,0.0
219,0.3,28,True,0.0
220,0.0,30,True,0.0
221,,,,
222,1.4,23,False,
223,1.2,24,False,
224,0.8,25,False,
225,5.7,26,False,
226,3.7,27,False,
227,0.5,28,False,
228,5.1,29,False,
229,0.6,30,False,
230,0.9,31,False,
231,0.5,32,False,
232,0.6,33,False,
233,,,,
234,1.4,21,True,0.64
235,1.9,22,True,0.64
236,5.0,23,True,0.64
237,-0.1,24,True,0.64
238,1.0,25,True,0.64
239,-0.30000000000000004,26,True,0.64
240,,,,
