,WAR,Age,Games,pitcher,start_ratio
0,"[0.0, -0.2, 0.5]","['25', '26', '27']","[7.0, 11.0, 27.0]",True,0.0
1,"[-0.4, -0.2, 1.1, -0.7, -0.1]","['23', '24', '25', '26', '27']","[3.0, 8.0, 11.0, 32.0, 25.0]",True,0.24050632911392406
2,"[-0.1, -0.2, 0.3, 0.5, 3.4, 2.5, 0.2, 1.8, 0.0, 0.6, 0.3]","['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","[4.0, 8.0, 44.0, 31.0, 133.0, 115.0, 93.0, 63.0, 64.0, 51.0, 66.0]",False,
3,"[0.4, 0.8, -0.8]","['23', '24', '25']","[16.0, 65.0, 36.0]",True,0.0
4,"[-0.1, 3.1, 3.4, 6.9, 0.4, 2.9, 2.4, 0.2]","['24', '25', '26', '27', '28', '29', '30', '31']","[31.0, 137.0, 75.0, 157.0, 12.0, 112.0, 113.0, 86.0]",False,
5,[0.2],['24'],[10.0],True,0.0
6,"[-0.5, 0.7, 0.9]","['26', '27', '28']","[5.0, 36.0, 32.0]",True,0.0
7,"[0.1, 0.8, 2.0, 2.0, 1.3, 0.4, -0.5]","['25', '26', '27', '28', '29', '30', '31']","[11.0, 68.0, 68.0, 71.0, 67.0, 61.0, 28.0]",True,0.0
8,"[-0.8, -0.2, -0.1, -0.6]","['23', '24', '25', '26']","[45.0, 2.0, 1.0, 14.0]",False,
9,"[0.0, 1.8, -0.2, 1.8, -0.9, -0.9]","['23', '24', '25', '26', '27', '28']","[2.0, 39.0, 57.0, 107.0, 105.0, 49.0]",False,
10,"[0.4, 0.0, -0.2]","['26', '27', '31']","[50.0, 40.0, 3.0]",True,0.0
11,"[-0.6, 0.6, 2.3, 2.0, 1.7, 3.2, 4.1, 1.5, -0.7, 0.4, -0.6, -0.3]","['24', '25', '26', '27', '28', '29', '30', '32', '33', '34', '35', '36']","[16.0, 58.0, 139.0, 84.0, 103.0, 162.0, 160.0, 143.0, 104.0, 69.0, 104.0, 10.0]",False,
12,"[-0.5, -0.9, 0.1, 0.1]","['24', '25', '28', '29']","[2.0, 13.0, 3.0, 29.0]",True,0.5957446808510638
13,"[0.2, -0.1, 2.9]","['23', '24', '25']","[30.0, 37.0, 58.0]",True,0.0
14,[1.5],['24'],[10.0],True,1.0
15,"[0.5, -0.7, 2.0999999999999996, 1.8, 3.4, 2.9000000000000004, 4.5, 3.1999999999999997, 0.09999999999999998, -0.7, -1.4]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']","[9.0, 43.0, 16.0, 13.0, 32.0, 25.0, 32.0, 27.0, 23.0, 18.0, 18.0]",True,0.875
16,"[0.4, -0.5, 0.1, 0.2, -0.7]","['22', '23', '24', '25', '26']","[22.0, 23.0, 53.0, 52.0, 72.0]",False,
17,"[0.1, -0.19999999999999998, -0.2, -0.2, 0.2, 1.5, 0.5, 1.2]","['26', '27', '28', '29', '30', '31', '32', '33']","[58.0, 66.0, 43.0, 64.0, 55.0, 62.0, 66.0, 49.0]",True,0.0021598272138228943
18,"[-1.3, 1.8, -0.5, 1.3, 0.5]","['29', '30', '31', '32', '33']","[70.0, 99.0, 42.0, 33.0, 63.0]",False,
19,"[0.5, -0.30000000000000004, 0.09999999999999998, 3.7, 5.0, 5.5, 1.6, 1.1, -1.1, 0.7999999999999999, 1.3, -0.7, 1.7000000000000002, 0.6000000000000001]","['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37']","[16.0, 16.0, 28.0, 32.0, 36.0, 34.0, 30.0, 26.0, 22.0, 28.0, 31.0, 26.0, 33.0, 29.0]",True,0.9844961240310077
20,"[-1.3, -0.1, 2.0, 1.1, 1.0, -0.8, 0.9, -0.1, -1.1]","['24', '25', '26', '27', '28', '29', '30', '31', '32']","[14.0, 5.0, 53.0, 74.0, 81.0, 78.0, 70.0, 70.0, 32.0]",True,0.05241090146750524
21,"[0.7, 0.4, 1.4, -0.2, 3.9, 4.2, 1.3]","['23', '24', '25', '26', '27', '28', '29']","[81.0, 69.0, 97.0, 123.0, 88.0, 137.0, 59.0]",False,
22,"[1.5, 3.9, 5.2, 0.6, 5.8, 1.0, 0.7000000000000001, 5.1, 1.1, -0.9, 0.0, 1.2000000000000002, -0.7]","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","[105.0, 155.0, 160.0, 55.0, 158.0, 138.0, 137.0, 156.0, 87.0, 133.0, 116.0, 125.0, 34.0]",False,
23,"[-0.1, -0.4]","['23', '32']","[1.0, 22.0]",False,
24,"[-0.3, 7.9, 5.9, 5.5]","['24', '25', '26', '27']","[27.0, 155.0, 112.0, 102.0]",False,
25,"[0.5, 0.4, 0.6, 0.3, 0.4, 0.4, -0.4, 0.1]","['22', '23', '24', '25', '26', '27', '28', '30']","[9.0, 16.0, 25.0, 29.0, 47.0, 22.0, 5.0, 3.0]",True,0.4358974358974359
26,"[-0.2, 1.2, 1.9, -0.1, -0.2]","['24', '26', '27', '28', '29']","[21.0, 43.0, 95.0, 93.0, 32.0]",False,
27,"[0.6, 1.6, 1.1, -0.2, 0.0, 0.8, 0.30000000000000004, 0.2]","['24', '25', '26', '27', '28', '29', '30', '31']","[33.0, 64.0, 71.0, 60.0, 21.0, 70.0, 59.0, 4.0]",True,0.0
28,"[0.1, 1.2, -0.9, -0.2, -0.1, 2.2, -1.7, 0.0, 0.5]","['26', '27', '28', '29', '30', '31', '32', '33', '34']","[8.0, 134.0, 99.0, 135.0, 133.0, 134.0, 74.0, 79.0, 136.0]",False,
29,"[1.5, -0.2, 4.2, 9.7, 4.2]","['22', '23', '24', '25', '26']","[13.0, 20.0, 27.0, 33.0, 34.0]",True,1.0
30,"[0.1, 0.3, 0.0]","['27', '28', '30']","[3.0, 10.0, 1.0]",True,0.0
