"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","Mariners","148","672","41","134","132","15","14.9%","18.0%",".291",".333",".316",".420",".606",".431","158","1.3","54.4","22.6","9.5","1274"
"Darin Erstad","Angels","157","747","25","121","100","28","8.6%","11.0%",".186",".375",".355",".409",".541",".408","140","2.0","42.2","22.2","8.7","11"
"Todd Helton","Rockies","160","697","42","138","147","5","14.8%","8.8%",".326",".357",".372",".463",".698",".476","162","-0.3","58.1","6.4","8.3","432"
"Troy Glaus","Angels","159","678","47","120","102","14","16.5%","24.0%",".320",".319",".284",".404",".604",".424","150","-2.2","43.7","19.0","8.2","15"
"Jason Giambi","Athletics","152","664","43","108","137","2","20.6%","14.5%",".314",".335",".333",".476",".647",".471","183","0.5","75.2","-15.7","7.7","818"
"Andruw Jones","Braves","161","729","36","122","104","21","8.1%","13.7%",".238",".310",".303",".366",".541",".387","127","1.5","28.7","27.5","7.7","96"
"Barry Bonds","Giants","143","607","49","129","106","11","19.3%","12.7%",".381",".271",".306",".440",".688",".456","174","0.9","62.3","-0.9","7.6","1109"
"Nomar Garciaparra","Red Sox","140","599","21","104","96","5","10.2%","8.3%",".227",".378",".372",".434",".599",".432","154","0.2","44.4","15.0","7.6","190"
"Jeff Kent","Giants","159","695","33","114","125","12","12.9%","15.4%",".262",".357",".334",".424",".596",".431","159","-1.6","53.7","2.4","7.4","1119"
"Carlos Delgado","Blue Jays","162","711","41","115","137","0","17.3%","14.6%",".320",".362",".344",".470",".664",".471","179","-0.4","75.9","-21.3","7.4","1297"
"Richard Hidalgo","Astros","153","644","44","118","122","13","8.7%","17.1%",".323",".317",".314",".391",".636",".428","149","-0.1","42.6","13.2","7.3","561"
"Bobby Abreu","Phillies","154","680","25","103","79","28","14.7%","17.1%",".238",".358",".316",".416",".554",".413","143","2.0","42.0","8.2","6.9","945"
"Gary Sheffield","Dodgers","141","612","43","105","109","4","16.5%","11.6%",".317",".305",".325",".438",".643",".451","173","-1.9","59.3","-9.0","6.6","114"
"Jim Edmonds","Cardinals","152","643","42","129","108","10","16.0%","26.0%",".288",".349",".295",".411",".583",".421","149","0.7","43.2","4.7","6.5","1153"
"Edgardo Alfonzo","Mets","150","650","25","109","94","3","14.6%","10.8%",".219",".332",".324",".425",".542",".418","150","-0.2","44.2","2.9","6.4","859"
"Brian Giles","Pirates","156","688","35","111","123","6","16.6%","10.0%",".279",".305",".315",".432",".594",".430","153","1.3","51.2","-5.7","6.3","990"
"Vladimir Guerrero","Expos","154","641","44","101","123","9","9.0%","11.5%",".319",".335",".345",".410",".664",".439","160","-2.7","49.2","-3.7","6.2","778"
"Jorge Posada","Yankees","151","624","28","92","86","2","17.1%","24.2%",".240",".355",".287",".417",".527",".405","140","-0.4","33.3","10.1","6.1","841"
"Chipper Jones","Braves","156","686","36","118","111","14","13.8%","9.3%",".256",".294",".311",".404",".566",".409","141","-0.3","37.9","3.4","6.0","97"
"Jeff Bagwell","Astros","159","719","47","152","132","9","14.9%","16.1%",".305",".313",".310",".424",".615",".435","153","-0.9","51.4","-11.8","5.9","547"
"Frank Thomas","White Sox","159","707","43","115","143","1","15.8%","13.3%",".297",".327",".328",".436",".625",".441","160","-1.1","56.3","-17.9","5.9","255"
"Mike Piazza","Mets","136","545","38","90","113","4","10.6%","12.7%",".290",".313",".324",".398",".614",".423","153","0.0","39.4","5.3","5.8","893"
"Sammy Sosa","Cubs","156","705","50","106","138","7","12.9%","23.8%",".315",".363",".320",".406",".634",".428","154","-0.4","51.1","-12.0","5.8","302"
"Ken Griffey Jr.","Reds","145","631","40","100","118","6","14.9%","18.5%",".285",".272",".271",".387",".556",".392","127","-0.6","22.8","13.1","5.4","327"
"Edgar Martinez","Mariners","153","665","37","100","145","3","14.4%","14.3%",".255",".331",".324",".423",".579",".424","154","0.7","49.5","-15.9","5.3","1086"
"Charles Johnson","- - -","128","478","31","76","91","2","10.9%","22.2%",".278",".338",".304",".379",".582",".407","141","0.5","27.3","12.0","5.3","523"
"David Justice","- - -","146","606","41","89","118","2","12.7%","15.0%",".298",".276",".286",".377",".584",".404","137","0.0","30.8","2.4","5.2","923"
"Roberto Alomar","Indians","155","697","19","111","89","39","9.2%","11.8%",".166",".330",".310",".378",".475",".371","114","6.1","18.9","9.2","5.0","860"
"Shannon Stewart","Blue Jays","136","631","21","107","69","20","5.9%","12.5%",".199",".339",".319",".363",".518",".378","119","1.8","18.2","11.0","4.9","1322"
"Bernie Williams","Yankees","141","616","30","108","121","13","11.5%","13.6%",".259",".317",".307",".391",".566",".403","138","0.4","32.5","-1.4","4.9","857"
"Manny Ramirez","Indians","118","532","38","92","122","1","16.2%","22.0%",".346",".403",".351",".457",".697",".477","181","-0.2","58.7","-24.8","4.8","210"
"Jason Kendall","Pirates","152","678","14","112","58","22","11.7%","11.7%",".150",".349",".320",".412",".470",".390","127","-1.0","24.0","5.0","4.8","993"
"Luis Gonzalez","Diamondbacks","162","722","31","106","114","2","10.8%","11.8%",".233",".313",".311",".392",".544",".397","131","-1.3","28.7","-2.4","4.7","55"
"Ivan Rodriguez","Rangers","91","389","27","66","83","5","4.9%","12.3%",".320",".337",".347",".375",".667",".428","149","-1.3","24.4","12.2","4.7","1275"
"Carl Everett","Red Sox","137","561","34","82","108","11","9.3%","20.1%",".286",".325",".300",".373",".587",".402","135","0.4","27.1","3.3","4.7","1249"
"Mark McGwire","Cardinals","89","321","32","60","73","1","23.7%","24.3%",".441",".313",".305",".483",".746",".494","195","0.3","41.9","-3.0","4.6","1008559"
"Phil Nevin","Padres","143","605","31","87","107","2","9.8%","20.0%",".240",".338",".303",".374",".543",".387","133","0.5","27.9","1.1","4.6","1049"
"Scott Rolen","Phillies","128","541","26","88","89","8","9.4%","18.3%",".253",".328",".298",".370",".551",".387","126","1.2","20.5","9.9","4.6","970"
"Travis Fryman","Indians","155","658","22","93","106","1","11.1%","16.9%",".195",".359",".321",".392",".516",".391","126","-0.2","23.4","2.2","4.6","385"
"Tim Salmon","Angels","158","680","34","108","97","0","15.3%","20.4%",".250",".330",".290",".404",".540",".406","138","-0.8","34.5","-10.1","4.5","32"
"Johnny Damon","Royals","159","741","16","136","88","46","8.8%","8.1%",".168",".335",".327",".382",".495",".377","115","5.2","19.8","1.4","4.5","185"
"Jose Valentin","White Sox","144","648","25","107","92","19","9.1%","16.4%",".218",".295",".273",".343",".491",".358","107","3.0","9.0","15.2","4.5","256"
"Geoff Jenkins","Brewers","135","564","34","100","94","11","5.9%","23.9%",".285",".349",".303",".360",".588",".396","132","1.8","26.3","2.2","4.5","690"
"Jim Thome","Indians","158","684","37","106","106","1","17.3%","25.0%",".262",".319",".269",".398",".531",".399","131","0.3","29.5","-7.1","4.4","409"
"Ellis Burks","Giants","122","458","24","74","96","5","12.2%","10.7%",".262",".338",".344",".419",".606",".430","158","0.6","36.5","-4.6","4.4","372"
"Jose Vidro","Expos","153","663","24","101","97","5","7.4%","10.4%",".210",".339",".330",".379",".540",".391","129","-0.8","25.4","-0.8","4.3","802"
"Bobby Higginson","Tigers","154","679","30","104","102","15","10.9%","14.6%",".238",".316",".300",".377",".538",".389","131","1.7","30.5","-8.5","4.3","469"
"Jermaine Dye","Royals","157","679","33","107","118","0","10.2%","14.6%",".240",".337",".321",".390",".561",".403","131","-0.4","28.3","-7.6","4.2","911"
"Damion Easley","Tigers","126","535","14","76","58","13","10.3%","14.8%",".157",".285",".259",".350",".416",".341","100","0.8","0.8","21.8","4.0","464"
"Brad Ausmus","Tigers","150","604","7","75","51","11","11.4%","13.1%",".099",".301",".266",".357",".365",".329","92","0.0","-6.2","25.5","3.9","546"
"Adrian Beltre","Dodgers","138","575","20","71","85","12","9.7%","13.9%",".184",".309",".290",".360",".475",".362","116","0.2","13.0","9.1","3.9","639"
"J.D. Drew","Cardinals","135","486","18","73","57","17","13.8%","20.4%",".184",".351",".295",".401",".479",".386","126","-0.7","16.7","7.0","3.8","1152"
"Will Clark","- - -","130","507","21","78","70","5","13.6%","13.6%",".227",".337",".319",".418",".546",".415","146","0.2","32.1","-9.3","3.8","1002318"
"Luis Castillo","Marlins","136","626","2","101","17","62","12.5%","13.7%",".054",".395",".334",".418",".388",".370","119","2.4","18.4","1.0","3.8","513"
"Sean Casey","Reds","133","545","20","69","85","1","9.5%","14.7%",".202",".339",".315",".385",".517",".387","124","0.3","18.1","2.7","3.7","314"
"Derek Jeter","Yankees","148","679","15","119","73","22","10.0%","14.6%",".142",".386",".339",".416",".481",".395","133","2.7","33.3","-16.4","3.7","826"
