"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Johan Santana","Twins","16","7","0","33","33","231.2","9.25","1.75","0.85",".262","76.3%","39.4%","8.4%","2.87","2.80","3.12","7.1","755"
"Dontrelle Willis","Marlins","22","10","0","34","34","236.1","6.47","2.09","0.42",".282","75.6%","44.6%","4.9%","2.63","2.99","3.68","6.5","1703"
"Chris Carpenter","Cardinals","21","5","0","33","33","241.2","7.93","1.90","0.67",".278","75.6%","54.5%","10.3%","2.83","2.90","2.93","6.3","1292"
"Pedro Martinez","Mets","15","8","0","31","31","217.0","8.63","1.95","0.79",".248","76.9%","37.8%","7.5%","2.82","2.95","3.42","6.1","200"
"Roy Oswalt","Astros","20","12","0","35","35","241.2","6.85","1.79","0.67",".302","78.2%","49.1%","8.3%","2.94","3.16","3.43","6.1","571"
"Roger Clemens","Astros","13","8","0","32","32","211.1","7.88","2.64","0.47",".243","82.3%","49.0%","6.4%","1.87","2.87","3.31","6.0","815"
"Mark Buehrle","White Sox","16","8","0","33","33","236.2","5.67","1.52","0.76",".290","72.3%","45.8%","8.0%","3.12","3.42","3.77","5.9","225"
"Andy Pettitte","Astros","17","9","0","33","33","222.1","6.92","1.66","0.69",".266","79.7%","50.2%","9.8%","2.39","3.07","3.15","5.8","840"
"Jake Peavy","Padres","13","7","0","30","30","203.0","9.58","2.22","0.80",".276","76.9%","44.0%","9.6%","2.88","2.89","3.00","5.4","1051"
"John Lackey","Angels","14","5","0","33","33","209.0","8.57","3.06","0.56",".326","75.4%","44.6%","6.6%","3.44","3.10","3.59","5.3","1507"
"John Smoltz","Braves","14","7","0","33","33","229.2","6.62","2.08","0.71",".278","75.8%","47.9%","8.7%","3.06","3.27","3.50","5.2","115"
"A.J. Burnett","Marlins","12","12","0","32","32","209.0","8.53","3.40","0.52",".298","68.3%","58.4%","9.4%","3.44","3.11","3.20","5.0","512"
"Brandon Webb","Diamondbacks","14","12","0","33","33","229.0","6.76","2.32","0.83",".302","73.7%","65.0%","18.8%","3.54","3.51","2.99","4.8","1692"
"Esteban Loaiza","Nationals","12","10","0","34","34","217.0","7.18","2.28","0.75",".316","74.1%","43.7%","8.0%","3.77","3.33","3.69","4.7","1310"
"Aaron Harang","Reds","11","13","0","32","32","211.2","6.93","2.17","0.94",".303","74.6%","39.3%","8.8%","3.83","3.67","3.94","4.6","1451"
"John Patterson","Nationals","9","7","0","31","31","198.1","8.39","2.95","0.86",".282","79.4%","30.2%","7.5%","3.13","3.46","3.98","4.3","71"
"Josh Beckett","Marlins","15","8","0","29","29","178.2","8.36","2.92","0.71",".287","72.1%","42.7%","8.2%","3.38","3.27","3.57","4.2","510"
"Carlos Zambrano","Cubs","14","6","0","33","33","223.1","8.14","3.47","0.85",".252","75.0%","50.0%","12.0%","3.26","3.70","3.55","4.2","305"
"Randy Johnson","Yankees","17","8","0","34","34","225.2","8.42","1.87","1.28",".283","74.1%","44.9%","13.1%","3.79","3.78","3.43","4.1","60"
"Bartolo Colon","Angels","21","8","0","33","33","222.2","6.35","1.74","1.05",".279","74.8%","41.2%","9.6%","3.48","3.75","3.91","4.1","375"
"Freddy Garcia","White Sox","14","8","0","33","33","228.0","5.76","2.37","1.03",".281","73.9%","48.8%","11.8%","3.87","4.05","3.91","4.0","1077"
"Cliff Lee","Indians","18","5","0","32","32","202.0","6.37","2.32","0.98",".277","72.0%","35.6%","7.9%","3.79","3.79","4.27","3.8","1636"
"Roy Halladay","Blue Jays","12","4","0","19","19","141.2","6.86","1.14","0.70",".262","81.5%","60.9%","12.4%","2.41","3.03","2.89","3.8","1303"
"Ben Sheets","Brewers","10","9","0","22","22","156.2","8.10","1.44","1.09",".276","72.3%","36.7%","10.1%","3.33","3.31","3.40","3.7","710"
"Dan Haren","Athletics","14","12","0","34","34","217.0","6.76","2.20","1.08",".287","72.5%","46.4%","12.3%","3.73","3.89","3.67","3.7","1757"
