Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
1,2009,NYY,AL,103,59,.636,162,6449,125,7,4,-24,-5,106,11.2,236,341,33.5,.506,.506,36.0,-2.5,365,$206330039
2,2008,LAA,AL,100,62,.617,162,6155,-48,4,-3,9,-6,-44,-2.9,229,185,19.1,.497,.497,17.5,1.6,176,$109716333
3,2005,STL,NL,100,62,.617,162,6246,-5,11,5,61,58,129,11.9,181,310,29.5,.506,.506,23.5,6.0,250,$91346833
4,2005,CHW,AL,99,63,.611,162,6146,-50,-5,-1,42,-5,-19,-1.9,228,209,20.0,.499,.499,16.1,4.0,167,$74860000
5,2008,CHC,NL,97,64,.602,161,6384,17,-3,2,-25,59,50,2.9,186,236,20.7,.502,.502,23.9,-2.9,261,$120345833
6,2009,LAA,AL,97,65,.599,162,6305,72,9,0,71,-5,147,15.3,232,379,37.3,.509,.509,30.4,7.1,308,$118169000
7,2008,TBR,AL,97,65,.599,162,6312,20,1,5,23,-8,41,5.8,230,271,27.9,.502,.502,24.9,2.7,248,$44569897
8,2006,NYM,NL,97,65,.599,162,6291,-7,13,0,34,63,104,8.7,184,288,26.3,.504,.504,23.1,3.4,254,$101251963
9,2006,NYY,AL,97,65,.599,162,6455,105,7,4,-55,-6,55,5.9,235,290,28.5,.503,.503,33.9,-5.5,345,$186663079
10,2007,BOS,AL,96,66,.593,162,6426,56,2,-1,10,-6,60,6.4,238,299,29.0,.503,.503,28.2,0.8,289,$133526214
11,2007,CLE,AL,96,66,.593,162,6367,6,-3,4,1,-5,3,0.8,235,238,23.1,.500,.500,23.1,0.0,237,$61289667
12,2006,MIN,AL,96,66,.593,162,6228,6,3,-1,12,-6,14,2.0,229,243,23.9,.501,.501,22.9,1.1,232,$63069006
13,2009,BOS,AL,95,67,.586,162,6344,62,3,-4,-18,-4,39,4.6,233,272,26.6,.502,.502,28.5,-1.6,290,$125009499
14,2009,LAD,NL,95,67,.586,162,6385,41,2,0,14,60,118,11.0,187,304,29.3,.505,.505,27.8,1.8,290,$101711592
15,2008,BOS,AL,95,67,.586,162,6402,51,-2,-2,21,-6,62,7.9,235,297,30.5,.504,.504,27.7,2.7,276,$125390035
16,2006,DET,AL,95,67,.586,162,6198,3,-3,-3,39,-5,32,3.8,229,261,25.8,.502,.502,22.1,3.8,222,$76282866
17,2005,BOS,AL,95,67,.586,162,6403,107,1,2,-22,-6,82,8.2,233,315,30.6,.505,.505,33.0,-2.5,337,$123505125
18,2005,LAA,AL,95,67,.586,162,6186,-30,6,1,43,-5,16,1.6,228,244,23.5,.501,.501,19.4,4.2,201,$84400322
19,2005,NYY,AL,95,67,.586,162,6406,146,3,7,-109,-7,40,3.7,234,273,26.2,.502,.502,37.3,-11.2,382,$208306817
20,2007,LAA,AL,94,68,.580,162,6198,-10,2,4,5,-6,-4,0.0,229,225,21.8,.500,.500,21.3,0.4,220,$108868833
21,2007,NYY,AL,94,68,.580,162,6528,153,10,15,-15,-4,159,15.8,239,398,38.5,.509,.509,40.0,-1.4,412,$206659045
22,2009,PHI,NL,93,69,.574,162,6338,29,5,5,17,61,117,10.8,183,299,28.7,.505,.505,26.9,2.0,282,$114679046
23,2006,OAK,AL,93,69,.574,162,6281,-14,-8,-7,2,-7,-33,-2.5,232,199,19.8,.498,.498,19.7,0.0,197,$64843079
24,2005,CLE,AL,93,69,.574,162,6255,94,0,0,51,-4,141,14.1,231,372,36.2,.509,.509,31.3,5.1,321,$41186000
25,2009,COL,NL,92,70,.568,162,6241,-33,0,-2,7,58,29,2.0,183,213,20.0,.501,.501,19.1,0.8,206,$72835200
26,2008,PHI,NL,92,70,.568,162,6273,-19,16,3,74,57,131,11.1,183,314,28.6,.506,.506,21.9,6.9,240,$94302380
27,2009,STL,NL,91,71,.562,162,6168,-17,7,0,23,61,75,6.5,180,255,24.2,.503,.503,21.6,2.8,232,$90128409
28,2008,MIL,NL,90,72,.556,162,6252,-2,2,4,38,61,103,8.4,184,286,26.0,.505,.505,22.9,3.6,248,$76687499
29,2007,ARI,NL,90,72,.556,162,6101,-147,4,-4,35,60,-54,-6.5,179,126,10.5,.498,.498,7.3,3.4,90,$52067546
30,2006,CHW,AL,90,72,.556,162,6318,31,-16,0,-36,-7,-28,-2.0,233,205,20.3,.498,.498,23.8,-3.6,241,$102750667
