Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
1,2018,BOS,AL,108,54,0.667,162,6302,97,6,-4,-53,-3,43,6.3,222,265,27.5,0.502,0.502,31.5,-3.8,318,"$177,730,000 "
2,2019,HOU,AL,107,55,0.66,162,6394,151,-5,-7,58,-5,191,20.3,225,416,41.6,0.511,0.511,34.7,6.8,358,"$161,942,500 "
3,2019,LAD,NL,106,56,0.654,162,6282,86,5,1,66,60,219,19.1,192,411,37.9,0.509,0.509,33,4.8,345,"$166,203,333 "
4,2017,LAD,NL,104,58,0.642,162,6191,26,0,-2,52,59,134,12.4,190,325,30.8,0.506,0.506,25.6,5.4,273,"$176,619,596 "
5,2016,CHC,NL,103,58,0.64,162,6335,32,2,9,71,63,176,16.5,189,365,34.8,0.508,0.508,27.7,7.2,294,"$174,554,333 "
6,2019,NYY,AL,103,59,0.636,162,6245,141,-5,-1,7,-3,139,15.4,220,359,36.3,0.508,0.508,34.4,1.9,353,"$205,999,564 "
7,2018,HOU,AL,103,59,0.636,162,6146,70,-4,-12,1,-6,49,7.2,217,267,27.8,0.503,0.503,26.4,1.3,265,"$170,224,800 "
8,2017,CLE,AL,102,60,0.63,162,6234,25,10,3,24,-5,57,6.2,221,278,27.5,0.503,0.503,25.2,2.2,254,"$113,888,067 "
9,2019,MIN,AL,101,61,0.623,162,6392,134,-10,5,-13,-4,112,12.9,225,337,34.2,0.506,0.506,34.2,0,350,"$104,498,333 "
10,2017,HOU,AL,101,61,0.623,162,6271,190,-6,-5,-19,-6,154,15.7,221,375,37,0.509,0.509,39.1,-2.4,394,"$155,656,400 "
11,2018,NYY,AL,100,62,0.617,162,6271,59,8,5,-11,-2,59,8.3,221,280,29.4,0.504,0.504,29.1,0.5,291,"$128,919,725 "
12,2015,STL,NL,100,62,0.617,162,6139,-45,-4,6,20,56,33,1.9,187,220,20.3,0.502,0.502,18.4,2,200,"$128,241,500 "
13,2015,PIT,NL,98,64,0.605,162,6285,-24,-2,4,9,54,41,2.8,192,233,21.6,0.502,0.502,20.9,0.8,224,"$102,892,499 "
14,2019,ATL,NL,97,65,0.599,162,6302,-9,5,3,20,59,77,4.9,189,267,23.4,0.503,0.503,23.2,0.5,247,"$130,561,667 "
15,2019,OAK,AL,97,65,0.599,162,6269,72,3,-5,37,-3,104,11.8,221,325,32.8,0.506,0.506,27.9,4.9,288,"$101,610,833 "
16,2018,OAK,AL,97,65,0.599,162,6255,73,-1,-9,27,-4,86,11.2,222,308,32.3,0.505,0.505,28.1,4.3,281,"$59,580,833 "
17,2017,WSN,NL,97,65,0.599,162,6214,-15,2,-1,-17,61,28,1.6,188,217,19.8,0.501,0.501,21.6,-1.7,234,"$175,487,301 "
18,2015,CHC,NL,97,65,0.599,162,6200,-16,4,6,7,60,61,4.9,187,248,23.1,0.503,0.503,22.6,0.7,241,"$114,306,610 "
19,2019,TBR,AL,96,66,0.593,162,6285,12,-5,10,28,-3,42,6.1,223,265,27.1,0.502,0.502,23.2,4.1,237,"$55,971,767 "
20,2018,MIL,NL,96,67,0.589,163,6210,-2,4,2,82,51,138,12,190,328,30.7,0.506,0.506,23.1,7.5,246,"$102,430,700 "
21,2016,TEX,AL,95,67,0.586,162,6089,-26,-3,3,3,-8,-31,-2.2,217,186,18.9,0.498,0.498,18.6,0.1,183,"$182,632,760 "
22,2016,WSN,NL,95,67,0.586,162,6201,-45,5,4,-8,61,18,-0.1,189,206,18.2,0.501,0.501,19.4,-0.9,214,"$152,448,000 "
23,2015,KCR,AL,95,67,0.586,162,6116,-22,8,-1,44,-3,27,4,216,244,25.1,0.502,0.502,20.5,4.9,200,"$119,607,025 "
24,2016,CLE,AL,94,67,0.584,161,6155,-24,18,-4,15,-4,1,1.1,218,218,22.3,0.5,0.5,20.7,1.7,203,"$94,511,067 "
25,2018,CHC,NL,95,68,0.583,163,6369,-49,2,8,51,57,69,4.9,195,264,24,0.503,0.503,19.7,4.3,213,"$202,373,881 "
26,2019,CLE,AL,93,69,0.574,162,6124,-51,7,-1,39,-5,-11,0.9,217,206,21.4,0.499,0.499,16.4,5,167,"$121,390,783 "
27,2019,WSN,NL,93,69,0.574,162,6267,0,7,-3,1,64,69,4.1,188,257,22.4,0.503,0.503,24,-1.1,256,"$201,239,733 "
28,2017,ARI,NL,93,69,0.574,162,6224,-53,11,5,8,60,32,2.1,190,222,20.4,0.501,0.501,19.6,0.9,214,"$106,042,000 "
29,2017,BOS,AL,93,69,0.574,162,6338,-67,6,2,44,-3,-18,-1.2,222,205,20.2,0.499,0.499,15.9,4.4,161,"$176,229,750 "
30,2016,BOS,AL,93,69,0.574,162,6320,96,9,3,51,-3,157,17.2,220,377,38.7,0.51,0.51,33.3,5.5,326,"$209,143,250 "
31,2015,TOR,AL,93,69,0.574,162,6232,105,8,-6,13,-3,118,13.8,219,337,35.1,0.507,0.507,33.7,1.6,324,"$114,917,400 "
32,2017,CHC,NL,92,70,0.568,162,6283,-1,-4,5,33,60,93,8.4,191,284,26.8,0.504,0.504,23.4,3.5,251,"$177,210,667 "
33,2015,LAD,NL,92,70,0.568,162,6090,39,-18,-3,2,53,72,6.1,187,259,24.3,0.503,0.503,24.4,-0.2,256,"$227,292,429 "
34,2018,LAD,NL,92,71,0.564,163,6358,76,17,-1,16,56,163,14.8,195,359,34.1,0.507,0.507,33.6,0.4,343,"$156,203,429 "
35,2019,STL,NL,91,71,0.562,162,6167,-44,12,1,55,56,80,5.4,190,270,24,0.503,0.503,20.2,4.1,215,"$152,815,167 "
36,2018,CLE,AL,91,71,0.562,162,6300,39,14,2,3,-5,53,7.7,220,274,28.6,0.503,0.503,26.9,1.7,271,"$133,085,233 "
37,2017,NYY,AL,91,71,0.562,162,6354,61,2,1,11,-3,73,7.7,225,297,29.4,0.504,0.504,28.4,1,286,"$182,424,700 "
38,2016,LAD,NL,91,71,0.562,162,6164,-26,5,0,24,50,53,3.8,189,243,22.1,0.502,0.502,20,2.1,219,"$219,332,096 "
39,2018,COL,NL,91,72,0.558,163,6178,-76,3,-1,-20,59,-35,-6.3,186,151,12.1,0.498,0.498,15.4,-3.1,172,"$135,498,500 "
40,2018,ATL,NL,90,72,0.556,162,6251,-8,4,1,50,60,108,8.9,189,297,27.6,0.505,0.505,23.4,4.5,247,"$83,671,667 "
41,2018,TBR,AL,90,72,0.556,162,6195,38,-6,3,25,-5,56,8,221,277,29,0.503,0.503,25.1,3.9,252,"$35,211,667 "
42,2015,NYM,NL,90,72,0.556,162,6145,-22,-1,-4,-13,57,17,0.3,187,204,18.5,0.501,0.501,20.2,-1.4,217,"$97,292,098 "
43,2019,MIL,NL,89,73,0.549,162,6309,-31,3,-5,34,53,54,2.5,195,249,21.5,0.502,0.502,19.9,2,215,"$120,934,500 "
44,2018,SEA,AL,89,73,0.549,162,6087,10,-3,-3,-18,-5,-19,0.3,216,197,20.8,0.499,0.499,21.3,-0.5,215,"$141,040,065 "
45,2016,BAL,AL,89,73,0.549,162,6089,5,-2,-3,-18,-5,-23,-1.3,215,193,19.7,0.499,0.499,21.5,-1.9,210,"$152,714,833 "
46,2016,TOR,AL,89,73,0.549,162,6233,14,-1,-13,23,-2,20,3.1,219,240,24.4,0.501,0.501,21.9,2.6,216,"$182,175,767 "
47,2018,STL,NL,88,74,0.543,162,6200,-14,-5,6,39,55,81,6.2,190,271,24.9,0.504,0.504,21.9,3.1,232,"$155,113,667 "
48,2015,TEX,AL,88,74,0.543,162,6187,-10,12,3,5,-8,2,1.5,219,222,22.9,0.5,0.5,22.3,0.2,216,"$167,242,789 "
49,2017,COL,NL,87,75,0.537,162,6201,-88,3,-5,11,60,-19,-3.2,187,169,14.9,0.499,0.499,13.9,1.3,157,"$101,113,000 "
50,2016,NYM,NL,87,75,0.537,162,6115,-26,-10,-4,-19,53,-7,-2.4,187,181,15.8,0.5,0.5,18.1,-2.3,199,"$154,675,032 "
51,2016,SFG,NL,87,75,0.537,162,6271,-22,-2,7,41,61,86,7.3,191,276,25.7,0.504,0.504,21.7,4.3,235,"$177,021,333 "
52,2015,NYY,AL,87,75,0.537,162,6268,17,-3,1,-37,-6,-27,-1.6,222,195,20,0.498,0.498,24.1,-4.2,232,"$214,051,957 "
