Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,playerId
"Shohei Ohtani","LAA","RHP","MLB",1,1,,"70",2018,"Low","23","6' 4""","203","L","R","J2 2017","Japan","i09-1XQIMtc","19755"
"Ronald Acuna Jr.","ATL","CF","MLB",2,1,,"65",2018,"Low","19","6' 0""","180","R","R","J2 2014","Venezuela","jM2RtuJ_TJM","18401"
"Vladimir Guerrero Jr.","TOR","1B","MLB",3,1,,"65",2019,"Low","18","6' 1""","215","R","R","J2 2015","Dominican Republic","0pq1nJRuxC4","19611"
"Victor Robles","WSN","CF","MLB",4,1,,"65",2018,"Low","20","6' 0""","185","R","R","J2 2013","Dominican Republic","3VwXSd7XgXo","18363"
"Fernando Tatis Jr.","SDP","3B","MLB",5,1,,"65",2019,"Medium","19","6' 3""","185","R","R","J2 2015","Dominican Republic","f-7iDniIWf0","19709"
"Eloy Jimenez","CHW","RF","MLB",6,1,,"65",2019,"Medium","21","6' 4""","225","R","R","J2 2013","Dominican Republic","qzcfGawJz30","17484"
"Nick Senzel","CIN","3B","MLB",7,1,,"60",2018,"Low","22","6' 1""","205","R","R","1st rd 2016","Tennessee","1Jkza_J-9MU","19293"
"Forrest Whitley","HOU","RHP","AA",8,1,,"60",2018,"Medium","20","6' 7""","230","R","R","1st rd 2016","Alamo Heights HS (TX)","3dPGupFsWFY","sa917930"
"Bo Bichette","TOR","2B","MLB",9,2,,"60",2019,"Medium","19","6' 0""","200","R","R","2nd rd 2016","Lakewood HS (FL)","lRUNUyhGHkM","19612"
"Kyle Tucker","HOU","RF","MLB",10,2,,"60",2019,"Low","21","6' 4""","200","L","R","1st rd 2015","Plant HS (FL)","z84M9j2JoEc","18345"
"Willy Adames","TBR","SS","MLB",11,1,,"60",2018,"Low","22","6' 1""","180","R","R","J2 2012","Dominican Republic","b0XEzkgl-EQ","15986"
"Gleyber Torres","NYY","SS","MLB",12,1,,"60",2018,"Low","21","6' 1""","185","R","R","J2 2013","Venezuela","1lExH63k6Rw","16997"
"Lewis Brinson","MIA","CF","MLB",13,1,,"60",2018,"Medium","23","6' 3""","195","R","R","1st rd 2012","Coral Springs HS (FL)","RR-tHu3R4Ak","14352"
"Miguel Andujar","NYY","3B","MLB",14,2,,"60",2018,"Medium","23","6' 0""","175","R","R","J2 2011","Dominican Republic","vbirQSL9Q8s","15878"
"Brent Honeywell Jr.","TBR","RHP",,15,2,,"60",2018,"Low","22","6' 2""","180","R","R","2nd rd 2014","Walters State JC (TN)","JC3Vetq_eAA","sa828706"
"Alex Reyes","STL","RHP",,16,1,,"60",2018,"Medium","23","6' 3""","230","R","R","J2 2012","Dominican Republic","Z_2KQ7Utxy4","15015"
"Francisco Mejia","CLE","C/3B","MLB",17,1,,"60",2019,"High","22","5' 10""","175","S","R","J2 2012","Dominican Republic","zjm3SlBQSVM","16403"
"Brendan Rodgers","COL","SS","MLB",18,1,,"60",2019,"Medium","21","6' 0""","180","R","R","1st rd 2015","Lake Mary HS (FL)","8R3NqST3CPs","17907"
"Sixto Sanchez","PHI","RHP","AA",19,1,,"60",2020,"Medium","19","6' 0""","185","R","R","J2 2014","Dominican Republic","","sa873550"
"Michael Kopech","CHW","RHP",,20,2,,"60",2019,"Medium","21","6' 3""","195","R","R","1st rd 2014","Mt. Pleasant HS (TX)","JXUYoulUEo8","17282"
"Luis Robert","CHW","CF","AAA",21,3,,"60",2020,"High","20","6' 3""","185","R","R","J2 2017","Cuba","aWdIPdVRkok","sa3003396"
"Brendan McKay","TBR","LHP/1B",,22,3,,"60",2019,"Medium","22","6' 2""","212","L","L","1st rd 2017","Louisville","eml6BjjTDJg","20186"
"Mitch Keller","PIT","RHP","MLB",23,1,,"60",2019,"Medium","21","6' 3""","195","R","R","2nd rd 2014","Xavier HS (IA)","BbF8a3acDUU","17594"
"Keston Hiura","MIL","2B","MLB",24,1,,"55",2019,"Medium","21","5' 11""","190","R","R","1st rd 2017","UC Irvine","wgVOB9lK0Z8","20003"
"Scott Kingery","PHI","2B","MLB",25,2,,"55",2018,"Low","23","5' 10""","180","R","R","2nd rd 2015","Arizona","XOACy9fjCWs","17975"
"Kyle Wright","ATL","RHP",,26,2,,"55",2018,"Medium","22","6' 4""","200","R","R","1st rd 2017","Vanderbilt","yO8JA8nXzL4","sa293098"
"Walker Buehler","LAD","RHP","MLB",27,1,,"55",2018,"Medium","23","6' 2""","175","R","R","1st rd 2015","Vanderbilt","VnQHWGCjfxM","19374"
"Luis Urias","SDP","2B","MLB",28,2,,"55",2018,"Low","20","5' 9""","160","R","R","J2 2013","Mexico","euhgiB0OSV4","16622"
"J.P. Crawford","PHI","SS","MLB",29,3,,"55",2018,"Low","23","6' 2""","180","L","R","1st rd 2013","Lakewood HS (CA)","3LZkPwA2Qd4","15491"
"A.J. Puk","OAK","LHP","MLB",30,1,,"55",2018,"Medium","22","6' 7""","230","L","L","1st rd 2016","Florida","dF78XZniyhY","19343"
"Luiz Gohara","ATL","LHP","-1",31,3,,"55",2018,"Medium","20","6' 3""","240","L","L","J2 2012","Brazil","aIq9ta-DzXQ","15166"
"Franklin Barreto","OAK","CF","MLB",32,2,,"55",2018,"Medium","21","5' 9""","190","R","R","J2 2012","Venezuela","KuHQqKfcO_I","15519"
"MacKenzie Gore","SDP","LHP",,33,3,,"55",2020,"Medium","18","6' 3""","180","L","L","1st rd 2017","Whiteville HS (NC)","JLkZukR_QSI","sa3005068"
"Mike Soroka","ATL","RHP","MLB",34,4,,"55",2018,"Low","19","6' 4""","210","R","R","1st rd 2015","Bishop Carroll HS (CAN)","LozVLyAQ3qs","18383"
"Corbin Burnes","MIL","RHP","MLB",35,2,,"55",2019,"Medium","23","6' 3""","205","R","R","4th rd 2016","St. Mary's","2hV-kZ5zxdk","19361"
"Anthony Alford","TOR","CF","MLB",36,3,,"55",2018,"Medium","22","6' 1""","215","R","R","3rd rd 2012","Petal HS (MS)","lU6bw7GGXcs","14329"
"Cristian Pache","ATL","CF",,37,5,,"55",2020,"High","18","6' 2""","185","R","R","J2 2015","Dominican Republic","TTrN1fNVTzI","sa916722"
"Royce Lewis","MIN","CF","AA",38,1,,"55",2020,"High","18","6' 2""","188","R","R","1st rd 2017","JSerra HS (CA)","IRGoLxDpn0U","sa3004259"
"Justus Sheffield","NYY","LHP","MLB",39,3,,"55",2018,"Low","21","5' 10""","195","L","L","1st rd 2014","Tullahoma HS (TN)","tW5B2GiJG4k","17285"
"Carter Kieboom","WSN","3B","MLB",40,2,,"55",2021,"Medium","20","6' 2""","190","R","R","1st rd 2016","Walton HS (GA)","bIz5j-OJPrY","19958"
"Michel Baez","SDP","RHP","MLB",41,4,,"55",2020,"High","22","6' 8""","220","R","R","J2 2016","Cuba","m34Pztbm-4k","20100"
"Hunter Greene","CIN","RHP","A+",42,2,,"55",2021,"High","18","6' 4""","197","R","R","1st rd 2017","Notre Dame HS (CA)","tKAAzmpe180","sa3005315"
"Jake Bauers","TBR","RF","MLB",43,4,,"50",2018,"Low","22","6' 1""","200","L","L","7th rd 2013","Marina HS (CA)","RIpGBoPaobE","15194"
"Yordan Alvarez","HOU","LF","MLB",44,3,,"50",2020,"Medium","20","6' 5""","225","L","L","J2 2017","Cuba","tkkmkG5q82o","19556"
"Ian Anderson","ATL","RHP","AAA",45,6,,"50",2020,"Medium","18","6' 3""","170","R","R","1st rd 2016","Shenendowa HS (NY)","HxXHHVrAXyQ","sa917921"
"Willie Calhoun","TEX","DH","MLB",46,1,,"50",2018,"Low","23","5' 9""","210","S","R","4th rd 2015","Yavapai JC (AZ)","OG7XMXYBi4g","17838"
"Austin Meadows","PIT","OF","MLB",47,2,,"50",2018,"Low","22","6' 3""","200","L","L","1st rd 2013","Grayson HS (GA)","DGW11I8agcw","15672"
"Alex Verdugo","LAD","RF","MLB",48,2,,"50",2018,"Low","21","6' 0""","205","L","L","2nd rd 2014","Sahuaro HS (AZ)","mRH_od9cYyw","17027"
"Jesus Sanchez","TBR","RF","AAA",49,5,,"50",2020,"High","20","6' 2""","185","L","R","J2 2014","Dominican Republic","Ybem0ytsehY","sa872787"
"Juan Soto","WSN","OF","MLB",50,3,,"50",2020,"Medium","19","6' 1""","190","L","L","J2 2015","Dominican Republic","Uu0OZm4SJ9Q","20123"
