Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name
1,Ronald Acuna Jr.\acunaro01,20.128,Apr 25,,78/9HD,ATL,9.9,6-0,205,R,R,Dec 18 1997,La Guaira Vargas VE,Signed by the Atlanta Braves as an amateur free agent in 2014.,,,Ronald Jose
2,Jason Adam\adamja01,26.274,May 5,,1,KCR,0.3,6-4,225,R,R,Aug 4 1991,Omaha NE US,Drafted by the Kansas City Royals in the 5th round of the 2010 amateur draft. Player signed August 16 2010.,,Blue Valley Northwest HS (Overland Park KS),Jason Kendall
3,Willy Adames\adamewi01,22.262,May 22,,64/H,TBR,5.6,6-0,205,R,R,Sep 2 1995,Santiago Santiago DO,Signed by the Detroit Tigers as an amateur free agent in 2012.,,,Willy Rafael
4,Chance Adams\adamsch01,23.359,Aug 4,,/1,NYY,-0.9,6-1,225,R,R,Aug 10 1994,Scottsdale AZ US,Drafted by the New York Yankees in the 5th round of the 2015 amateur draft. Player signed June 12 2015.,Dallas Baptist University (Dallas TX),Chaparral HS (Scottsdale AZ),Chance
5,Kolby Allard\allarko01,20.352,Jul 31,,/1,ATL,0.6,6-1,190,L,L,Aug 13 1997,Anaheim CA US,Drafted by the Atlanta Braves in the 1st round (14th pick) of the 2015 amateur draft. Player signed July 13 2015.,,San Clemente HS (San Clemente CA),Kolby Kenneth
6,Yency Almonte\almonye01,24.017,Jun 21,,1,COL,0.5,6-5,217,B,R,Jun 4 1994,Miami FL US,Drafted by the Los Angeles Angels of Anaheim in the 17th round of the 2012 amateur draft. Player signed July 9 2012.,,Christopher Columbus HS (Miami FL),Yency
7,Justin Anderson\anderju01,25.207,Apr 23,,1,LAA,0.1,6-3,230,L,R,Sep 28 1992,Houston TX US,Drafted by the Los Angeles Angels of Anaheim in the 14th round of the 2014 amateur draft. Player signed June 10 2014.,University of Texas at San Antonio (San Antonio TX),St. Pius X HS (Houston TX),Justin Charles
8,Tanner Anderson\anderta01,25.036,Jul 2,,/1,PIT,-0.6,6-2,203,R,R,May 27 1993,Boynton Beach FL US,Drafted by the Pittsburgh Pirates in the 20th round of the 2015 amateur draft. Player signed June 16 2015.,Harvard University (Cambridge MA),,Tanner Ackley
9,John Andreoli\andrejo03,27.348,May 23,Sep 29 2018,/D7H9,SEA,0.0,6-1,215,R,R,Jun 9 1990,Worcester MA US,Drafted by the Chicago Cubs in the 17th round of the 2011 amateur draft. Player signed August 13 2011.,University of Connecticut (Storrs CT),St. John's HS (Shrewsbury MA),John Francis
10,Aristides Aquino\aquinar01,24.119,Aug 19,,/H9,CIN,1.3,6-4,220,R,R,Apr 22 1994,Santo Domingo Distrito Nacional DO,Signed by the Cincinnati Reds as an amateur free agent in 2011.,,,Aristides
11,Pedro Araujo\araujpe01,24.272,Mar 31,,1,BAL,-0.5,6-3,215,R,R,Jul 2 1993,San Cristobal San Cristobal DO,Signed by the Chicago Cubs as an amateur free agent in 2011.,,,Pedro
12,Francisco Arcia\arciafr01,28.315,Jul 26,Sep 30 2018,2/H13D,LAA,0.0,5-11,200,L,R,Sep 14 1989,Maiquetia Vargas VE,Signed by the New York Yankees as an amateur free agent in 2006.,,,Francisco Antonio
13,Willians Astudillo\astudwi01,26.259,Jun 30,,2/5D4871H,MIN,0.7,5-9,225,R,R,Oct 14 1991,Barcelona Anzoategui VE,Signed by the Philadelphia Phillies as an amateur free agent in 2008.,,,Willians Jose
14,Abiatal Avelino\aveliab01,23.206,Sep 8,,/6H4,SFG,0.1,5-11,210,R,R,Feb 14 1995,San Pedro de Macoris San Pedro de Macoris DO,Signed by the New York Yankees as an amateur free agent in 2011.,,,Abiatal
15,Sandy Baez\baezsa01,24.191,Jun 4,,/1,DET,-0.2,6-2,245,R,R,Nov 25 1993,Juan Baron San Cristobal DO,Signed by the Detroit Tigers as an amateur free agent in 2011.,,,Sandy
16,Luke Bard\bardlu01,27.138,Mar 31,,/1,LAA,0.2,6-3,200,R,R,Nov 13 1990,Charlotte NC US,Drafted by the Minnesota Twins in the 1st round (42nd pick) of the 2012 amateur draft. Player signed June 20 2012.,Georgia Institute of Technology (Atlanta GA),Charlotte Christian HS (Charlotte NC),Luke Francis
17,Scott Barlow\barlosc01,25.133,Apr 30,,/1,KCR,1.1,6-3,215,R,R,Dec 18 1992,New London CT US,Drafted by the Los Angeles Dodgers in the 6th round of the 2011 amateur draft. Player signed August 8 2011.,,Golden Valley HS (Santa Clarita CA),Scott A.
