Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Vladimir Guerrero Jr.","TOR","3B","MLB",1,1,,"70",2019,"Med","21.2361111","6' 1""","240","R","R","2015 J2 (TOR)","Dominican Republic","The best prospect in baseball, Guerrero hit a superhuman .381/.437/.636 across 95 games (mostly at Double and Triple-A) despite being about six years younger than the other athletes in the Eastern and International Leagues. The ball doesn't just sound different off of his bat; when he really lays into one, you can feel a thump inside your chest as if someone set off a firework at home plate. It’s explosive, beautiful, and paradoxically violent considering that Vladimir is so childlike in his shape and demeanor. He plays with a vivacious enthusiasm, totally unashamed of his own at times bizarre mannerisms, as if the way he feels when playing elite pro baseball is how most of us did with a wiffle ball in our hands during adolescence. (Late during Fall League, he was cranky and petulant with umpires.) 
But his is not a childlike stature. His listed 6-foot-1, 200 pounds is a farce, and on the few occasions that Guerrero and Peter Alonso (who is listed at 6-foot-3, 245) were standing near one another during Fall League, Vlad was clearly the larger human being. While he reaches an almost shocking top speed on the bases given his size, Guerrero does have lateral mobility issues that impact his range at third base. He is very likely to move to first base or DH at some point in his early 20s, but leaving him at third, even if he's not very good there, might help motivate him to keep his weight in check for as long as possible, something that could be more important than the quality of his play in the field since Vlad had knee issues during the 2018 season. 
Really though, it matters very little where he ends up playing. This is the best hitter in the minors and the stick will play anywhere. For at least two years now people around baseball, including the late Mel Didier, swore that Guerrero would be ready for and competing in the majors before he turned 20. Toronto's desire to maintain control of his talent for as long as possible scuttled that notion late last summer when they chose not to promote him, and Vlad will turn 20 in March before this season even starts. He should be up early this year, and immediately become one of the game's most exciting, productive hitters. He is the cornerstone of the Blue Jays franchise, and perhaps a cornerstone of our sport.","0pq1nJRuxC4","19611"
"Wander Franco","TBR","SS","A+",2,1,,"65",2021,"High","19.2777777","5' 10""","190","S","R","2017 J2 (TBR)","Dominican Republic","Franco was identified as a top tier player in his age group as early as 12 or 13, and was seen regularly by scouts by age 14. Sometimes, precocious prospects are workout warriors or have early physical peaks, but Franco isn't either of those. He essentially hasn't failed on a baseball field in any meaningful way since puberty, with his success punctuated by a 2018 pro debut in which he outpaced the game's most recent phenom, No. 1 overall prospect Vladimir Guerrero, Jr., in just about every way, at the same level, at the same age. Franco signed for the largest bonus in the 2017 July 2nd class ($3.825 million) and was seen as the best player in the class by a good margin. There were some questions about his occasionally disinterested style of play as an amateur, but he likely already had a deal done and didn't have anything to play for in later workouts. He's literally always been the best player on any field he's been on, usually by a lot. The raw tools are accordingly loud, and match his stats: at least a plus hit tool with explosive bat speed, elite bat and body control, and an advanced sense of the zone to go along with plus raw power, plus speed, a plus arm, and a real chance to stick at shortstop. Franco is about as close as you'll see to a perfect prospect at this point, with questions only arising if you really nitpick -- the main one being that Franco isn't tall -- but he already has huge power, so it matters less that he isn't physically projectable. The Rays have indicated they will start Franco at Low-A in 2019 and, so long as he keeps performing, keep pushing him until he's challenged so he can experience adversity before he reaches the big leagues. It wouldn't surprise us to see Franco move across multiple levels, but we wouldn't expect a Juan Soto-esque pace of promotion, and a 2019 MLB debut seems incredibly unlikely, given the Rays' upper-level infield glut and the service time implications. Rays officials have likened their immediate impression of Franco, as a player and person, to Evan Longoria. Teammates respond to him, and there isn't even a whiff of the makeup concern some scouts conjured up as an amateur. Franco seems to be the sole author of his potential at this point.","OsxMtDgMaI0","sa3007033"
"Fernando Tatis Jr.","SDP","SS","MLB",3,1,,"65",2019,"High","21.4416666","6' 3""","185","R","R","2015 J2 (CHW)","Dominican Republic","Though his numbers were mostly the same as they were during a very impressive 2018 at Double-A San Antonio (.286/.355/.507, 16 HR, 16 SB), Tatis appeared to come of age during the offseason in the higher-stakes environment of the Dominican Winter League. Except for the sliver of our population who are both prospect hounds and savvy internet streamers, Tatis' LIDOM brilliance was mostly obscured from American eyes, and may one day exist only as an oral history, the way John Lucas and Bernard King's D.C. summer league cameos do for basketball fans today. 
Nevertheless, MLB scouts and teams are well-aware of Tatis' all-world physical gifts, but the Padres knew first. Scouted and snatched away from the Camelback Ranch backfields by A.J. Preller himself, Tatis had barely worn a White Sox uniform before he was flipped to San Diego for James Shields during 2016 Extended Spring. He wasn't a highly-regarded amateur prospect when he signed the year before the trade, but he got better very quickly and essentially hasn't stopped. He has Carlos Correa's frame, but is more agile and acrobatic a defender than Correa, and while there's some risk that Tatis will eventually fill out beyond viability at shortstop, it probably won't be for a while, and in the interim he's going to be quite good there. He also has power that is rare for the big leagues generally, let alone for a middle infielder, and he has gotten to it in games thus far despite some issues with strikeouts. There's a sizable gap between the low-end of Tatis' possible outcomes (he moves to third quickly and always has contact issues) and the high end (he becomes a plus glove at short and has an offensive trajectory like George Springer's, whose contact issues suddenly went away) but right tail outcomes like this barely exist across baseball. 
Strikeout-prone prospects often require some time to adjust and can take a little bit to perform, but we like Tatis' chances to become a superstar, the crest of the Padres' wave of young talent and a cornerstone of a burgeoning franchise.","f-7iDniIWf0","19709"
"Forrest Whitley","HOU","RHP","AA",4,1,,"65",2019,"High","22.7388888","6' 7""","225","R","R","2016 Draft Rnd 1 (HOU)","Alamo Heights HS (TX)","Whitley was listed at 235 pounds on the 2015 Area Code Games roster but was tipping the scales at 260 not long before that. At that event, he was sitting in the 90-92 range with feel for locating a solid-average curveball. He looked like a mature-bodied pitchability prospect whose stuff might be done improving. During that fall and winter, though, Whitley began to reshape his physique. He dropped about 50 pounds and came out the following spring with much better stuff, his fastball creeping into the 93-95 range and touching 97. 
Whitley and his stuff have continued to improve, though he had a somewhat chaotic 2018. He missed the season's first 50 games due to a suspension for the use of an unknown stimulant, then had his season debut pushed back due to a lat strain. He finally toed the rubber at Double-A Corpus Christi in June and made five four-inning starts before he was removed in the first inning of his sixth outing and placed on the IL with an oblique strain. He missed a little over a month, then made two more starts in August before feeling lat discomfort warming up for what would have been a third. He was shut down as a precaution and sent to the Arizona Fall League to pick up innings. 
His stuff was wholly intact in Arizona, as Whitley sat 93-97 and touched 99. His apparitional changeup haunts both left and right-handed hitters, disappearing beneath barrels as it approaches the plate. Whitley's array of breaking stuff is well-designed. His power 12-6 curveball honors his Texas heritage but has been de-emphasized as an out pitch in deference to his tilting, mid-80s slider. He has the best collection of stuff in the minor leagues, and might have been in the big leagues last year if not for various setbacks. He may be on somewhat of an innings limit this year because he didn't pitch all that much in 2018, but barring that, we expect he'll help the Astros cause at some point in 2019. ","5krfMUxyV_M","sa917930"
"Victor Robles","WSN","CF","MLB",5,1,,"65",2019,"Low","23.0611111","6' 0""","185","R","R","2013 J2 (WSN)","Dominican Republic","If not for a hyperextended elbow that shelved him for several months in 2018, Robles wouldn't be on this list. (The injury to Robles was also part of why Washington pushed Juan Soto along quickly.) In the 2017 Fall League (he missed some time that season due to hamstring tightness), he looked both readier and nearly as talented as fellow Fall Leaguer Ronald Acuña, and it seemed certain that he'd be up for good at some point the following spring. But in April an awkward dive on a shallow fly ball that most center fielders wouldn't even have sniffed at bent Robles' elbow backward and based on the way he writhed around in pain, the injury appeared catastrophic. X-rays were negative and an MRI showed no structural damage, but Robles didn't start swinging a bat for a month and a half and was out of game action for three. He spent July and August rehabbing before a great September in Washington, during which he slashed .288/.348/.525. This is a do-everything center fielder who glides from gap to gap, has runner-halting arm strength, and plus-plus speed that is aided by seemingly sixth-sense instincts on the bases. Robles has middling bat speed and doesn't generate huge exit velocity, but he has above-average hand-eye coordination, bat control, and pitch recognition, and a gap-to-gap approach that suits his speed. He'll slug on paper by turning the line drives he slaps into the gaps in to extra bases. Robles has slightly below-average plate discipline, which may dilute his production for a bit, but he projects as a 3-plus WAR center fielder with a skillset akin to Lorenzo Cain's, and he's big league ready right now.","3VwXSd7XgXo","18363"
"Royce Lewis","MIN","SS","AA",6,1,,"65",2020,"High","21.0166666","6' 2""","188","R","R","2017 Draft Rnd 1 (MIN)","JSerra HS (CA)","Lewis was on the scouting radar early in his high school career in southern California, starring for one of the top programs in the country and showing above average tools at an early stage. Toward the end of showcase season, scouts started throwing around Derek Jeter comparisons, saying that Lewis had a similar frame with chance for a 70 bat, 55 raw power, and the possibility to stick at shortstop with some work. Others saw closer to a 50 or 55 bat and a center fielder, and his draft spring was up-and-down, with scouts that charted all of his games reporting his hitting stats were not strong, though the tools were all still present. 
The Twins took him first overall and cut a below slot deal, as Lewis was seen as one of five options in a top tier of talent without a clear top prospect. Things have gone even better than expected for Lewis in pro ball, and he's hit above league average at every stop and reached High-A at age 19 while improving defensively at shortstop. Most scouts think he can stick there, which was not the case even a year ago, and one long-time scout even said Lewis is ahead of where Jeter was defensively at the same stage. We'll call it a 60 bat with 50 game power and 50 defense, but there's ceiling for more in here.","IRGoLxDpn0U","sa3004259"
"Nick Senzel","CIN","3B","MLB",7,1,,"60",2019,"Med","24.95","6' 1""","205","R","R","2016 Draft Rnd 1 (CIN)","Tennessee","Several freak injuries upended Senzel's 2018. He missed most of May battling vertigo symptoms for the second time in nine months (they first started in late August '17), then fractured a finger in late-June and missed the rest of the season. He was supposed to play in the Fall League, but a return of the left elbow pain he had played through during the year became severe enough that he needed an MRI, which revealed bone spurs. He had surgery and was shut down for the year. When Senzel did play, he was very good and slashed .310/.378/.509 in 44 games at Triple-A while playing second base for the first time in affiliated ball. Senzel's likely future defensive home is still to be determined. He wasn't a very good defensive third baseman early in college but became one as a junior. The presence of Eugenio Suarez led to reps at second base, and Scooter Gennett's emergence led to what was supposed to be reps in left and center field this fall before Senzel needed surgery. The departure of Billy Hamilton leaves an obvious hole that he could potentially fill, but he hasn't been seen playing center enough to know for sure. At the very least, he has stumbled into defensive versatility. Mostly though, Senzel hits. He doesn’t have monster raw power, nor does he seek to take max-effort swings by utilizing a big stride or leg kick. Instead, his power comes from precise, high-quality contact. He’s going to be a doubles machine with home runs coming opportunistically rather than playing core aspect of his approach, but he’ll still hit for power. He has the skills and polish of a near-ready star, and the injuries don't seem like they're going to be a chronic thing. ","1Jkza_J-9MU","19293"
"Eloy Jimenez","CHW","RF","MLB",8,1,,"60",2019,"High","23.5388888","6' 4""","225","R","R","2013 J2 (CHC)","Dominican Republic","Even before the White Sox acquired Jimenez from the Cubs in the Jose Quintana trade, he had dealt with a multitude of injuries. Hamstring and shoulder issues plagued him while he was still with the Cubs, and limited him to DH duty, or forced him to sit out for a few days at a time, or altogether kept rehabbing him on the Mesa backfields. He has continued to have various issues since the South Siders acquired him. In 2018 alone, Jimenez dealt with patella tendinitis during the early part of spring training, then was left back in extended due to a strained pec. He suffered a strained left adductor in July, and finally a quad strain this winter, which ended his Dominican Winter League season. 
But while Eloy has missed considerable time with injuries and sometimes played through them, he has mashed like few other players in the minors. He split 2018 between Double-A Birmingham and Triple-A Charlotte, slashing .337/.384/.577, his strikeout rate plummeting to 13% at the latter stop. Despite his limited speed and at-bats, he somehow managed to net 53 extra-base hits and seemed ready for a big league cup of coffee in September. The White Sox refused to brew him one, and Eloy's agent threatened to file a grievance against the club, an issue that was resolved during 2019 spring training with a record contract extension. He'll likely be up all year, and while we think there's a chance injury or a lack of mobility limit Eloy's ceiling the way flaws have similarly limited some of Chicago's other recent prospect graduates, we still think he'll hit enough to be a star.","rGa1I4XSrsE","17484"
"Bo Bichette","TOR","SS","MLB",9,2,,"60",2020,"High","22.2666666","6' 0""","200","R","R","2016 Draft Rnd 2 (TOR)","Lakewood HS (FL)","There's some contextual disappointment surrounding Bichette's 2018 statline because he didn't recreate his video game numbers from the year before, but he still netted an incredible 61 extra-base hits as a 20-year-old at Double-A. We remain skeptical of his long term viability at shortstop, where he continues to see most of his reps, but his arm is plus and teams are growing increasingly willing to put players with limited lateral quickness at short if it means shoehorning a special offensive talent into the position, and Bichette is one. 
Ultimately, it probably doesn't matter where he ends up playing defense because his bat is likely to profile. He has scintillating bat speed, and Bichette's hand-eye coordination and bat control are an effective foil for the garage band noisiness of his swing, which hasn't negatively impacted his ability to make contact in pro ball. Bichette ditches his leg kick with two strikes, something we're not certain is all that helpful based on visual evidence. Ideally, Bichette will start lifting the ball more often (he has a league-average ground ball rate right now) and turn some of these doubles into homers, but it's hard to justify making a change when he has been wildly successful so far. Status quo Bo is still a doubles machine who probably stays on the infield, and is a likely All-Star.","lRUNUyhGHkM","19612"
"Kyle Tucker","HOU","RF","MLB",10,2,,"60",2019,"Med","23.4","6' 4""","200","L","R","2015 Draft Rnd 1 (HOU)","Plant HS (FL)","A very divisive amateur prospect, some scouts were put off by Tucker's unique swing, while it reminded others of Ted Williams'. The Astros have parlayed his natural bat control into more power. Tucker has gotten stronger and more physically mature, his lower half is better incorporated into his swing than it was in high school, and in 2017, he began lifting the ball more as his ground ball rate dropped from 42% to 34%. With that additional lift has come in-game power and Tucker has slugged well over .500 during each of the last two seasons, and hit about 25 homers during each campaign. He had a horrendous 28-game big league debut but his long track record of hitting suggests that should be heavily discounted. 
Though Tucker spent much of his minor league career in center field, he's a below average runner who is ticketed for an outfield corner, probably in right. He's an opportunistic base stealer but almost all of his value is tied to his bat, and we think he eventually ends up as a middle of the order bat with a dynamic hit/power combination. 
There are still detractors who don't like Tucker's motor, or his swing, but on the low end he projects somewhere in the Max Kepler/Nomar Mazara area, and that still plays everyday.","z84M9j2JoEc","18345"
