,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,career,games,contracts,years,pitcher,start_ratio
0,Mike Trout\troutmi01,29,11,Amateur Draft,9.07,Craig Landis,12 yrs/$426.5M (19-30),$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,"[0.5, 10.5, 8.9, 7.7, 9.6, 10.5, 6.9, 9.9, 7.8, 1.8, 2.1]","[40.0, 139.0, 157.0, 157.0, 159.0, 159.0, 114.0, 140.0, 134.0, 53.0, 36.0]","[{'type': 'salary', 'value': 37116667.0}, {'type': 'salary', 'value': 37116666.0}, {'type': 'salary', 'value': 37116667.0}, {'type': 'salary', 'value': 37116667.0}, {'type': 'salary', 'value': 37116666.0}, {'type': 'salary', 'value': 37116667.0}, {'type': 'salary', 'value': 37116667.0}, {'type': 'salary', 'value': 37116666.0}, {'type': 'salary', 'value': 37116667.0}, {'type': 'salary', 'value': 37116667.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Anthony Rendon\rendoan01,31,9,Free Agency,7.13,Scott Boras,7 yrs/$245M (20-26),$28.07M,$36.6M,$38.6M,$38.6M,$38.6M,$38.6M,FA,,,,"[0.4, 6.5, 0.5, 4.5, 6.1, 5.1, 7.2, 2.1, 0.0]","[98.0, 153.0, 80.0, 156.0, 147.0, 136.0, 146.0, 52.0, 39.0]","[{'type': 'salary', 'value': 28071428.0}, {'type': 'salary', 'value': 36571429.0}, {'type': 'salary', 'value': 38571428.0}, {'type': 'salary', 'value': 38571428.0}, {'type': 'salary', 'value': 38571428.0}, {'type': 'salary', 'value': 38571428.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
2,Justin Upton\uptonju01,33,15,Traded,13.06,Larry Reynolds,5 yrs/$106M (18-22),$23M,$28M,FA,,,,,,,,"[-0.6, 0.8, 4.0, 1.6, 5.5, 2.4, 2.8, 3.1, 4.2, 1.7, 5.7, 3.7, -1.0, -0.5, 0.3]","[43.0, 108.0, 138.0, 133.0, 159.0, 150.0, 149.0, 154.0, 150.0, 153.0, 152.0, 145.0, 63.0, 42.0, 51.0]","[{'type': 'salary', 'value': 23000000.0}, {'type': 'salary', 'value': 28000000.0}]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Dexter Fowler\fowlede01,35,14,Traded,11.168,Excel Sports Mana...,5 yrs/$82.5M (17-21),$16.5M,FA,,,,,,,,,"[-0.3, 1.2, 1.7, 2.3, 2.6, 2.0, 1.8, 2.4, 4.0, 1.8, -1.4, 1.5, 0.0, -0.2]","[13.0, 135.0, 132.0, 125.0, 143.0, 119.0, 116.0, 156.0, 125.0, 118.0, 90.0, 150.0, 31.0, 7.0]","[{'type': 'salary', 'value': 16500000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
4,Alex Cobb\cobbal01,33,10,Traded,9.061,Beverly Hills Spo...,4 yrs/$57M (18-21),$15M,FA,,,,,,,,,"[0.6, 0.8, 3.6999999999999997, 4.1, -0.8, 2.1, 1.3, -0.4, 1.0, 0.7]","[9.0, 23.0, 22.0, 27.0, 5.0, 29.0, 28.0, 3.0, 10.0, 8.0]","[{'type': 'salary', 'value': 15000000.0}]","[2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
5,David Fletcher\fletcda02,27,4,Amateur Draft,2.111,,5 yrs/$26M (21-25) & 26-27 team option,$2M,$4M,$6M,$6M,$6.5M,$1.5M [FA-*],$0 [FA-*],FA,,,"[1.8, 3.6, 1.9, 0.7]","[80.0, 154.0, 49.0, 56.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'salary', 'value': 4000000.0}, {'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 6500000.0}, {'type': 'team option', 'value': 8000000.0}, {'type': 'team option', 'value': 8500000.0}]","[2018, 2019, 2020, 2021]",False,
6,Shohei Ohtani\ohtansh01,26,4,Free Agency,3.0,CAA Sports,2 yrs/$8.5M (21-22),$3M,$5.5M,Arb,FA,,,,,,,"[2.7, 2.3, 0.0, 1.8]","[104.0, 106.0, 44.0, 55.0]","[{'type': 'salary', 'value': 3000000.0}, {'type': 'salary', 'value': 5500000.0}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
7,Dylan Bundy\bundydy01,28,7,Traded,5.026,Jay Franklin,1 yr/$8.33M (21),$8.32M,FA,,,,,,,,,"[0.1, 1.6, 2.7, 0.4, 2.5, 2.0, 0.0]","[2.0, 36.0, 28.0, 31.0, 30.0, 11.0, 11.0]","[{'type': 'salary', 'value': 8325000.0}]","[2012, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
8,Jose Quintana\quintjo01,32,10,Free Agency,8.133,Wasserman,1 yr/$8M (21),$8M,FA,,,,,,,,,"[2.3, 5.1, 3.1, 3.9999999999999996, 5.3, 2.1999999999999997, 1.4, 0.7999999999999999, 0.0, -0.6]","[25.0, 33.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 4.0, 9.0]","[{'type': 'salary', 'value': 8000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
9,Andrew Heaney\heanean01,30,8,Traded,5.15,Icon Sports Manag...,1 yr/$6.75M (21),$6.75M,FA,,,,,,,,,"[-0.2, 1.7999999999999998, 0.0, -0.4, 1.6, 1.2, 1.4, 0.9]","[7.0, 18.0, 1.0, 5.0, 30.0, 18.0, 12.0, 10.0]","[{'type': 'salary', 'value': 6750000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
10,José Iglesias\iglesjo01,31,10,Traded,8.036,MVP Sports Group,2 yrs/$6M (20-21),$3.5M,FA,,,,,,,,,"[0.0, 0.3, 2.4, 1.3, 2.5, 0.6, 2.0, 0.9, 1.3, 0.2]","[10.0, 25.0, 109.0, 120.0, 137.0, 130.0, 125.0, 146.0, 39.0, 47.0]","[{'type': 'salary', 'value': 3500000.0}]","[2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Max Stassi\stassma01,30,9,Traded,4.049,Wasserman,1 yr/$1.6M (21),$1.6M,Arb,FA,,,,,,,,"[0.0, 0.2, 0.4, -0.2, 0.1, 1.1, -1.6, 1.0, 0.6]","[3.0, 7.0, 11.0, 9.0, 14.0, 88.0, 51.0, 31.0, 16.0]","[{'type': 'salary', 'value': 1600000.0}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
