,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games,contracts
0,0,Zack Greinke\greinza01,37,18,Traded,16.057000000000002,Excel Sports Mana...,6 yrs/$206.5M (16-21),$35M,FA,,,,,"[3.8, 1.1, 0.1, 2.3, 5.3, 10.4, 3.4, 1.5, 3.9000000000000004, 5.6, 5.3, 9.5, 2.8, 6.0, 4.1, 6.0, 1.2, 1.9]",True,1.0,"[24.0, 33.0, 3.0, 52.0, 32.0, 33.0, 33.0, 28.0, 34.0, 28.0, 32.0, 32.0, 26.0, 32.0, 33.0, 33.0, 12.0, 13.0]","[{'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}]"
1,1,Jose Altuve\altuvjo01,31,11,Amateur Free Agent,9.072,Scott Boras,7 yrs/$163.5M (18-24),$29M,$29M,$29M,$29M,FA,,"[0.6, 1.4, 1.1, 5.5, 4.0, 7.9, 7.7, 5.1, 3.8, -0.2, 1.6]",False,,"[57.0, 147.0, 152.0, 158.0, 154.0, 161.0, 153.0, 137.0, 124.0, 48.0, 47.0]","[{'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 29000000.0}, {'type': 'salary', 'value': 29000000.0}]"
2,2,Alex Bregman\bregmal01,27,6,Amateur Draft,4.07,Tidal Sports,5 yrs/$100M (20-24),$13M,$13M,$30.5M,$30.5M,FA,,"[2.0, 4.0, 7.9, 8.9, 1.1, 1.3]",False,,"[49.0, 155.0, 157.0, 156.0, 42.0, 50.0]","[{'type': 'salary', 'value': 13000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'salary', 'value': 30500000.0}, {'type': 'salary', 'value': 30500000.0}]"
3,3,Lance McCullers Jr.\mcculla02,27,6,Amateur Draft,5.14,Scott Boras,1 yr/$6.5M (21)5 yrs/$85M (22-26),$6.5M,$15.95M,$15.95M,$17.7M,$17.7M,$17.7M,"[2.1, 1.6, 1.1, 1.7, 0.5, 1.2]",True,1.0,"[22.0, 14.0, 22.0, 25.0, 11.0, 9.0]","[{'type': 'salary', 'value': 4100000.0}, {'type': 'salary', 'value': 6500000.0}, {'type': 'salary', 'value': 15950000.0}, {'type': 'salary', 'value': 15950000.0}, {'type': 'salary', 'value': 17700000.0}, {'type': 'salary', 'value': 17700000.0}, {'type': 'salary', 'value': 17700000.0}]"
4,4,Justin Verlander\verlaju01,38,16,Traded,15.002,ISE Baseball,2 yrs/$66M (20-21),$33M,FA,,,,,"[-0.2, 4.0, 4.1000000000000005, 1.7, 5.4, 4.300000000000001, 8.5, 8.0, 4.4, 1.0, 2.4, 7.4, 6.3999999999999995, 6.9, 7.300000000000001, 0.2]",True,1.0,"[2.0, 30.0, 32.0, 33.0, 35.0, 33.0, 34.0, 33.0, 34.0, 32.0, 20.0, 34.0, 33.0, 34.0, 34.0, 1.0]","[{'type': 'salary', 'value': 33000000.0}, {'type': 'salary', 'value': 33000000.0}]"
5,5,Michael Brantley\brantmi02,34,13,Free Agency,10.131,Excel Sports Mana...,2 yrs/$32M (21-22),$16M,$16M,FA,,,,"[0.0, -1.2, 2.1, 3.3, 3.0, 7.0, 3.8, -0.1, 2.4, 3.8, 4.8, 1.6, 0.7]",False,,"[28.0, 72.0, 114.0, 149.0, 151.0, 156.0, 137.0, 11.0, 90.0, 143.0, 148.0, 46.0, 41.0]","[{'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 16000000.0}]"
6,6,Jake Odorizzi\odorija01,31,10,Free Agency,7.042000000000002,Excel Sports Mana...,2 yrs/$20.25M (21-22) & 23 player option,$9M,$8M,$3.25M [FA-*],FA,,,"[0.1, 0.3, 1.3, 3.1999999999999997, 3.2, -0.1, 1.0999999999999999, 3.3, -0.2, -0.3]",True,1.0,"[2.0, 7.0, 31.0, 28.0, 33.0, 28.0, 32.0, 30.0, 4.0, 5.0]","[{'type': 'salary', 'value': 17800000.0}, {'type': 'salary', 'value': 9000000.0}, {'type': 'salary', 'value': 8000000.0}, {'type': 'player option', 'value': 6500000.0}]"
7,7,Ryan Pressly\pressry01,32,9,Traded,7.039,Ballengee Group,2 yrs/$17.5M (20-21) & 22 vesting option,$8.75M,$0 [FA-*],FA,,,,"[0.5, 0.7, 0.7, 1.2, 0.0, 2.0999999999999996, 1.7, 0.2, 0.7]",True,0.0,"[49.0, 25.0, 27.0, 72.0, 57.0, 77.0, 55.0, 23.0, 22.0]","[{'type': 'salary', 'value': 8750000.0}, {'type': 'salary', 'value': 8750000.0}, {'type': 'vesting option', 'value': 10000000.0}]"
8,8,Pedro Baez\baezpe01,33,7,,6.059,Kelvin Nova,2 yrs/$12.5M (21-22) & 23 team option,$4.75M,$5.75M,$2M [FA-*],FA,,,"[0.4, 0.2, 1.2, 0.7, 0.7000000000000001, 0.3, 0.1]",True,0.0,"[20.0, 52.0, 73.0, 66.0, 55.0, 71.0, 18.0]","[{'type': 'salary', 'value': 4000000.0}, {'type': 'salary', 'value': 4750000.0}, {'type': 'salary', 'value': 5750000.0}, {'type': 'team option', 'value': 7500000.0}]"
9,9,Carlos Correa\correca01,26,7,Amateur Draft,5.119,Jon Rosen at WME,1 yr/$11.7M (21),$11.7M,FA,,,,,"[4.8, 7.0, 6.7, 3.1, 3.7, 1.6, 2.5]",False,,"[99.0, 153.0, 109.0, 110.0, 75.0, 58.0, 55.0]","[{'type': 'salary', 'value': 8000000.0}, {'type': 'salary', 'value': 11700000.0}]"
10,10,Joe Smith\smithjo05,37,14,Free Agency,12.091,Meister Sports Mg...,2 yrs/$8M (20-21),$4M,FA,,,,,"[0.7, 0.7, 0.3, 0.5, 2.4, 1.1, 1.8, 2.5, 0.6, 0.7, 1.1, 0.5, 0.6, -0.2]",True,0.0,"[54.0, 82.0, 37.0, 53.0, 71.0, 72.0, 70.0, 76.0, 70.0, 54.0, 59.0, 56.0, 28.0, 22.0]","[{'type': 'salary', 'value': 4000000.0}, {'type': 'salary', 'value': 4000000.0}]"
11,11,Jason Castro\castrja01,34,11,Free Agency,10.104,ISE Baseball,2 yrs/$7M (21-22),$3.5M,$3.5M,FA,,,,"[-0.3, 1.2, 4.2, 1.2, 1.7, 1.0, 2.6, -0.1, 0.8, -0.2, 0.5]",False,,"[67.0, 87.0, 120.0, 126.0, 104.0, 113.0, 110.0, 19.0, 79.0, 27.0, 20.0]","[{'type': 'salary', 'value': 6850000.0}, {'type': 'salary', 'value': 3500000.0}, {'type': 'salary', 'value': 3500000.0}]"
