,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,career,games,contracts,years,pitcher,start_ratio
0,Nolan Arenado\arenano01,30,9,Traded,7.155,Wasserman,9 yrs/$275M (19-27),$35M,$35M,$35M,$35M,$32M,$27M,$15M,"[2.5, 3.6, 6.3, 5.9, 6.7, 6.4, 7.3, 1.5, 2.0]","[133.0, 111.0, 157.0, 160.0, 159.0, 156.0, 155.0, 48.0, 59.0]","[{'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 27000000.0}, {'type': 'salary', 'value': 15000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Paul Goldschmidt\goldspa01,33,11,Traded,9.059,Excel Sports Mana...,5 yrs/$130M (20-24),$26M,$26M,$26M,$26M,FA,,,"[0.4, 3.4, 6.3, 4.7, 8.3, 5.0, 6.3, 5.5, 2.7, 2.0, 0.9]","[48.0, 145.0, 160.0, 109.0, 159.0, 158.0, 155.0, 158.0, 161.0, 58.0, 58.0]","[{'type': 'salary', 'value': 26000000.0}, {'type': 'salary', 'value': 26000000.0}, {'type': 'salary', 'value': 26000000.0}, {'type': 'salary', 'value': 26000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
2,Miles Mikolas\mikolmi01,32,6,Free Agency,4.037,Octagon,4 yrs/$68M (20-23),$17M,$17M,$17M,FA,,,,"[0.1, 0.1, -0.8, 4.8, 1.2999999999999998, 0.1]","[25.0, 2.0, 10.0, 32.0, 32.0, 1.0]","[{'type': 'salary', 'value': 17000000.0}, {'type': 'salary', 'value': 17000000.0}, {'type': 'salary', 'value': 17000000.0}]","[2012, 2013, 2014, 2018, 2019, 2021]",True,1.0
3,Paul DeJong\dejonpa01,27,5,Amateur Draft,3.127,C.L. Rocks Corpor...,6 yrs/$26M (18-23) & 24-25 team option,$4.17M,$6.17M,$9.17M,$2M [FA-*],$0 [FA-*],FA,,"[2.7, 2.9, 5.4, 0.4, 0.6]","[108.0, 115.0, 159.0, 45.0, 35.0]","[{'type': 'salary', 'value': 4166667.0}, {'type': 'salary', 'value': 6166666.0}, {'type': 'salary', 'value': 9166666.0}, {'type': 'team option', 'value': 12500000.0}, {'type': 'team option', 'value': 15000000.0}]","[2017, 2018, 2019, 2020, 2021]",False,
4,Carlos Martinez\martica04,29,9,Free Agency,7.073,MVP Sports Group,5 yrs/$51M (17-21) & 22-23 team option,$11.7M,$500k [FA-*],$0 [FA-*],FA,,,,"[-0.1, 0.2, 3.8, 6.1, 3.2, 2.0, 0.7, -1.2, -0.7]","[21.0, 57.0, 31.0, 31.0, 32.0, 33.0, 48.0, 5.0, 10.0]","[{'type': 'salary', 'value': 11700000.0}, {'type': 'team option', 'value': 17000000.0}, {'type': 'team option', 'value': 18000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
5,Matt Carpenter\carpema01,35,11,Amateur Draft,9.012,SSG Baseball,2 yrs/$39M (20-21) & 22 vesting option,$18.5M,$2M [FA-*],FA,,,,,"[-0.2, 1.1, 6.6, 2.9, 5.0, 4.1, 2.8, 4.4, 1.2, 0.1, -0.3]","[7.0, 114.0, 157.0, 158.0, 154.0, 129.0, 145.0, 156.0, 129.0, 50.0, 53.0]","[{'type': 'salary', 'value': 18500000.0}, {'type': 'vesting option', 'value': 18500000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
6,Andrew Miller\millean01,36,16,Free Agency,12.062,Mark Rodgers,3 yrs/$34.5M (19-21),$12M,FA,,,,,,"[-0.2, -0.2, -1.7, -0.1, -1.3, -0.5, 0.7, 0.4, 1.9, 2.3, 3.8, 3.0, 0.2, -0.6, 0.1, -0.2]","[8.0, 13.0, 29.0, 20.0, 9.0, 17.0, 53.0, 37.0, 73.0, 60.0, 70.0, 57.0, 37.0, 73.0, 16.0, 11.0]","[{'type': 'salary', 'value': 12000000.0}]","[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
7,Yadier Molina\molinya01,38,18,Free Agency,16.123,Melin Roman,1 yr/$9M (21),$9M,FA,,,,,,"[0.4, 1.4, -0.2, 2.1, 1.3, 3.1, 3.1, 2.9, 7.2, 6.2, 3.2, 1.6, 3.0, 1.7, 1.5, 1.4, 0.3, 1.0]","[51.0, 114.0, 129.0, 111.0, 124.0, 140.0, 136.0, 139.0, 138.0, 136.0, 110.0, 136.0, 147.0, 136.0, 123.0, 113.0, 42.0, 41.0]","[{'type': 'salary', 'value': 9000000.0}]","[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
8,Adam Wainwright\wainwad01,39,16,Free Agency,15.027,Steve Hammond,1 yr/$8M (21),$8M,FA,,,,,,"[-0.1, 1.7, 3.5, 3.0, 6.7, 6.4, 1.0, 6.5, 6.3999999999999995, 0.8, 2.1, 0.8, 0.1, 1.7, 0.4, 0.0]","[2.0, 61.0, 32.0, 20.0, 34.0, 33.0, 32.0, 34.0, 32.0, 7.0, 33.0, 24.0, 8.0, 31.0, 10.0, 11.0]","[{'type': 'salary', 'value': 8000000.0}]","[2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
9,Kwang Hyun Kim\kimkw01,32,2,Free Agency,1.0,,2 yrs/$8M (20-21),$4M,Pre-Arb,Arb,Arb,Arb,FA,,"[0.9, 0.2]","[8.0, 9.0]","[{'type': 'salary', 'value': 4000000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
