,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games,contracts
0,0,Jason Heyward\heywaja01,30,11,Free Agency,10.0,Excel Sports Mana...,8 yrs/$184M (16-23),$21M,$21M,$22M,$22M,FA,,,"[6.4, 2.0, 5.5, 3.6, 5.5, 6.9, 1.0, 2.2, 2.0, 1.9]",False,,"[142.0, 128.0, 158.0, 104.0, 149.0, 154.0, 142.0, 126.0, 127.0, 147.0]","[{'type': 'salary', 'value': 21000000.0}, {'type': 'salary', 'value': 21000000.0}, {'type': 'salary', 'value': 22000000.0}, {'type': 'salary', 'value': 22000000.0}]"
1,1,Jon Lester\lestejo01,36,15,Free Agency,13.075,ACES (Sam & Seth ...,6 yrs/$155M (15-20) & 21 team option,$20M,$10M [FA-*],FA,,,,,"[1.5, 0.9, 6.0, 6.1000000000000005, 5.2, 4.2, 0.1, 2.6, 4.6, 2.5, 5.5, 0.8, 3.0, 1.7999999999999998]",True,1.0,"[15.0, 12.0, 33.0, 32.0, 32.0, 31.0, 33.0, 33.0, 32.0, 32.0, 32.0, 32.0, 32.0, 31.0]","[{'type': 'salary', 'value': 20000000.0}, {'type': 'team option', 'value': 25000000.0}]"
2,2,Yu Darvish\darviyu01,33,8,Free Agency,8.0,Joel Wolfe & Nick...,6 yrs/$126M (18-23),$22M,$22M,$19M,$18M,FA,,,"[3.5, 5.6, 3.5, 2.6, 3.9999999999999996, -0.1, 3.2]",True,1.0,"[29.0, 32.0, 22.0, 17.0, 31.0, 8.0, 31.0]","[{'type': 'salary', 'value': 22000000.0}, {'type': 'salary', 'value': 22000000.0}, {'type': 'salary', 'value': 19000000.0}, {'type': 'salary', 'value': 18000000.0}]"
3,3,Anthony Rizzo\rizzoan01,30,10,Traded,7.167999999999998,Sports One Athlet...,8 yrs/$60.5M (13-20) & 21 team option,$16.5M,$2M [FA-*],FA,,,,,"[-0.4, 2.2, 2.5, 5.6, 6.4, 5.8, 4.7, 2.8, 3.8]",False,,"[49.0, 87.0, 160.0, 140.0, 160.0, 155.0, 157.0, 153.0, 146.0]","[{'type': 'salary', 'value': 16500000.0}, {'type': 'team option', 'value': 16500000.0}]"
4,4,Kyle Hendricks\hendrky01,30,7,Traded,5.081,Wasserman,4 yrs/$55.5M (20-23) & 24 vesting option,$12M,$14M,$14M,$14M,$1.5M [FA-*],FA,,"[3.0, 1.2000000000000002, 5.2, 3.2, 2.7, 4.1]",True,1.0,"[13.0, 32.0, 31.0, 24.0, 33.0, 30.0]","[{'type': 'salary', 'value': 12000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'vesting option', 'value': 16000000.0}]"
5,5,Jose Quintana\quintjo01,31,8,Traded,7.132999999999999,Wasserman,7 yrs/$46.5M (14-20),$10.5M,FA,,,,,,"[2.3, 5.1, 3.1, 3.9999999999999996, 5.3, 2.3, 1.4, 0.9999999999999999]",True,0.9840000000000001,"[25.0, 33.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0]","[{'type': 'salary', 'value': 10500000.0}]"
6,6,Craig Kimbrel\kimbrcr01,32,11,Free Agency,8.161,David Meter,3 yrs/$43M (19-21) & 22 team option,$16M,$16M,$1M [FA-*],FA,,,,"[0.8, 2.5, 3.2, 3.1, 2.5, 1.3, 0.8, 3.6, 2.3, -0.5]",True,0.0,"[21.0, 79.0, 63.0, 68.0, 63.0, 61.0, 57.0, 67.0, 63.0, 23.0]","[{'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 16000000.0}, {'type': 'team option', 'value': 16000000.0}]"
7,7,Tyler Chatwood\chatwty01,30,9,Free Agency,8.039,Bob Garber,3 yrs/$38M (18-20),$13M,FA,,,,,,"[-0.3, 0.6000000000000001, 3.9, 0.1, 3.4, 2.1, -0.2, 1.6]",True,1.0,"[27.0, 19.0, 20.0, 4.0, 27.0, 33.0, 24.0, 38.0]","[{'type': 'salary', 'value': 13000000.0}]"
8,8,Kris Bryant\bryankr01,28,6,Amateur Draft,4.171,Scott Boras,1 yr/$18.6M (20),$18.6M,Arb,FA,,,,,"[5.3, 7.3, 5.6, 1.9, 3.7]",False,,"[151.0, 155.0, 151.0, 102.0, 147.0]","[{'type': 'salary', 'value': 18600000.0}, {'type': 'arb', 'value': None}]"
9,9,David Bote\boteda01,27,3,Amateur Draft,1.1,,5 yrs/$15M (20-24) & 25-26 team option,$960k,$1.01M,$2.51M,$4.01M,$5.51M,$1M [FA-*],$0 [FA-*],"[1.6, 1.6]",False,,"[74.0, 127.0]","[{'type': 'salary', 'value': 960000.0}, {'type': 'salary', 'value': 1010000.0}, {'type': 'salary', 'value': 2510000.0}, {'type': 'salary', 'value': 4010000.0}, {'type': 'salary', 'value': 5510000.0}, {'type': 'team option', 'value': 7000000.0}, {'type': 'team option', 'value': 7600000.0}]"
10,10,Javier Baez\baezja01,27,7,Amateur Draft,4.089,Wasserman,1 yr/$10M (20),$10M,Arb,FA,,,,,"[-0.9, 0.6, 2.8, 2.6, 5.8, 6.0]",False,,"[52.0, 28.0, 142.0, 145.0, 160.0, 138.0]","[{'type': 'salary', 'value': 10000000.0}, {'type': 'arb', 'value': None}]"
11,11,Kyle Schwarber\schwaky01,27,6,Amateur Draft,4.086,Excel Sports Mana...,1 yr/$7.01M (20),$7.01M,Arb,FA,,,,,"[1.3, -0.1, 0.2, 1.8, 2.1]",False,,"[69.0, 2.0, 129.0, 137.0, 155.0]","[{'type': 'salary', 'value': 7010000.0}, {'type': 'arb', 'value': None}]"
12,12,Daniel Descalso\descada01,33,10,Free Agency,9.016,Steve Canter,2 yrs/$5M (19-20) & 21 team option,$2.5M,$1M [FA-*],FA,,,,,"[0.4, 0.7, -0.1, 0.3, -0.2, -0.7, 0.5, -0.2, 0.9, -1.1]",False,,"[11.0, 148.0, 143.0, 123.0, 104.0, 101.0, 99.0, 130.0, 138.0, 82.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'team option', 'value': 3500000.0}]"
13,13,Willson Contreras\contrwi01,28,5,Amateur Free Agent,3.108,,1 yr/$4.5M (20),$4.5M,Arb,Arb,FA,,,,"[1.7, 3.9, 3.1, 3.1]",False,,"[76.0, 117.0, 138.0, 105.0]","[{'type': 'salary', 'value': 4500000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Albert Almora\almoral01,26,5,Amateur Draft,3.073,Scott Boras,1 yr/$1.58M (20),$1.57M,Arb,Arb,FA,,,,"[0.7, 1.2, 2.0, -1.0]",False,,"[47.0, 132.0, 152.0, 130.0]","[{'type': 'salary', 'value': 1575000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Steven Souza Jr.\souzast01,31,6,Free Agency,5.072,ACES,1 yr/$1M (20),$1M,FA,,,,,,"[-0.1, 1.4, 0.8, 4.1, -0.4]",False,,"[21.0, 110.0, 120.0, 148.0, 72.0]","[{'type': 'salary', 'value': 1000000.0}]"
16,16,Kyle Ryan\ryanky01,28,6,Free Agency,2.139,Frontline,1 yr/$975k (20),$975k,Arb,Arb,Arb,FA,,,"[0.3, 0.3, 1.1, -0.2, 1.2]",True,0.0,"[6.0, 16.0, 56.0, 8.0, 73.0]","[{'type': 'salary', 'value': 975000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Ryan Tepera\teperry01,32,6,Free Agency,4.008,,1 yr/$900k (20),$900k,Arb,FA,,,,,"[0.3, 0.2, 1.0, 1.4, 0.1]",True,0.0,"[32.0, 20.0, 73.0, 68.0, 23.0]","[{'type': 'salary', 'value': 900000.0}, {'type': 'arb', 'value': None}]"
18,18,Jeremy Jeffress\jeffrje01,32,11,Free Agency,6.09,Double Diamond Sp...,1 yr/$850k (20),$850k,FA,,,,,,"[0.1, 0.0, -0.5, 0.5, 0.8, 1.6, 1.7999999999999998, 0.5, 3.3, -0.4]",True,0.0,"[10.0, 14.0, 13.0, 10.0, 32.0, 72.0, 59.0, 61.0, 73.0, 48.0]","[{'type': 'salary', 'value': 850000.0}]"
19,19,Dan Winkler\winklda01,30,6,Free Agency,4.063,MVP Sports Group,1 yr/$750k (20),$750k,Arb,FA,,,,,"[-0.1, 0.2, 0.5, 0.2, -0.3]",True,0.0,"[2.0, 3.0, 16.0, 69.0, 27.0]","[{'type': 'salary', 'value': 750000.0}, {'type': 'arb', 'value': None}]"
20,20,Jharel Cotton\cottojh01,28,2,,2.158,VC Sports Group,1 yr/$640k (20),$640k,Arb,Arb,Arb,FA,,,"[1.0, -0.7]",True,1.0,"[5.0, 24.0]","[{'type': 'salary', 'value': 640000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Hernan Perez\perezhe01,29,8,,5.056,MDR Sports Manage...,1 yr/$100k (20),$100k,FA,,,,,,"[0.0, -0.2, 0.0, -0.49999999999999994, 1.5, 0.7, 1.5, -0.1]",False,,"[2.0, 34.0, 8.0, 112.0, 123.0, 136.0, 132.0, 91.0]","[{'type': 'salary', 'value': 100000.0}]"
22,22,Brandon Morrow\morrobr01,35,12,Free Agency,11.095999999999998,Wasserman,1 yr/$100k (20),$100k,FA,,,,,,"[1.0, 1.0, 0.2, 1.7, 1.2999999999999998, 3.1, -0.5, -0.3, 0.9, 0.4, 1.1, 1.4]",True,0.3383233532934132,"[60.0, 45.0, 26.0, 26.0, 30.0, 21.0, 10.0, 13.0, 5.0, 18.0, 45.0, 35.0]","[{'type': 'salary', 'value': 100000.0}]"
23,23,Jason Kipnis\kipnija01,33,10,Free Agency,8.068999999999999,Beverly Hills Spo...,1 yr/$100k (20),$100k,FA,,,,,,"[1.0, 3.9, 5.0, 0.7, 4.0, 3.8, 0.4, 1.7, 0.7]",False,,"[36.0, 152.0, 149.0, 129.0, 141.0, 156.0, 90.0, 147.0, 121.0]","[{'type': 'salary', 'value': 100000.0}]"
24,24,Jose Lobaton\lobatjo01,35,9,,7.041,Athletes X Agency...,,FA,,,,,,,"[-0.2, -0.1, -0.1, 1.5, 0.7, -0.6, 0.3, -0.9, -0.5]",False,,"[7.0, 15.0, 69.0, 100.0, 66.0, 44.0, 39.0, 51.0, 22.0]",[]
25,25,Josh Phegley\phegljo01,32,8,Free Agency,5.087,Pro Star Manageme...,,Arb (~$2.2M),,,,,,,"[-0.5, 0.2, 1.7, 0.2, 0.0, 0.3, 0.3]",False,,"[65.0, 11.0, 73.0, 25.0, 57.0, 39.0, 106.0]","[{'type': 'arb', 'value': None}]"
26,26,Rex Brothers\brothre01,32,8,Free Agency,4.091,Jet Sports Manage...,,Arb,,FA,,,,,"[1.0, 1.4, 3.1, -0.9, 0.5, -0.4, 0.0]",True,0.0,"[48.0, 75.0, 72.0, 74.0, 17.0, 27.0, 1.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Colin Rea\reaco01,29,2,,2.14,Sterling Sports M...,,Arb,,Arb,Arb,FA,,,"[0.1, -0.30000000000000004]",True,0.9615384615384616,"[6.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Tyler Olson\olsonty01,30,5,,2.114,Jackson Managemen...,,,,Arb,Arb,FA,,,"[-0.1, 0.0, 1.2, -0.1, 0.2]",True,0.0,"[11.0, 1.0, 30.0, 43.0, 39.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Victor Caratini\caratvi01,26,4,Traded,2.051,,,,,Arb,Arb,FA,,,"[0.1, 0.1, 1.0]",False,,"[31.0, 76.0, 95.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
