,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,pitcher,start_ratio,games,contracts
0,0,Madison Bumgarner\bumgama01,31,13,Free Agency,10.127,VC Sports Group,5 yrs/$85M (20-24),$19M,$23M,$23M,$14M,"[0.3, 2.5, 2.0, 2.4, 4.0, 4.9, 6.0, 5.7, 3.6, 2.5, 2.9, -0.3, -0.30000000000000004]",True,1.0,"[4.0, 18.0, 33.0, 32.0, 31.0, 33.0, 32.0, 34.0, 17.0, 21.0, 34.0, 9.0, 12.0]","[{'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 19000000.0}, {'type': 'salary', 'value': 23000000.0}, {'type': 'salary', 'value': 23000000.0}, {'type': 'salary', 'value': 14000000.0}]"
1,1,Nick Ahmed\ahmedni01,31,8,Traded,6.0539999999999985,Meister Sports Ma...,4 yrs/$32.5M (20-23),$7.88M,$7.88M,$10.38M,FA,"[-0.1, 1.1, 0.4, 0.5, 4.1, 4.1, 1.6, 0.7]",False,,"[25.0, 134.0, 90.0, 53.0, 153.0, 158.0, 57.0, 50.0]","[{'type': 'salary', 'value': 6375000.0}, {'type': 'salary', 'value': 7875000.0}, {'type': 'salary', 'value': 7875000.0}, {'type': 'salary', 'value': 10375000.0}]"
2,2,Ketel Marte\marteke01,27,7,Traded,4.162,Wasserman,5 yrs/$24M (18-22) & 23-24 team option,$6.4M,$8.4M,$1M [FA-*],$0 [FA-*],"[2.2, 0.4, 1.4, 3.9, 6.9, 1.4, 0.6]",False,,"[57.0, 119.0, 73.0, 153.0, 144.0, 45.0, 22.0]","[{'type': 'salary', 'value': 4400000.0}, {'type': 'salary', 'value': 6400000.0}, {'type': 'salary', 'value': 8400000.0}, {'type': 'team option', 'value': 8000000.0}, {'type': 'team option', 'value': 10000000.0}]"
3,3,David Peralta\peralda01,33,8,Free Agency,6.12,ACES,3 yrs/$22M (20-22),$7.5M,$7.5M,FA,,"[1.2, 3.6, 0.5, 2.4, 3.4, 1.6, 0.6, 0.1]",False,,"[88.0, 149.0, 48.0, 140.0, 146.0, 99.0, 54.0, 56.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 7500000.0}, {'type': 'salary', 'value': 7500000.0}]"
4,4,Eduardo Escobar\escobed01,32,11,Traded,8.128,DJ Rengifo y Asso...,3 yrs/$21M (19-21),$7.67M,FA,,,"[0.1, 0.30000000000000004, 0.0, 0.9, 1.4, -0.7, 1.3, 3.1, 3.3, -0.5, 1.1]",False,,"[9.0, 50.0, 66.0, 133.0, 127.0, 105.0, 129.0, 151.0, 158.0, 54.0, 59.0]","[{'type': 'salary', 'value': 7166667.0}, {'type': 'salary', 'value': 7666667.0}]"
5,5,Kole Calhoun\calhoko01,33,10,Free Agency,7.13,PSI Sports Manage...,2 yrs/$16M (20-21) & 22 team option,$8M,$2M [FA-*],FA,,"[-0.1, 0.5, 4.0, 3.1, 3.2, 2.0, 0.0, 1.5, 1.3, 0.2]",False,,"[21.0, 58.0, 127.0, 159.0, 157.0, 155.0, 137.0, 152.0, 54.0, 13.0]","[{'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 8000000.0}, {'type': 'team option', 'value': 9000000.0}]"
6,6,Merrill Kelly\kellyme01,32,3,Free Agency,2.0,Sosnick Cobbe & K...,3 yrs/$9.25M (19-21) & 22 team option,$4.25M,$0 [Arb-*],Arb,Arb,"[0.30000000000000004, 1.5, -0.3]",True,1.0,"[32.0, 5.0, 12.0]","[{'type': 'salary', 'value': 3000000.0}, {'type': 'salary', 'value': 4250000.0}, {'type': 'team option', 'value': 5250000.0}, {'type': 'arb', 'value': None}]"
7,7,Stephen Vogt\vogtst01,36,9,Free Agency,7.064,All Bases Covered,2 yrs/$6M (20-21),$3.5M,FA,,,"[-0.6, 0.6, 1.2, 3.7, 2.1, -0.39999999999999997, 1.1, 0.0, 0.1]",False,,"[18.0, 47.0, 84.0, 136.0, 137.0, 99.0, 99.0, 26.0, 34.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'salary', 'value': 3500000.0}]"
8,8,Joakim Soria\soriajo01,37,14,Free Agency,14.0,Oscar Suarez,1 yr/$3.5M (21),$3.5M,FA,,,"[2.4, 3.6, 2.7, 3.7, 0.3, 0.2, 0.6, 1.7, 0.5, 1.2, 0.9000000000000001, 0.3, 0.4, -0.1]",True,0.0,"[62.0, 63.0, 47.0, 66.0, 60.0, 26.0, 48.0, 72.0, 70.0, 59.0, 66.0, 71.0, 22.0, 13.0]","[{'type': 'salary', 'value': 8500000.0}, {'type': 'salary', 'value': 3500000.0}]"
9,9,Tyler Clippard\clippty01,36,14,Free Agency,11.134,Excel Sports Mana...,1 yr/$2.25M (21) & 22 mutual option,$1.75M,$500k [FA-*],FA,,"[0.0, 0.2, 1.4, 1.7000000000000002, 3.4, 0.5, 1.7, 1.5, 1.2, 1.1, 0.0, 1.5, 1.4, 0.3]",True,0.018018018018018014,"[6.0, 2.0, 41.0, 78.0, 72.0, 74.0, 72.0, 75.0, 69.0, 69.0, 67.0, 73.0, 53.0, 26.0]","[{'type': 'salary', 'value': 2750000.0}, {'type': 'salary', 'value': 1750000.0}, {'type': 'mutual option', 'value': 3500000.0}]"
10,10,Luke Weaver\weavelu01,27,6,Traded,3.112,,1 yr/$1.95M (21),$1.95M,Arb,Arb,FA,"[-0.39999999999999997, 0.8, -1.0, 1.6, -0.2, 0.3]",True,1.0,"[9.0, 13.0, 30.0, 12.0, 12.0, 8.0]","[{'type': 'salary', 'value': 1950000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Asdrubal Cabrera\cabreas01,35,15,Free Agency,13.027,Alan Nero,1 yr/$1.75M (21),$1.75M,FA,,,"[1.6, 3.0, 4.2, 1.4, 4.7, 3.3, 1.3, 1.7000000000000002, 1.6, 3.3, 1.3, 0.8999999999999999, 0.7, 0.2, 1.5]",False,,"[45.0, 114.0, 131.0, 97.0, 151.0, 143.0, 136.0, 146.0, 143.0, 141.0, 135.0, 147.0, 131.0, 52.0, 36.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'salary', 'value': 1750000.0}]"
12,12,Carson Kelly\kellyca02,26,6,Traded,2.161,CAA Sports,1 yr/$1.7M (21),$1.7M,Arb,Arb,Arb,"[0.0, -0.4, -0.4, 1.6, -0.4, 1.7]",False,,"[10.0, 34.0, 19.0, 111.0, 39.0, 40.0]","[{'type': 'salary', 'value': 1700000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
13,13,Caleb Smith\smithca03,29,5,Traded,3.0780000000000003,,1 yr/$1.45M (21),$1.45M,Arb,Arb,FA,"[-0.3, 0.6, 1.7, 0.4, 0.4]",True,0.1,"[9.0, 16.0, 28.0, 5.0, 20.0]","[{'type': 'salary', 'value': 1450000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Chris Devenski\devench02,30,6,Free Agency,5.0,MVP Sports Group,1 yr/$1M (21),$1M,FA,,,"[2.8, 1.9, 0.2, -0.1, -0.4, -0.4]",True,0.0,"[48.0, 62.0, 50.0, 61.0, 4.0, 8.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'salary', 'value': 100000.0}]"
15,15,Bryan Holaday\holadbr01,33,9,,6.002000000000002,Lagardere Sports,1 yr/$100k (21),$100k,FA,,,"[0.0, 0.3, -0.5, 0.2, 0.3, -0.3, 0.0, 0.4, -0.3]",False,,"[6.0, 16.0, 62.0, 24.0, 43.0, 13.0, 61.0, 43.0, 20.0]","[{'type': 'salary', 'value': 100000.0}]"
16,16,Ryan Buchter\buchtry01,34,7,Free Agency,4.085,Beverly Hills Spo...,1 yr/$100k (21),$100k,Arb,FA,,"[0.1, 1.4, 1.2, 0.3, 0.9, 0.0, 0.1]",True,0.0,"[1.0, 67.0, 71.0, 54.0, 64.0, 10.0, 3.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]"
17,17,Noe Ramirez\ramirno01,31,7,,3.139,Scott Boras,1 yr/$100k (21),$100k,Arb,Arb,FA,"[-0.5, -0.2, 0.2, 0.2, 1.0, 0.8, 0.0]",True,0.0,"[17.0, 14.0, 12.0, 69.0, 51.0, 21.0, 2.0]","[{'type': 'salary', 'value': 900000.0}, {'type': 'salary', 'value': 1175000.0}, {'type': 'arb', 'value': None}]"
18,18,Josh Reddick\reddijo01,34,13,Free Agency,10.05,ACES (Sam & Seth ...,,FA,,,,"[-0.3, -0.1, 1.9, 4.6, 2.8, 3.2, 3.6, 2.3, 4.5, 1.7, 1.3, -0.4, 0.6]",False,,"[27.0, 29.0, 87.0, 156.0, 114.0, 109.0, 149.0, 115.0, 134.0, 134.0, 141.0, 56.0, 16.0]","[{'type': 'salary', 'value': 13000000.0}]"
19,19,Josh VanMeter\vanmejo01,26,3,Traded,1.0759999999999998,,,,,Arb,Arb,"[-0.1, 0.09999999999999998, -0.4]",False,,"[95.0, 26.0, 37.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,Christian Walker\walkech02,30,7,Waivers,2.124,Martini Sports Ma...,,,,Arb,Arb,"[-0.2, -0.1, 0.1, -0.2, 2.7, 0.7, -0.4]",False,,"[6.0, 7.0, 11.0, 37.0, 152.0, 57.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Corbin Martin\martico02,25,2,Traded,1.023,,,,,Arb,Arb,"[-0.2, -0.2]",True,1.0,"[5.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Ildemaro Vargas\vargail01,29,5,Purchased,2.028,,,,,Arb,Arb,"[0.0, 0.1, 0.5, -0.6000000000000001, -0.30000000000000004]",False,,"[12.0, 14.0, 92.0, 24.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
23,23,Tim Locastro\locasti01,28,5,Traded,2.01,L. Warner Compani...,,,,Arb,Arb,"[0.0, 0.1, 0.5, 0.7, -0.7]",False,,"[3.0, 18.0, 91.0, 33.0, 41.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Taylor Clarke\clarkta01,28,3,Amateur Draft,1.12,,,,,Arb,Arb,"[-0.2, 0.7, 0.30000000000000004]",True,0.0,"[23.0, 12.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Stefan Crichton\crichst01,29,4,Traded,1.115,,,,,Arb,Arb,"[-0.2, 0.3, 1.1, -0.3]",True,0.0,"[8.0, 28.0, 26.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Zac Gallen\galleza01,25,3,Traded,1.1,,,,,Arb,Arb,"[2.5, 2.7, 0.7999999999999999]",True,1.0,"[15.0, 12.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Alex Young\youngal01,27,3,Amateur Draft,1.095,Wasserman,,,,Arb,Arb,"[0.39999999999999997, 0.0, 0.3]",True,0.0,"[17.0, 15.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Kevin Ginkel\ginkeke01,27,3,Amateur Draft,1.023,,,,,Arb,Arb,"[0.7, -0.3, -0.6]",True,0.0,"[25.0, 19.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Taylor Widener\widenta01,26,2,Traded,1.0,Beverly Hills Spo...,,,,Arb,Arb,"[0.2, 0.6]",True,1.0,"[12.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Daulton Varsho\varshda01,24,2,Amateur Draft,0.16699999999999998,,,,,Arb,Arb,"[0.1, -0.3]",False,,"[37.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Nick Heath\heathni01,27,2,Traded,0.142,,,,,,Arb,"[0.1, -0.1]",False,,"[15.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Keury Mella\mellake01,27,4,Free Agency,0.17,Republik Sports,,,,Arb,Arb,"[0.0, -0.3, 0.0, 0.2]",True,0.0,"[2.0, 4.0, 2.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Josh Rojas\rojasjo01,27,3,Traded,0.152,,,,,Arb,Arb,"[-0.1, -0.4, 0.7]",False,,"[41.0, 17.0, 55.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Andrew Young\youngan02,27,2,Traded,0.07200000000000001,,,,,,Arb,"[-0.1, -0.3]",False,,"[12.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Ryder Jones\jonesry01,27,2,,0.128,,,,,,Arb,"[-1.5, 0.2]",False,,"[53.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Josh Lucas\lucasjo02,30,3,,0.121,,,,,,Arb,"[0.1, -0.2, 0.0]",True,0.045454545454545456,"[5.0, 8.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Riley Smith\smithri01,26,2,Amateur Draft,0.097,,,,,,Arb,"[0.6, -0.2]",True,0.38461538461538464,"[6.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Jon Duplantier\duplajo01,26,2,Amateur Draft,0.095,,,,,,Arb,"[0.2, -0.3]",True,1.0,"[15.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Humberto Castellanos\castehu01,23,2,Waivers,0.092,,,,,,Arb,"[-0.1, 0.1]",True,0.0,"[8.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Nick Gardewine\gardeni01,27,2,,0.083,,,,,,Arb,"[-0.2, 0.1]",True,0.0,"[12.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Humberto Mejia\mejiahu01,24,1st,,0.033,,,,,,Arb,[-0.1],True,1.0,[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Joe Mantiply\mantijo01,30,4,Free Agency,0.061,,,,,,Arb,"[-0.2, -0.1, -0.2, -0.1]",True,0.0,"[5.0, 1.0, 4.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Pavin Smith\smithpa04,25,2,Amateur Draft,0.05,,,,,,Arb,"[0.2, 1.0]",False,,"[12.0, 57.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Seth Frankoff\frankse01,32,3,Free Agency,0.049,,,,,,Arb,"[-0.1, -0.3, -0.5]",True,0.75,"[1.0, 2.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Sam Moll\mollsa01,29,1st,,0.031,,,,,,Arb,[-0.3],True,0.0,[11.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
46,46,Zach Lee\leeza01,29,2,,0.026,,,,,,Arb,"[-0.3, 0.1]",True,0.5,"[1.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
47,47,Juniel Querecuto\quereju01,28,1st,,0.011,,,,,,Arb,[-0.1],False,,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
