,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,career,games,contracts,years,pitcher,start_ratio
0,Mookie Betts\bettsmo01,28,8,Traded,6.07,VC Sports Group,12 yrs/$365M (21-32),$22.92M,$22.92M,$25.42M,$30.4M,$30.4M,$30.4M,$30.4M,$35.4M,$35.4M,$35.4M,$32.9M,$32.9M,"[2.3, 6.1, 9.5, 6.4, 10.7, 7.3, 3.6, 2.0]","[52.0, 145.0, 158.0, 153.0, 136.0, 150.0, 55.0, 49.0]","[{'type': 'salary', 'value': 22916667.0}, {'type': 'salary', 'value': 22916666.0}, {'type': 'salary', 'value': 25416667.0}, {'type': 'salary', 'value': 30416667.0}, {'type': 'salary', 'value': 30416666.0}, {'type': 'salary', 'value': 30416667.0}, {'type': 'salary', 'value': 30416667.0}, {'type': 'salary', 'value': 35416666.0}, {'type': 'salary', 'value': 35416667.0}, {'type': 'salary', 'value': 35416667.0}, {'type': 'salary', 'value': 32916666.0}, {'type': 'salary', 'value': 32916667.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Albert Pujols\pujolal01,41,21,Free Agency,20.0,MVP Sports Group,10 yrs/$240M (12-21),$30M,FA,,,,,,,,,,,"[6.6, 5.5, 8.7, 8.5, 8.4, 8.5, 8.7, 9.2, 9.7, 7.5, 5.3, 4.8, 1.6, 3.9, 3.0, 1.5, -1.8, 0.3, 0.2, -0.1, -0.6]","[161.0, 157.0, 157.0, 154.0, 161.0, 143.0, 158.0, 148.0, 160.0, 159.0, 147.0, 154.0, 99.0, 159.0, 157.0, 152.0, 149.0, 117.0, 131.0, 39.0, 40.0]","[{'type': 'salary', 'value': 30000000.0}]","[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
2,David Price\priceda01,35,13,Traded,10.164,Bo McKinnis,7 yrs/$217M (16-22),$32M,$32M,FA,,,,,,,,,,"[0.5, 0.9, 4.7, 3.3, 6.6, 2.5, 4.300000000000001, 6.100000000000001, 2.8, 1.7000000000000002, 4.2, 1.9000000000000001, 0.1]","[5.0, 23.0, 32.0, 34.0, 31.0, 27.0, 34.0, 32.0, 35.0, 16.0, 30.0, 22.0, 13.0]","[{'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021]",True,0.23076923076923078
3,Trevor Bauer\bauertr01,30,10,Free Agency,6.158,Rachel Luba of Lu...,3 yrs/$102M (21-23),$40M,$45M,$17M,FA,,,,,,,,,"[-0.3, -0.2, 1.9, 1.6, 2.1, 2.9, 5.8, 1.5, 2.9, 2.3]","[4.0, 4.0, 26.0, 31.0, 35.0, 32.0, 28.0, 34.0, 11.0, 13.0]","[{'type': 'salary', 'value': 40000000.0}, {'type': 'salary', 'value': 45000000.0}, {'type': 'salary', 'value': 17000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
4,Clayton Kershaw\kershcl01,33,14,Amateur Draft,12.105,Excel Sports Mana...,3 yrs/$93M (19-21),$31M,FA,,,,,,,,,,,"[1.2, 4.6000000000000005, 5.199999999999999, 7.5, 6.800000000000001, 8.6, 8.2, 7.3999999999999995, 6.0, 5.300000000000001, 4.1, 3.1, 1.7, 1.5]","[22.0, 31.0, 32.0, 33.0, 33.0, 33.0, 27.0, 33.0, 21.0, 27.0, 26.0, 29.0, 10.0, 13.0]","[{'type': 'salary', 'value': 31000000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
5,Kenley Jansen\janseke01,33,12,Free Agency,10.073,Wasserman,5 yrs/$80M (17-21),$20M,FA,,,,,,,,,,,"[1.5, 0.9, 1.9, 2.6, 1.2, 1.4, 2.8, 3.1, 0.7, 0.0, 0.3, 0.9]","[25.0, 51.0, 65.0, 75.0, 68.0, 54.0, 71.0, 65.0, 69.0, 62.0, 27.0, 23.0]","[{'type': 'salary', 'value': 20000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
6,AJ Pollock\polloaj01,33,10,Free Agency,8.052,Excel Sports Mana...,4 yrs/$55M (19-22) & 23 player option,$18M,$13M,$5M [FA-*],FA,,,,,,,,,"[-0.1, 3.1, 3.4, 6.9, 0.4, 2.9, 2.2, 0.1, 0.9, 0.5]","[31.0, 137.0, 75.0, 157.0, 12.0, 112.0, 113.0, 86.0, 55.0, 35.0]","[{'type': 'salary', 'value': 18000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'player option', 'value': 10000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
7,Justin Turner\turneju01,36,13,Free Agency,10.045,The Legacy Agency,2 yrs/$34M (21-22) & 23 team option,$12M,$20M,$2M [FA-*],FA,,,,,,,,,"[0.2, -0.6000000000000001, 0.2, 0.2, 0.5, 4.1, 3.8, 5.0, 5.6, 4.7, 3.9, 1.5, 0.9]","[12.0, 9.0, 117.0, 94.0, 86.0, 109.0, 126.0, 151.0, 130.0, 103.0, 135.0, 42.0, 56.0]","[{'type': 'salary', 'value': 12000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'team option', 'value': 16000000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
8,Max Muncy\muncyma01,30,6,Free Agency,4.027,,3 yrs/$26M (20-22) & 23 team option,$9M,$13M,$1.5M [FA-*],FA,,,,,,,,,"[-0.3, -0.2, 4.3, 5.4, 0.5, 3.3]","[45.0, 51.0, 137.0, 141.0, 58.0, 56.0]","[{'type': 'salary', 'value': 9000000.0}, {'type': 'salary', 'value': 13000000.0}, {'type': 'team option', 'value': 13000000.0}]","[2015, 2016, 2018, 2019, 2020, 2021]",False,
9,Joe Kelly\kellyjo05,33,10,Free Agency,8.029,ACES (Sam & Seth ...,3 yrs/$25M (19-21) & 22 team option,$8.83M,$4M [FA-*],FA,,,,,,,,,,"[0.6, 2.9, 0.4, 0.9, -0.1, 1.3, 0.4, -0.6, 0.2, -0.3]","[24.0, 37.0, 17.0, 25.0, 20.0, 54.0, 73.0, 55.0, 12.0, 10.0]","[{'type': 'salary', 'value': 8833334.0}, {'type': 'team option', 'value': 12000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
