,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
0,Stephen Strasburg\strasst01,32,12,Free Agency,10.118,Scott Boras,7 yrs/$245M (20-26),$35M,$35M,$35M,$35M,$35M,$35M,"[1.3, 0.9, 3.9000000000000004, 3.0, 3.1999999999999997, 1.9, 3.6999999999999997, 6.6000000000000005, 2.7, 6.1, -0.2, -0.1]","[12.0, 5.0, 28.0, 30.0, 34.0, 23.0, 24.0, 28.0, 22.0, 33.0, 2.0, 5.0]","[{'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}, {'type': 'salary', 'value': 35000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
1,Max Scherzer\scherma01,36,14,Free Agency,12.079,Scott Boras,7 yrs/$191.4M (15-21),$34.5M,FA,,,,,"[1.0, 1.6, 3.4, 1.2999999999999998, 4.300000000000001, 6.6, 5.7, 7.4, 6.3, 7.5, 9.200000000000001, 5.3, 2.0, 2.0]","[16.0, 30.0, 31.0, 33.0, 32.0, 32.0, 33.0, 33.0, 34.0, 31.0, 33.0, 27.0, 12.0, 12.0]","[{'type': 'salary', 'value': 34503480.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
2,Patrick Corbin\corbipa01,31,9,Free Agency,8.105,ISE Baseball,6 yrs/$140M (19-24),$24.42M,$23.42M,$24.42M,$35.4M,FA,,"[0.5, 3.1, 1.4, -0.09999999999999998, 2.7, 4.1, 4.8999999999999995, 1.5, -0.9]","[22.0, 32.0, 16.0, 36.0, 33.0, 33.0, 33.0, 11.0, 11.0]","[{'type': 'salary', 'value': 24416667.0}, {'type': 'salary', 'value': 23416666.0}, {'type': 'salary', 'value': 24416667.0}, {'type': 'salary', 'value': 35416667.0}]","[2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
3,Will Harris\harriwi10,36,10,Free Agency,7.102,Gavin Kahn,3 yrs/$24M (20-22),$8M,$8M,FA,,,,"[-0.5, 0.8, 0.1, 2.0, 1.6, 1.0, 0.8, 1.9, 0.3, -0.2]","[20.0, 61.0, 29.0, 68.0, 66.0, 46.0, 61.0, 68.0, 20.0, 8.0]","[{'type': 'salary', 'value': 8000000.0}, {'type': 'salary', 'value': 8000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
4,Trea Turner\turnetr01,28,7,Traded,4.135,CAA Sports,1 yr/$13M (21),$13M,Arb,FA,,,,"[0.3, 3.4, 3.0, 4.7, 4.1, 2.8, 1.7]","[27.0, 73.0, 98.0, 162.0, 122.0, 59.0, 56.0]","[{'type': 'salary', 'value': 13000000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,Starlin Castro\castrst01,31,12,Free Agency,10.15,Rep 1 Baseball,2 yrs/$12M (20-21),$7M,FA,,,,,"[1.6, 3.2, 3.5, -0.5, 2.4, 0.4, 1.2, 2.0, 1.7, 1.2, 0.5, -0.1]","[125.0, 158.0, 162.0, 161.0, 134.0, 151.0, 151.0, 112.0, 154.0, 162.0, 16.0, 56.0]","[{'type': 'salary', 'value': 7000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
6,Daniel Hudson\hudsoda01,34,12,Free Agency,10.106,Jet Sports Manage...,2 yrs/$11M (20-21),$6M,FA,,,,,"[0.4, 3.5999999999999996, 2.3, -0.8, -0.3, -0.2, -0.5, -0.1, -0.3, 1.9000000000000001, -0.1, 0.5]","[6.0, 14.0, 33.0, 9.0, 3.0, 64.0, 70.0, 71.0, 40.0, 69.0, 21.0, 22.0]","[{'type': 'salary', 'value': 6000000.0}]","[2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
7,Brad Hand\handbr01,31,11,Free Agency,7.092,Matt Colleran,1 yr/$10.5M (21),$10.5M,FA,,,,,"[0.4, -0.3, 0.30000000000000004, 0.3, -0.9, 1.5999999999999999, 2.9, 0.9, 1.2, 0.6, -0.1]","[12.0, 1.0, 7.0, 32.0, 38.0, 82.0, 72.0, 69.0, 60.0, 23.0, 21.0]","[{'type': 'salary', 'value': 10500000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
8,Yan Gomes\gomesya01,33,10,Free Agency,8.083,Jet Sports Manage...,2 yrs/$10M (20-21),$6M,FA,,,,,"[-0.1, 4.2, 4.1, 0.9, -0.8, 1.3, 2.7, 1.5, 0.8, 0.8]","[43.0, 88.0, 135.0, 95.0, 74.0, 105.0, 112.0, 97.0, 30.0, 36.0]","[{'type': 'salary', 'value': 6000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
9,Kyle Schwarber\schwaky01,28,7,Free Agency,5.086,Excel Sports Mana...,1 yr/$10M (21) & 22 mutual option,$7M,$3M [FA-*],FA,,,,"[1.3, -0.1, 0.1, 2.1, 2.4, 0.2, 0.2]","[69.0, 2.0, 129.0, 137.0, 155.0, 59.0, 48.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'mutual option', 'value': 11500000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
