,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games,contracts
0,0,Gregory Polanco\polangr01,28,7,Amateur Free Agent,5.103,Republik Sports,5 yrs/$35M (17-21) & 22-23 team option,$8.6M,$11.6M,$3M [FA-*],$0 [FA-*],"[0.3, 2.5, 1.6, 0.3, 2.1, -0.6]",False,,"[89.0, 153.0, 144.0, 108.0, 130.0, 42.0]","[{'type': 'salary', 'value': 8600000.0}, {'type': 'salary', 'value': 11600000.0}, {'type': 'team option', 'value': 12500000.0}, {'type': 'team option', 'value': 13500000.0}]"
1,1,Chris Archer\archech01,31,8,Traded,6.1560000000000015,VC Sports Group,7 yrs/$33M (14-20) & 21 team option,$9M,$250k [FA-*],FA,,"[-0.2, 2.0, 2.5, 3.8, 1.9, 1.3, 0.7000000000000001, 0.9]",True,0.9905660377358492,"[6.0, 23.0, 32.0, 34.0, 33.0, 34.0, 27.0, 23.0]","[{'type': 'salary', 'value': 9000000.0}, {'type': 'team option', 'value': 11000000.0}]"
2,2,Felipe Vazquez\riverfe01,28,5,Traded,4.162,Scott Boras,4 yrs/$22M (18-21) & 22-23 team option,$5.75M,$7.75M,$1M [FA-*],$0 [FA-*],"[1.1, 0.2, 2.6, 1.6, 2.9]",True,0.0,"[49.0, 75.0, 73.0, 70.0, 56.0]","[{'type': 'salary', 'value': 5750000.0}, {'type': 'salary', 'value': 7750000.0}, {'type': 'team option', 'value': 10000000.0}, {'type': 'team option', 'value': 10000000.0}]"
3,3,Josh Bell\belljo02,27,5,Amateur Draft,3.053,Scott Boras,1 yr/$4.8M (20),$4.8M,Arb,Arb,FA,"[-0.8, 0.9, 0.2, 2.7]",False,,"[45.0, 159.0, 148.0, 143.0]","[{'type': 'salary', 'value': 4800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
4,4,Keone Kela\kelake01,27,5,Traded,5.0,Wasserman,1 yr/$3.73M (20),$3.73M,FA,,,"[1.8, -0.4, 1.3, 1.3, 1.2]",True,0.0,"[68.0, 35.0, 39.0, 54.0, 32.0]","[{'type': 'salary', 'value': 3725000.0}]"
5,5,Trevor Williams\willitr01,28,5,Traded,3.027,,1 yr/$2.83M (20),$2.83M,Arb,Arb,FA,"[-0.4, 1.6, 3.9, 0.6]",True,1.0,"[7.0, 31.0, 31.0, 26.0]","[{'type': 'salary', 'value': 2825000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
6,6,Adam Frazier\fraziad01,28,5,Amateur Draft,3.075,,1 yr/$2.8M (20),$2.8M,Arb,Arb,FA,"[0.4, 1.1, 2.6, 2.0]",False,,"[66.0, 121.0, 113.0, 152.0]","[{'type': 'salary', 'value': 2800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
7,7,Joe Musgrove\musgrjo01,27,5,Traded,3.063,,1 yr/$2.8M (20),$2.8M,Arb,Arb,FA,"[0.5, 0.0, 1.4000000000000001, 1.8]",True,1.0,"[11.0, 38.0, 19.0, 32.0]","[{'type': 'salary', 'value': 2800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
8,8,Jameson Taillon\taillja01,28,4,Amateur Draft,3.11,Excel Sports Mana...,1 yr/$2.25M (20),$2.25M,Arb,Arb,FA,"[2.1, 1.0999999999999999, 4.6000000000000005, 0.4]",True,1.0,"[18.0, 25.0, 32.0, 7.0]","[{'type': 'salary', 'value': 2250000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
9,9,Jarrod Dyson\dysonja01,35,11,Free Agency,8.088,CSE,1 yr/$2M (20),$2M,FA,,,"[0.8, 0.5, 1.5, 1.6, 2.3, 2.1, 2.9, 2.7, -0.1, 1.4]",False,,"[18.0, 26.0, 102.0, 87.0, 120.0, 90.0, 107.0, 111.0, 67.0, 130.0]","[{'type': 'salary', 'value': 2000000.0}]"
10,10,Michael Feliz\felizmi01,27,6,Traded,3.169,Octagon,1 yr/$1.1M (20),$1.1M,Arb,Arb,FA,"[-0.1, -0.1, -0.5, -0.9, 0.7]",True,0.0,"[5.0, 47.0, 46.0, 47.0, 58.0]","[{'type': 'salary', 'value': 1100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Luke Maile\mailelu01,29,5,,3.099,,1 yr/$900k (20),$900k,Arb,Arb,FA,"[-0.2, 0.3, -0.1, 0.9, -0.5]",False,,"[15.0, 42.0, 46.0, 68.0, 44.0]","[{'type': 'salary', 'value': 900000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,JT Riddle\riddljt01,28,3,,2.1180000000000003,,1 yr/$850k (20),$850k,Arb,Arb,Arb,"[0.5, 1.8, -0.6]",False,,"[70.0, 102.0, 51.0]","[{'type': 'salary', 'value': 850000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
13,13,Chad Kuhl\kuhlch01,27,4,Amateur Draft,3.079,,1 yr/$840k (20),$840k,Arb,Arb,FA,"[0.8, 1.4, 0.1]",True,0.0,"[14.0, 31.0, 16.0]","[{'type': 'salary', 'value': 840000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Erik Gonzalez\gonzaer01,28,5,Traded,3.007,,1 yr/$725k (20),$725k,Arb,Arb,FA,"[0.0, 0.1, 0.7, 0.5]",False,,"[21.0, 60.0, 81.0, 53.0]","[{'type': 'salary', 'value': 725000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Guillermo Heredia\heredgu01,29,5,Free Agency,3.054,,1 yr/$564k (20),$563.5k,Arb,Arb,FA,"[0.6, 1.3, 0.2, 0.3]",False,,"[45.0, 123.0, 125.0, 89.0]","[{'type': 'salary', 'value': 563500.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
