,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games,contracts
0,0,Kevin Kiermaier\kiermke01,30,8,Amateur Draft,5.131,Reynolds Sports M...,6 yrs/$53M (17-22) & 23 team option,$10.17M,$11.17M,$12.17M,$2.5M [FA-*],FA,,,"[0.0, 3.5, 7.1, 5.5, 4.9, 2.3, 2.4]",False,,"[1.0, 108.0, 151.0, 105.0, 98.0, 88.0, 129.0]","[{'type': 'salary', 'value': 10166667.0}, {'type': 'salary', 'value': 11166666.0}, {'type': 'salary', 'value': 12166666.0}, {'type': 'team option', 'value': 13000000.0}]"
1,1,Blake Snell\snellbl01,27,5,Amateur Draft,3.072,Sosnick Cobbe & K...,5 yrs/$50M (19-23),$7.6M,$11.1M,$13.1M,$16.6M,FA,,,"[0.8, 1.0, 7.199999999999999, 1.4]",True,1.0,"[19.0, 24.0, 31.0, 23.0]","[{'type': 'salary', 'value': 7600000.0}, {'type': 'salary', 'value': 11100000.0}, {'type': 'salary', 'value': 13100000.0}, {'type': 'salary', 'value': 16600000.0}]"
2,2,Charlie Morton\mortoch02,36,13,Free Agency,11.01,Jet Sports Manage...,2 yrs/$30M (19-20) & 21 vesting option,$15M,$0 [FA-*],FA,,,,,"[-1.4000000000000001, 0.5, -2.6999999999999997, 1.5999999999999999, -0.5, 0.5, 0.0, -1.2000000000000002, 0.3, 2.0, 3.8, 4.9]",True,1.0,"[16.0, 18.0, 17.0, 29.0, 9.0, 20.0, 26.0, 23.0, 4.0, 25.0, 30.0, 33.0]","[{'type': 'salary', 'value': 15000000.0}, {'type': 'vesting option', 'value': 15000000.0}]"
3,3,Brandon Lowe\lowebr01,25,3,Amateur Draft,1.058,Bledsoe Agency,6 yrs/$24M (19-24) & 25-26 team option,$1.5M,$2.5M,$4M,$5.25M,$8.75M,$1M [FA-*],$0 [FA-*],"[0.8, 2.6]",False,,"[43.0, 82.0]","[{'type': 'salary', 'value': 1500000.0}, {'type': 'salary', 'value': 2500000.0}, {'type': 'salary', 'value': 4000000.0}, {'type': 'salary', 'value': 5250000.0}, {'type': 'salary', 'value': 8750000.0}, {'type': 'team option', 'value': 10500000.0}, {'type': 'team option', 'value': 11500000.0}]"
4,4,Mike Zunino\zuninmi01,29,8,Traded,5.165,Jet Sports Manage...,1 yr/$4.5M (20),$4.5M,FA,,,,,,"[0.4, 0.4, -0.7, 1.8, 3.4, 1.8, -0.2]",False,,"[52.0, 131.0, 112.0, 55.0, 124.0, 113.0, 90.0]","[{'type': 'salary', 'value': 4500000.0}]"
5,5,Hunter Renfroe\renfrhu01,28,5,Traded,2.165,,1 yr/$3.3M (20),$3.3M,Arb,Arb,Arb,FA,,,"[0.4, 0.7, 2.3, 2.7]",False,,"[11.0, 122.0, 117.0, 140.0]","[{'type': 'salary', 'value': 3300000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
6,6,Jose Martinez\martijo08,31,5,Traded,3.027,,2 yrs/$3.25M (19-20),$2.12M,Arb,Arb,FA,,,,"[0.1, 1.4, 1.8, -0.4]",False,,"[12.0, 106.0, 152.0, 128.0]","[{'type': 'salary', 'value': 2125000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
7,7,Manuel Margot\margoma01,25,5,Traded,3.012,Wasserman,1 yr/$2.48M (20),$2.48M,Arb,Arb,FA,,,,"[0.6, 2.3, 1.6, 1.8]",False,,"[10.0, 126.0, 141.0, 151.0]","[{'type': 'salary', 'value': 2475000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
8,8,Chaz Roe\roech01,33,8,Purchased,4.0939999999999985,Sosnick Cobbe & K...,1 yr/$2.19M (20),$2.19M,Arb,FA,,,,,"[0.0, -0.1, 0.2, 0.4, 0.2, 0.5, 0.0]",True,0.0,"[21.0, 3.0, 36.0, 30.0, 12.0, 61.0, 71.0]","[{'type': 'salary', 'value': 2185000.0}, {'type': 'arb', 'value': None}]"
9,9,Tyler Glasnow\glasnty01,26,5,Traded,2.158,Wasserman,1 yr/$2.05M (20),$2.05M,Arb,Arb,Arb,FA,,,"[0.1, -1.5, 0.7, 2.5]",True,1.0,"[7.0, 15.0, 45.0, 12.0]","[{'type': 'salary', 'value': 2050000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
10,10,Oliver Drake\drakeol01,33,6,Purchased,3.045,The L. Warner Com...,1 yr/$1.03M (20),$1.02M,Arb,Arb,FA,,,,"[0.1, -0.1, 0.1, -0.19999999999999996, 1.3]",True,0.0,"[13.0, 14.0, 64.0, 44.0, 50.0]","[{'type': 'salary', 'value': 1025000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Daniel Robertson\roberda10,26,3,Traded,2.134,MVP Sports Group,1 yr/$1.03M (20),$1.02M,Arb,Arb,Arb,FA,,,"[0.3, 3.1, -0.3]",False,,"[75.0, 87.0, 74.0]","[{'type': 'salary', 'value': 1025000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,Aaron Loup\loupaa01,32,9,Free Agency,7.04,Beverly Hills Spo...,1 yr/$100k (20),$100k,FA,,,,,,"[0.6, 1.6, 1.1, -0.2, 0.0, 0.8, 0.30000000000000004, 0.2]",True,0.0,"[33.0, 64.0, 71.0, 60.0, 21.0, 70.0, 59.0, 4.0]","[{'type': 'salary', 'value': 100000.0}]"
13,13,Kevan Smith\smithke04,32,5,Free Agency,3.031,Pro Star Manageme...,,Arb (~$1.3M),,Arb,FA,,,,"[-0.1, -0.2, 0.5, 0.6]",False,,"[7.0, 87.0, 52.0, 67.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Jose Alvarado\alvarjo03,25,4,Amateur Free Agent,2.088,,,,,Arb,Arb,FA,,,"[0.3, 1.4, -0.3]",True,0.0,"[35.0, 70.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Joey Wendle\wendljo01,30,5,Traded,2.088,,,,,Arb,Arb,FA,,,"[0.5, 0.1, 4.8, 0.8]",False,,"[28.0, 8.0, 139.0, 75.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
