,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
0,0,Joey Votto\vottojo01,37,15,Amateur Draft,13.027,MVP Sports Group,10 yrs/$225M (14-23) & 24 team option,$25M,$25M,$25M,$7M [FA-*],FA,"[0.1, 3.3, 4.8, 7.0, 6.6, 5.9, 6.6, 1.7, 7.8, 4.2, 8.1, 3.6, 1.2, -0.1, -0.2]",False,,"[24.0, 151.0, 131.0, 150.0, 161.0, 111.0, 162.0, 62.0, 158.0, 158.0, 162.0, 145.0, 142.0, 54.0, 29.0]","[{'type': 'salary', 'value': 25000000.0}, {'type': 'salary', 'value': 25000000.0}, {'type': 'salary', 'value': 25000000.0}, {'type': 'salary', 'value': 25000000.0}, {'type': 'team option', 'value': 20000000.0}]"
1,1,Eugenio Suarez\suareeu01,29,8,Traded,6.061,Octagon,7 yrs/$66M (18-24) & 25 team option,$10.79M,$11.29M,$11.29M,$11.29M,$2M [FA-*],"[0.8, 0.9, 1.6, 3.5, 4.0, 3.3, 0.5, -0.8]",False,,"[85.0, 97.0, 159.0, 156.0, 143.0, 159.0, 57.0, 55.0]","[{'type': 'salary', 'value': 9535714.0}, {'type': 'salary', 'value': 10785714.0}, {'type': 'salary', 'value': 11285714.0}, {'type': 'salary', 'value': 11285715.0}, {'type': 'salary', 'value': 11285715.0}, {'type': 'team option', 'value': 15000000.0}]"
2,2,Mike Moustakas\moustmi01,32,11,Free Agency,9.111,Scott Boras,4 yrs/$64M (20-23) & 24 team option,$14M,$16M,$18M,$4M [FA-*],FA,"[1.0, 3.1, -0.6, 0.1, 4.1, 0.8, 1.6, 2.0, 2.6, 0.2, 0.4]",False,,"[89.0, 149.0, 136.0, 140.0, 147.0, 27.0, 148.0, 152.0, 143.0, 44.0, 28.0]","[{'type': 'salary', 'value': 12000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 18000000.0}, {'type': 'team option', 'value': 20000000.0}]"
3,3,Nick Castellanos\casteni01,29,9,Free Agency,7.029,Boras Corporation,4 yrs/$64M (20-23) & 24 mutual option,$14M,$16M,$16M,$2M [FA-*],FA,"[-0.2, -0.1, 1.3, 2.3, 0.1, 2.8, 2.9000000000000004, 0.0, 2.8]",False,,"[11.0, 148.0, 154.0, 110.0, 157.0, 157.0, 151.0, 60.0, 51.0]","[{'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 14000000.0}, {'type': 'salary', 'value': 16000000.0}, {'type': 'salary', 'value': 16000000.0}, {'type': 'mutual option', 'value': 20000000.0}]"
4,4,Sonny Gray\grayso01,31,9,Traded,7.061,Bo McKinnis,4 yrs/$38M (19-22) & 23 team option,$10.17M,$10.17M,$0 [FA-*],FA,,"[1.4, 3.1999999999999997, 5.4, -0.3, 2.7, 0.2, 6.0, 0.8, 1.2]",True,1.0,"[12.0, 33.0, 31.0, 22.0, 27.0, 30.0, 31.0, 11.0, 9.0]","[{'type': 'salary', 'value': 10166666.0}, {'type': 'salary', 'value': 10166667.0}, {'type': 'salary', 'value': 10166667.0}, {'type': 'team option', 'value': 12000000.0}]"
5,5,Shogo Akiyama\akiyash01,33,2,Free Agency,1.0,,3 yrs/$21M (20-22),$7M,$8M,Arb,Arb,Arb,"[0.8, 0.0]",False,,"[54.0, 22.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 8000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
6,6,Tucker Barnhart\barnhtu01,30,8,Amateur Draft,6.075,Ballengee Group,4 yrs/$16M (18-21) & 22 team option,$4.19M,$500k [FA-*],FA,,,"[0.0, 0.2, 0.9, 3.6, 0.8, 0.4, 0.8, 1.0]",False,,"[21.0, 81.0, 115.0, 121.0, 138.0, 114.0, 38.0, 44.0]","[{'type': 'salary', 'value': 3937500.0}, {'type': 'salary', 'value': 4187500.0}, {'type': 'team option', 'value': 7500000.0}]"
7,7,Wade Miley\mileywa01,34,11,Free Agency,9.025,O'Connell Sports ...,2 yrs/$15M (20-21) & 22 team option,$8M,$1M [FA-*],FA,,,"[0.0, 3.3000000000000003, 1.4, 0.7999999999999999, 2.3, 0.0, -0.2, 1.5, 1.6, -0.1, 1.9000000000000001]",True,1.0,"[8.0, 32.0, 33.0, 33.0, 32.0, 30.0, 32.0, 16.0, 33.0, 6.0, 9.0]","[{'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 8000000.0}, {'type': 'team option', 'value': 10000000.0}]"
8,8,Michael Lorenzen\lorenmi01,29,6,Amateur Draft,5.159,CAA,1 yr/$4.43M (21),$4.43M,FA,,,,"[0.3, 0.1, 0.1, 0.7, 0.4, 0.0]",False,,"[30.0, 35.0, 70.0, 54.0, 100.0, 6.0]","[{'type': 'salary', 'value': 3725000.0}, {'type': 'salary', 'value': 4430000.0}]"
9,9,Luis Castillo\castilu02,28,5,Traded,3.1010000000000004,Republik Sports,1 yr/$4.2M (21),$4.2M,Arb,Arb,FA,,"[2.4, 1.4, 4.8, 1.1, -0.8]",True,1.0,"[15.0, 31.0, 32.0, 12.0, 12.0]","[{'type': 'salary', 'value': 4200000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
