,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
0,Chris Sale\salech01,32,10,Traded,10.061,Jet Sports,5 yrs/$145M (20-24) & 25 vesting option,$30M,$30M,$27.5M,$27.5M,$0 [FA-*],FA,"[1.2, 2.4, 5.7, 6.5, 6.1, 3.4, 4.9, 6.1, 6.9, 2.5]","[21.0, 58.0, 30.0, 30.0, 26.0, 31.0, 32.0, 32.0, 27.0, 25.0]","[{'type': 'salary', 'value': 30000000.0}, {'type': 'salary', 'value': 30000000.0}, {'type': 'salary', 'value': 27500000.0}, {'type': 'salary', 'value': 27500000.0}, {'type': 'vesting option', 'value': 20000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",True,0.7435897435897436
1,Xander Bogaerts\bogaexa01,28,9,Amateur Free Agent,7.042,Scott Boras,6 yrs/$120M (20-25) & 26 vesting option,$20M,$20M,$20M,$20M,$20M,$0 [FA-*],"[0.3, 0.7, 4.3, 3.8, 2.3, 4.9, 6.3, 1.6, 2.5]","[18.0, 144.0, 156.0, 157.0, 148.0, 136.0, 155.0, 56.0, 57.0]","[{'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'vesting option', 'value': 20000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
2,J.D. Martinez\martijd02,33,11,Free Agency,9.036,Scott Boras,5 yrs/$109.95M (18-22),$19.35M,$19.35M,FA,,,,"[0.4, -0.6, -1.2, 4.6, 5.4, 1.7, 3.9, 6.7, 3.6, -0.6, 2.3]","[53.0, 113.0, 86.0, 123.0, 158.0, 120.0, 119.0, 150.0, 146.0, 54.0, 54.0]","[{'type': 'salary', 'value': 19350000.0}, {'type': 'salary', 'value': 19350000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
3,Nathan Eovaldi\eovalna01,31,10,Traded,9.013,ACES (Sam & Seth ...,4 yrs/$68M (19-22),$17M,$17M,FA,,,,"[0.6, 1.1999999999999997, 2.0, 0.09999999999999998, 2.1999999999999997, 1.3, 1.3, 0.1, 1.3, 1.3]","[10.0, 22.0, 18.0, 33.0, 27.0, 24.0, 22.0, 23.0, 9.0, 12.0]","[{'type': 'salary', 'value': 17000000.0}, {'type': 'salary', 'value': 17000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021]",True,1.0
4,Adam Ottavino\ottavad01,35,11,Traded,9.087,ACES (Sam & Seth ...,3 yrs/$27M (19-21),$9M,FA,,,,,"[-0.7, 1.0, 2.3, 1.3, 0.8, 1.0, 0.3, 2.6, 2.3, -0.2, 0.4]","[5.0, 53.0, 51.0, 75.0, 10.0, 34.0, 63.0, 75.0, 73.0, 24.0, 28.0]","[{'type': 'salary', 'value': 9000000.0}]","[2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
5,Enrique Hernandez\hernaen02,29,8,Free Agency,6.054,Wasserman,2 yrs/$14M (21-22),$6M,$8M,FA,,,,"[1.4, 1.7, -0.1, 1.2, 3.5, 2.1, 1.1, 0.8]","[42.0, 76.0, 109.0, 140.0, 145.0, 130.0, 48.0, 46.0]","[{'type': 'salary', 'value': 6000000.0}, {'type': 'salary', 'value': 8000000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
6,Christian Vazquez\vazquch01,30,7,Amateur Draft,6.031,MDR Sports,3 yrs/$13.55M (19-21) & 22 team option,$6.25M,$250k [FA-*],FA,,,,"[0.9, -0.2, 0.9, -0.9, 2.4, 0.9, 0.5]","[55.0, 57.0, 99.0, 80.0, 138.0, 47.0, 52.0]","[{'type': 'salary', 'value': 6250000.0}, {'type': 'team option', 'value': 7000000.0}]","[2014, 2016, 2017, 2018, 2019, 2020, 2021]",False,
7,Garrett Richards\richaga01,33,11,Free Agency,8.148,ISE Baseball,1 yr/$10M (21) & 22 team option,$8.5M,$1.5M [FA-*],FA,,,,"[-0.2, -1.0, 1.0, 4.2, 2.0, 0.4, 1.0, 0.2, -0.2, 0.9, 0.9]","[7.0, 30.0, 47.0, 26.0, 32.0, 6.0, 6.0, 16.0, 3.0, 14.0, 12.0]","[{'type': 'salary', 'value': 8500000.0}, {'type': 'team option', 'value': 10000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
8,Eduardo Rodriguez\rodried05,28,6,Traded,5.13,ISE Baseball,1 yr/$8.3M (21),$8.3M,FA,,,,,"[2.5, 0.4, 1.7, 3.0, 6.1, -0.1]","[21.0, 20.0, 25.0, 27.0, 34.0, 11.0]","[{'type': 'salary', 'value': 8300000.0}]","[2015, 2016, 2017, 2018, 2019, 2021]",True,1.0
9,Martin Perez\perezma02,30,10,Free Agency,8.038,OL Baseball Group,1 yr/$5M (21) & 22 team option,$4.5M,$500k [FA-*],FA,,,,"[-0.2, 1.6, 0.7, 0.3, 2.0, 2.3, -1.0, 0.1, 1.2, 1.4]","[12.0, 20.0, 8.0, 14.0, 33.0, 32.0, 22.0, 32.0, 12.0, 11.0]","[{'type': 'salary', 'value': 4500000.0}, {'type': 'team option', 'value': 6000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
