,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
0,0,Miguel Cabrera\cabremi01,37,18,Traded,16.101,ISE Baseball,8 yrs/$240M (16-23) & 24-25 vesting option,$30M,$30M,$32M,$32M,$0 [FA-*],$0 [FA-*],"[0.6, 3.5, 5.2, 5.8, 3.2, 2.7, 5.1, 6.5, 7.6, 7.1, 7.5, 5.1, 4.9, 5.1, -0.7, 0.4, -0.1]",False,,"[87.0, 160.0, 158.0, 158.0, 157.0, 160.0, 160.0, 150.0, 161.0, 161.0, 148.0, 159.0, 119.0, 158.0, 130.0, 38.0, 136.0]","[{'type': 'salary', 'value': 30000000.0}, {'type': 'salary', 'value': 30000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'salary', 'value': 32000000.0}, {'type': 'vesting option', 'value': 30000000.0}, {'type': 'vesting option', 'value': 30000000.0}]"
1,1,Jordan Zimmermann\zimmejo02,34,11,Free Agency,10.154,ISE Baseball,5 yrs/$110M (16-20),$25M,FA,,,,,"[0.9, -0.2, 2.9000000000000004, 5.5, 3.4, 4.9, 3.0, 0.5, 0.3, 0.7, -0.2]",True,0.9963503649635036,"[16.0, 7.0, 26.0, 32.0, 32.0, 32.0, 33.0, 19.0, 29.0, 25.0, 23.0]","[{'type': 'salary', 'value': 25000000.0}]"
2,2,Jonathan Schoop\schoojo01,28,8,Free Agency,6.027,VC Sports Group,1 yr/$6.1M (20),$6.1M,FA,,,,,"[0.0, 1.2, 1.8, 3.4, 6.3, 1.9, 1.6]",False,,"[5.0, 137.0, 86.0, 162.0, 160.0, 131.0, 121.0]","[{'type': 'salary', 'value': 6100000.0}]"
3,3,C.J. Cron\croncj01,30,7,Free Agency,5.097,Moye Sports Assoc...,1 yr/$6.1M (20),$6.1M,FA,,,,,"[-0.1, 0.4, 1.9, 1.0, 2.3, 1.7]",False,,"[79.0, 113.0, 116.0, 100.0, 140.0, 125.0]","[{'type': 'salary', 'value': 6100000.0}]"
4,4,Matthew Boyd\boydma01,29,6,Traded,3.136,,1 yr/$5.3M (20),$5.3M,Arb,Arb,FA,,,"[-1.3, 1.3, 1.3, 2.2, 3.7]",True,1.0,"[13.0, 20.0, 26.0, 31.0, 32.0]","[{'type': 'salary', 'value': 5300000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
5,5,Austin Romine\rominau01,31,9,Free Agency,6.045,Moye Sports Assoc...,1 yr/$4.1M (20),$4.1M,FA,,,,,"[-0.2, -0.5, -0.1, -0.2, -0.2, -0.9, 1.3, 0.7]",False,,"[9.0, 60.0, 7.0, 1.0, 62.0, 80.0, 77.0, 72.0]","[{'type': 'salary', 'value': 4100000.0}]"
6,6,Daniel Norris\norrida01,27,6,Traded,4.073,Excel Sports Mana...,1 yr/$2.96M (20),$2.96M,Arb,FA,,,,"[0.0, 0.5, 1.7, 0.5, 0.0, 2.9]",True,0.8453608247422679,"[5.0, 13.0, 14.0, 22.0, 11.0, 32.0]","[{'type': 'salary', 'value': 2960000.0}, {'type': 'arb', 'value': None}]"
7,7,Michael Fulmer\fulmemi01,27,4,Traded,3.157,BBI Sports,1 yr/$2.8M (20),$2.8M,Arb,Arb,FA,,,"[5.4, 3.4, 0.9]",True,1.0,"[26.0, 25.0, 24.0]","[{'type': 'salary', 'value': 2800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
8,8,JaCoby Jones\jonesja07,28,5,Traded,2.125,,1 yr/$1.58M (20),$1.57M,Arb,Arb,Arb,FA,,"[-0.1, -0.2, 2.1, -0.1]",False,,"[13.0, 56.0, 129.0, 88.0]","[{'type': 'salary', 'value': 1575000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
9,9,Cameron Maybin\maybica01,33,14,Free Agency,10.059,Mato Sports Manag...,1 yr/$1.5M (20),$1.5M,FA,,,,,"[-0.4, 0.8, -0.1, 1.2, 4.4, 2.8, -0.8, 0.1, 0.6, 1.7, 1.6, 0.7000000000000001, 1.6]",False,,"[24.0, 8.0, 54.0, 82.0, 137.0, 147.0, 14.0, 95.0, 141.0, 94.0, 114.0, 129.0, 82.0]","[{'type': 'salary', 'value': 1500000.0}]"
10,10,Ivan Nova\novaiv01,33,11,Free Agency,9.024,Wasserman,1 yr/$1.5M (20),$1.5M,FA,,,,,"[0.4, 2.5, 0.5, 3.4, -0.7, 0.6, 1.6999999999999997, 1.4, 0.5000000000000001, 2.1999999999999997]",True,1.0,"[10.0, 28.0, 28.0, 23.0, 4.0, 17.0, 32.0, 31.0, 29.0, 34.0]","[{'type': 'salary', 'value': 1500000.0}]"
11,11,Buck Farmer\farmebu01,29,7,Amateur Draft,3.083,,1 yr/$1.15M (20),$1.15M,Arb,Arb,FA,,,"[-0.5, -1.0, 0.2, -0.4, 0.6, 1.5]",True,0.0,"[4.0, 14.0, 14.0, 11.0, 66.0, 73.0]","[{'type': 'salary', 'value': 1150000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,Jordy Mercer\mercejo03,33,9,Free Agency,7.095,The Legacy Agency,1 yr/$100k (20),$100k,FA,,,,,"[0.3, 1.3, 2.3, 0.4, 1.2, 0.3, 0.1, 0.6]",False,,"[42.0, 103.0, 149.0, 116.0, 149.0, 145.0, 117.0, 74.0]","[{'type': 'salary', 'value': 100000.0}]"
13,13,Joe Jimenez\jimenjo02,25,4,Amateur Free Agent,2.077,,,,,Arb,Arb,FA,,"[-1.1, 0.1, 0.6]",True,0.0,"[24.0, 68.0, 66.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Jeimer Candelario\candeje01,26,5,Traded,2.0380000000000003,,,,,Arb,Arb,FA,,"[-0.1, 0.2, 1.7, 0.5]",False,,"[5.0, 38.0, 144.0, 94.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Niko Goodrum\goodrni01,28,4,Free Agency,2.031,,,,,Arb,Arb,FA,,"[-0.2, 1.3, 1.6]",False,,"[11.0, 131.0, 112.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,Jose Cisnero\cisnejo01,31,4,Free Agency,2.02,,,,,Arb,Arb,FA,,"[0.2, -0.3, 0.3]",True,0.0,"[28.0, 5.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Tim Adleman\adlemti01,32,2,,1.155,,,,,Arb,Arb,Arb,FA,"[1.3, -0.6]",True,0.7674418604651163,"[13.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
18,18,Brandon Dixon\dixonbr01,28,2,Waivers,1.125,,,,,Arb,Arb,Arb,FA,"[-0.4, -0.4]",False,,"[74.0, 117.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Jorge Bonifacio\bonifjo01,27,3,,1.102,ISE Baseball,,,,Arb,Arb,Arb,FA,"[0.4, -0.3, 0.1]",False,,"[113.0, 69.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,Grayson Greiner\greingr01,27,3,Amateur Draft,1.102,,,,,Arb,Arb,Arb,FA,"[0.0, -0.7]",False,,"[30.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Victor Reyes\reyesvi01,25,3,Rule 5 Draft,1.084,,,,,Arb,Arb,Arb,FA,"[-0.8, 1.2]",False,,"[100.0, 69.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
