,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
0,0,Josh Donaldson\donaljo02,34,10,Free Agency,7.158,MVP Sports Group,4 yrs/$92M (20-23) & 24 team option,$18.75M,$21.75M,$21.75M,$21.75M,$8M [FA-*],FA,"[-0.3, 1.5, 7.2, 6.9, 7.1, 7.2, 4.6, 0.7, 6.0]",False,,"[14.0, 75.0, 158.0, 158.0, 158.0, 155.0, 113.0, 52.0, 155.0]","[{'type': 'salary', 'value': 18750000.0}, {'type': 'salary', 'value': 21750000.0}, {'type': 'salary', 'value': 21750000.0}, {'type': 'salary', 'value': 21750000.0}, {'type': 'team option', 'value': 16000000.0}]"
1,1,Max Kepler\keplema01,27,6,Amateur Free Agent,3.152,Sosnick Cobbe & K...,5 yrs/$35M (19-23) & 24 team option,$6.25M,$6.5M,$6.75M,$8.5M,$1M [FA-*],FA,"[-0.1, 2.4, 1.9, 3.2, 4.1]",False,,"[3.0, 113.0, 147.0, 156.0, 134.0]","[{'type': 'salary', 'value': 6250000.0}, {'type': 'salary', 'value': 6500000.0}, {'type': 'salary', 'value': 6750000.0}, {'type': 'salary', 'value': 8500000.0}, {'type': 'team option', 'value': 10000000.0}]"
2,2,Miguel Sano\sanomi01,27,6,Amateur Free Agent,4.066,Roc Nation Sports,3 yrs/$30M (20-22) & 23 team option,$7M,$11M,$9.25M,$2.75M [FA-*],FA,,"[2.4, 0.3, 2.8, -0.7, 3.0]",False,,"[80.0, 116.0, 114.0, 71.0, 105.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 11000000.0}, {'type': 'salary', 'value': 9250000.0}, {'type': 'team option', 'value': 14000000.0}]"
3,3,Nelson Cruz\cruzne02,39,16,Free Agency,12.082,Bryce Dixon,2 yrs/$26M (19-20),$12M,FA,,,,,"[0.0, 0.2, -0.4, 1.5, 2.3, 4.1, 1.5, 0.8, 2.1, 4.5, 5.1, 4.8, 4.2, 2.9, 4.4]",False,,"[8.0, 41.0, 96.0, 31.0, 128.0, 108.0, 124.0, 159.0, 109.0, 159.0, 152.0, 155.0, 155.0, 144.0, 120.0]","[{'type': 'salary', 'value': 12000000.0}]"
4,4,Jorge Polanco\polanjo01,26,7,Amateur Free Agent,3.024,ISE Baseball,5 yrs/$25.75M (19-23) & 24-25 vesting/team option,$3.83M,$4.33M,$5.5M,$7.5M,$1M [FA-*],$0 [FA-*],"[0.2, -0.1, 0.4, 1.4, 1.2, 4.8]",False,,"[5.0, 4.0, 69.0, 133.0, 77.0, 153.0]","[{'type': 'salary', 'value': 3833333.0}, {'type': 'salary', 'value': 4333333.0}, {'type': 'salary', 'value': 5500000.0}, {'type': 'salary', 'value': 7500000.0}, {'type': 'vesting option', 'value': 10500000.0}, {'type': 'team option', 'value': 12000000.0}]"
5,5,Kenta Maeda\maedake01,32,5,Traded,4.0,Wasserman,8 yrs/$25M (16-23),$3.12M,$3.12M,$3.12M,$3.12M,FA,,"[2.8, 0.5, 0.49999999999999994, 1.7]",True,1.0,"[32.0, 29.0, 39.0, 37.0]","[{'type': 'salary', 'value': 3125000.0}, {'type': 'salary', 'value': 3125000.0}, {'type': 'salary', 'value': 3125000.0}, {'type': 'salary', 'value': 3125000.0}]"
6,6,Marwin Gonzalez\gonzama01,31,9,Free Agency,7.132999999999999,Scott Boras,2 yrs/$21M (19-20),$9M,FA,,,,,"[-0.1, 0.7, 1.3, 2.7, 1.2, 3.8, 2.3, 1.8]",False,,"[80.0, 72.0, 103.0, 120.0, 141.0, 134.0, 145.0, 114.0]","[{'type': 'salary', 'value': 9000000.0}]"
7,7,Michael Pineda\pinedmi01,31,6,Free Agency,8.09,ISE Baseball,2 yrs/$20M (20-21),$10M,$10M,FA,,,,"[2.3000000000000003, 2.7, 1.8, 1.1, 0.6, 2.3]",True,1.0,"[28.0, 13.0, 27.0, 32.0, 17.0, 26.0]","[{'type': 'salary', 'value': 10000000.0}, {'type': 'salary', 'value': 10000000.0}]"
8,8,Jake Odorizzi\odorija01,30,8,Free Agency,6.042000000000002,Excel Sports Mana...,1 yr/$17.8M (20),$17.8M,FA,,,,,"[0.1, 0.3, 1.3, 3.1999999999999997, 3.2, -0.1, 1.0999999999999999, 3.6]",True,0.9842931937172776,"[2.0, 7.0, 31.0, 28.0, 33.0, 28.0, 32.0, 30.0]","[{'type': 'salary', 'value': 17800000.0}]"
9,9,Eddie Rosario\rosared01,28,6,Amateur Draft,4.12,Gavin Kahn,1 yr/$7.75M (20),$7.75M,Arb,FA,,,,"[2.2, 1.2, 1.5, 4.1, 1.7]",False,,"[122.0, 92.0, 151.0, 138.0, 137.0]","[{'type': 'salary', 'value': 7750000.0}, {'type': 'arb', 'value': None}]"
