,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,career,pitcher
0,Mike Trout\troutmi01,28,9,Amateur Draft,8.07,Craig Landis,12 yrs/$426.5M (19-30),$37.7M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,"[0.5, 10.5, 8.9, 7.7, 9.6, 10.5, 6.7, 10.2, 8.2]",False
1,Anthony Rendon\rendoan01,30,7,,6.13,Scott Boras,7 yrs/$245M (20-26),$26.07M,$28.07M,$36.6M,$38.6M,$38.6M,$38.6M,$38.6M,FA,,,,"[0.4, 6.5, 0.5, 4.5, 6.0, 4.8, 6.4]",False
2,Albert Pujols\pujolal01,40,19,Free Agency,19.0,MVP Sports Group,10 yrs/$240M (12-21),$29M,$30M,FA,,,,,,,,,"[6.6, 5.5, 8.7, 8.5, 8.4, 8.5, 8.7, 9.2, 9.7, 7.5, 5.3, 4.8, 1.6, 3.9, 3.0, 1.5, -1.9, 0.8, 0.5]",False
3,Justin Upton\uptonju01,32,13,Traded,12.06,Larry Reynolds,5 yrs/$106M (18-22),$21M,$23M,$28M,FA,,,,,,,,"[-0.6, 0.8, 4.0, 1.6, 5.5, 2.4, 2.8, 3.1, 4.2, 1.7, 6.0, 3.8, -0.9]",False
4,Andrelton Simmons\simmoan01,30,8,Traded,7.125,ISE Baseball,7 yrs/$58M (14-20),$15M,FA,,,,,,,,,,"[2.9, 5.8, 2.6, 4.5, 4.4, 7.8, 6.3, 1.9]",False
5,Julio Teheran\teherju01,29,9,,7.062,Wasserman,1 yr/$9M (20),$9M,FA,,,,,,,,,,"[-0.1, -0.1, 3.4, 4.3, 1.7999999999999998, 4.8, 1.7000000000000002, 2.0, 2.5]",True
6,Jason Castro\castrja01,33,9,,9.104,ISE Baseball,1 yr/$6.85M (20),$6.85M,FA,,,,,,,,,,"[-0.3, 1.2, 4.2, 1.2, 1.7, 1.0, 2.6, -0.1, 0.7]",False
7,Dylan Bundy\bundydy01,27,5,,4.026,Jay Franklin,1 yr/$5M (20),$5M,Arb,FA,,,,,,,,,"[0.1, 1.6, 2.7, 0.3, 2.5]",True
8,Andrew Heaney\heanean01,29,6,Traded,4.15,Icon Sports Manag...,1 yr/$4.3M (20),$4.3M,Arb,FA,,,,,,,,,"[-0.2, 1.7999999999999998, 0.0, -0.4, 1.6, 1.0]",True
9,Hansel Robles\robleha01,29,5,Waivers,4.119,Wasserman,1 yr/$3.85M (20),$3.85M,Arb,FA,,,,,,,,,"[-0.1, 0.7000000000000001, 0.1, 0.4, 2.6]",True
10,Tommy La Stella\lasteto01,31,6,Traded,5.0569999999999995,Beverly Hills Spo...,1 yr/$3.25M (20),$3.25M,FA,,,,,,,,,,"[0.1, 0.6, 0.4, 0.4, 0.2, 2.0]",True
11,Cam Bedrosian\bedroca01,28,6,Amateur Draft,4.1530000000000005,,1 yr/$2.8M (20),$2.8M,Arb,FA,,,,,,,,,"[-0.7, -0.4, 1.4, -0.3, 0.3, 0.6]",True
