,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher
0,Zack Greinke\greinza01,36,16,Traded,15.057,Excel Sports Mana...,6 yrs/$206.5M (16-21),$35M,$35M,FA,,,"[3.8, 1.1, 0.1, 2.3, 5.3, 10.4, 3.4, 1.5, 3.9000000000000004, 5.6, 5.3, 9.5, 2.8, 6.0, 4.2, 6.2]",True
1,Jose Altuve\altuvjo01,30,9,Amateur Free Agent,8.072000000000001,Scott Boras,7 yrs/$163.5M (18-24),$29M,$29M,$29M,$29M,$29M,"[0.6, 1.4, 1.1, 5.5, 4.0, 7.9, 7.6, 4.8, 3.8]",False
2,Alex Bregman\bregmal01,26,4,Amateur Draft,3.07,Tidal Sports,5 yrs/$100M (20-24),$13M,$13M,$13M,$30.5M,$30.5M,"[2.0, 4.0, 7.3, 9.1]",False
3,Justin Verlander\verlaju01,37,15,Traded,14.002,ISE Baseball,2 yrs/$66M (20-21),$33M,$33M,FA,,,"[-0.2, 4.0, 4.1000000000000005, 1.7, 5.4, 4.300000000000001, 8.5, 8.0, 4.4, 1.0, 2.4, 7.4, 6.3999999999999995, 6.8, 7.300000000000001]",True
4,Josh Reddick\reddijo01,33,11,Free Agency,9.05,ACES (Sam & Seth ...,4 yrs/$52M (17-20),$13M,FA,,,,"[-0.3, -0.1, 1.9, 4.6, 2.8, 3.2, 3.6, 2.3, 4.5, 1.6, 1.4]",False
5,Yuli Gurriel\gourryu01,36,4,Amateur Free Agent,3.043,Magnus Sports,5 yrs/$47.5M (16-20),$8.4M,Arb,Arb,FA,,"[0.7, 2.7, 2.3, 3.9]",False
6,Michael Brantley\brantmi02,33,11,Free Agency,9.131,Excel Sports Mana...,2 yrs/$32M (19-20),$16M,FA,,,,"[0.0, -1.2, 2.1, 3.3, 3.0, 7.0, 3.8, -0.1, 2.4, 3.7, 4.8]",False
7,George Springer\springe01,30,6,Amateur Draft,5.166,Excel Sports Mana...,1 yr/$21M (20),$21M,FA,,,,"[2.0, 4.2, 5.1, 5.0, 2.7, 6.4]",False
8,Ryan Pressly\pressry01,31,7,Traded,6.039,Ballengee Group,2 yrs/$17.5M (20-21) & 22 vesting option,$8.75M,$8.75M,$0 [FA-*],FA,,"[0.5, 0.7, 0.7, 1.2, 0.0, 2.0999999999999996, 1.7]",True
9,Roberto Osuna\osunaro01,25,5,Traded,4.0969999999999995,The Legacy Agency,1 yr/$10M (20),$10M,Arb,FA,,,"[1.8, 2.1, 1.3, 1.4, 1.8]",True
10,Joe Smith\smithjo05,36,13,Free Agency,12.091,Meister Sports Mg...,2 yrs/$8M (20-21),$4M,$4M,FA,,,"[0.7, 0.7, 0.3, 0.5, 2.4, 1.1, 1.8, 2.5, 0.6, 0.7, 1.1, 0.5, 0.6]",True
11,Carlos Correa\correca01,25,5,Amateur Draft,4.119,The Legacy Agency,1 yr/$8M (20),$8M,Arb,FA,,,"[4.8, 7.0, 6.6, 2.7, 3.5]",False
12,Martin Maldonado\maldoma01,33,9,Traded,7.156000000000001,MVP Sports Group,2 yrs/$7M (20-21),$3.5M,$3.5M,FA,,,"[0.0, 1.6, -0.2, 0.8, 0.3, 0.8, 1.7, 0.30000000000000004, 1.2000000000000002]",True
13,Lance McCullers Jr.\mcculla02,26,4,Amateur Draft,4.14,Scott Boras,1 yr/$4.1M (20),$4.1M,Arb,FA,,,"[2.1, 1.6, 1.1, 1.7]",True
14,Brad Peacock\peacobr01,32,8,Traded,5.165,ACES (Sam & Seth ...,1 yr/$3.9M (20),$3.9M,FA,,,,"[0.6, 0.0, -0.7, 0.0, 0.2, 3.2, 0.8, 1.1]",True
15,Aledmys Díaz\diazal02,29,4,Traded,3.1,Jaime Torres,1 yr/$2.6M (20),$2.6M,Arb,Arb,FA,,"[2.9, -0.3, 1.9, 1.1]",False
16,Chris Devenski\devench02,29,4,Traded,4.0,MVP Sports Group,1 yr/$2M (20),$2M,Arb,FA,,,"[2.8, 1.9, 0.2, -0.1]",True
17,Joe Biagini\biagijo01,30,4,Traded,3.134,,1 yr/$1M (20),$1M,Arb,Arb,FA,,"[0.9, -0.3, -0.3, 0.29999999999999993]",True
18,Dustin Garneau\garnedu01,32,5,,1.14,Marc Kligman,1 yr/$650k (20),$650k,Pre-Arb,Arb,Arb,Arb,"[-0.1, 0.1, 0.4, 0.0, 0.8999999999999999]",False
19,Austin Pruitt\pruitau01,30,3,,1.125,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.9, -0.3, 0.3]",True
20,Josh James\jamesjo02,27,2,Amateur Draft,1.03,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.7, 0.0]",True
21,Cionel Pérez\perezci01,24,2,Amateur Free Agent,0.107,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.1, -0.5]",True
22,Framber Valdez\valdefr01,26,2,Amateur Free Agent,0.163,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,"[1.2, -0.8]",True
23,Garrett Stubbs\stubbga01,27,1st,Amateur Draft,0.06,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.1],False
24,Francis Martes\martefr01,24,1st,Traded,0.11599999999999999,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[-0.9],True
25,Yordan Álvarez\alvaryo01,23,1st,Traded,0.113,MVP Sports Group,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[3.7],False
26,Myles Straw\strawmy01,25,2,Amateur Draft,0.11199999999999999,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.2, 1.0]",False
27,Jack Mayfield\mayfija01,29,1st,Amateur Free Agent,0.044000000000000004,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.1],False
28,Kyle Tucker\tuckeky01,23,2,Amateur Draft,0.079,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.8, 0.8]",False
29,Cy Sneed\sneedcy01,27,1st,Traded,0.067,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[-0.1],True
30,Dean Deetz\deetzde01,26,1st,Amateur Draft,0.027000000000000003,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.0],True
31,Jose Urquidy\urquijo01,25,1st,Amateur Free Agent,0.049,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.5],True
32,Abraham Toro\toroab01,23,1st,Amateur Draft,0.039,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.2],False
33,Bryan Abreu\abreubr01,23,1st,Amateur Free Agent,0.025,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.3],True
34,Rogelio Armenteros\armenro01,26,1st,Amateur Free Agent,0.018000000000000002,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.1],True
