,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games
0,George Springer\springe01,31,8,Free Agency,6.166,Excel Sports Mana...,6 yrs/$150M (21-26),$23.67M,$29.67M,$24.17M,$24.17M,$24.17M,$24.17M,"[2.0, 4.2, 5.1, 5.0, 2.9, 6.5, 2.2, 0.1]",False,,"[78.0, 102.0, 162.0, 140.0, 140.0, 122.0, 51.0, 4.0]"
1,Hyun Jin Ryu\ryuhy01,34,8,Free Agency,8.0,Scott Boras,4 yrs/$80M (20-23),$20M,$20M,$20M,FA,,,"[3.8, 2.0, -0.3, 1.5999999999999999, 2.5, 5.1, 2.9, 1.7]",True,1.0,"[30.0, 26.0, 1.0, 25.0, 15.0, 29.0, 12.0, 11.0]"
2,Randal Grichuk\grichra01,29,8,Traded,6.0329999999999995,Excel Sports Mana...,5 yrs/$52M (19-23),$10.33M,$10.33M,$10.33M,FA,,,"[0.1, 3.1, 2.7, 0.6, 2.5, 0.7, 0.4, 1.2]",False,,"[47.0, 103.0, 132.0, 122.0, 124.0, 151.0, 55.0, 56.0]"
3,Lourdes Gurriel Jr.\gurrilo01,27,4,Amateur Free Agent,2.094,Magnus Sports,7 yrs/$22M (17-23),$3.93M,$4.93M,$5.83M,Arb,FA,,"[0.2, 1.8, 1.2, 0.3]",False,,"[65.0, 84.0, 57.0, 51.0]"
4,Marcus Semien\semiema01,30,9,Free Agency,6.117999999999999,Wasserman,1 yr/$18M (21),$18M,FA,,,,,"[0.6, 0.8, 1.7, 3.5, 1.8, 4.4, 8.6, 0.5, 3.1]",False,,"[21.0, 64.0, 155.0, 159.0, 85.0, 159.0, 162.0, 53.0, 56.0]"
5,Robbie Ray\rayro02,29,8,Traded,6.007000000000001,VC Sports Group,1 yr/$8M (21),$8M,FA,,,,,"[-0.7000000000000001, 1.4000000000000001, 1.3, 5.2, 0.8, 0.7999999999999999, -0.2, 1.6]",True,1.0,"[9.0, 23.0, 32.0, 28.0, 24.0, 33.0, 12.0, 10.0]"
6,Kirby Yates\yateski01,34,7,,6.021,Beverly Hills Spo...,1 yr/$5.5M (21),$5.5M,FA,,,,,"[0.2, -0.5, -0.1, 0.30000000000000004, 2.1, 2.8, -0.4]",True,0.0,"[37.0, 20.0, 41.0, 62.0, 65.0, 60.0, 6.0]"
7,Steven Matz\matzst01,30,7,Traded,5.099,Icon Sports Manag...,1 yr/$5.2M (21),$5.2M,FA,,,,,"[1.3, 2.6, -0.30000000000000004, 1.9, 2.8, -1.0, 0.7]",True,1.0,"[6.0, 22.0, 13.0, 30.0, 32.0, 9.0, 11.0]"
8,Teoscar Hernandez\hernate01,28,6,Traded,3.097,Republik Sports,1 yr/$4.32M (21),$4.32M,Arb,Arb,FA,,,"[0.2, 0.7, 0.5, 1.4, 1.5, 1.2]",False,,"[41.0, 27.0, 134.0, 125.0, 50.0, 40.0]"
9,Tyler Chatwood\chatwty01,31,10,Free Agency,9.039,Bob Garber,1 yr/$3M (21),$3M,FA,,,,,"[-0.3, 0.6000000000000001, 3.9, 0.1, 3.4, 2.1, -0.2, 1.5, -0.1, -0.1]",True,0.0,"[27.0, 19.0, 20.0, 4.0, 27.0, 33.0, 24.0, 38.0, 5.0, 20.0]"
10,Ross Stripling\stripro01,31,6,Traded,4.115,,1 yr/$3M (21),$3M,Arb,FA,,,,"[1.0, 0.5, 2.5, 0.7, -0.4, 0.6]",True,0.8888888888888888,"[22.0, 49.0, 33.0, 32.0, 12.0, 9.0]"
11,Rafael Dolis\dolisra01,33,5,Free Agency,2.101,Wasserman,2 yrs/$2.5M (20-21),$1.5M,Arb,Arb,Arb,FA,,"[0.1, -1.0, 0.1, 1.1, 0.1]",True,0.0,"[1.0, 34.0, 5.0, 24.0, 21.0]"
12,David Phelps\phelpda01,34,9,Free Agency,8.156,Jet Sports Manage...,1 yr/$1.75M (21),$1.75M,FA,,,,,"[2.2, -0.2, -0.1, 0.0, 2.7, 0.5, 0.7, 0.3, 0.4]",True,0.09090909090909091,"[33.0, 22.0, 32.0, 23.0, 64.0, 54.0, 41.0, 22.0, 11.0]"
13,Tommy Milone\milonto01,34,11,Free Agency,7.1129999999999995,Magnus Sports,1 yr/$100k (21),$100k,FA,,,,,"[0.5, 2.0, 0.8, 0.10000000000000006, 1.5, -0.5, -1.0, -0.2, 1.5, -0.3, -0.2]",True,0.16666666666666666,"[5.0, 31.0, 28.0, 22.0, 24.0, 19.0, 17.0, 5.0, 23.0, 9.0, 6.0]"
14,Joe Panik\panikjo01,30,8,Free Agency,6.1,Jet Sports Manage...,1 yr/$100k (21),$100k,FA,,,,,"[1.9, 3.5, 1.2, 1.5, -0.3, -0.7000000000000001, -0.2, -0.1]",False,,"[73.0, 100.0, 127.0, 138.0, 102.0, 142.0, 41.0, 28.0]"
15,A.J. Cole\coleaj01,29,7,Free Agency,3.1239999999999997,CAA Sports,1 yr/$100k (21),$100k,Arb,Arb,FA,,,"[-0.4, -0.2, 1.1, -0.5999999999999999, -0.1, 1.0, 0.4]",True,0.0,"[3.0, 8.0, 11.0, 32.0, 25.0, 24.0, 6.0]"
16,Carl Edwards Jr.\edwarca01,29,7,Free Agency,4.098,Ballengee Group,,Arb (~$1.3M),,FA,,,,"[0.0, 0.3, 1.5, 1.2, -0.4, 0.2, -0.1]",True,0.0,"[5.0, 36.0, 73.0, 58.0, 22.0, 5.0, 3.0]"
17,Christian Colon\colonch01,32,6,,3.0060000000000002,Boras Corporation,,Arb,,Arb,FA,,,"[0.8, 0.3, 0.4, -0.2, 0.2, -0.4]",False,,"[21.0, 43.0, 54.0, 24.0, 8.0, 11.0]"
18,Tyler White\whitety01,30,4,,2.101,Ballengee Group,,,,Arb,Arb,FA,,"[-0.2, 0.1, 1.3, -1.0]",False,,"[85.0, 22.0, 66.0, 83.0]"
19,Ryan Borucki\borucry01,27,4,Amateur Draft,2.088,,,,,Arb,Arb,FA,,"[1.8, -0.4, 0.6, 0.1]",True,0.0,"[17.0, 2.0, 21.0, 13.0]"
20,Danny Jansen\janseda01,26,4,Amateur Draft,2.05,,,,,Arb,Arb,FA,,"[0.6, 1.1, 0.7, -0.3]",False,,"[31.0, 107.0, 43.0, 41.0]"
