,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,career,pitcher,start_ratio,games
0,Mookie Betts\bettsmo01,27,7,Traded,5.07,VC Sports Group,1 yr/$27M (20)12 yrs/$365M (21-32),$27M,$22.92M,$22.92M,$25.42M,$30.4M,$30.4M,$30.4M,$30.4M,$35.4M,$35.4M,$35.4M,$32.9M,$32.9M,"[2.3, 6.1, 9.5, 6.3, 10.6, 6.9]",False,,"[52.0, 145.0, 158.0, 153.0, 136.0, 150.0]"
1,David Price\priceda01,34,12,,10.164,Bo McKinnis,7 yrs/$217M (16-22),$32M,$32M,$32M,FA,,,,,,,,,,"[0.5, 0.9, 4.7, 3.3, 6.6, 2.5, 4.300000000000001, 6.100000000000001, 2.8, 1.7000000000000002, 4.2, 1.9000000000000001]",True,0.9688473520249221,"[5.0, 23.0, 32.0, 34.0, 31.0, 27.0, 34.0, 32.0, 35.0, 16.0, 30.0, 22.0]"
2,Clayton Kershaw\kershcl01,32,12,Amateur Draft,11.105,Excel Sports Mana...,3 yrs/$93M (19-21),$31M,$31M,FA,,,,,,,,,,,"[1.2, 4.6000000000000005, 5.199999999999999, 7.5, 6.800000000000001, 8.6, 8.2, 7.3999999999999995, 6.0, 5.300000000000001, 4.1, 3.2]",True,0.9913544668587896,"[22.0, 31.0, 32.0, 33.0, 33.0, 33.0, 27.0, 33.0, 21.0, 27.0, 26.0, 29.0]"
3,Kenley Jansen\janseke01,32,11,Free Agency,9.073,Wasserman,5 yrs/$80M (17-21),$18M,$20M,FA,,,,,,,,,,,"[1.5, 0.9, 1.9, 2.6, 1.2, 1.4, 2.8, 3.1, 0.7, 0.0]",True,0.0,"[25.0, 51.0, 65.0, 75.0, 68.0, 54.0, 71.0, 65.0, 69.0, 62.0]"
4,Justin Turner\turneju01,35,12,Free Agency,9.045,The Legacy Agency,4 yrs/$64M (17-20),$20M,FA,,,,,,,,,,,,"[0.2, -0.6000000000000001, 0.2, 0.2, 0.5, 4.1, 3.8, 5.0, 5.6, 4.9, 4.1]",False,,"[12.0, 9.0, 117.0, 94.0, 86.0, 109.0, 126.0, 151.0, 130.0, 103.0, 135.0]"
5,AJ Pollock\polloaj01,32,9,Free Agency,7.0520000000000005,Excel Sports Mana...,4 yrs/$55M (19-22) & 23 player option,$15M,$18M,$13M,$5M [FA-*],FA,,,,,,,,,"[-0.1, 3.1, 3.4, 6.9, 0.4, 2.9, 2.4, 0.2]",False,,"[31.0, 137.0, 75.0, 157.0, 12.0, 112.0, 113.0, 86.0]"
6,Jake McGee\mcgeeja01,33,11,,8.127,Wasserman,3 yrs/$27M (18-20) & 21 team option,$9.5M,$2M [FA-*],FA,,,,,,,,,,,"[0.1, -0.1, 1.9, 0.2, 2.7, 0.9, 0.3, 1.4, -0.9, 0.3]",True,0.0,"[8.0, 37.0, 69.0, 71.0, 73.0, 39.0, 57.0, 62.0, 61.0, 45.0]"
7,Max Muncy\muncyma01,29,5,Free Agency,3.0269999999999997,,3 yrs/$26M (20-22) & 23 team option,$2.5M,$9M,$13M,$1.5M [FA-*],FA,,,,,,,,,"[-0.3, -0.2, 4.1, 5.7]",False,,"[45.0, 51.0, 137.0, 141.0]"
8,Joe Kelly\kellyjo05,32,9,Free Agency,7.029,ACES (Sam & Seth ...,3 yrs/$25M (19-21) & 22 team option,$8.83M,$8.83M,$4M [FA-*],FA,,,,,,,,,,"[0.6, 2.9, 0.4, 0.9, -0.1, 1.3, 0.4, -0.6]",True,0.0,"[24.0, 37.0, 17.0, 25.0, 20.0, 54.0, 73.0, 55.0]"
9,Chris Taylor\tayloch03,29,7,Traded,4.037,,2 yrs/$13.4M (20-21),$5.6M,$7.8M,FA,,,,,,,,,,,"[1.2, -0.8, 0.0, 4.5, 3.9, 1.7]",False,,"[47.0, 37.0, 36.0, 140.0, 155.0, 124.0]"
10,Cody Bellinger\bellico01,24,4,Amateur Draft,2.16,,1 yr/$11.5M (20),$11.5M,Arb,Arb,Arb,FA,,,,,,,,,"[4.0, 4.2, 9.1]",False,,"[132.0, 162.0, 156.0]"
11,Blake Treinen\treinbl01,32,7,Free Agency,5.065,Sosnick Cobbe & K...,1 yr/$10M (20),$10M,FA,,,,,,,,,,,,"[1.0, 0.19999999999999998, 2.0, 1.3, 4.1, -0.3]",True,0.0,"[15.0, 60.0, 73.0, 72.0, 68.0, 57.0]"
12,Joc Pederson\pederjo01,28,7,Amateur Draft,5.0280000000000005,Excel Sports Mana...,1 yr/$7.75M (20),$7.75M,FA,,,,,,,,,,,,"[0.0, 2.6, 3.4, -0.4, 2.1, 3.2]",False,,"[18.0, 151.0, 137.0, 102.0, 148.0, 149.0]"
13,Corey Seager\seageco01,26,6,Amateur Draft,4.032,Scott Boras,1 yr/$7.6M (20),$7.6M,Arb,FA,,,,,,,,,,,"[1.6, 5.2, 5.3, 0.3, 3.3]",False,,"[27.0, 157.0, 145.0, 26.0, 134.0]"
14,Enrique Hernandez\hernaen02,28,7,Traded,5.053999999999999,Wasserman,1 yr/$5.9M (20),$5.9M,FA,,,,,,,,,,,,"[1.4, 1.7, -0.1, 1.1, 3.3, 2.2]",False,,"[42.0, 76.0, 109.0, 140.0, 145.0, 130.0]"
15,Alex Wood\woodal02,29,8,Free Agency,6.122999999999999,ACES (Sam & Seth ...,1 yr/$4M (20),$4M,FA,,,,,,,,,,,,"[0.6000000000000001, 3.6999999999999997, 2.9000000000000004, 0.6000000000000001, 3.0, 1.0, -0.19999999999999998]",True,1.0,"[31.0, 35.0, 32.0, 14.0, 27.0, 33.0, 7.0]"
16,Pedro Baez\baezpe01,32,7,Amateur Free Agent,5.059,Kelvin Nova,1 yr/$4M (20),$4M,FA,,,,,,,,,,,,"[0.4, 0.2, 1.2, 0.7, 0.7000000000000001, 0.3]",True,0.0,"[20.0, 52.0, 73.0, 66.0, 55.0, 71.0]"
17,Ross Stripling\stripro01,30,5,Amateur Draft,3.115,,1 yr/$2.1M (20),$2.1M,Arb,Arb,FA,,,,,,,,,,"[1.0, 0.5, 2.5, 0.7]",True,1.0,"[22.0, 49.0, 33.0, 32.0]"
18,Jimmy Nelson\nelsoji02,31,6,,5.107,CAA Sports,1 yr/$1.25M (20) & 21 team option,$750k,$500k [FA-*],FA,,,,,,,,,,,"[0.3, -0.4, 1.3, 0.0, 3.0999999999999996, -0.4]",True,0.8991596638655462,"[4.0, 14.0, 30.0, 32.0, 29.0, 10.0]"
19,Austin Barnes\barneau01,30,6,Traded,3.0980000000000003,,1 yr/$1.1M (20),$1.1M,Arb,Arb,FA,,,,,,,,,,"[0.1, -0.1, 2.4, 0.6, 0.2]",False,,"[20.0, 21.0, 102.0, 100.0, 75.0]"
20,Julio Urias\uriasju01,23,5,Amateur Free Agent,2.117,,1 yr/$1M (20),$1M,Arb,Arb,Arb,FA,,,,,,,,,"[1.0, -0.2, 0.1, 1.4]",True,1.0,"[18.0, 5.0, 3.0, 37.0]"
21,Scott Alexander\alexasc02,30,6,Traded,3.097,Sosnick Cobbe & K...,1 yr/$875k (20),$875k,Arb,Arb,FA,,,,,,,,,,"[0.0, 0.3, 2.4, 0.30000000000000004, 0.2]",True,0.0,"[4.0, 17.0, 58.0, 73.0, 28.0]"
