,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career
0,Buster Posey\poseybu01,33,11,Amateur Draft,9.161,CAA Sports (Jeff ...,9 yrs/$167.4M (13-21) & 22 team option,$22.18M,$22.18M,$3M [FA-*],FA,"[-0.1, 3.9, 1.3, 7.6, 5.3, 5.1, 6.0, 4.9, 4.0, 3.0, 0.9]"
1,Johnny Cueto\cuetojo01,34,12,Free Agency,12.0,Bryce Dixon,6 yrs/$130M (16-21) & 22 team option,$21.83M,$21.83M,$5M [FA-*],FA,"[0.9999999999999999, 0.8, 2.1, 3.3000000000000003, 4.8, 1.2, 6.6, 4.0, 5.3, 1.9, 1.1, -0.1]"
2,Evan Longoria\longoev01,34,12,Traded,11.17,Paul Cohen,6 yrs/$100M (17-22) & 23 team option,$15.17M,$18.67M,$19.67M,$5M [FA-*],"[4.8, 7.0, 8.2, 7.2, 2.5, 5.8, 3.7, 4.5, 4.4, 3.8, 1.7, 2.5]"
3,Jeff Samardzija\samarje01,35,12,Free Agency,10.027999999999999,Wasserman,5 yrs/$90M (16-20),$19.8M,FA,,,"[0.5, -0.5, -0.7000000000000001, 1.0, 2.1999999999999997, 0.9, 3.9, 0.3, 2.6, 2.4000000000000004, -0.7, 3.1]"
4,Brandon Crawford\crawfbr01,33,9,Amateur Draft,8.094,Wasserman,6 yrs/$75M (16-21),$15.2M,$15.2M,FA,,"[0.3, 2.4, 2.4, 3.4, 5.8, 5.5, 2.0, 2.1, 0.2]"
5,Brandon Belt\beltbr01,32,9,Amateur Draft,8.128,Excel Sports Mana...,5 yrs/$72.8M (17-21),$17.2M,$17.2M,FA,,"[0.9, 2.8, 4.1, 1.0, 4.1, 4.1, 2.8, 2.6, 0.8]"
6,Kevin Gausman\gausmke01,29,7,,5.151,The Legacy Agency,1 yr/$9M (20),$9M,FA,,,"[-0.4, 1.2, 1.0, 3.9, 2.0, 3.3, -1.0]"
7,Wilmer Flores\florewi01,28,7,,6.002999999999999,ACES (Sam & Seth ...,2 yrs/$6.25M (20-21) & 22 team option,$3M,$3M,$250k [FA-*],FA,"[-0.6, 0.5, 1.2, 0.6, 0.1, 0.5, 0.9]"
8,Drew Smyly\smylydr01,31,6,,7.143,Frontline,1 yr/$4M (20),$4M,FA,,,"[1.7, 2.6, 3.7, 1.6, 0.1, -0.39999999999999997]"
9,Hunter Pence\pencehu01,37,13,Traded,12.155999999999999,Beverly Hills Spo...,1 yr/$3M (20),$3M,FA,,,"[3.4, 2.3, 4.0, 3.0, 3.5, 2.3, 1.0, 0.3, 3.8, 4.0, 1.0, 2.2, 0.1, -0.9, 1.6]"
10,Tony Watson\watsoto01,35,9,Free Agency,8.101,Scott Boras,1 yr/$3M (20),$3M,FA,,,"[0.4, 0.6, 1.5, 2.7, 2.5, 1.3, 0.9, 1.8, 0.2]"
11,Tyler Anderson\anderty01,30,4,,4.065,The Legacy Agency,1 yr/$1.78M (20),$1.77M,Arb,FA,,"[3.2, 1.0999999999999999, 2.6, -1.0]"
12,Donovan Solano\solando01,32,6,Free Agency,4.081,,1 yr/$1.38M (20),$1.38M,Arb,FA,,"[0.7, 0.1, -0.3, -0.5, 0.0, 0.0, 1.4]"
13,Alex Dickerson\dickeal01,30,3,Traded,3.12,,1 yr/$925k (20),$925k,Arb,Arb,FA,"[-0.1, 1.0, 0.0, -0.3, 1.0]"
14,Wandy Peralta\peralwa01,28,4,Waivers,2.168,Wasserman,1 yr/$805k (20),$805k,Arb,Arb,Arb,"[-0.2, 0.6, -0.6, -0.09999999999999998]"
15,Pablo Sandoval\sandopa01,33,12,Free Agency,11.042,Beverly Hills Spo...,1 yr/$100k (20),$100k,FA,,,"[1.0, 4.3, 1.5, 6.0, 2.2, 2.1, 3.2, -0.5, -0.2, -1.4, 0.3, 1.5]"
16,Trevor Cahill\cahiltr01,32,11,,10.097999999999999,John Boggs and As...,1 yr/$100k (20),$100k,FA,,,"[1.7, 3.9, 2.6999999999999997, 1.9000000000000001, 0.39999999999999997, -1.6, -0.29999999999999993, 1.0, 0.6000000000000001, 1.2, -0.4]"
17,Jerry Blevins\blevije01,36,13,,10.064,Excel Sports Mana...,1 yr/$100k (20),$100k,FA,,,"[-0.2, 0.5, 0.1, 0.5, 0.2, 1.5, 0.9, -0.4, 0.4, 1.0, 1.4, 0.2, 0.3]"
18,Tyson Ross\rossty01,33,10,,8.118,Wasserman,1 yr/$100k (20),$100k,FA,,,"[-0.3, 0.9, -1.2, 1.4, 2.9, 4.0, -0.3, -1.0, 1.3, 0.0]"
19,Brandon Guyer\guyerbr01,34,7,,6.066,ISE Baseball,1 yr/$100k (20),$100k,FA,,,"[0.0, 0.1, 1.7, 2.2, 2.0, -0.2, -0.2]"
20,Nick Vincent\vinceni01,33,8,Free Agency,6.0520000000000005,PSI Sports Manage...,1 yr/$100k (20),$100k,FA,,,"[0.9, 1.2, 0.2, 0.3, 0.6, 1.4, 0.4, 0.3]"
