,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games
0,Carlos Santana\santaca01,34,11,Traded,9.115,Octagon,3 yrs/$60M (18-20) & 21 team option,$20.83M,$500k [FA-*],FA,,"[2.0, 4.1, 3.7, 4.4, 2.8, 0.4, 3.5, 3.4, 1.6, 4.6]",False,,"[46.0, 155.0, 143.0, 154.0, 152.0, 154.0, 158.0, 154.0, 161.0, 158.0]"
1,Carlos Carrasco\carraca01,33,11,Traded,8.147,ACES (Sam & Seth ...,4 yrs/$47M (19-22) & 23 team option,$10.25M,$12M,$12M,$3M [FA-*],"[-0.7, 0.7, 0.6, -0.9, 4.1, 4.2, 3.0, 5.2, 3.7, 0.1]",True,1.0,"[5.0, 7.0, 21.0, 15.0, 40.0, 30.0, 25.0, 32.0, 32.0, 23.0]"
2,Jose Ramirez\ramirjo01,27,8,Amateur Free Agent,5.074,Republik Sports,5 yrs/$26M (17-21) & 22-23 team option,$6.65M,$9.4M,$2M [FA-*],$0 [FA-*],"[0.1, 1.5, 1.2, 4.8, 7.0, 7.6, 3.4]",False,,"[15.0, 68.0, 97.0, 152.0, 152.0, 157.0, 129.0]"
3,Brad Hand\handbr01,30,10,Traded,6.0920000000000005,Matt Colleran,3 yrs/$19.75M (18-20) & 21 team option,$7.58M,$1M [FA-*],FA,,"[0.4, -0.3, 0.30000000000000004, 0.3, -0.9, 1.5999999999999999, 2.9, 0.9, 1.1]",True,0.0,"[12.0, 1.0, 7.0, 32.0, 38.0, 82.0, 72.0, 69.0, 60.0]"
4,Francisco Lindor\lindofr01,26,6,Amateur Draft,4.113,SportsMeter,1 yr/$17.5M (20),$17.5M,Arb,FA,,"[4.0, 5.1, 5.7, 7.8, 5.0]",False,,"[99.0, 158.0, 159.0, 158.0, 143.0]"
5,Roberto Perez\perezro02,31,7,Amateur Draft,5.083,MDR Sports Manage...,4 yrs/$9M (17-20) & 21-22 team option,$3.62M,$450k [FA-*],$0 [FA-*],FA,"[0.8, 1.6, 0.6, 0.9, -0.5, 4.0]",False,,"[29.0, 70.0, 61.0, 73.0, 62.0, 119.0]"
6,Cesar Hernandez\hernace02,30,8,Free Agency,5.154,Octagon,1 yr/$6.25M (20),$6.25M,FA,,,"[-0.4, -0.7, 1.4, 3.0, 2.7, 1.8, 1.6]",False,,"[34.0, 66.0, 127.0, 155.0, 128.0, 161.0, 161.0]"
7,Mike Clevinger\clevimi01,29,5,Traded,3.0410000000000004,ACES,1 yr/$4.1M (20),$4.1M,Arb,Arb,FA,"[0.1, 3.0, 5.0, 4.1]",True,1.0,"[17.0, 27.0, 32.0, 21.0]"
8,Sandy Leon\leonsa01,31,9,Traded,5.144,Octagon,1 yr/$2M (20),$2M,FA,,,"[0.1, 0.0, 0.1, -0.1, 2.9, 0.7, -0.5, -0.6]",False,,"[12.0, 2.0, 20.0, 41.0, 78.0, 85.0, 89.0, 65.0]"
9,Delino DeShields\deshide02,27,5,,4.109,Wasserman,1 yr/$1.88M (20),$1.88M,Arb,FA,,"[1.0, -0.1, 1.7, 1.3, 1.5]",False,,"[121.0, 74.0, 120.0, 106.0, 118.0]"
