,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,career,pitcher,start_ratio,games
0,Corey Dickerson\dickeco01,31,8,Free Agency,6.101,Excel Sports Mana...,2 yrs/$17.5M (20-21),$8.75M,$8.75M,FA,"[0.8, 3.1, 0.5, 1.6, 2.8, 3.5, 0.8]",False,,"[69.0, 131.0, 65.0, 148.0, 150.0, 135.0, 78.0]"
1,Miguel Rojas\rojasmi02,31,7,Traded,5.043,Beverly Hills Spo...,2 yrs/$10.25M (20-21) & 22 team option,$4.75M,$5M,$500k [FA-*],"[0.9, 1.3, -0.2, 2.2, 1.3, 1.4]",False,,"[85.0, 60.0, 123.0, 90.0, 153.0, 132.0]"
2,Jonathan Villar\villajo01,29,8,Traded,5.113,MDR Sports Manage...,1 yr/$8.2M (20),$8.2M,FA,,"[-0.3, 0.9, 0.7, 3.2, 0.1, 2.7, 3.9]",False,,"[58.0, 87.0, 53.0, 156.0, 122.0, 141.0, 162.0]"
3,Jose Urena\urenajo01,28,5,Amateur Free Agent,4.04,Rep 1 Baseball,1 yr/$3.75M (20),$3.75M,Arb,FA,"[-0.5, -1.3, 1.7, 1.7, -0.30000000000000004]",True,0.6788321167883211,"[20.0, 28.0, 34.0, 31.0, 24.0]"
4,Brandon Kintzler\kintzbr01,35,11,Free Agency,8.003,Kevin Kohler,1 yr/$3.25M (20) & 21 team option,$3M,$250k [FA-*],FA,"[-0.2, -0.2, 0.1, 1.1, 0.8, -0.2, 1.1, 1.7999999999999998, 0.20000000000000007, 1.8]",True,0.0,"[7.0, 9.0, 14.0, 71.0, 64.0, 7.0, 54.0, 72.0, 70.0, 62.0]"
5,Jesus Aguilar\aguilje01,30,7,Waivers,3.082,MVP Sports Group,1 yr/$2.58M (20),$2.58M,Arb,Arb,"[-0.5, -0.2, -0.2, 1.1, 3.2, -0.3]",False,,"[19.0, 7.0, 9.0, 133.0, 149.0, 131.0]"
6,Francisco Cervelli\cervefr01,34,13,Free Agency,9.146,Republik Sports,1 yr/$2M (20),$2M,FA,,"[-0.1, 0.6, 0.9, 0.8, 0.0, 1.0, 1.2, 3.4, 1.5, 0.8, 3.1, 0.30000000000000004]",False,,"[3.0, 42.0, 93.0, 43.0, 3.0, 17.0, 49.0, 130.0, 101.0, 81.0, 104.0, 48.0]"
7,Adam Conley\conlead01,30,5,Amateur Draft,3.147,CAA Sports,1 yr/$1.53M (20),$1.52M,Arb,Arb,"[0.7, 1.6, -1.4, -0.1, -1.2]",True,0.3218390804597701,"[15.0, 25.0, 22.0, 52.0, 60.0]"
8,Matthew Joyce\joycema01,35,12,,10.123,ACES,1 yr/$100k (20),$100k,FA,,"[1.7, -0.2, 1.9, 3.4, 2.1, 1.7, 1.5, -0.9, 1.8, 1.9, 0.1, 0.7]",False,,"[92.0, 11.0, 77.0, 141.0, 124.0, 140.0, 140.0, 93.0, 140.0, 141.0, 83.0, 129.0]"
9,Sean Rodriguez\rodrise01,35,12,,10.105,MVP Sports Group,1 yr/$100k (20),$100k,FA,,"[-0.1, 0.0, 3.7, 2.3, 1.1, 0.8, 0.0, 0.0, 1.8, -0.30000000000000004, -0.5, 0.6]",False,,"[59.0, 12.0, 118.0, 131.0, 112.0, 96.0, 96.0, 139.0, 140.0, 54.0, 66.0, 76.0]"
10,Nick Vincent\vinceni01,33,8,,6.0520000000000005,PSI Sports Manage...,1 yr/$100k (20),$100k,FA,,"[0.9, 1.2, 0.2, 0.3, 0.6, 1.4, 0.4, 0.3]",True,0.005208333333333333,"[27.0, 45.0, 63.0, 26.0, 60.0, 69.0, 62.0, 32.0]"
11,Brad Boxberger\boxbebr01,32,9,Free Agency,6.0329999999999995,Scott Boras,1 yr/$100k (20),$100k,FA,,"[0.1, 0.1, 1.8, 0.1, -0.1, 0.4, -0.9, 0.0]",True,0.0,"[24.0, 18.0, 63.0, 69.0, 27.0, 30.0, 60.0, 29.0]"
12,Travis Snider\snidetr01,32,8,,5.086,CAA Sports (Joe U...,,Arb,,,"[0.6, 0.5, 0.8, 0.0, 0.4, -0.7, 1.9, 0.9]",False,,"[24.0, 77.0, 82.0, 49.0, 60.0, 111.0, 140.0, 87.0]"
13,Yimi Garcia\garciyi01,29,6,Free Agency,4.149,Jackson Managemen...,,Arb (~$1.1M),,FA,"[0.2, 0.4, 0.1, -0.6, 0.1]",True,0.0,"[8.0, 59.0, 9.0, 25.0, 64.0]"
