,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher,start_ratio,games
0,Robinson Cano\canoro01,37,16,Traded,14.075999999999999,Roc Nation Sports,10 yrs/$228.26M (14-23),$24M,$24M,$24M,$24M,FA,"[0.8, 3.2, 6.7, 0.2, 4.5, 8.1, 5.8, 8.4, 6.6, 6.3, 3.5, 7.3, 2.8, 3.3, 0.3]",False,,"[132.0, 122.0, 160.0, 159.0, 161.0, 160.0, 159.0, 161.0, 160.0, 157.0, 156.0, 161.0, 150.0, 80.0, 107.0]"
1,Jacob deGrom\degroja01,32,7,Amateur Draft,5.138999999999999,CAA Sports,5 yrs/$137.5M (19-23) & 24 team option,$25M,$35.5M,$35.5M,$32.5M,$0 [FA-*],"[3.5, 5.4, 3.5, 4.6000000000000005, 10.4, 8.2]",True,1.0,"[22.0, 30.0, 24.0, 31.0, 32.0, 32.0]"
2,Yoenis Céspedes\cespeyo01,34,8,Free Agency,8.0,Roc Nation Sports,4 yrs/$80.42M (17-20),$6M,FA,,,,"[4.0, 1.4, 4.4, 6.300000000000001, 3.0, 2.0, 0.8]",False,,"[129.0, 135.0, 152.0, 159.0, 132.0, 81.0, 38.0]"
3,Jeurys Familia\familje01,30,9,Free Agency,7.023,ACES (Sam & Seth ...,3 yrs/$30M (19-21),$11.67M,$11.67M,FA,,,"[-0.1, 0.0, 1.1, 2.9, 1.8, 0.0, 1.5, -0.4]",True,0.0,"[8.0, 9.0, 76.0, 76.0, 78.0, 26.0, 70.0, 66.0]"
4,Jed Lowrie\lowrije01,36,12,Free Agency,11.110999999999999,Excel Sports Mana...,2 yrs/$20M (19-20),$10M,FA,,,,"[1.5, -0.5, 1.6, 0.6, 2.2, 2.2, 1.0, 1.1, -0.4, 3.4, 4.4, -0.2]",False,,"[81.0, 32.0, 55.0, 88.0, 97.0, 154.0, 136.0, 69.0, 87.0, 153.0, 157.0, 9.0]"
5,Wilson Ramos\ramoswi01,32,11,Free Agency,9.047,SFX,2 yrs/$19M (19-20) & 21 team option,$10.25M,$1.5M [FA-*],FA,,,"[0.30000000000000004, 2.1, 0.3, 2.5, 1.4, 1.0, 3.0, 0.1, 2.5, 2.2]",False,,"[22.0, 113.0, 25.0, 78.0, 88.0, 128.0, 131.0, 64.0, 111.0, 141.0]"
6,Marcus Stroman\stromma01,29,6,Traded,5.148,The Legacy Agency,1 yr/$12M (20),$12M,FA,,,,"[1.8, 1.3, 1.5, 5.4, 0.3, 4.3999999999999995]",True,0.958904109589041,"[26.0, 4.0, 32.0, 33.0, 19.0, 32.0]"
7,Dellin Betances\betande01,32,9,Free Agency,6.077999999999999,Excel Sports Mana...,1 yr/$10.5M (20) & 21-22 player option,$7.5M,$3M [FA-*],$0 [FA-*],FA,,"[0.0, -0.2, 3.7, 3.9, 1.2, 1.5, 1.5, 0.0]",True,0.0,"[2.0, 6.0, 70.0, 74.0, 73.0, 66.0, 66.0, 1.0]"
8,Justin Wilson\wilsoju10,32,9,Free Agency,7.035,ACES (Sam & Seth ...,2 yrs/$10M (19-20),$5M,FA,,,,"[0.1, 1.7999999999999998, -0.4, 1.5, 0.6, 1.5, 0.7, 1.3]",True,0.0,"[8.0, 58.0, 70.0, 74.0, 66.0, 65.0, 71.0, 45.0]"
9,Rick Porcello\porceri01,31,12,Free Agency,10.17,Excel Sports Mana...,1 yr/$10M (20),$10M,FA,,,,"[2.5, 0.2, 0.3, 1.7, 2.4, 3.6999999999999997, 0.5, 4.8, -0.30000000000000004, 3.2, 1.0999999999999999]",True,1.0,"[31.0, 27.0, 31.0, 31.0, 32.0, 32.0, 28.0, 33.0, 33.0, 33.0, 32.0]"
10,Noah Syndergaard\syndeno01,27,5,Traded,4.149,CAA Sports,1 yr/$9.7M (20),$9.7M,Arb,FA,,,"[2.6999999999999997, 5.7, 0.7, 4.1, 2.5]",True,0.9915966386554622,"[24.0, 31.0, 7.0, 25.0, 32.0]"
11,Michael Conforto\confomi01,27,6,Amateur Draft,4.043,Scott Boras,1 yr/$8M (20),$8M,Arb,FA,,,"[2.1, 0.6, 3.6, 2.7, 3.4]",False,,"[56.0, 109.0, 109.0, 153.0, 151.0]"
12,Edwin Diaz\diazed04,26,5,Traded,3.1210000000000004,Wasserman,1 yr/$5.1M (20),$5.1M,Arb,Arb,FA,,"[1.4, 0.8, 3.3, -0.5]",True,0.0,"[49.0, 66.0, 73.0, 66.0]"
13,Steven Matz\matzst01,29,6,Amateur Draft,4.099,Icon Sports Manag...,1 yr/$5M (20),$5M,Arb,FA,,,"[1.3, 2.6, -0.30000000000000004, 1.9, 2.5]",True,1.0,"[6.0, 22.0, 13.0, 30.0, 32.0]"
14,Jake Marisnick\marisja01,29,8,Traded,5.132000000000001,Reynolds Sports M...,1 yr/$3.31M (20),$3.31M,FA,,,,"[0.2, 1.3, 2.5, 1.7, 2.1, 1.7, 1.4]",False,,"[40.0, 65.0, 133.0, 118.0, 106.0, 103.0, 120.0]"
15,Michael Wacha\wachami01,28,8,Free Agency,6.062,CAA Sports,1 yr/$3M (20),$3M,FA,,,,"[1.7999999999999998, 1.0999999999999999, 3.2, -0.5, 1.2, 0.9, 0.1]",True,1.0,"[15.0, 19.0, 30.0, 27.0, 30.0, 15.0, 29.0]"
16,Brandon Nimmo\nimmobr01,27,5,Amateur Draft,3.042,CAA Sports,1 yr/$2.18M (20),$2.17M,Arb,Arb,FA,,"[0.2, 1.1, 4.2, 0.7]",False,,"[32.0, 69.0, 140.0, 69.0]"
