,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
0,Manny Machado\machama01,27,9,Free Agency,7.056,MVP Sports Group,10 yrs/$300M (19-28),$32M,$32M,$32M,$32M,$32M,$32M,$32M,$32M,$32M,"[1.6, 5.9, 2.2, 7.5, 7.3, 3.8, 5.8, 2.6]",False,,"[51.0, 156.0, 82.0, 162.0, 157.0, 156.0, 162.0, 156.0]"
1,Eric Hosmer\hosmeer01,30,10,Free Agency,8.146,Scott Boras,8 yrs/$144M (18-25),$21M,$21M,$21M,$13M,$13M,$13M,FA,,,"[1.4, -0.5, 3.4, 0.8, 4.3, 1.6, 4.4, 1.4, -0.2]",False,,"[128.0, 152.0, 159.0, 131.0, 158.0, 158.0, 162.0, 157.0, 160.0]"
2,Wil Myers\myerswi01,29,8,Traded,6.104,CAA (Jeff Berry),6 yrs/$83M (17-22) & 23 team option,$22.5M,$22.5M,$22.5M,$1M [FA-*],FA,,,,,"[2.2, -0.9, 1.2, 3.5, 2.1, 2.1, -0.4]",False,,"[88.0, 87.0, 60.0, 157.0, 155.0, 83.0, 155.0]"
3,Drew Pomeranz\pomerdr01,31,10,Free Agency,7.013,Beverly Hills Spo...,4 yrs/$34M (20-23),$6M,$8M,$10M,$10M,FA,,,,,"[0.0, 1.8, -0.2, 1.5, 0.3, 3.8, 3.9, -0.5, 0.3000000000000001]",True,0.0,"[4.0, 22.0, 8.0, 20.0, 53.0, 31.0, 32.0, 26.0, 46.0]"
4,Garrett Richards\richaga01,32,10,Free Agency,7.148,ISE Baseball,2 yrs/$15.5M (19-20),$8.5M,FA,,,,,,,,"[-0.2, -1.0, 1.0, 4.2, 2.0, 0.4, 0.9, 0.2, -0.2]",True,1.0,"[7.0, 30.0, 47.0, 26.0, 32.0, 6.0, 6.0, 16.0, 3.0]"
5,Craig Stammen\stammcr01,36,11,Free Agency,8.16,Longo Law Group,2 yrs/$9M (20-21) & 22 team option,$4M,$4M,$1M [FA-*],FA,,,,,,"[0.30000000000000004, -0.2, 0.5, 2.1, 0.9, 0.2, 0.3, 1.8, 1.7, 1.1]",True,0.0,"[19.0, 35.0, 7.0, 59.0, 55.0, 49.0, 5.0, 60.0, 73.0, 76.0]"
6,Tommy Pham\phamth01,32,7,Traded,4.107,The Legacy Agency,1 yr/$7.9M (20),$7.9M,Arb,FA,,,,,,,"[-0.1, 1.5, -0.3, 6.2, 3.5, 3.8]",False,,"[6.0, 52.0, 78.0, 128.0, 137.0, 145.0]"
7,Kirby Yates\yateski01,33,7,Waivers,5.021,Beverly Hills Spo...,1 yr/$7.06M (20),$7.06M,FA,,,,,,,,"[0.2, -0.5, -0.1, 0.30000000000000004, 2.1, 3.0]",True,0.0,"[37.0, 20.0, 41.0, 62.0, 65.0, 60.0]"
8,Jurickson Profar\profaju01,27,7,Traded,5.165,Scott Boras,1 yr/$5.7M (20),$5.7M,FA,,,,,,,,"[-0.2, 0.1, 0.4, -0.1, 2.2, 0.3]",False,,"[9.0, 85.0, 90.0, 22.0, 146.0, 139.0]"
9,Zach Davies\davieza02,27,5,,4.02,,1 yr/$5.25M (20),$5.25M,Arb,FA,,,,,,,"[0.6, 1.9000000000000001, 3.4, -0.4, 2.5]",True,1.0,"[6.0, 28.0, 33.0, 13.0, 31.0]"
10,Pierce Johnson\johnspi01,29,3,Free Agency,0.13699999999999998,John Boggs,2 yrs/$5M (20-21) & 21 team option,$2M,$2M,Pre-Arb,Arb,Arb,Arb,FA,,,"[-0.1, -0.4]",True,0.0,"[1.0, 37.0]"
11,Austin Hedges\hedgeau01,27,6,Amateur Draft,3.1660000000000004,Scott Boras,1 yr/$3M (20),$3M,Arb,Arb,FA,,,,,,"[-0.4, -0.4, 1.0, 1.2, -0.7]",False,,"[56.0, 8.0, 120.0, 91.0, 102.0]"
