,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career
0,Gregory Polanco\polangr01,28,6,Amateur Free Agent,5.103,Republik Sports,5 yrs/$35M (17-21) & 22-23 team option,$8.6M,$11.6M,$3M [FA-*],$0 [FA-*],"[0.3, 2.5, 1.6, 0.3, 2.1, -0.6]"
1,Chris Archer\archech01,31,8,Traded,6.156000000000001,VC Sports Group,7 yrs/$33M (14-20) & 21 team option,$9M,$250k [FA-*],FA,,"[-0.2, 2.0, 2.5, 3.8, 1.9, 1.3, 0.7000000000000001, 0.9]"
2,Felipe Vazquez\riverfe01,28,5,Traded,4.162,Scott Boras,4 yrs/$22M (18-21) & 22-23 team option,$5.75M,$7.75M,$1M [FA-*],$0 [FA-*],"[1.1, 0.2, 2.6, 1.6, 2.9]"
3,Josh Bell\belljo02,27,4,Amateur Draft,3.053,Scott Boras,1 yr/$4.8M (20),$4.8M,Arb,Arb,FA,"[-0.8, 0.9, 0.2, 2.7]"
4,Keone Kela\kelake01,27,5,Traded,5.0,Wasserman,1 yr/$3.73M (20),$3.73M,FA,,,"[1.8, -0.4, 1.3, 1.3, 1.2]"
5,Trevor Williams\willitr01,28,4,Traded,3.0269999999999997,,1 yr/$2.83M (20),$2.83M,Arb,Arb,FA,"[-0.4, 1.6, 3.9, 0.6]"
6,Adam Frazier\fraziad01,28,4,Amateur Draft,3.075,,1 yr/$2.8M (20),$2.8M,Arb,Arb,FA,"[0.4, 1.1, 2.6, 2.0]"
7,Joe Musgrove\musgrjo01,27,4,Traded,3.063,,1 yr/$2.8M (20),$2.8M,Arb,Arb,FA,"[0.5, 0.0, 1.4000000000000001, 1.8]"
8,Jameson Taillon\taillja01,28,4,Amateur Draft,3.11,Excel Sports Mana...,1 yr/$2.25M (20),$2.25M,Arb,Arb,FA,"[2.1, 1.0999999999999999, 4.6000000000000005, 0.4]"
9,Jarrod Dyson\dysonja01,35,10,,8.088,CSE,1 yr/$2M (20),$2M,FA,,,"[0.8, 0.5, 1.5, 1.6, 2.3, 2.1, 2.9, 2.7, -0.1, 1.4]"
10,Michael Feliz\felizmi01,27,5,Traded,3.1689999999999996,Octagon,1 yr/$1.1M (20),$1.1M,Arb,Arb,FA,"[-0.1, -0.1, -0.5, -0.9, 0.7]"
11,Luke Maile\mailelu01,29,5,,3.0989999999999998,,1 yr/$900k (20),$900k,Arb,Arb,FA,"[-0.2, 0.3, -0.1, 0.9, -0.4]"
12,JT Riddle\riddljt01,28,3,,2.1180000000000003,,1 yr/$850k (20),$850k,Arb,Arb,Arb,"[0.5, 1.8, -0.6]"
13,Chad Kuhl\kuhlch01,27,3,Amateur Draft,3.0789999999999997,,1 yr/$840k (20),$840k,Arb,Arb,FA,"[0.8, 1.4, 0.1]"
14,Erik Gonzalez\gonzaer01,28,4,Traded,3.0069999999999997,,1 yr/$725k (20),$725k,Arb,Arb,FA,"[0.0, 0.1, 0.7, 0.5]"
15,Guillermo Heredia\heredgu01,29,4,,3.054,,1 yr/$564k (20),$563.5k,Arb,Arb,FA,"[0.6, 1.3, 0.2, 0.3]"
16,Derek Holland\hollade01,33,11,,10.105,Martini Sports Ma...,1 yr/$100k (20),$100k,FA,,,"[-0.6, 0.6, 2.6, 1.3, 3.2, 1.6, 0.4, 0.9, -1.5, 1.7, -1.2000000000000002]"
17,Robbie Erlin\erlinro01,29,6,,5.045,Sosnick Cobbe & K...,,Arb-3 (~$2M),FA,,,"[0.3, -0.4, 0.0, 0.1, 0.2, -0.5]"
18,Hector Noesi\noesihe01,33,6,,3.1439999999999997,ACES (Sam & Seth ...,,Arb-1 (~$900k),Arb-2,Arb-3,FA,"[0.2, -0.7000000000000001, -0.4, 0.20000000000000004, -0.5, -0.8]"
19,John Ryan Murphy\murphjr01,29,7,,3.122,ISE Baseball,,Arb-1 (~$1.2M),Arb-2,Arb-3,FA,"[0.0, 0.5, 0.4, -0.5, -0.1, -0.3, -0.09999999999999998]"
20,Jake Elmore\elmorja01,33,6,Purchased,2.125,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.6, -0.5, -0.2, -0.8, -0.7, -0.5]"
21,Edgar Santana\santaed01,28,2,Amateur Free Agent,2.048,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.2, 1.1]"
22,Charlie Tilson\tilsoch01,27,3,,2.02,ISE Baseball,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.0, 0.0, -0.9, -0.8]"
23,Andrew Susac\susacan01,30,5,,2.009,The Legacy Agency,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.7, 0.1, 0.1, -0.2, -0.3]"
24,Socrates Brito\britoso01,27,4,,1.123,The L. Warner Com...,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.6, -0.5, 0.0, -0.3, -0.7]"
25,Colin Moran\moranco01,27,4,Traded,2.1069999999999998,Excel Sports,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.3, 0.1, 0.6, -1.1]"
26,Kyle Crick\crickky01,27,3,Traded,2.104,BBI Sports,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.5, 1.5, -0.2]"
27,Chris Stratton\stratch01,29,4,Purchased,2.1,Bo McKinnis,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.1, 1.2999999999999998, -0.9, -0.19999999999999998]"
28,Steven Brault\braulst01,28,4,Traded,2.085,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.5, 0.1, 0.0, 1.5]"
29,Yacksel Rios\riosya01,27,3,Waivers,1.036,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.1, -0.4, -0.3]"
30,Jose Osuna\osunajo01,27,3,Amateur Free Agent,2.069,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.9, 0.0, -0.1]"
31,Richard Rodriguez\rodriri05,30,3,Free Agency,2.016,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.3, 1.7, 0.9]"
32,Nick Burdi\burdini01,27,2,Traded,2.0,Sosnick Cobbe & K...,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.2, -0.4]"
33,Jacob Stallings\stallja01,30,4,Amateur Draft,1.149,,,Pre-Arb-2,Arb-1,Arb-2,Arb-3,"[0.2, 0.2, 0.0, 1.5]"
34,Kevin Newman\newmake01,26,2,Amateur Draft,1.046,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.9, 3.1]"
35,Clay Holmes\holmecl01,27,2,Amateur Draft,1.031,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.5, -0.5]"
36,Nik Turley\turleni01,30,1st,,0.14300000000000002,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.8]
37,Sam Howard\howarsa01,27,2,,0.11900000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[0.1, -0.3]"
38,Phillip Evans\evansph01,27,2,,0.11,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[0.2, -0.3]"
39,Geoff Hartlieb\hartlge01,26,1st,Amateur Draft,0.09300000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.8]
40,Dovydas Neverauskas\neverdo01,27,3,Amateur Free Agent,0.17,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,"[0.3, -0.8, -0.4]"
41,Bryan Reynolds\reynobr01,25,1st,Traded,0.163,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,[4.1]
42,Cole Tucker\tuckeco01,23,1st,Amateur Draft,0.08,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[0.2]
43,Williams Jerez\jerezwi01,28,2,Waivers,0.07400000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[-0.6, 0.1]"
44,Pablo Reyes\reyespa01,26,2,Amateur Free Agent,0.127,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[0.2, -1.0]"
45,Jason Martin\martija03,24,1st,Traded,0.057999999999999996,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.3]
46,Miguel Del Pozo\delpomi01,27,1st,,0.043,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.5]
47,Kevin Kramer\krameke01,26,2,Amateur Draft,0.06,Sosnick Cobbe & K...,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[-0.6, -0.5]"
48,Montana DuRapau\durapmo01,28,1st,Amateur Draft,0.03,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.8]
49,Mitch Keller\kellemi03,24,1st,Amateur Draft,0.059000000000000004,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-1.1]
50,James Marvel\marveja01,26,1st,Amateur Draft,0.022000000000000002,Sosnick Cobbe & K...,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.5]
51,Luis Escobar\escoblu01,24,1st,Amateur Free Agent,0.02,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.1]
52,Sherman Johnson\johnssh01,29,1st,,0.013000000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.2]
