,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,pitcher,start_ratio,games
0,Khris Davis\daviskh01,33,9,Traded,7.104,Octagon,2 yrs/$33.5M (20-21),$16.75M,FA,,,"[1.3, 1.7, 0.6, 2.5, 2.7, 2.9, -0.1, -0.3, -0.2]",False,,"[56.0, 144.0, 121.0, 150.0, 153.0, 151.0, 133.0, 30.0, 22.0]"
1,Kyle Gibson\gibsoky01,33,9,Free Agency,7.039,Rowley Sports Man...,3 yrs/$28M (20-22),$9.67M,$7.67M,FA,,"[-0.8, 2.3000000000000003, 3.2, 0.8, 0.4, 3.4, 0.0, 0.1, 2.9]",True,1.0,"[10.0, 31.0, 32.0, 25.0, 29.0, 32.0, 34.0, 12.0, 11.0]"
2,Jordan Lyles\lylesjo01,30,11,Free Agency,9.002,Ballengee Group,2 yrs/$16M (20-21),$8M,FA,,,"[-1.0, -0.39999999999999997, -1.2000000000000002, 1.5, -0.09999999999999998, -1.0, -1.1, 0.30000000000000004, 1.9999999999999998, -1.0, -0.1]",True,1.0,"[20.0, 25.0, 27.0, 22.0, 10.0, 40.0, 38.0, 35.0, 28.0, 12.0, 12.0]"
3,Jose Leclerc\leclejo01,27,5,Amateur Free Agent,4.041,Munger English Sp...,4 yrs/$14.75M (19-22) & 23-24 team option,$4.5M,$5.25M,$750k [FA-*],$0 [FA-*],"[0.4, 0.8, 2.4, 1.4, 0.0]",True,0.015789473684210527,"[12.0, 47.0, 59.0, 70.0, 2.0]"
4,Joey Gallo\gallojo01,27,7,Amateur Draft,4.103,Scott Boras,1 yr/$6.2M (21),$6.2M,Arb,FA,,"[0.3, -0.5, 2.9, 2.4, 3.1, 1.4, 1.1]",False,,"[36.0, 17.0, 145.0, 148.0, 70.0, 57.0, 57.0]"
5,Joely Rodriguez\rodrijo06,29,4,Free Agency,1.0959999999999999,,2 yrs/$5.5M (20-21) & 22 team option,$2.5M,$500k [*],Arb,Arb,"[0.3, -1.0, 0.5, -0.3]",True,0.0,"[12.0, 26.0, 12.0, 17.0]"
6,David Dahl\dahlda01,27,5,Free Agency,3.162,,1 yr/$2.7M (21),$2.7M,Arb,Arb,FA,"[1.0, 0.7, 0.9, -1.0, -0.7]",False,,"[63.0, 77.0, 100.0, 24.0, 42.0]"
7,Isiah Kiner-Falefa\kineris01,26,4,Amateur Draft,3.0,MVP Sports Group,1 yr/$2M (21),$2M,Arb,Arb,FA,"[1.7, -0.2, 1.9, 2.7]",False,,"[111.0, 65.0, 58.0, 60.0]"
8,Wade LeBlanc\leblawa01,36,13,,7.131,CAA Sports (Greg ...,1 yr/$700k (21),$700k,FA,,,"[-0.5, 0.6, 0.6, 0.3, 1.5, -0.8, 0.30000000000000004, 0.5, 0.2, 2.6, 0.5, -0.4, -0.3]",True,0.16666666666666666,"[5.0, 9.0, 26.0, 14.0, 25.0, 17.0, 11.0, 19.0, 50.0, 32.0, 26.0, 6.0, 6.0]"
9,Jimmy Herget\hergeji01,27,2,Free Agency,1.033,,1 yr/$700k (21),$700k,Pre-Arb,Arb,Arb,"[0.1, 0.4]",True,0.04,"[5.0, 20.0]"
