,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games
0,Kevin Kiermaier\kiermke01,31,9,Amateur Draft,6.131,Reynolds Sports M...,6 yrs/$53M (17-22) & 23 team option,$11.17M,$12.17M,$2.5M [FA-*],FA,,,"[0.0, 3.5, 7.1, 5.5, 4.8, 2.3, 2.4, 1.8, 0.1]",False,,"[1.0, 108.0, 151.0, 105.0, 98.0, 88.0, 129.0, 49.0, 40.0]"
1,Brandon Lowe\lowebr01,26,4,Amateur Draft,2.0580000000000003,Bledsoe Agency,6 yrs/$24M (19-24) & 25-26 team option,$2.5M,$4M,$5.25M,$8.75M,$1M [FA-*],$0 [FA-*],"[0.8, 2.9, 2.4, 0.7]",False,,"[43.0, 82.0, 56.0, 56.0]"
2,Chris Archer\archech01,32,9,Free Agency,7.156000000000001,VC Sports Group,1 yr/$6.5M (21),$6.5M,FA,,,,,"[-0.2, 2.0, 2.5, 3.8, 1.9, 1.3, 0.7000000000000001, 1.1, -0.2]",True,0.5,"[6.0, 23.0, 32.0, 34.0, 33.0, 34.0, 27.0, 23.0, 2.0]"
3,Tyler Glasnow\glasnty01,27,6,Traded,3.158,Wasserman,1 yr/$4M (21),$4M,Arb,Arb,FA,,,"[0.1, -1.5, 0.8, 2.5, 0.7, 1.7]",True,1.0,"[7.0, 15.0, 45.0, 12.0, 11.0, 12.0]"
4,Manuel Margot\margoma01,26,6,Traded,4.012,Wasserman,1 yr/$3.4M (21),$3.4M,Arb,FA,,,,"[0.6, 2.4, 1.3, 1.9, 1.0, 1.3]",False,,"[10.0, 126.0, 141.0, 151.0, 47.0, 53.0]"
5,Michael Wacha\wachami01,29,9,Free Agency,7.062,CAA Sports,1 yr/$3M (21),$3M,FA,,,,,"[1.7999999999999998, 1.0999999999999999, 3.2, -0.5, 1.2, 0.9, -0.1, -0.1, -0.2]",True,0.5555555555555556,"[15.0, 19.0, 30.0, 27.0, 30.0, 15.0, 29.0, 8.0, 9.0]"
6,Mike Zunino\zuninmi01,30,9,Free Agency,6.165,Jet Sports Manage...,1 yr/$3M (21) & 22 team option,$2M,$1M [FA-*],FA,,,,"[0.4, 0.4, -0.7, 1.8, 3.4, 1.9, -0.2, -0.1, 1.0]",False,,"[52.0, 131.0, 112.0, 55.0, 124.0, 113.0, 90.0, 28.0, 39.0]"
7,Rich Hill\hillri01,41,17,Free Agency,11.127,ACES (Sam & Seth ...,1 yr/$2.5M (21),$2.5M,FA,,,,,"[-0.8, 1.3, 3.1999999999999997, 0.4, -1.3, 0.3, 0.5, 0.7, -1.3, 0.2, 1.6, 4.2, 2.0, 1.4000000000000001, 1.2000000000000002, 0.7, 0.9]",True,1.0,"[10.0, 17.0, 32.0, 5.0, 14.0, 6.0, 9.0, 25.0, 63.0, 16.0, 4.0, 20.0, 25.0, 25.0, 13.0, 8.0, 12.0]"
8,Ji-Man Choi\choiji01,30,6,Traded,3.076,Gman Sports Manag...,1 yr/$2.45M (21),$2.45M,Arb,Arb,FA,,,"[-0.6, 0.2, 1.1, 2.2, 0.3, 0.8]",False,,"[54.0, 6.0, 61.0, 127.0, 42.0, 15.0]"
9,Chaz Roe\roech01,34,9,Free Agency,5.093999999999999,Sosnick Cobbe & K...,1 yr/$1.15M (21),$1.15M,FA,,,,,"[0.0, -0.1, 0.2, 0.4, 0.09999999999999998, 0.5, -0.1, 0.3, -0.2]",True,0.0,"[21.0, 3.0, 36.0, 30.0, 12.0, 61.0, 71.0, 10.0, 1.0]"
