,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher
0,Joey Votto\vottojo01,36,13,Amateur Draft,12.027000000000001,MVP Sports Group,10 yrs/$225M (14-23) & 24 team option,$25M,$25M,$25M,$25M,$7M [FA-*],FA,"[0.1, 3.3, 4.8, 7.0, 6.6, 5.9, 6.6, 1.7, 7.8, 4.2, 8.1, 4.0, 1.9]",False
1,Eugenio Suarez\suareeu01,28,6,Traded,5.061,Octagon,7 yrs/$66M (18-24) & 25 team option,$9.54M,$10.79M,$11.29M,$11.29M,$11.29M,$2M [FA-*],"[0.8, 0.9, 1.6, 3.5, 4.2, 3.9]",False
2,Mike Moustakas\moustmi01,31,9,,8.111,Scott Boras,4 yrs/$64M (20-23) & 24 team option,$12M,$14M,$16M,$18M,$4M [FA-*],FA,"[1.0, 3.1, -0.6, 0.1, 4.1, 0.8, 1.6, 2.4, 2.8]",False
3,Nicholas Castellanos\casteni01,28,7,,6.029,Boras Corporation,4 yrs/$64M (20-23) & 24 mutual option,$16M,$14M,$16M,$16M,$2M [FA-*],FA,"[-0.2, -0.1, 1.3, 2.3, 0.8, 2.9, 2.7]",False
4,Raisel Iglesias\iglesra01,30,5,Amateur Free Agent,4.154,Magnus Sports,2 yrs/$24.13M (19-20)7 yrs/$27M (14-20),$5.71M,Arb,FA,,,,"[0.7, 2.6, 2.3000000000000003, 2.0, 0.7]",True
5,Sonny Gray\grayso01,30,7,Traded,6.061,Bo McKinnis,4 yrs/$38M (19-22) & 23 team option,$10.17M,$10.17M,$10.17M,$0 [FA-*],FA,,"[1.4, 3.1999999999999997, 5.4, -0.3, 2.7, 0.2, 5.6]",True
6,Trevor Bauer\bauertr01,29,8,Traded,5.1579999999999995,Wasserman,1 yr/$17.5M (20),$17.5M,FA,,,,,"[-0.3, -0.2, 1.9, 1.6, 2.1, 2.9, 5.8, 1.2000000000000002]",True
7,Tucker Barnhart\barnhtu01,29,6,Amateur Draft,5.075,Ballengee Group,4 yrs/$16M (18-21) & 22 team option,$3.94M,$4.19M,$500k [FA-*],FA,,,"[0.0, 0.2, 0.9, 3.7, 0.9, 0.6]",False
8,Wade Miley\mileywa01,33,9,,8.025,O'Connell Sports ...,2 yrs/$15M (20-21) & 22 team option,$6M,$8M,$1M [FA-*],FA,,,"[0.0, 3.3000000000000003, 1.4, 0.7999999999999999, 2.3, 0.0, -0.2, 1.5, 1.6]",True
9,Freddy Galvis\galvifr01,30,8,Waivers,7.021,The Legacy Agency,2 yrs/$9.5M (19-20),$5.5M,FA,,,,,"[0.7, -0.3, -0.6, 0.1, 1.1, 2.0, 2.0, 2.6]",False
