,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,pitcher,start_ratio,games
0,Charlie Blackmon\blackch02,34,11,Amateur Draft,8.102,ACES,4 yrs/$77M (18-21) & 22-23 player option,$21.5M,$0 [FA-*],$0 [FA-*],FA,"[-0.7, 0.2, 0.6, 2.0, 2.0, 4.6, 5.5, 1.0, 2.3, 0.9, 0.2]",False,,"[27.0, 42.0, 82.0, 154.0, 157.0, 143.0, 159.0, 156.0, 140.0, 59.0, 55.0]"
1,German Marquez\marquge01,26,6,Traded,4.027,,5 yrs/$43M (19-23) & 24 team option,$7.8M,$11.3M,$15.3M,$2.5M [FA-*],"[0.1, 3.5, 5.2, 3.4, 1.7, 1.2]",True,1.0,"[6.0, 29.0, 33.0, 28.0, 13.0, 12.0]"
2,Trevor Story\storytr01,28,6,Amateur Draft,5.0,Excel Sports,2 yrs/$27.5M (20-21),$18.5M,FA,,,"[4.3, 2.6, 6.2, 7.0, 2.6, 0.5]",False,,"[97.0, 145.0, 157.0, 145.0, 59.0, 50.0]"
3,Scott Oberg\obergsc01,31,5,Amateur Draft,5.063,Big League Manage...,3 yrs/$13M (20-22) & 23 team option,$4M,$7M,$0 [FA-*],FA,"[-0.1, 0.0, 0.3, 2.3, 2.3]",True,0.0,"[64.0, 24.0, 66.0, 56.0, 49.0]"
4,Jon Gray\grayjo02,29,7,Amateur Draft,5.062,CAA Sports,1 yr/$6M (21),$6M,FA,,,"[0.1, 2.0, 3.0, 1.5, 3.4, -0.2, 0.7]",True,1.0,"[9.0, 29.0, 20.0, 31.0, 26.0, 8.0, 12.0]"
5,Kyle Freeland\freelky01,28,5,Amateur Draft,3.1439999999999997,MSM Sports,1 yr/$5.02M (21),$5.02M,Arb,Arb,FA,"[3.5, 8.100000000000001, -1.0, 2.2, -0.2]",True,1.0,"[33.0, 33.0, 22.0, 13.0, 3.0]"
6,Mychal Givens\givenmy01,31,7,Traded,5.069,Excel Sports Mana...,1 yr/$4.05M (21),$4.05M,FA,,,"[0.9, 1.5, 2.3, 1.1, 0.7, 0.39999999999999997, 0.7]",True,0.0,"[22.0, 66.0, 69.0, 69.0, 58.0, 22.0, 21.0]"
7,Antonio Senzatela\senzaan01,26,5,Amateur Free Agent,3.1060000000000003,Republik Sports,1 yr/$3M (21),$3M,Arb,Arb,FA,"[2.1, 1.2, -1.1, 2.8, 0.09999999999999998]",True,1.0,"[36.0, 23.0, 25.0, 12.0, 11.0]"
8,Daniel Bard\bardda01,36,7,Free Agency,4.103,ISE Baseball,1 yr/$2.93M (21),$2.92M,Arb,FA,,"[0.6, 3.1, 1.2, -0.7, 0.0, 0.9, 0.1]",True,0.0,"[49.0, 73.0, 70.0, 17.0, 2.0, 23.0, 21.0]"
9,Ryan McMahon\mcmahry01,26,5,Amateur Draft,3.0060000000000002,,1 yr/$2.38M (21),$2.38M,Arb,Arb,FA,"[-0.1, 0.4, 1.8, 0.6, 2.2]",False,,"[17.0, 91.0, 141.0, 52.0, 58.0]"
