,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career
0,Miguel Cabrera\cabremi01,37,17,Traded,16.101,ISE Baseball,8 yrs/$240M (16-23) & 24-25 vesting option,$30M,$30M,$32M,$32M,$0 [FA-*],$0 [FA-*],"[0.6, 3.5, 5.2, 5.8, 3.2, 2.7, 5.1, 6.5, 7.6, 7.1, 7.5, 5.1, 4.9, 5.1, -0.7, 0.4, -0.1]"
1,Jordan Zimmermann\zimmejo02,34,11,Free Agency,10.154,ISE Baseball,5 yrs/$110M (16-20),$25M,FA,,,,,"[0.9, -0.2, 2.9000000000000004, 5.5, 3.4, 4.9, 3.0, 0.5, 0.3, 0.7, -0.2]"
2,Jonathan Schoop\schoojo01,28,7,,6.027,VC Sports Group,1 yr/$6.1M (20),$6.1M,FA,,,,,"[0.0, 1.2, 1.8, 3.4, 6.3, 2.0, -0.1, 1.6]"
3,C.J. Cron\croncj01,30,6,,5.0969999999999995,Moye Sports Assoc...,1 yr/$6.1M (20),$6.1M,FA,,,,,"[-0.1, 0.4, 1.9, 1.0, 2.3, 1.7]"
4,Matthew Boyd\boydma01,29,5,Traded,3.136,,1 yr/$5.3M (20),$5.3M,Arb,Arb,FA,,,"[-1.3, 1.3, 1.3, 2.2, 3.7]"
5,Austin Romine\rominau01,31,8,,6.045,Moye Sports Assoc...,1 yr/$4.1M (20),$4.1M,FA,,,,,"[-0.2, -0.5, -0.1, -0.2, -0.2, -0.9, 1.3, 0.6]"
6,Daniel Norris\norrida01,27,6,Traded,4.073,Excel Sports Mana...,1 yr/$2.96M (20),$2.96M,Arb,FA,,,,"[0.0, 0.5, 1.7, 0.5, 0.0, 2.9]"
7,Michael Fulmer\fulmemi01,27,3,Traded,3.157,BBI Sports,1 yr/$2.8M (20),$2.8M,Arb,Arb,FA,,,"[5.4, 3.4, 0.9]"
8,JaCoby Jones\jonesja07,28,4,Traded,2.125,,1 yr/$1.58M (20),$1.57M,Arb,Arb,Arb,FA,,"[-0.1, -0.2, 2.1, -0.1]"
9,Cameron Maybin\maybica01,33,13,Traded,10.059,Mato Sports Manag...,1 yr/$1.5M (20),$1.5M,FA,,,,,"[-0.4, 0.8, -0.1, 1.2, 4.4, 2.8, -0.8, 0.1, 0.6, 1.7, 1.6, 0.0, 0.8, -0.1, 1.6]"
10,Ivan Nova\novaiv01,33,10,,9.024,Wasserman,1 yr/$1.5M (20),$1.5M,FA,,,,,"[0.4, 2.5, 0.5, 3.4, -0.7, 0.6, 1.6999999999999997, 1.4, 0.5000000000000001, 2.1999999999999997]"
11,Buck Farmer\farmebu01,29,6,Amateur Draft,3.083,,1 yr/$1.15M (20),$1.15M,Arb,Arb,FA,,,"[-0.5, -1.0, 0.2, -0.4, 0.6, 1.5]"
12,Hector Santiago\santihe01,32,9,,7.101,Excel Sports Mana...,1 yr/$100k (20),$100k,FA,,,,,"[0.2, 1.5, 2.6, 0.5, 2.1, 1.2, 0.0, 0.7000000000000001, -0.30000000000000004]"
13,Jordy Mercer\mercejo03,33,8,Free Agency,7.095,The Legacy Agency,1 yr/$100k (20),$100k,FA,,,,,"[0.3, 1.3, 2.3, 0.4, 1.2, 0.3, 0.1, 0.6]"
14,Zack Godley\godleza01,30,5,,3.103,Sports Pro Servic...,1 yr/$100k (20),$100k,Arb,Arb,FA,,,"[0.5, -0.5, 3.9, -1.4, -0.7000000000000001]"
15,Alex Wilson\wilsoal01,33,7,Traded,5.073,Ballengee Group,,Arb-3,FA,,,,,"[-0.2, 0.5, 1.8, 2.0, 0.3, 1.3, -0.6]"
16,Kennys Vargas\vargake01,29,4,,2.01,International Bas...,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[0.6, -0.6, 1.0, 0.8]"
17,Tim Adleman\adlemti01,32,2,,1.155,,,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,"[1.3, -0.6]"
18,Brandon Dixon\dixonbr01,28,2,Waivers,1.125,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.30000000000000004, -0.4]"
19,Jorge Bonifacio\bonifjo01,27,3,,1.102,ISE Baseball,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.4, -0.3, 0.1]"
20,Joe Jimenez\jimenjo02,25,3,Amateur Free Agent,2.077,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-1.1, 0.1, 0.6]"
21,Jeimer Candelario\candeje01,26,4,Traded,2.0380000000000003,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-0.1, -0.2, 0.4, 1.7, 0.5]"
22,Niko Goodrum\goodrni01,28,3,Free Agency,2.031,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-0.2, 1.3, 1.6]"
23,Jose Cisnero\cisnejo01,31,3,Free Agency,2.02,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[0.2, -0.3, 0.3]"
24,Grayson Greiner\greingr01,27,2,Amateur Draft,1.102,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.0, -0.7]"
