,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher
0,Josh Donaldson\donaljo02,34,9,,7.1579999999999995,MVP Sports Group,4 yrs/$92M (20-23) & 24 team option,$18.75M,$21.75M,$21.75M,$21.75M,$8M [FA-*],FA,"[-0.3, 1.5, 7.2, 6.9, 7.1, 7.2, 4.6, 0.7, 6.0]",False
1,Max Kepler\keplema01,27,5,Amateur Free Agent,3.1519999999999997,Sosnick Cobbe & K...,5 yrs/$35M (19-23) & 24 team option,$6.25M,$6.5M,$6.75M,$8.5M,$1M [FA-*],FA,"[-0.1, 2.4, 1.9, 3.2, 4.1]",False
2,Miguel Sano\sanomi01,27,5,Amateur Free Agent,4.066,Roc Nation Sports,3 yrs/$30M (20-22) & 23 team option,$7M,$11M,$9.25M,$2.75M [FA-*],FA,,"[2.4, 0.3, 2.8, -0.7, 3.0]",False
3,Nelson Cruz\cruzne02,39,15,Free Agency,12.082,Bryce Dixon,2 yrs/$26M (19-20),$12M,FA,,,,,"[0.0, 0.2, -0.4, 1.5, 2.3, 4.1, 1.5, 0.8, 2.1, 4.5, 5.1, 4.8, 4.2, 2.9, 4.4]",False
4,Jorge Polanco\polanjo01,26,6,Amateur Free Agent,3.0239999999999996,ISE Baseball,5 yrs/$25.75M (19-23) & 24-25 vesting/team option,$3.83M,$4.33M,$5.5M,$7.5M,$1M [FA-*],$0 [FA-*],"[0.2, -0.1, 0.4, 1.4, 1.2, 4.8]",False
5,Kenta Maeda\maedake01,32,4,,4.0,Wasserman,8 yrs/$25M (16-23),$3.12M,$3.12M,$3.12M,$3.12M,FA,,"[2.8, 0.5, 0.49999999999999994, 1.7]",True
6,Marwin Gonzalez\gonzama01,31,8,Free Agency,7.132999999999999,Scott Boras,2 yrs/$21M (19-20),$9M,FA,,,,,"[-0.1, 0.7, 1.3, 2.7, 1.2, 3.8, 2.3, 1.8]",False
7,Michael Pineda\pinedmi01,31,6,Free Agency,8.09,ISE Baseball,2 yrs/$20M (20-21),$10M,$10M,FA,,,,"[2.3000000000000003, 2.7, 1.8, 1.1, 0.6, 2.3]",True
8,Jake Odorizzi\odorija01,30,8,Free Agency,6.042000000000001,Excel Sports Mana...,1 yr/$17.8M (20),$17.8M,FA,,,,,"[0.1, 0.3, 1.3, 3.1999999999999997, 3.2, -0.1, 1.0999999999999999, 3.6]",True
9,Eddie Rosario\rosared01,28,5,Amateur Draft,4.12,Gavin Kahn,1 yr/$7.75M (20),$7.75M,Arb,FA,,,,"[2.2, 1.2, 1.5, 4.1, 1.7]",False
10,Homer Bailey\baileho02,34,13,,11.017000000000001,Hendricks Sports,1 yr/$7M (20),$7M,FA,,,,,"[0.0, -1.1, 0.09999999999999998, 0.7, 0.6, 1.5999999999999999, 2.9, 1.5, -0.2, -0.6, -0.7, -1.6, 2.1]",True
11,Sergio Romo\romose01,37,12,Traded,11.097000000000001,Meister Sports Mg...,1 yr/$5M (20) & 21 team option,$4.75M,$250k [FA-*],FA,,,,"[0.6, 0.5, 1.7, 1.7, 1.9, 0.8, 0.2, 0.9, 0.7, 0.5, 0.2, 0.6000000000000001]",True
12,Taylor Rogers\rogerta01,29,4,Amateur Draft,3.145,Frontline,1 yr/$4.45M (20),$4.45M,Arb,Arb,FA,,,"[0.7, 1.2, 2.0, 2.5]",True
13,Alex Avila\avilaal01,33,11,,10.061,Excel Sports Mana...,1 yr/$4.25M (20),$4.25M,FA,,,,,"[0.6, 0.1, 5.1, 2.2, 0.6, 2.1, 0.0, 1.0, 2.7, 0.1, 1.4]",True
14,Jose Berrios\berrijo01,26,4,Amateur Draft,3.0439999999999996,Wasserman,1 yr/$4.03M (20),$4.03M,Arb,Arb,FA,,,"[-1.5, 2.0, 3.3, 3.3]",True
15,Byron Buxton\buxtoby01,26,5,Amateur Draft,3.16,Jet Sports Manage...,1 yr/$3.08M (20),$3.08M,Arb,Arb,FA,,,"[0.4, 1.7, 5.0, -0.3, 3.1]",False
16,Rich Hill\hillri01,40,15,,10.127,ACES (Sam & Seth ...,1 yr/$3M (20),$3M,FA,,,,,"[-0.8, 1.3, 3.1999999999999997, 0.4, -1.3, 0.3, 0.5, 0.7, -1.3, 0.2, 1.6, 4.2, 2.1, 1.4000000000000001, 1.2000000000000002]",True
