Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
1,2011,PHI,NL,102,60,.630,1477.0,162,162,529,3.22,4.15,-0.32,0.02,99.5,4.48,201,24.4,1.18,-0.6,36.4,321,.544,.544,$94287333
2,2014,LAA,AL,98,64,.605,1482.2,162,162,630,3.82,4.18,-0.08,-0.01,93.9,3.99,7,1.6,1.13,-1.0,15.3,162,.501,.501,$53144500
3,2012,WSN,NL,98,64,.605,1468.1,162,162,594,3.64,4.23,-0.09,-0.01,102.0,4.39,109,12.5,1.21,-1.5,23.8,241,.520,.520,$38940750
4,2013,BOS,AL,97,65,.599,1453.2,162,162,656,4.06,4.34,0.16,0.01,103.0,4.31,20,3.2,1.16,-0.5,17.0,178,.504,.504,$91293000
5,2013,STL,NL,97,65,.599,1459.2,162,162,596,3.67,4.00,-0.12,0.01,100.5,4.14,83,10.4,1.16,-1.0,22.5,192,.516,.516,$35173000
6,2012,CIN,NL,97,65,.599,1453.0,162,162,588,3.64,4.30,0.21,0.02,103.8,4.26,87,9.9,1.32,-0.3,22.1,217,.517,.517,$29667000
7,2011,NYY,AL,97,65,.599,1458.1,162,162,657,4.05,4.53,0.20,0.00,104.7,4.53,68,8.1,1.27,0.3,23.5,226,.513,.513,$74940764
8,2010,PHI,NL,97,65,.599,1456.2,162,162,640,3.96,4.41,-0.04,0.02,101.4,4.52,89,11.1,1.01,-0.9,22.8,212,.518,.518,$62764333
9,2014,BAL,AL,96,66,.593,1461.1,162,162,593,3.65,4.15,0.36,0.00,103.2,3.90,20,2.4,1.30,-0.7,16.2,173,.504,.504,$35390000
10,2014,WSN,NL,96,66,.593,1470.2,162,162,555,3.40,3.97,0.04,0.00,101.2,3.97,106,13.1,1.17,-1.0,25.2,210,.521,.521,$59088200
11,2013,ATL,NL,96,66,.593,1450.1,162,162,548,3.40,3.93,0.19,0.01,100.4,3.76,65,7.8,1.14,-0.7,20.0,174,.513,.513,$33343750
12,2013,OAK,AL,96,66,.593,1452.0,162,162,625,3.87,4.34,-0.29,0.00,96.2,4.45,73,8.4,1.11,-1.0,21.7,230,.514,.514,$20142500
13,2011,MIL,NL,96,66,.593,1442.0,162,162,638,3.98,4.20,0.17,0.01,103.8,4.18,27,3.3,1.07,-0.9,14.8,145,.506,.506,$41624000
14,2011,TEX,AL,96,66,.593,1441.1,162,162,677,4.23,4.42,0.04,0.01,106.6,4.67,63,7.1,1.11,-1.1,20.9,219,.512,.512,$27021110
15,2010,TBR,AL,96,66,.593,1453.2,162,162,649,4.02,4.49,0.33,0.00,94.7,3.94,-22,-1.5,1.16,-0.9,12.8,137,.498,.498,$24641171
16,2012,NYY,AL,95,67,.586,1445.1,162,162,668,4.16,4.45,0.07,0.01,103.1,4.53,59,7.0,1.17,-0.7,21.2,206,.511,.511,$75911125
17,2011,DET,AL,95,67,.586,1440.0,162,162,711,4.44,4.39,0.09,0.00,101.4,4.37,-20,-0.6,1.13,-0.7,13.6,136,.499,.499,$35021000
18,2010,NYY,AL,95,67,.586,1442.1,162,162,693,4.32,4.48,0.27,-0.01,104.1,4.37,-2,0.4,1.11,-0.6,14.9,156,.501,.501,$86882989
19,2014,LAD,NL,94,68,.580,1464.2,162,162,617,3.79,4.01,0.06,0.00,95.6,3.78,11,3.0,1.04,-0.9,15.1,114,.505,.505,$101349526
20,2013,PIT,NL,94,68,.580,1470.2,162,162,577,3.53,4.11,0.35,-0.01,95.4,3.56,12,2.4,1.16,-0.8,14.7,122,.504,.504,$43427000
21,2012,ATL,NL,94,68,.580,1445.1,162,162,600,3.74,4.27,0.56,0.00,101.3,3.76,-9,-0.1,1.13,-0.3,12.1,120,.500,.500,$27968000
22,2012,OAK,AL,94,68,.580,1470.0,162,162,614,3.76,4.54,0.06,-0.01,95.0,4.26,81,9.3,1.16,-1.0,23.6,231,.515,.515,$21900000
23,2012,SFG,NL,94,68,.580,1451.0,162,162,649,4.03,4.29,0.05,0.01,89.4,3.80,-50,-4.7,1.19,-0.1,7.7,80,.493,.493,$80279350
24,2011,ARI,NL,94,68,.580,1443.1,162,162,662,4.13,4.10,0.34,0.01,103.0,3.88,-44,-3.4,1.08,-0.8,8.2,74,.495,.495,$20662000
25,2010,MIN,AL,94,68,.580,1453.0,162,162,671,4.16,4.47,-0.10,0.00,97.7,4.46,39,4.6,1.13,-0.8,18.9,199,.507,.507,$22742500
26,2013,DET,AL,93,69,.574,1462.2,162,162,624,3.84,4.24,-0.25,0.02,104.1,4.69,118,13.9,1.16,-1.2,27.1,277,.524,.524,$60817000
27,2012,BAL,AL,93,69,.574,1483.0,162,162,705,4.28,4.49,-0.07,-0.02,102.5,4.66,62,7.6,1.16,-0.5,22.6,214,.512,.512,$26939000
28,2012,TEX,AL,93,69,.574,1441.2,162,162,707,4.41,4.48,-0.06,0.01,105.2,4.78,59,7.1,1.08,-0.9,21.2,206,.512,.512,$44266800
29,2013,CLE,AL,92,70,.568,1441.0,162,162,662,4.13,4.23,-0.17,-0.01,96.5,4.24,-3,0.3,1.10,-1.4,13.2,153,.501,.501,$39942733
30,2013,LAD,NL,92,70,.568,1450.1,162,162,582,3.61,4.11,0.20,0.00,95.8,3.75,29,5.2,1.21,-0.7,17.5,138,.507,.507,$116411500
31,2010,SFG,NL,92,70,.568,1461.0,162,162,583,3.59,4.37,0.18,0.01,97.8,4.10,80,9.0,1.22,-0.6,21.1,204,.514,.514,$48470833
32,2013,TBR,AL,92,71,.564,1464.0,163,163,646,3.97,4.39,0.16,0.00,97.5,4.13,4,1.1,1.17,-1.8,13.8,163,.502,.502,$25775200
33,2011,TBR,AL,91,71,.562,1449.0,162,162,614,3.81,4.58,0.33,0.03,93.2,3.99,20,2.7,1.04,-1.0,16.7,176,.505,.505,$15730371
34,2010,ATL,NL,91,71,.562,1439.2,162,162,629,3.93,4.38,0.07,0.00,97.3,4.19,38,5.2,1.12,-0.8,16.8,160,.508,.508,$45021166
35,2010,CIN,NL,91,71,.562,1453.1,162,162,685,4.24,4.32,0.20,0.00,100.8,4.16,-17,-1.5,1.20,-1.3,9.7,106,.498,.498,$46155500
36,2013,TEX,AL,91,72,.558,1463.1,163,163,636,3.91,4.39,0.25,0.00,101.9,4.21,29,4.3,1.22,0.1,18.9,187,.507,.507,$53092500
37,2014,DET,AL,90,72,.556,1454.0,162,162,705,4.36,4.20,-0.38,0.01,100.9,4.64,23,3.8,1.05,-1.0,17.1,176,.506,.506,$82103500
38,2014,STL,NL,90,72,.556,1448.2,162,162,603,3.75,3.96,0.25,0.00,99.3,3.69,3,1.4,1.29,-0.9,13.4,105,.502,.502,$69158500
39,2013,CIN,NL,90,72,.556,1473.2,162,162,589,3.60,4.07,0.12,0.01,101.0,4.00,73,8.7,1.23,-0.9,20.9,183,.514,.514,$50848035
40,2012,TBR,AL,90,72,.556,1459.2,162,162,577,3.56,4.47,0.20,0.01,95.1,4.08,84,9.6,1.13,-0.6,24.0,233,.515,.515,$27223700
41,2011,BOS,AL,90,72,.556,1457.1,162,162,737,4.55,4.51,0.22,-0.02,105.3,4.50,-17,-0.2,1.04,-1.1,13.9,141,.500,.500,$80095333
42,2011,STL,NL,90,72,.556,1462.0,162,162,692,4.26,4.18,-0.09,0.01,97.2,4.15,-23,-2.1,1.35,-0.9,9.6,96,.497,.497,$47038903
43,2010,SDP,NL,90,72,.556,1456.2,162,162,581,3.59,4.36,0.40,-0.01,92.1,3.64,5,1.1,1.16,-0.9,12.9,128,.502,.502,$22985400
44,2010,TEX,AL,90,72,.556,1455.1,162,162,687,4.25,4.37,-0.05,-0.02,107.5,4.73,67,7.9,1.28,-0.2,22.9,227,.512,.512,$24146470
45,2014,KCR,AL,89,73,.549,1450.2,162,162,624,3.87,4.27,0.20,0.01,103.2,4.21,34,5.4,1.10,0.7,20.4,186,.509,.509,$45877000
46,2012,LAA,AL,89,73,.549,1433.1,162,162,699,4.39,4.46,0.26,0.01,93.3,3.93,-74,-7.0,1.04,-1.1,6.8,72,.489,.489,$63601000
47,2011,ATL,NL,89,73,.549,1479.2,162,162,605,3.68,4.16,0.14,-0.01,99.3,3.98,45,5.5,1.34,0.0,18.2,165,.508,.508,$39600440
48,2010,BOS,AL,89,73,.549,1456.2,162,162,744,4.60,4.55,0.17,0.00,105.1,4.61,-8,0.2,1.26,-0.7,14.7,151,.500,.500,$71496833
49,2014,OAK,AL,88,74,.543,1463.1,162,162,572,3.52,4.22,0.14,0.01,96.2,3.93,46,5.5,1.15,-1.2,18.8,200,.509,.509,$52965900
50,2014,PIT,NL,88,74,.543,1456.1,162,162,631,3.90,3.94,0.18,0.00,98.3,3.69,-22,-1.8,1.24,-0.4,10.9,81,.497,.497,$40642500
51,2014,SFG,NL,88,74,.543,1449.0,162,162,614,3.81,4.03,0.04,0.00,94.7,3.78,6,1.2,1.03,-0.8,13.3,108,.502,.502,$93450000
52,2012,DET,AL,88,74,.543,1430.2,162,162,670,4.21,4.48,-0.21,0.01,104.5,4.92,111,12.9,1.17,-1.6,26.2,257,.522,.522,$49564500
53,2012,STL,NL,88,74,.543,1462.2,162,162,648,3.99,4.20,0.06,0.01,96.9,4.02,-8,-0.5,1.20,-0.5,11.6,123,.499,.499,$50315000
