Year,Winner,Loser,Round
2019,WSN,HOU,WS
2019,HOU,NYY,ALCS
2019,WSN,STL,NLCS
2019,HOU,TBR,ALDS1
2019,NYY,MIN,ALDS2
2019,WSN,LAD,NLDS1
2019,STL,ATL,NLDS2
2019,TBR,OAK,ALWC
2019,WSN,MIL,NLWC
2018,BOS,LAD,WS
2018,BOS,HOU,ALCS
2018,LAD,MIL,NLCS
2018,BOS,NYY,ALDS1
2018,HOU,CLE,ALDS2
2018,MIL,COL,NLDS1
2018,LAD,ATL,NLDS2
2018,NYY,OAK,ALWC
2018,COL,CHC,NLWC
2017,HOU,LAD,WS
2017,HOU,NYY,ALCS
2017,LAD,CHC,NLCS
2017,NYY,CLE,ALDS1
2017,HOU,BOS,ALDS2
2017,LAD,ARI,NLDS1
2017,CHC,WSN,NLDS2
2017,NYY,MIN,ALWC
2017,ARI,COL,NLWC
2016,CHC,CLE,WS
2016,CLE,TOR,ALCS
2016,CHC,LAD,NLCS
2016,TOR,TEX,ALDS1
2016,CLE,BOS,ALDS2
2016,CHC,SFG,NLDS1
2016,LAD,WSN,NLDS2
2016,TOR,BAL,ALWC
2016,SFG,NYM,NLWC
2015,KCR,NYM,WS
2015,KCR,TOR,ALCS
2015,NYM,CHC,NLCS
2015,KCR,HOU,ALDS1
2015,TOR,TEX,ALDS2
2015,CHC,STL,NLDS1
2015,NYM,LAD,NLDS2
2015,HOU,NYY,ALWC
2015,CHC,PIT,NLWC
2014,SFG,KCR,WS
2014,KCR,BAL,ALCS
2014,SFG,STL,NLCS
2014,KCR,LAA,ALDS1
2014,BAL,DET,ALDS2
2014,SFG,WSN,NLDS1
2014,STL,LAD,NLDS2
2014,KCR,OAK,ALWC
2014,SFG,PIT,NLWC
2013,BOS,STL,WS
2013,BOS,DET,ALCS
2013,STL,LAD,NLCS
2013,BOS,TBR,ALDS1
2013,DET,OAK,ALDS2
2013,STL,PIT,NLDS1
2013,LAD,ATL,NLDS2
2013,TBR,CLE,ALWC
2013,PIT,CIN,NLWC
2012,SFG,DET,WS
2012,DET,NYY,ALCS
2012,SFG,STL,NLCS
2012,NYY,BAL,ALDS1
2012,DET,OAK,ALDS2
2012,STL,WSN,NLDS1
2012,SFG,CIN,NLDS2
2012,BAL,TEX,ALWC
2012,STL,ATL,NLWC
