Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Pete Alonso\alonspe01,24,us US,R,R,6' 3",245,Dec 7 1994,1st,161,153,161,156,0,0,156,0,0,0,0,0,0,0,1,7,0,5.2,$555000,All-Star
Aaron Altherr\altheaa01,28,de DE,R,R,6' 5",215,Jan 14 1991,6,26,5,26,20,0,0,0,0,0,0,13,8,2,20,0,9,4,-0.4,,
Luis Avilan\avilalu01,29,ve VE,L,L,6' 2",220,Jul 19 1989,8,45,0,43,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$1600000,
Tyler Bashlor\bashlty01,26,us US,R,R,6' 0",195,Apr 16 1993,2,24,0,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Brad Brach\brachbr01,33,us US,R,R,6' 6",215,Apr 12 1986,9,16,0,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Keon Broxton\broxtke01,29,us US,R,R,6' 3",195,May 7 1990,5,34,10,34,28,0,0,0,0,0,0,18,9,7,28,0,6,5,-0.5,$571765,
Robinson Cano\canoro01,36,do DO,L,R,6' 0",210,Oct 22 1982,15,107,100,107,99,0,0,0,99,0,0,0,0,0,0,2,7,0,0.3,$24000000,
Michael Conforto\confomi01,26,us US,L,R,6' 1",215,Mar 1 1993,5,151,143,151,149,0,0,0,0,0,0,0,39,132,149,0,5,0,3.4,$4025000,
Travis d'Arnaud\darnatr01,30,us US,R,R,6' 2",210,Feb 10 1989,7,10,5,10,9,0,9,0,0,0,0,0,0,0,0,0,2,0,-0.3,,
J.D. Davis\davisjd01,26,us US,R,R,6' 3",225,Apr 27 1993,3,140,99,140,109,0,0,0,0,31,0,79,0,0,79,1,35,0,1.0,$561420,
Rajai Davis\davisra01,38,us US,R,R,5' 10",195,Oct 19 1980,14,29,1,29,14,0,0,0,0,0,0,11,0,3,14,0,17,5,-0.1,,
Jacob deGrom\degroja01,31,us US,L,R,6' 4",180,Jun 19 1988,6,33,32,31,32,32,0,0,0,0,0,0,0,0,0,0,1,0,8.2,$9000000,All-Star
Edwin Diaz\diazed04,25,pr PR,R,R,6' 3",165,Mar 22 1994,4,66,0,61,66,66,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,$607425,
Jeurys Familia\familje01,29,do DO,R,R,6' 3",240,Oct 10 1989,8,66,0,61,66,66,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$6666666,
Chris Flexen\flexech01,24,us US,R,R,6' 3",250,Jul 1 1994,3,9,1,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Wilmer Font\fontwi01,29,ve VE,R,R,6' 4",250,May 24 1990,5,15,3,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Todd Frazier\frazito01,33,us US,R,R,6' 3",220,Feb 12 1986,9,133,117,133,121,0,0,3,0,120,0,0,0,0,0,3,12,0,1.8,$9000000,
Drew Gagnon\gagnodr01,29,us US,R,R,6' 4",215,Jun 26 1990,2,18,0,17,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,,
Carlos Gomez\gomezca01,33,do DO,R,R,6' 3",220,Dec 4 1985,13,34,23,34,30,0,0,0,0,0,0,13,22,7,30,0,5,2,-0.4,$100000,
Robert Gsellman\gsellro01,25,us US,R,R,6' 4",205,Jul 18 1993,4,52,0,50,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$582500,
Luis Guillorme\guilllu01,24,ve VE,L,R,5' 10",195,Sep 27 1994,2,45,8,45,20,0,0,0,8,5,8,0,0,0,0,1,25,4,0.4,$555960,
Sam Haggerty\haggesa01,25,us US,B,R,5' 11",175,May 26 1994,1st,11,0,11,2,0,0,0,1,0,0,0,0,1,1,0,3,8,-0.1,,
Donnie Hart\hartdo01,28,us US,L,L,5' 11",180,Sep 6 1990,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Adeiny Hechavarria\hechaad01,30,cu CU,R,R,6' 0",195,Apr 15 1989,8,60,29,60,47,0,0,0,26,8,15,0,0,0,0,0,13,3,-0.2,$100000,
Juan Lagares\lagarju01,30,do DO,R,R,6' 1",215,Mar 17 1989,7,133,67,133,125,0,0,0,0,0,0,0,125,0,125,0,14,9,-0.8,$9000000,
Walker Lockett\lockewa01,25,us US,R,R,6' 5",225,May 3 1994,2,9,4,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Jed Lowrie\lowrije01,35,us US,B,R,6' 0",180,Apr 17 1984,12,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-0.2,$10000000,
Seth Lugo\lugose01,29,us US,R,R,6' 4",225,Nov 17 1989,4,61,0,57,61,61,0,0,0,0,0,0,0,0,0,0,0,0,2.4,$591875,
Steven Matz\matzst01,28,us US,R,L,6' 2",200,May 29 1991,5,36,30,35,32,32,0,0,0,0,0,0,0,0,0,0,3,1,2.5,$2625000,
Chris Mazza\mazzach01,29,us US,R,R,6' 4",180,Oct 17 1989,1st,9,0,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Jeff McNeil\mcneije01,27,us US,L,R,6' 1",195,Apr 8 1992,2,133,123,133,130,0,0,0,37,31,0,71,0,42,93,0,7,0,4.9,$567714,All-Star
Tomas Nido\nidoto01,25,pr PR,R,R,6' 0",210,Apr 12 1994,3,50,38,50,48,0,48,0,0,0,0,0,0,0,0,0,4,0,-0.8,$556300,
Brandon Nimmo\nimmobr01,26,us US,L,R,6' 3",207,Mar 27 1993,4,69,56,69,66,0,0,0,0,0,0,38,43,6,66,0,8,0,0.7,$598285,
Stephen Nogosek\nogosst01,24,us US,R,R,6' 2",205,Jan 11 1995,1st,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Ryan O'Rourke\orourry01,31,us US,R,L,6' 3",230,Apr 30 1988,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Corey Oswalt\oswalco01,25,us US,R,R,6' 5",250,Sep 3 1993,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Joe Panik\panikjo01,28,us US,L,R,6' 1",200,Oct 30 1990,6,39,19,39,28,0,0,0,28,0,0,0,0,0,0,0,13,0,0.2,,
Tim Peterson\peterti01,28,us US,R,R,6' 1",215,Feb 22 1991,2,6,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$555000,
Brooks Pounders\poundbr01,28,us US,R,R,6' 5",265,Sep 26 1990,4,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Wilson Ramos\ramoswi01,31,ve VE,R,R,6' 1",245,Aug 10 1987,10,141,115,141,124,0,124,0,0,0,0,0,0,0,0,2,24,0,2.2,$7250000,
Jacob Rhame\rhameja01,26,us US,R,R,6' 1",215,Mar 16 1993,3,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Rene Rivera\riverre01,35,pr PR,R,R,5' 10",215,Jul 31 1983,11,9,6,9,8,0,8,0,0,0,0,0,0,0,0,0,1,0,-0.1,$100000,
Amed Rosario\rosaram01,23,do DO,R,R,6' 2",189,Nov 20 1995,3,157,152,157,152,0,0,0,0,0,152,1,0,0,1,1,4,0,2.4,$575500,
Hector Santiago\santihe01,31,us US,R,L,6' 0",215,Dec 16 1987,9,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$100000,
Paul Sewald\sewalpa01,29,us US,R,R,6' 3",207,May 26 1990,3,17,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Dominic Smith\smithdo02,24,us US,L,L,6' 0",239,Jun 15 1995,3,89,35,89,62,0,0,36,0,0,0,32,0,1,33,0,39,0,0.7,$559320,
Marcus Stroman\stromma01,28,us US,R,R,5' 7",180,May 1 1991,6,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,
Noah Syndergaard\syndeno01,26,us US,L,R,6' 6",240,Aug 29 1992,5,32,32,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,2.5,$6000000,
Ruben Tejada\tejadru01,29,pa PA,R,R,5' 11",200,Oct 27 1989,9,6,2,6,6,0,0,0,2,2,2,0,0,0,0,0,0,1,-0.2,,
Jason Vargas\vargaja01,36,us US,L,L,6' 0",215,Feb 2 1983,14,19,18,17,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1.4,$8000000,
Zack Wheeler\wheelza01,29,us US,L,R,6' 4",195,May 30 1990,5,31,31,28,31,31,0,0,0,0,0,0,0,0,0,0,0,0,4.4,$5975000,
Justin Wilson\wilsoju10,31,us US,L,L,6' 2",205,Aug 18 1987,8,45,0,40,45,45,0,0,0,0,0,0,0,0,0,0,0,0,1.3,$5000000,
Daniel Zamora\zamorda01,26,us US,L,L,6' 3",195,Apr 15 1993,2,17,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
