Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023
Elvis Andrus\andruel01,32,13,Traded,12.000,Scott Boras,8 yrs/$120M (15-22) & 23 vesting option,$14.25M,$14.25M,$0 [FA-*]
Stephen Piscotty\piscost01,30,7,Traded,5.076,CAA Sports,6 yrs/$33.5M (17-22) & 23 team option,$7.58M,$7.58M,$1M [FA-*]
Trevor Rosenthal\rosentr01,31,8,,7.001,Scott Boras,1 yr/$11M (21),$11M,FA,
Jake Diekman\diekmja01,34,10,Traded,8.050,Beverly Hills Spo...,2 yrs/$7.5M (20-21) & 22 team option,$4M,$750k [FA-*],FA
Mark Canha\canhama01,32,7,Traded,5.092,CAA Sports,1 yr/$6.92M (21),$6.92M,FA,
Matt Chapman\chapmma01,28,5,Amateur Draft,3.109,,1 yr/$6.49M (21),$6.49M,Arb,Arb
Sean Manaea\manaese01,29,6,Traded,4.157,Scott Boras,1 yr/$5.95M (21),$5.95M,Arb,FA
Matt Olson\olsonma02,27,6,Amateur Draft,3.103,Jet Sports,1 yr/$5M (21),$5M,Arb,Arb
Chris Bassitt\bassich01,32,7,Traded,4.130,Pro Star Manageme...,1 yr/$4.9M (21),$4.9M,Arb,FA
Yusmeiro Petit\petityu01,36,14,Free Agency,10.016,Godoy Sports,1 yr/$2.55M (21),$2.55M,FA,
Chad Pinder\pindech01,29,6,Amateur Draft,4.047,Icon Sports,1 yr/$2.28M (21),$2.27M,Arb,FA
Sergio Romo\romose01,38,14,Free Agency,12.097,Meister Sports Mg...,1 yr/$2.25M (21),$2.25M,FA,
Mitch Moreland\morelmi01,35,12,Free Agency,10.067,RMG Baseball,1 yr/$2.25M (21),$2.25M,FA,
Frankie Montas\montafr02,28,6,Traded,3.015,Republik Sports,1 yr/$1.8M (21),$1.8M,Arb,Arb
Cam Bedrosian\bedroca01,29,8,Free Agency,5.153,,1 yr/$1.5M (21),$1.5M,FA,
Tony Kemp\kempto01,29,6,Traded,3.098,,1 yr/$1.05M (21),$1.05M,Arb,Arb
Lou Trivino\trivilo01,29,4,Amateur Draft,2.163,,1 yr/$912k (21),$912k,Arb,Arb
Burch Smith\smithbu03,31,5,Purchased,3.095,The Legacy Agency,1 yr/$705k (21),$705k,Arb,Arb
Jed Lowrie\lowrije01,37,13,Free Agency,12.111,Excel Sports Mana...,1 yr/$100k (21),$100k,FA,
Carlos Perez\perezca02,30,4,,2.167,TLA Worldwide,1 yr/$100k (21),$100k,Arb,Arb
Deolis Guerra\guerrde01,32,6,Free Agency,2.071,,1 yr/$100k (21),$100k,Arb,Arb
Mike Fiers\fiersmi01,36,11,Free Agency,7.085,RMG Baseball,,FA,,
Adam Kolarek\kolarad01,32,5,Traded,2.111,L. Warner Compani...,,,,Arb
Pete Kozma\kozmape01,33,7,,3.094,Hendricks Sports,,Arb,,Arb
A.J. Puk\pukaj01,26,2,Amateur Draft,1.041,,,,,Arb
Ramon Laureano\laurera01,26,4,Traded,2.059,Pinnacle Sports G...,,,,Arb
J.B. Wendelken\wendejb01,28,5,Traded,2.028,,,,,Arb
Francisco Pena\penafr01,31,5,,2.009,Rep 1 Baseball,,,,Arb
Vimael Machin\machivi01,27,2,Purchased,1.000,,,,,Arb
Paul Blackburn\blackpa01,27,4,Traded,1.143,Sosnick Cobbe & K...,,,,Arb
Aramis Garcia\garciar01,28,3,Traded,1.086,,,,,Arb
Sean Murphy\murphse01,26,3,Amateur Draft,1.029,,,,,Arb
Jesus Luzardo\luzarje01,23,3,Traded,1.021,MVP Sports Group,,,,Arb
Brett Graves\gravebr01,28,1st,,1.000,,,,,Arb
Austin Allen\allenau01,27,3,Traded,0.171,,,,,Arb
Jordan Weems\weemsjo01,28,2,Free Agency,0.161,,,,,Arb
Reymin Guduan\guduare01,29,4,Free Agency,0.104,,,,,
Zac Reininger\reiniza01,28,3,,0.161,,,,,Arb
Cole Irvin\irvinco01,27,3,Purchased,0.120,,,,,
Seth Brown\brownse01,28,3,Amateur Draft,0.104,,,,,
Tanner Anderson\anderta01,28,2,Traded,0.068,,,,,
James Kaprielian\kaprija01,27,2,Traded,0.031,,,,,
Montana DuRapau\durapmo01,29,1st,,0.030,,,,,
Skye Bolt\boltsk01,27,2,Purchased,0.018,,,,,
Frank Schwindel\schwifr01,29,1st,,0.015,,,,,
Daulton Jefferies\jeffeda01,25,1st,Amateur Draft,0.003,,,,,
