Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026
George Springer\springe01,31,8,Free Agency,6.166,Excel Sports Mana...,6 yrs/$150M (21-26),$23.67M,$29.67M,$24.17M,$24.17M,$24.17M,$24.17M
Hyun Jin Ryu\ryuhy01,34,8,Free Agency,8.000,Scott Boras,4 yrs/$80M (20-23),$20M,$20M,$20M,FA,,
Randal Grichuk\grichra01,29,8,Traded,6.033,Excel Sports Mana...,5 yrs/$52M (19-23),$10.33M,$10.33M,$10.33M,FA,,
Lourdes Gurriel Jr.\gurrilo01,27,4,Amateur Free Agent,2.094,Magnus Sports,7 yrs/$22M (17-23),$3.93M,$4.93M,$5.83M,Arb,FA,
Marcus Semien\semiema01,30,9,Free Agency,6.118,Wasserman,1 yr/$18M (21),$18M,FA,,,,
Robbie Ray\rayro02,29,8,Traded,6.007,VC Sports Group,1 yr/$8M (21),$8M,FA,,,,
Kirby Yates\yateski01,34,7,,6.021,Beverly Hills Spo...,1 yr/$5.5M (21),$5.5M,FA,,,,
Steven Matz\matzst01,30,7,Traded,5.099,Icon Sports Manag...,1 yr/$5.2M (21),$5.2M,FA,,,,
Teoscar Hernandez\hernate01,28,6,Traded,3.097,Republik Sports,1 yr/$4.32M (21),$4.32M,Arb,Arb,FA,,
Tyler Chatwood\chatwty01,31,10,Free Agency,9.039,Bob Garber,1 yr/$3M (21),$3M,FA,,,,
Ross Stripling\stripro01,31,6,Traded,4.115,,1 yr/$3M (21),$3M,Arb,FA,,,
Rafael Dolis\dolisra01,33,5,Free Agency,2.101,Wasserman,2 yrs/$2.5M (20-21),$1.5M,Arb,Arb,Arb,FA,
David Phelps\phelpda01,34,9,Free Agency,8.156,Jet Sports Manage...,1 yr/$1.75M (21),$1.75M,FA,,,,
Tommy Milone\milonto01,34,11,Free Agency,7.113,Magnus Sports,1 yr/$100k (21),$100k,FA,,,,
Joe Panik\panikjo01,30,8,Free Agency,6.100,Jet Sports Manage...,1 yr/$100k (21),$100k,FA,,,,
A.J. Cole\coleaj01,29,7,Free Agency,3.124,CAA Sports,1 yr/$100k (21),$100k,Arb,Arb,FA,,
Carl Edwards Jr.\edwarca01,29,7,Free Agency,4.098,Ballengee Group,,Arb (~$1.3M),,FA,,,
Christian Colon\colonch01,32,6,,3.006,Boras Corporation,,Arb,,Arb,FA,,
Tyler White\whitety01,30,4,,2.101,Ballengee Group,,,,Arb,Arb,FA,
Ryan Borucki\borucry01,27,4,Amateur Draft,2.088,,,,,Arb,Arb,FA,
Danny Jansen\janseda01,26,4,Amateur Draft,2.050,,,,,Arb,Arb,FA,
Rowdy Tellez\tellero01,26,4,Amateur Draft,2.012,,,,,Arb,Arb,FA,
Anthony Kay\kayan01,26,3,Traded,1.006,,,,,Arb,Arb,Arb,FA
Trent Thornton\thorntr01,27,3,Traded,2.000,,,,,Arb,Arb,FA,
Thomas Hatch\hatchto01,26,1st,Traded,1.000,,,,,Arb,Arb,Arb,FA
Elvis Luciano\luciael01,21,1st,Rule 5 Draft,1.000,Optimum Baseball,,,,Arb,Arb,Arb,FA
Vladimir Guerrero Jr.\guerrvl02,22,3,Amateur Free Agent,1.157,,,,,Arb,Arb,Arb,FA
Tim Mayza\mayzati01,29,4,Amateur Draft,1.156,,,,,Arb,Arb,Arb,FA
Cavan Biggio\biggica01,26,3,Amateur Draft,1.129,,,,,Arb,Arb,Arb,FA
Juan Graterol\grateju01,32,4,,1.126,,,,,Arb,Arb,Arb,FA
Jacob Waguespack\wagueja01,27,2,Traded,1.091,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA
Dilson Herrera\herredi01,27,4,,1.067,Magnus Sports,,,,Arb,Arb,Arb,FA
Bo Bichette\bichebo01,23,3,Amateur Draft,1.063,,,,,Arb,Arb,Arb,FA
Jordan Romano\romanjo03,28,3,Rule 5 returned,1.051,,,,,Arb,Arb,Arb,FA
Travis Bergen\bergetr01,27,3,Purchased,1.046,,,,,Arb,Arb,Arb,FA
Reese McGuire\mcguire01,26,4,Traded,1.043,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,FA
Jonathan Davis\davisjo05,29,4,Amateur Draft,1.029,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA
Johnny Barbato\barbajo01,28,3,,1.008,Munger English Sp...,,,,Arb,Arb,Arb,FA
Nate Pearson\pearsna01,24,2,Amateur Draft,0.169,,,,,Arb,Arb,Arb,Arb
Casey Lawrence\lawreca01,33,2,Free Agency,0.171,,,,,Arb,Arb,Arb,Arb
Richard Urena\urenari01,25,3,Amateur Free Agent,0.156,,,,,Arb,Arb,Arb,Arb
Jeremy Beasley\beaslje01,25,2,Purchased,0.136,,,,,,Arb,Arb,Arb
Santiago Espinal\espinsa01,26,2,Traded,0.136,,,,,,Arb,Arb,Arb
Jared Hoying\hoyinja01,32,2,,0.133,,,,,,Arb,Arb,Arb
Breyvic Valera\valerbr01,29,3,Waivers,0.121,,,,,,Arb,Arb,Arb
T.J. Zeuch\zeuchtj01,25,3,Amateur Draft,0.058,,,,,,Arb,Arb,Arb
Julian Merryweather\merryju01,29,2,Traded,0.114,L. Warner Compani...,,,,,Arb,Arb,Arb
Joel Payamps\payamjo01,27,3,Waivers,0.064,,,,,,Arb,Arb,Arb
Patrick Murphy\murphpa02,26,1st,Amateur Draft,0.028,,,,,,Arb,Arb,Arb
Alejandro Kirk\kirkal01,22,2,Amateur Free Agent,0.047,,,,,,Arb,Arb,Arb
Anthony Castro\castran02,26,2,Waivers,0.033,Munger English Sp...,,,,,Arb,Arb,Arb
Dany Jimenez\jimenda01,27,1st,,0.031,,,,,,Arb,Arb,Arb
