Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028
Freddie Freeman\freemfr01,31,12,Amateur Draft,10.033,Excel Sports Mana...,8 yrs/$135M (14-21),$22M,FA,,,,,,
Ronald Acuna Jr.\acunaro01,23,4,Amateur Free Agent,2.159,Rep 1 Baseball,8 yrs/$100M (19-26) & 27-28 team option,$5M,$15M,$17M,$17M,$17M,$17M,$10M [FA-*],$0 [FA-*]
Marcell Ozuna\ozunama01,30,9,Free Agency,7.124,CAA Sports,4 yrs/$65M (21-24) & 25 team option,$12M,$16M,$18M,$18M,$1M [FA-*],FA,,
Will Smith\smithwi04,31,9,Free Agency,7.155,CAA Sports,3 yrs/$40M (20-22) & 23 team option,$13M,$13M,$1M [FA-*],FA,,,,
Ozzie Albies\albieoz01,24,5,Amateur Free Agent,3.062,SportsMeter,7 yrs/$35M (19-25) & 26-27 team option,$3M,$5M,$7M,$7M,$7M,$4M [FA-*],$0 [FA-*],FA
Ender Inciarte\inciaen01,30,8,Traded,6.157,Octagon,5 yrs/$30.53M (17-21) & 22 team option,$8.7M,$1.02M [FA-*],FA,,,,,
Tanner Roark\roarkta01,34,9,,7.055,Matt Colleran,2 yrs/$24M (20-21),$12M,FA,,,,,,
Travis d'Arnaud\darnatr01,32,9,Free Agency,7.044,Wasserman,2 yrs/$16M (20-21),$8M,FA,,,,,,
Charlie Morton\mortoch02,37,14,Free Agency,12.010,Jet Sports Manage...,1 yr/$15M (21),$15M,FA,,,,,,
Chris Martin\martich02,35,6,Traded,3.133,ISE Baseball,2 yrs/$14M (20-21),$7M,Arb,Arb,FA,,,,
Drew Smyly\smylydr01,32,8,Free Agency,8.143,Frontline,1 yr/$11M (21),$11M,FA,,,,,,
Dansby Swanson\swansda01,27,6,Traded,4.047,Excel Sports,1 yr/$6M (21),$6M,Arb,FA,,,,,
Orlando Arcia\arciaor01,26,6,,4.047,,1 yr/$2M (21),$2M,Arb,FA,,,,,
Max Fried\friedma01,27,5,Traded,2.148,CAA Sports,1 yr/$3.5M (21),$3.5M,Arb,Arb,Arb,FA,,,
Mike Soroka\sorokmi01,23,3,Amateur Draft,2.146,,1 yr/$2.8M (21),$2.8M,Arb,Arb,Arb,FA,,,
Johan Camargo\camarjo01,27,5,Amateur Free Agent,3.098,,1 yr/$1.36M (21),$1.36M,Arb,Arb,FA,,,,
Luke Jackson\jackslu01,29,7,Free Agency,4.019,Beverly Hills Spo...,1 yr/$1.9M (21),$1.9M,Arb,FA,,,,,
Ehire Adrianza\adriaeh01,31,9,Free Agency,6.131,Munger English Sp...,1 yr/$1.5M (21),$1.5M,FA,,,,,,
A.J. Minter\minteaj01,27,5,Amateur Draft,2.162,SSG Baseball,1 yr/$1.3M (21),$1.3M,Arb,Arb,Arb,FA,,,
Josh Tomlin\tomlijo01,36,12,Free Agency,10.033,SSG Baseball,1 yr/$1.25M (21) & 22 team option,$1M,$250k [FA-*],FA,,,,,
Yolmer Sanchez\sanchca01,29,7,,5.040,MVP Sports Group,1 yr/$1.1M (21),$1.1M,FA,,,,,,
Pablo Sandoval\sandopa01,34,14,Free Agency,12.012,Beverly Hills Spo...,1 yr/$1M (21),$1M,FA,,,,,,
Guillermo Heredia\heredgu01,30,6,Waivers,3.112,,1 yr/$1M (21),$1M,Arb,Arb,FA,,,,
Grant Dayton\daytogr01,33,5,Waivers,4.007,KVA Sports LLC,1 yr/$900k (21),$900k,Arb,FA,,,,,
Jeff Mathis\mathije01,38,17,Free Agency,14.012,Jet Sports Manage...,1 yr/$100k (21),$100k,FA,,,,,,
Jason Kipnis\kipnija01,34,10,,9.069,Beverly Hills Spo...,1 yr/$100k (21),$100k,FA,,,,,,
Travis Snider\snidetr01,33,8,,5.086,CAA Sports (Joe U...,1 yr/$100k (21),$100k,FA,,,,,,
Terrance Gore\gorete01,30,7,,2.013,L. Warner Compani...,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,,,
Travis Demeritte\demertr01,26,2,,0.152,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,Arb,FA,
Shane Greene\greensh02,32,7,Traded,6.075,Turner-Gary Sport...,,FA,,,,,,,
Jesse Chavez\chaveje01,37,13,Traded,10.108,Sosnick Cobbe & K...,,FA,,,,,,,
Jonathan Lucroy\lucrojo01,35,12,,9.164,Excel Sports Mana...,,FA,,,,,,,
Ryan Goins\goinsry01,33,8,,5.041,Octagon,,Arb,,,,,,,
Abraham Almonte\almonab01,32,9,Free Agency,4.059,ISE Baseball,,Arb,,FA,,,,,
Yoan López\lopezyo01,28,4,,2.011,,,,,Arb,Arb,FA,,,
Kevan Smith\smithke04,33,6,Purchased,4.001,Bryan Hamper,,Arb,,FA,,,,,
Jesse Biddle\biddlje01,29,4,Free Agency,3.088,Sosnick Cobbe & K...,,Arb,,Arb,FA,,,,
Sean Newcomb\newcose01,28,5,Traded,2.166,The Legacy Agency,,,,Arb,Arb,FA,,,
Phil Ervin\ervinph01,28,4,,2.115,Moye Sports,,,,Arb,Arb,FA,,,
Chasen Bradford\bradfch02,31,3,,2.084,,,,,Arb,Arb,FA,,,
Kyle Wright\wrighky01,25,4,Amateur Draft,1.040,,,,,Arb,Arb,Arb,FA,,
Edgar Santana\santaed01,29,3,Purchased,2.048,,,,,Arb,Arb,FA,,,
Victor Arano\aranovi01,26,3,,2.020,,,,,Arb,Arb,FA,,,
Tyler Matzek\matzety01,30,4,Free Agency,2.019,PSI Sports Manage...,,,,Arb,Arb,FA,,,
Jacob Webb\webbja01,27,3,Amateur Draft,1.155,,,,,Arb,Arb,Arb,FA,,
Austin Riley\rileyau01,24,3,Amateur Draft,1.138,,,,,Arb,Arb,Arb,FA,,
Touki Toussaint\toussto01,25,3,Traded,1.065,,,,,Arb,Arb,Arb,FA,,
Bryse Wilson\wilsobr02,23,4,Amateur Draft,0.165,,,,,Arb,Arb,Arb,Arb,FA,
Alex Jackson\jacksal02,25,3,Traded,0.076,,,,,,Arb,Arb,Arb,FA,
Huascar Ynoa\ynoahu01,23,3,Traded,0.141,Wasserman,,,,,Arb,Arb,Arb,FA,
Ian Anderson\anderia01,23,2,Amateur Draft,0.094,,,,,,Arb,Arb,Arb,FA,
Trevor Kelley\kelletr01,27,2,,0.092,C.L. Rocks Corpor...,,,,,Arb,Arb,Arb,FA,
Jaycob Brugman\brugmja01,29,1st,,0.063,,,,,,Arb,Arb,Arb,FA,
Jose Rodríguez\rodrijo07,25,2,,0.048,,,,,,Arb,Arb,Arb,FA,
Cristian Pache\pachecr01,22,2,Amateur Free Agent,0.022,,,,,,Arb,Arb,Arb,FA,
William Contreras\contrwi02,23,2,Amateur Free Agent,0.017,,,,,,Arb,Arb,Arb,FA,
Tucker Davidson\davidtu01,25,2,Amateur Draft,0.003,,,,,,Arb,Arb,Arb,FA,
