Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027
Nolan Arenado\arenano01,30,9,Traded,7.155,Wasserman,9 yrs/$275M (19-27),$35M,$35M,$35M,$35M,$32M,$27M,$15M
Paul Goldschmidt\goldspa01,33,11,Traded,9.059,Excel Sports Mana...,5 yrs/$130M (20-24),$26M,$26M,$26M,$26M,FA,,
Miles Mikolas\mikolmi01,32,6,Free Agency,4.037,Octagon,4 yrs/$68M (20-23),$17M,$17M,$17M,FA,,,
Paul DeJong\dejonpa01,27,5,Amateur Draft,3.127,C.L. Rocks Corpor...,6 yrs/$26M (18-23) & 24-25 team option,$4.17M,$6.17M,$9.17M,$2M [FA-*],$0 [FA-*],FA,
Carlos Martinez\martica04,29,9,Free Agency,7.073,MVP Sports Group,5 yrs/$51M (17-21) & 22-23 team option,$11.7M,$500k [FA-*],$0 [FA-*],FA,,,
Matt Carpenter\carpema01,35,11,Amateur Draft,9.012,SSG Baseball,2 yrs/$39M (20-21) & 22 vesting option,$18.5M,$2M [FA-*],FA,,,,
Andrew Miller\millean01,36,16,Free Agency,12.062,Mark Rodgers,3 yrs/$34.5M (19-21),$12M,FA,,,,,
Yadier Molina\molinya01,38,18,Free Agency,16.123,Melin Roman,1 yr/$9M (21),$9M,FA,,,,,
Adam Wainwright\wainwad01,39,16,Free Agency,15.027,Steve Hammond,1 yr/$8M (21),$8M,FA,,,,,
Kwang Hyun Kim\kimkw01,32,2,Free Agency,1.000,,2 yrs/$8M (20-21),$4M,Pre-Arb,Arb,Arb,Arb,FA,
Jack Flaherty\flaheja01,25,5,Amateur Draft,3.006,,1 yr/$3.9M (21),$3.9M,Arb,Arb,FA,,,
John Gant\gantjo01,28,6,Traded,4.004,,1 yr/$2.1M (21),$2.1M,Arb,FA,,,,
Harrison Bader\baderha01,27,5,Amateur Draft,3.030,,1 yr/$2M (21),$2M,Arb,Arb,FA,,,
Alex Reyes\reyesal02,26,5,Amateur Free Agent,3.043,Octagon,1 yr/$900k (21),$900k,Arb,Arb,FA,,,
Jordan Hicks\hicksjo03,24,3,Amateur Draft,3.000,Ballengee Group,1 yr/$863k (21),$863k,Arb,Arb,FA,,,
Matt Szczur\szczuma01,31,5,,3.064,Turner-Gary Sport...,1 yr/$100k (21),$100k,Arb,Arb,FA,,,
Tyler Heineman\heinety01,30,2,,0.121,Beverly Hills Spo...,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA
Austin Dean\deanau01,27,4,Traded,1.124,,,,,Arb,Arb,Arb,FA,
Giovanny Gallegos\gallegi01,29,5,Traded,2.085,,,,,Arb,Arb,FA,,
Tyler Webb\webbty01,30,5,Waivers,2.076,Beverly Hills Spo...,,,,Arb,Arb,FA,,
Dakota Hudson\hudsoda02,26,3,Amateur Draft,2.066,,,,,Arb,Arb,FA,,
Tyler O'Neill\oneilty01,26,4,Traded,2.059,,,,,Arb,Arb,FA,,
Tommy Edman\edmanto01,26,3,Amateur Draft,1.114,,,,,Arb,Arb,Arb,FA,
Ryan Helsley\helslry01,26,3,Amateur Draft,1.105,,,,,Arb,Arb,Arb,FA,
Daniel Ponce de Leon\ponceda01,29,4,Amateur Draft,1.086,,,,,Arb,Arb,Arb,FA,
Lane Thomas\thomala02,25,3,Traded,1.068,,,,,Arb,Arb,Arb,FA,
Jose Rondon\rondojo02,27,4,Free Agency,1.056,,,,,Arb,Arb,Arb,FA,
Max Moroff\morofma01,28,5,Free Agency,1.053,,,,,Arb,Arb,Arb,FA,
Genesis Cabrera\cabrege01,24,3,Traded,1.027,,,,,Arb,Arb,Arb,FA,
Andrew Knizner\kniznan01,26,3,Amateur Draft,1.021,,,,,Arb,Arb,Arb,FA,
Junior Fernandez\fernaju01,24,3,Amateur Free Agent,1.005,,,,,Arb,Arb,Arb,FA,
Kodi Whitley\whitlko01,26,2,Amateur Draft,1.000,,,,,Arb,Arb,Arb,FA,
Jake Woodford\woodfja01,24,2,Amateur Draft,0.167,,,,,Arb,Arb,Arb,Arb,FA
Edmundo Sosa\sosaed01,25,3,Amateur Free Agent,0.140,,,,,,Arb,Arb,Arb,FA
Seth Elledge\elledse01,25,2,Traded,0.108,,,,,,Arb,Arb,Arb,FA
Dylan Carlson\carlsdy01,22,2,Amateur Draft,0.094,,,,,,Arb,Arb,Arb,FA
Ali Sanchez\sanchal04,24,2,Purchased,0.047,,,,,,Arb,Arb,Arb,FA
Johan Oviedo\oviedjo01,23,2,Amateur Free Agent,0.092,,,,,,Arb,Arb,Arb,FA
Bernardo Flores Jr.\florebe01,25,2,Waivers,0.036,,,,,,Arb,Arb,Arb,FA
Justin Williams\williju02,25,3,Traded,0.058,,,,,,Arb,Arb,Arb,FA
Johan Quezada\quezajo01,26,1st,,0.019,,,,,,Arb,Arb,Arb,FA
Roel Ramirez\ramirro02,26,1st,Traded,0.033,Dynamic Sports Gr...,,,,,Arb,Arb,Arb,FA
John Nogowski\nogowjo01,28,2,Free Agency,0.017,Optimum Baseball,,,,,Arb,Arb,Arb,FA
Jesus Cruz\cruzje01,26,1st,Free Agency,0.006,,,,,,Arb,Arb,Arb,FA
