Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026
Jason Heyward\heywaja01,31,12,Free Agency,11.000,Excel Sports Mana...,8 yrs/$184M (16-23),$21M,$22M,$22M,FA,,
Anthony Rizzo\rizzoan01,31,11,Traded,8.168,Sports One Athlet...,9 yrs/$75M (13-21),$16.5M,FA,,,,
Kyle Hendricks\hendrky01,31,8,Traded,6.081,Wasserman,4 yrs/$55.5M (20-23) & 24 vesting option,$14M,$14M,$14M,$1.5M [FA-*],FA,
Craig Kimbrel\kimbrcr01,33,12,Free Agency,9.161,David Meter,3 yrs/$43M (19-21) & 22 team option,$16M,$1M [FA-*],FA,,,
Kris Bryant\bryankr01,29,7,Amateur Draft,5.171,Scott Boras,1 yr/$19.5M (21),$19.5M,FA,,,,
David Bote\boteda01,28,4,Amateur Draft,2.100,,5 yrs/$15M (20-24) & 25-26 team option,$1.01M,$2.51M,$4.01M,$5.51M,$1M [FA-*],$0 [FA-*]
Javier Baez\baezja01,28,8,Amateur Draft,5.089,Wasserman,1 yr/$11.6M (21),$11.6M,FA,,,,
Zach Davies\davieza02,28,7,Traded,5.020,,1 yr/$8.63M (21),$8.63M,FA,,,,
Joc Pederson\pederjo01,29,8,Free Agency,6.028,Excel Sports Mana...,1 yr/$7M (21) & 22 mutual option,$4.5M,$2.5M [FA-*],FA,,,
Willson Contreras\contrwi01,29,6,Amateur Free Agent,4.108,,1 yr/$6.65M (21),$6.65M,Arb,FA,,,
Jake Arrieta\arrieja01,35,12,Free Agency,9.145,Boras Corporation,1 yr/$6M (21) & 22 team option,$4M,$2M [FA-*],FA,,,
Ian Happ\happia01,26,5,Amateur Draft,3.036,Excel Sports,1 yr/$4.1M (21),$4.1M,Arb,Arb,FA,,
Jake Marisnick\marisja01,30,9,Free Agency,6.132,Reynolds Sports M...,1 yr/$1.5M (21) & 22 mutual option,$1M,$500k [FA-*],FA,,,
Andrew Chafin\chafian01,31,8,Free Agency,6.020,Pro Star Manageme...,1 yr/$2.75M (21) & 22 mutual option,$2.25M,$500k [FA-*],FA,,,
