Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024
Madison Bumgarner\bumgama01,31,13,Free Agency,10.127,VC Sports Group,5 yrs/$85M (20-24),$19M,$23M,$23M,$14M
Nick Ahmed\ahmedni01,31,8,Traded,6.054,Meister Sports Ma...,4 yrs/$32.5M (20-23),$7.88M,$7.88M,$10.38M,FA
Ketel Marte\marteke01,27,7,Traded,4.162,Wasserman,5 yrs/$24M (18-22) & 23-24 team option,$6.4M,$8.4M,$1M [FA-*],$0 [FA-*]
David Peralta\peralda01,33,8,Free Agency,6.120,ACES,3 yrs/$22M (20-22),$7.5M,$7.5M,FA,
Eduardo Escobar\escobed01,32,11,Traded,8.128,DJ Rengifo y Asso...,3 yrs/$21M (19-21),$7.67M,FA,,
Kole Calhoun\calhoko01,33,10,Free Agency,7.130,PSI Sports Manage...,2 yrs/$16M (20-21) & 22 team option,$8M,$2M [FA-*],FA,
Merrill Kelly\kellyme01,32,3,Free Agency,2.000,Sosnick Cobbe & K...,3 yrs/$9.25M (19-21) & 22 team option,$4.25M,$0 [Arb-*],Arb,Arb
Stephen Vogt\vogtst01,36,9,Free Agency,7.064,All Bases Covered,2 yrs/$6M (20-21),$3.5M,FA,,
Joakim Soria\soriajo01,37,14,Free Agency,14.000,Oscar Suarez,1 yr/$3.5M (21),$3.5M,FA,,
Tyler Clippard\clippty01,36,14,Free Agency,11.134,Excel Sports Mana...,1 yr/$2.25M (21) & 22 mutual option,$1.75M,$500k [FA-*],FA,
Luke Weaver\weavelu01,27,6,Traded,3.112,,1 yr/$1.95M (21),$1.95M,Arb,Arb,FA
Asdrubal Cabrera\cabreas01,35,15,Free Agency,13.027,Alan Nero,1 yr/$1.75M (21),$1.75M,FA,,
Carson Kelly\kellyca02,26,6,Traded,2.161,CAA Sports,1 yr/$1.7M (21),$1.7M,Arb,Arb,Arb
Caleb Smith\smithca03,29,5,Traded,3.078,,1 yr/$1.45M (21),$1.45M,Arb,Arb,FA
Chris Devenski\devench02,30,6,Free Agency,5.000,MVP Sports Group,1 yr/$1M (21),$1M,FA,,
Bryan Holaday\holadbr01,33,9,,6.002,Lagardere Sports,1 yr/$100k (21),$100k,FA,,
Ryan Buchter\buchtry01,34,7,Free Agency,4.085,Beverly Hills Spo...,1 yr/$100k (21),$100k,Arb,FA,
Noe Ramirez\ramirno01,31,7,,3.139,Scott Boras,1 yr/$100k (21),$100k,Arb,Arb,FA
Josh Reddick\reddijo01,34,13,Free Agency,10.050,ACES (Sam & Seth ...,,FA,,,
Josh VanMeter\vanmejo01,26,3,Traded,1.076,,,,,Arb,Arb
Christian Walker\walkech02,30,7,Waivers,2.124,Martini Sports Ma...,,,,Arb,Arb
Corbin Martin\martico02,25,2,Traded,1.023,,,,,Arb,Arb
Ildemaro Vargas\vargail01,29,5,Purchased,2.028,,,,,Arb,Arb
Tim Locastro\locasti01,28,5,Traded,2.010,L. Warner Compani...,,,,Arb,Arb
Taylor Clarke\clarkta01,28,3,Amateur Draft,1.120,,,,,Arb,Arb
Stefan Crichton\crichst01,29,4,Traded,1.115,,,,,Arb,Arb
Zac Gallen\galleza01,25,3,Traded,1.100,,,,,Arb,Arb
Alex Young\youngal01,27,3,Amateur Draft,1.095,Wasserman,,,,Arb,Arb
Kevin Ginkel\ginkeke01,27,3,Amateur Draft,1.023,,,,,Arb,Arb
Taylor Widener\widenta01,26,2,Traded,1.000,Beverly Hills Spo...,,,,Arb,Arb
Daulton Varsho\varshda01,24,2,Amateur Draft,0.167,,,,,Arb,Arb
Nick Heath\heathni01,27,2,Traded,0.142,,,,,,Arb
Keury Mella\mellake01,27,4,Free Agency,0.170,Republik Sports,,,,Arb,Arb
Josh Rojas\rojasjo01,27,3,Traded,0.152,,,,,Arb,Arb
Andrew Young\youngan02,27,2,Traded,0.072,,,,,,Arb
Ryder Jones\jonesry01,27,2,,0.128,,,,,,Arb
Josh Lucas\lucasjo02,30,3,,0.121,,,,,,Arb
Riley Smith\smithri01,26,2,Amateur Draft,0.097,,,,,,Arb
Jon Duplantier\duplajo01,26,2,Amateur Draft,0.095,,,,,,Arb
Humberto Castellanos\castehu01,23,2,Waivers,0.092,,,,,,Arb
Nick Gardewine\gardeni01,27,2,,0.083,,,,,,Arb
Humberto Mejia\mejiahu01,24,1st,,0.033,,,,,,Arb
Joe Mantiply\mantijo01,30,4,Free Agency,0.061,,,,,,Arb
Pavin Smith\smithpa04,25,2,Amateur Draft,0.050,,,,,,Arb
Seth Frankoff\frankse01,32,3,Free Agency,0.049,,,,,,Arb
Sam Moll\mollsa01,29,1st,,0.031,,,,,,Arb
Zach Lee\leeza01,29,2,,0.026,,,,,,Arb
Juniel Querecuto\quereju01,28,1st,,0.011,,,,,,Arb
