Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Mookie Betts\bettsmo01,28,8,Traded,6.070,VC Sports Group,12 yrs/$365M (21-32),$22.92M,$22.92M,$25.42M,$30.4M,$30.4M,$30.4M,$30.4M,$35.4M,$35.4M,$35.4M,$32.9M,$32.9M
Albert Pujols\pujolal01,41,21,Free Agency,20.000,MVP Sports Group,10 yrs/$240M (12-21),$30M,FA,,,,,,,,,,
David Price\priceda01,35,13,Traded,10.164,Bo McKinnis,7 yrs/$217M (16-22),$32M,$32M,FA,,,,,,,,,
Trevor Bauer\bauertr01,30,10,Free Agency,6.158,Rachel Luba of Lu...,3 yrs/$102M (21-23),$40M,$45M,$17M,FA,,,,,,,,
Clayton Kershaw\kershcl01,33,14,Amateur Draft,12.105,Excel Sports Mana...,3 yrs/$93M (19-21),$31M,FA,,,,,,,,,,
Kenley Jansen\janseke01,33,12,Free Agency,10.073,Wasserman,5 yrs/$80M (17-21),$20M,FA,,,,,,,,,,
AJ Pollock\polloaj01,33,10,Free Agency,8.052,Excel Sports Mana...,4 yrs/$55M (19-22) & 23 player option,$18M,$13M,$5M [FA-*],FA,,,,,,,,
Justin Turner\turneju01,36,13,Free Agency,10.045,The Legacy Agency,2 yrs/$34M (21-22) & 23 team option,$12M,$20M,$2M [FA-*],FA,,,,,,,,
Max Muncy\muncyma01,30,6,Free Agency,4.027,,3 yrs/$26M (20-22) & 23 team option,$9M,$13M,$1.5M [FA-*],FA,,,,,,,,
Joe Kelly\kellyjo05,33,10,Free Agency,8.029,ACES (Sam & Seth ...,3 yrs/$25M (19-21) & 22 team option,$8.83M,$4M [FA-*],FA,,,,,,,,,
Blake Treinen\treinbl01,33,8,Free Agency,6.065,Sosnick Cobbe & K...,2 yrs/$17.5M (21-22) & 23 team option,$8M,$8M,$1.5M [FA-*],FA,,,,,,,,
Cody Bellinger\bellico01,25,5,Amateur Draft,3.160,Scott Boras,1 yr/$16.1M (21),$16.1M,Arb,Arb,FA,,,,,,,,
Corey Seager\seageco01,27,7,Amateur Draft,5.032,Scott Boras,1 yr/$13.75M (21),$13.75M,FA,,,,,,,,,,
Chris Taylor\tayloch03,30,8,Traded,5.037,,2 yrs/$13.4M (20-21),$7.8M,FA,,,,,,,,,,
Yoshi Tsutsugo\tsutsyo01,29,2,Traded,1.000,,2 yrs/$12M (20-21),$7M,Pre-Arb,Arb,Arb,Arb,FA,,,,,,
Walker Buehler\buehlwa01,26,5,Amateur Draft,2.168,,2 yrs/$8M (21-22),$3.75M,$4.25M,Arb,Arb,FA,,,,,,,
Corey Knebel\knebeco01,29,7,Traded,5.151,Excel Sports Mana...,1 yr/$5.25M (21),$5.25M,FA,,,,,,,,,,
Austin Barnes\barneau01,31,7,Traded,4.098,,2 yrs/$4.3M (21-22),$1.65M,$2.65M,FA,,,,,,,,,
