Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023
Buster Posey\poseybu01,34,12,Amateur Draft,9.161,CAA Sports (Jeff ...,9 yrs/$167.4M (13-21) & 22 team option,$22.18M,$3M [FA-*],FA
Johnny Cueto\cuetojo01,35,14,Free Agency,13.000,Bryce Dixon,6 yrs/$130M (16-21) & 22 team option,$21.83M,$5M [FA-*],FA
Evan Longoria\longoev01,35,14,Traded,12.170,Paul Cohen,6 yrs/$100M (17-22) & 23 team option,$18.67M,$19.67M,$5M [FA-*]
Brandon Crawford\crawfbr01,34,11,Amateur Draft,9.094,Wasserman,6 yrs/$75M (16-21),$15.2M,FA,
Brandon Belt\beltbr01,33,11,Amateur Draft,9.128,Excel Sports Mana...,5 yrs/$72.8M (17-21),$17.2M,FA,
Kevin Gausman\gausmke01,30,9,Free Agency,6.151,The Legacy Agency,1 yr/$18.9M (21),$18.9M,FA,
Wilmer Flores\florewi01,29,9,Free Agency,7.003,Beverly Hills Spo...,2 yrs/$6.25M (20-21) & 22 team option,$3M,$250k [FA-*],FA
Anthony DeSclafani\desclan01,31,7,Free Agency,6.062,VC Sports Group,1 yr/$6M (21),$6M,FA,
Jake McGee\mcgeeja01,34,12,Free Agency,9.127,Wasserman,2 yrs/$5M (21-22) & 23 team option,$2M,$2.5M,$500k [FA-*]
Aaron Sanchez\sanchaa01,28,7,Free Agency,5.069,Scott Boras,1 yr/$4M (21),$4M,FA,
Donovan Solano\solando01,33,8,Free Agency,5.081,,1 yr/$3.25M (21),$3.25M,FA,
Alex Wood\woodal02,30,9,Free Agency,7.123,ACES (Sam & Seth ...,1 yr/$3M (21),$3M,FA,
Alex Dickerson\dickeal01,31,5,Traded,4.120,,1 yr/$2M (21),$2M,Arb,FA
John Brebbia\brebbjo01,31,3,,3.093,,1 yr/$800k (21),$800k,Arb,Arb
Curt Casali\casalcu01,32,8,Free Agency,4.151,Beverly Hills Spo...,1 yr/$1.5M (21),$1.5M,Arb,FA
Darin Ruf\rufda01,34,7,Free Agency,3.138,CSE,1 yr/$1.28M (21),$1.27M,Arb,Arb
Jose Alvarez\alvarjo02,32,9,Free Agency,6.035,Wasserman,1 yr/$1.15M (21) & 22 team option,$1.05M,$100k [FA-*],FA
Matt Wisler\wislema01,28,7,Free Agency,4.042,Sosnick/Cobbe,1 yr/$1.15M (21),$1.15M,Arb,FA
Austin Slater\slateau01,28,5,Amateur Draft,2.147,,1 yr/$1.15M (21),$1.15M,Arb,Arb
Jarlin Garcia\garcija04,28,5,Waivers,3.114,,1 yr/$950k (21),$950k,Arb,Arb
Trevor Gott\gotttr01,28,6,Purchased,3.048,Sports One Athlet...,1 yr/$700k (21),$700k,Arb,Arb
Reyes Moronta\moronre01,28,4,Amateur Free Agent,3.028,,1 yr/$695k (21),$695k,Arb,Arb
Scott Kazmir\kazmisc01,37,13,Free Agency,11.119,Greg Genske Bria...,1 yr/$100k (21),$100k,FA,
Nick Tropeano\tropeni01,30,7,Free Agency,4.050,Bledsoe Brothers,1 yr/$100k (21),$100k,Arb,FA
Zack Littell\litteza01,25,4,Free Agency,1.075,,1 yr/$100k (21),$100k,Pre-Arb,Arb
Rico Garcia\garciri01,27,2,Free Agency,0.123,Gaeta Sports Mana...,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb
Jimmie Sherfy\sherfji01,29,3,,0.114,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb
Tommy La Stella\lasteto01,32,8,Free Agency,6.057,Beverly Hills Spo...,,FA,,
Dominic Leone\leonedo01,29,8,Free Agency,5.043,Mike McCann,,Arb,,
Justin Bour\bourju01,33,6,,5.006,Marc Kligman,,Arb,,
Silvino Bracho\brachsi01,28,5,,3.082,,,Arb (~$600k),,Arb
Tyler Beede\beedety01,28,2,Amateur Draft,1.128,ACES,,,,Arb
Thairo Estrada\estrath01,25,2,,1.063,,,,,Arb
Mike Tauchman\tauchmi01,30,5,Traded,2.055,,,,,Arb
Sam Selman\selmasa01,30,3,Free Agency,1.023,,,,,Arb
Trevor Hildenberger\hildetr01,30,4,,2.005,,,,,Arb
Steven Duggar\duggast01,27,4,Amateur Draft,1.147,,,,,Arb
Mike Yastrzemski\yastrmi01,30,3,Traded,1.128,,,,,Arb
Arismendy Alcantara\alcanar01,29,4,,1.108,,,,,Arb
Anthony Banda\bandaan01,27,4,,1.103,,,,,Arb
Drew Robinson\robindr01,29,3,,1.049,,,,,Arb
LaMonte Wade Jr\wadela01,27,3,Traded,1.046,,,,,Arb
Logan Webb\webblo01,24,3,Amateur Draft,1.044,,,,,Arb
Mauricio Dubon\dubonma01,26,3,Traded,1.040,,,,,Arb
Tyler Rogers\rogerty01,30,3,Amateur Draft,1.034,,,,,Arb
Braden Bishop\bishobr01,27,3,,1.017,,,,,Arb
Caleb Baragar\baragca01,27,2,Amateur Draft,1.000,,,,,Arb
Chadwick Tromp\trompch01,26,2,Free Agency,1.000,,,,,Arb
Joey Bart\bartjo01,24,2,Amateur Draft,0.108,,,,,
Jay Jackson\jacksja01,33,2,,0.107,GSI,,,,
Conner Menez\menezco01,26,3,Amateur Draft,0.092,,,,,
Jaylin Davis\davisja03,26,2,Traded,0.045,Beverly Hills Spo...,,,,
Joe McCarthy\mccarjo04,27,1st,Traded,0.019,,,,,
