Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023
Jose Ramirez\ramirjo01,28,9,Amateur Free Agent,6.074,Republik Sports,5 yrs/$26M (17-21) & 22-23 team option,$9.4M,$2M [FA-*],$0 [FA-*]
Roberto Perez\perezro02,32,8,Amateur Draft,6.083,MDR Sports Manage...,5 yrs/$14.5M (17-21) & 22 team option,$5.5M,$450k [FA-*],FA
Eddie Rosario\rosared01,29,7,Free Agency,5.120,Roc Nation Sports,1 yr/$8M (21),$8M,FA,
Cesar Hernandez\hernace02,31,9,Free Agency,6.154,Octagon,1 yr/$5M (21) & 22 team option,$5M,$0 [FA-*],FA
Austin Hedges\hedgeau01,28,7,Traded,4.166,Scott Boras,1 yr/$3.28M (21),$3.28M,Arb,FA
Amed Rosario\rosaram01,25,5,Traded,3.062,Octagon,1 yr/$2.4M (21),$2.4M,Arb,Arb
Nick Wittgren\wittgni01,30,6,Traded,4.071,,1 yr/$2M (21),$2M,Arb,FA
Phil Maton\matonph01,28,5,Traded,3.047,,1 yr/$975k (21),$975k,Arb,Arb
Bryan Shaw\shawbr01,33,11,Free Agency,8.148,Rowley Sports Man...,1 yr/$100k (21),$100k,FA,
Blake Parker\parkebl01,36,9,Free Agency,5.169,,1 yr/$100k (21),$100k,FA,
Ryan Lavarnway\lavarry01,33,9,,3.075,Wasserman,1 yr/$100k (21),$100k,Arb,Arb
Heath Fillmyer\fillmhe01,27,2,,0.155,Gaeta Sports Mana...,1 yr/$100k (21),$100k,Pre-Arb,Arb
Rene Rivera\riverre01,37,13,Free Agency,8.107,MDR Sports Manage...,,FA,,
Oscar Mercado\mercaos01,26,2,Traded,1.114,,,,,Arb
Anthony Gose\gosean01,30,5,,2.125,CAA Sports,,,,Arb
Bradley Zimmer\zimmebr01,28,5,Amateur Draft,2.119,,,,,Arb
Franmil Reyes\reyesfr01,25,4,Traded,2.115,Optimum Baseball,,,,Arb
Jordan Luplow\luplojo01,27,5,Traded,2.112,MVP Sports Group,,,,Arb
Shane Bieber\biebesh01,26,4,Amateur Draft,2.097,,,,,Arb
Andres Gimenez\gimenan01,22,2,Traded,1.000,,,,,Arb
Harold Ramirez\ramirha02,26,3,Waivers,1.142,,,,,Arb
Cal Quantrill\quantca01,26,3,Traded,1.132,,,,,Arb
Josh Naylor\naylojo01,24,3,Traded,1.118,,,,,Arb
Jake Bauers\bauerja01,25,3,Traded,1.100,VC Sports Group,,,,Arb
Zach Plesac\plesaza01,26,3,Amateur Draft,1.078,,,,,Arb
Aaron Civale\civalaa01,26,3,Amateur Draft,1.058,,,,,Arb
James Karinchak\karinja01,25,3,Amateur Draft,1.017,,,,,Arb
Matt Koch\kochma01,30,4,,1.006,,,,,Arb
Yu Chang\changyu01,25,3,Amateur Free Agent,1.005,Wasserman,,,,Arb
Triston McKenzie\mckentr01,23,2,Amateur Draft,0.103,,,,,
Logan Allen\allenlo01,24,3,Traded,0.083,,,,,
Cam Hill\hillca02,27,1st,Amateur Draft,0.158,L. Warner Compani...,,,,Arb
Kyle Dowdy\dowdyky01,28,1st,,0.123,,,,,
DJ Johnson\johnsdj01,31,2,,0.109,,,,,
Daniel Johnson\johnsda07,25,2,Traded,0.036,,,,,
Emmanuel Clase\claseem01,23,2,Traded,0.059,,,,,
Bobby Bradley\bradlbo01,25,2,Amateur Draft,0.023,,,,,
Kyle Nelson\nelsoky01,24,2,Amateur Draft,0.022,,,,,
