Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028
Kyle Seager\seageky01,33,11,Amateur Draft,9.085,Jet Sports Manage...,7 yrs/$100M (15-21) & 22 team option,$18.5M,$0 [FA-*],FA,,,,,
Yusei Kikuchi\kikucyu01,30,3,Free Agency,2.000,,3 yrs/$43M (19-21) & 22-25 team option,$17M,$0 [Arb-*],$0 [Arb-*],$0 [Arb-*],$0 [FA-*],FA,,
Marco Gonzales\gonzama02,29,7,Traded,3.102,CAA Sports,4 yrs/$30M (21-24) & 25 team option,$5.25M,$5.75M,$6.75M,$12.25M,$0 [FA-*],FA,,
Evan White\whiteev01,25,2,Amateur Draft,1.000,,6 yrs/$24M (20-25) & 26-28 team option,$1.3M,$1.4M,$3M,$7M,$8M,$2M [FA-*],$0 [FA-*],$0 [FA-*]
James Paxton\paxtoja01,32,9,Free Agency,6.151,Scott Boras,1 yr/$8.5M (21),$8.5M,FA,,,,,,
Ken Giles\gileske01,30,7,,6.113,Rowley Sports Man...,2 yrs/$7M (21-22) & 23 team option,$1.25M,$5.25M,$500k [FA-*],FA,,,,
Chris Flexen\flexech01,26,4,Free Agency,0.107,,2 yrs/$4.75M (21-22) & 23 team option,$1.7M,$3.05M,$0 [*],Arb,Arb,Arb,FA,
Mitch Haniger\hanigmi01,30,5,Traded,4.048,Sosnick Cobbe & K...,1 yr/$3.01M (21),$3.01M,Arb,FA,,,,,
Rafael Montero\montera01,30,7,Traded,4.138,The Legacy Agency,1 yr/$2.25M (21),$2.25M,Arb,FA,,,,,
J.P. Crawford\crawfjp01,26,5,Traded,2.163,Wasserman,1 yr/$2.05M (21),$2.05M,Arb,Arb,Arb,FA,,,
Kendall Graveman\graveke01,30,7,Free Agency,5.078,Sports One Athlet...,1 yr/$1.25M (21),$1.25M,FA,,,,,,
Tom Murphy\murphto04,30,6,Traded,3.092,Ballengee Group,1 yr/$875k (21),$875k,Arb,Arb,FA,,,,
Keynan Middleton\middlke01,27,5,Free Agency,3.089,,1 yr/$800k (21),$800k,Arb,Arb,FA,,,,
Matt Magill\magilma01,31,5,Free Agency,3.031,,1 yr/$100k (21),$100k,Arb,Arb,FA,,,,
Yacksel Rios\riosya01,28,5,,2.019,,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,,,
JT Chargois\chargjt01,30,4,Free Agency,1.125,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,FA,,
Taylor Guerrieri\guerrta02,28,2,,0.133,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,
Hector Santiago\santihe01,33,10,,7.101,Excel Sports Mana...,,FA,,,,,,,
Justin Grimm\grimmju01,32,8,Free Agency,6.050,Bledsoe Brothers,,FA,,,,,,,
Roenis Elias\eliasro01,32,6,Traded,5.069,ISE Baseball,,Arb,,,,,,,
Drew Steckenrider\steckdr01,30,4,Free Agency,3.094,,,Arb (~$800k),,Arb,FA,,,,
David Huff\huffda01,36,8,,3.082,Jim McDowell,,Arb,,Arb,FA,,,,
Ryan Dull\dullry01,31,5,,3.022,,,Arb,,Arb,FA,,,,
Luis Torrens\torrelu01,25,4,Traded,1.128,,,,,Arb,Arb,Arb,FA,,
Shed Long\longsh01,25,2,Traded,1.057,,,,,Arb,Arb,Arb,FA,,
Paul Sewald\sewalpa01,31,5,Free Agency,2.101,,,,,Arb,Arb,FA,,,
Brian Schlitter\schlibr01,35,4,,2.092,,,,,Arb,Arb,FA,,,
Casey Sadler\sadleca02,30,6,Waivers,2.035,,,,,Arb,Arb,FA,,,
Eric Campbell\campber01,34,4,Free Agency,2.024,Octagon,,,,Arb,Arb,FA,,,
Dylan Moore\mooredy01,28,3,Free Agency,2.000,,,,,Arb,Arb,FA,,,
Yohan Ramirez\ramiryo01,26,2,Rule 5 Draft,1.000,,,,,Arb,Arb,Arb,FA,,
Nick Margevicius\margeni01,25,3,Waivers,1.100,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,
Erik Swanson\swanser01,27,3,Traded,1.099,,,,,Arb,Arb,Arb,FA,,
Ty Kelly\kellyty01,32,3,,1.098,,,,,Arb,Arb,Arb,FA,,
Logan Verrett\verrelo01,31,3,,1.092,,,,,Arb,Arb,Arb,FA,,
Ty France\francty01,26,3,Traded,1.089,,,,,Arb,Arb,Arb,FA,,
Andres Munoz\munozan01,22,1st,,1.080,,,,,Arb,Arb,Arb,FA,,
Justus Sheffield\sheffju01,25,4,Traded,1.053,,,,,Arb,Arb,Arb,FA,,
Sam Travis\travisa01,27,3,,1.047,,,,,Arb,Arb,Arb,FA,,
Jack Mayfield\mayfija01,30,3,Waivers,1.030,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,
Jacob Nottingham\nottija01,26,4,Waivers,1.026,,,,,Arb,Arb,Arb,FA,,
Jimmy Yacabonis\yacabji01,29,4,Purchased,1.022,,,,,Arb,Arb,Arb,FA,,
Justin Dunn\dunnju01,25,3,Traded,1.020,,,,,Arb,Arb,Arb,FA,,
Kyle Lewis\lewisky01,25,3,Amateur Draft,1.020,,,,,Arb,Arb,Arb,FA,,
Jose Marmolejos\marmojo01,28,2,Free Agency,1.017,,,,,Arb,Arb,Arb,FA,,
Brooks Pounders\poundbr01,30,4,,1.010,,,,,Arb,Arb,Arb,FA,,
Anthony Misiewicz\misiean01,26,2,Traded,1.000,,,,,Arb,Arb,Arb,FA,,
Robert Dugger\duggero01,25,3,Waivers,0.162,,,,,Arb,Arb,Arb,Arb,FA,
Joey Gerber\gerbejo01,24,1st,Amateur Draft,0.153,,,,,Arb,Arb,Arb,Arb,FA,
Daniel Zamora\zamorda01,28,3,Waivers,0.143,,,,,,Arb,Arb,Arb,FA,
Sam Haggerty\haggesa01,27,3,Waivers,0.140,Beverly Hills Spo...,,,,,Arb,Arb,Arb,FA,
Aaron Fletcher\fletcaa01,25,2,Traded,0.067,KVA Sports LLC,,,,,Arb,Arb,Arb,FA,
Ljay Newsome\newsolj01,24,2,Amateur Draft,0.122,,,,,,Arb,Arb,Arb,FA,
Jake Fraley\fraleja01,26,3,Traded,0.097,,,,,,Arb,Arb,Arb,FA,
Matt Festa\festama01,28,2,Amateur Draft,0.095,,,,,,Arb,Arb,Arb,FA,
Jaime Schultz\schulja02,30,2,,0.076,,,,,,Arb,Arb,Arb,FA,
Williams Jerez\jerezwi01,29,2,,0.074,,,,,,Arb,Arb,Arb,FA,
Jack Reinheimer\reinhja01,28,2,,0.044,,,,,,Arb,Arb,Arb,FA,
Donovan Walton\waltodo01,27,3,Amateur Draft,0.042,,,,,,Arb,Arb,Arb,FA,
Zack Weiss\weissza01,29,1st,,0.009,,,,,,Arb,Arb,Arb,FA,
