Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022
Corey Dickerson\dickeco01,31,8,Free Agency,6.101,Excel Sports Mana...,2 yrs/$17.5M (20-21),$8.75M,$8.75M,FA
Miguel Rojas\rojasmi02,31,7,Traded,5.043,Beverly Hills Spo...,2 yrs/$10.25M (20-21) & 22 team option,$4.75M,$5M,$500k [FA-*]
Jonathan Villar\villajo01,29,8,Traded,5.113,MDR Sports Manage...,1 yr/$8.2M (20),$8.2M,FA,
Jose Urena\urenajo01,28,5,Amateur Free Agent,4.040,Rep 1 Baseball,1 yr/$3.75M (20),$3.75M,Arb,FA
Brandon Kintzler\kintzbr01,35,11,Free Agency,8.003,Kevin Kohler,1 yr/$3.25M (20) & 21 team option,$3M,$250k [FA-*],FA
Jesus Aguilar\aguilje01,30,7,Waivers,3.082,MVP Sports Group,1 yr/$2.58M (20),$2.58M,Arb,Arb
Francisco Cervelli\cervefr01,34,13,Free Agency,9.146,Republik Sports,1 yr/$2M (20),$2M,FA,
Adam Conley\conlead01,30,5,Amateur Draft,3.147,CAA Sports,1 yr/$1.53M (20),$1.52M,Arb,Arb
Matthew Joyce\joycema01,35,12,,10.123,ACES,1 yr/$100k (20),$100k,FA,
Sean Rodriguez\rodrise01,35,12,,10.105,MVP Sports Group,1 yr/$100k (20),$100k,FA,
Nick Vincent\vinceni01,33,8,,6.052,PSI Sports Manage...,1 yr/$100k (20),$100k,FA,
Brad Boxberger\boxbebr01,32,9,Free Agency,6.033,Scott Boras,1 yr/$100k (20),$100k,FA,
Travis Snider\snidetr01,32,8,,5.086,CAA Sports (Joe U...,,Arb,,
Yimi Garcia\garciyi01,29,6,Free Agency,4.149,Jackson Managemen...,,Arb (~$1.1M),,FA
Ryan Lavarnway\lavarry01,32,8,,3.014,Wasserman,,Arb,,Arb
Drew Steckenrider\steckdr01,29,3,Amateur Draft,2.094,,,,,Arb
Jorge Alfaro\alfarjo01,27,4,Traded,2.083,ISE Baseball,,,,Arb
Caleb Smith\smithca03,28,4,Traded,2.078,,,,,Arb
Garrett Cooper\coopega03,29,4,Traded,2.053,,,,,Arb
Ryne Stanek\stanery01,28,4,Traded,2.038,MVP Sports Group,,,,Arb
Brian Anderson\anderbr06,27,4,Amateur Draft,2.031,CAA Sports,,,,Arb
Josh Smith\smithjo07,32,4,,1.167,,,,,Arb
Elieser Hernandez\hernael01,25,2,Rule 5 Draft,1.118,,,,,Arb
Lewis Brinson\brinsle01,26,3,Traded,1.115,Excel Sports Mana...,,,,Arb
Sandy Alcantara\alcansa01,24,4,Traded,1.100,,,,,Arb
Pablo Lopez\lopezpa01,24,2,Traded,1.093,,,,,Arb
Chad Wallach\wallach01,28,4,Waivers,1.090,,,,,Arb
Brett Graves\gravebr01,27,1st,Rule 5 Draft,1.000,,,,,Arb
Jon Berti\bertijo01,30,3,Free Agency,0.168,,,,,Arb
Harold Ramirez\ramirha02,25,2,Free Agency,0.142,,,,,
Magneuris Sierra\sierrma01,24,4,Traded,0.138,,,,,
Justin Shafer\shafeju01,27,2,,0.131,Sosnick Cobbe & K...,,,,
Stephen Tarpley\tarplst01,27,3,Traded,0.130,,,,,
Jeff Brigham\brighje01,28,3,Traded,0.126,,,,,
Preston Guilmet\guilmpr01,32,4,,0.110,,,,,
Jordan Yamamoto\yamamjo01,24,1st,Traded,0.110,,,,,
Isan Diaz\diazis01,24,2,Traded,0.056,,,,,
Josh Smith\smithjo08,30,1st,Waivers,0.041,,,,,
Robert Dugger\duggero01,24,2,Traded,0.034,,,,,
