Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Francisco Lindor\lindofr01,27,7,Traded,5.113,David Meter Spor...,1 yr/$22.3M (21)10 yrs/$341M (22-31),$22.3M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M
Robinson Cano\canoro01,38,16,Traded,15.076,Roc Nation Sports,10 yrs/$204.26M (14-23),0,$24M,$24M,FA,,,,,,,
Jacob deGrom\degroja01,33,8,Amateur Draft,6.139,CAA Sports,5 yrs/$137.5M (19-23) & 24 team option,$35.5M,$35.5M,$32.5M,$0 [FA-*],FA,,,,,,
Carlos Carrasco\carraca01,34,11,,9.147,ACES (Sam & Seth ...,4 yrs/$47M (19-22) & 23 team option,$12M,$12M,$3M [FA-*],FA,,,,,,,
James McCann\mccanja02,31,8,Free Agency,6.028,Ballengee Group,4 yrs/$40.6M (21-24),$8.15M,$8.15M,$12.15M,$12.15M,FA,,,,,,
Jeurys Familia\familje01,31,10,Free Agency,8.023,ACES (Sam & Seth ...,3 yrs/$30M (19-21),$11.67M,FA,,,,,,,,,
Taijuan Walker\walketa01,28,9,Free Agency,6.142,Excel Sports Mana...,2 yrs/$20M (21-22) & 23 player option,$10M,$7M,$3M [FA-*],FA,,,,,,,
Marcus Stroman\stromma01,30,7,Free Agency,6.026,The Legacy Agency,1 yr/$18.9M (21),$18.9M,FA,,,,,,,,,
Trevor May\maytr01,31,7,Free Agency,6.012,VC Sports Group,2 yrs/$15.5M (21-22),$7.75M,$7.75M,FA,,,,,,,,
Dellin Betances\betande01,33,10,Free Agency,7.078,Excel Sports Mana...,2 yrs/$14M (20-21) & 22 player option,$6M,$500k [FA-*],FA,,,,,,,,
Michael Conforto\confomi01,28,7,Amateur Draft,5.043,Scott Boras,1 yr/$12.25M (21),$12.25M,FA,,,,,,,,,
Noah Syndergaard\syndeno01,28,5,Traded,5.149,CAA Sports,1 yr/$9.7M (21),$9.7M,FA,,,,,,,,,
Edwin Diaz\diazed04,27,6,Traded,4.121,Wasserman,1 yr/$7M (21),$7M,Arb,FA,,,,,,,,
Kevin Pillar\pillake01,32,9,Free Agency,6.113,All Bases Covered,1 yr/$5M (21) & 22 team option,$3.6M,$1.4M [FA-*],FA,,,,,,,,
Brandon Nimmo\nimmobr01,28,6,Amateur Draft,4.042,CAA Sports,1 yr/$4.7M (21),$4.7M,Arb,FA,,,,,,,,
Jonathan Villar\villajo01,30,9,Free Agency,6.113,MDR Sports Manage...,1 yr/$3.55M (21),$3.55M,FA,,,,,,,,,
