Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026
Stephen Strasburg\strasst01,32,12,Free Agency,10.118,Scott Boras,7 yrs/$245M (20-26),$35M,$35M,$35M,$35M,$35M,$35M
Max Scherzer\scherma01,36,14,Free Agency,12.079,Scott Boras,7 yrs/$191.4M (15-21),$34.5M,FA,,,,
Patrick Corbin\corbipa01,31,9,Free Agency,8.105,ISE Baseball,6 yrs/$140M (19-24),$24.42M,$23.42M,$24.42M,$35.4M,FA,
Will Harris\harriwi10,36,10,Free Agency,7.102,Gavin Kahn,3 yrs/$24M (20-22),$8M,$8M,FA,,,
Trea Turner\turnetr01,28,7,Traded,4.135,CAA Sports,1 yr/$13M (21),$13M,Arb,FA,,,
Starlin Castro\castrst01,31,12,Free Agency,10.150,Rep 1 Baseball,2 yrs/$12M (20-21),$7M,FA,,,,
Daniel Hudson\hudsoda01,34,12,Free Agency,10.106,Jet Sports Manage...,2 yrs/$11M (20-21),$6M,FA,,,,
Brad Hand\handbr01,31,11,Free Agency,7.092,Matt Colleran,1 yr/$10.5M (21),$10.5M,FA,,,,
Yan Gomes\gomesya01,33,10,Free Agency,8.083,Jet Sports Manage...,2 yrs/$10M (20-21),$6M,FA,,,,
Kyle Schwarber\schwaky01,28,7,Free Agency,5.086,Excel Sports Mana...,1 yr/$10M (21) & 22 mutual option,$7M,$3M [FA-*],FA,,,
Juan Soto\sotoju01,22,4,Amateur Free Agent,2.134,,1 yr/$8.5M (21),$8.5M,Arb,Arb,Arb,FA,
Josh Bell\belljo02,28,6,Traded,4.053,Scott Boras,1 yr/$6.35M (21),$6.35M,Arb,FA,,,
Joe Ross\rossjo01,28,6,Traded,4.018,Wasserman,1 yr/$1.5M (21),$1.5M,Arb,FA,,,
Ryan Zimmerman\zimmery01,36,16,Free Agency,14.032,CAA Sports,1 yr/$1M (21),$1M,FA,,,,
Josh Harrison\harrijo05,33,11,Free Agency,8.168,Millenium Sports,1 yr/$1M (21),$1M,FA,,,,
Gerardo Parra\parrage01,34,11,Free Agency,10.145,Octagon,1 yr/$100k (21),$100k,FA,,,,
Jordy Mercer\mercejo03,34,10,,7.156,The Legacy Agency,1 yr/$100k (21),$100k,FA,,,,
Welington Castillo\castiwe01,34,10,,7.104,ISE Baseball,1 yr/$100k (21),$100k,FA,,,,
Javy Guerra\guerrja01,35,10,Free Agency,5.145,Reynolds Sports M...,1 yr/$100k (21),$100k,FA,,,,
Blake Swihart\swihabl01,29,5,,3.130,The Legacy Agency,1 yr/$100k (21),$100k,Arb,Arb,FA,,
Yasmany Tomás\tomasya01,30,4,,3.009,Jay Alou Jr.,1 yr/$100k (21),$100k,Arb,Arb,FA,,
Jon Lester\lestejo01,37,16,Free Agency,14.075,ACES (Sam & Seth ...,,FA,,,,,
Alex Avila\avilaal01,34,13,Free Agency,11.061,Excel Sports Mana...,,FA,,,,,
Luis Avilan\avilalu01,31,10,Free Agency,7.077,SPS Sports Group,,FA,,,,,
T.J. McFarland\mcfartj01,32,8,,6.164,Octagon,,FA,,,,,
Erick Fedde\feddeer01,28,5,Amateur Draft,2.099,,,,,Arb,Arb,FA,
Ryne Harper\harpery01,32,3,Traded,2.020,,,,,Arb,Arb,FA,
Justin Miller\milleju02,34,5,Free Agency,3.083,Kevin Kohler,,Arb,,Arb,FA,,
Aaron Barrett\barreaa01,33,4,Free Agency,3.034,Excel Sports Mana...,,Arb,,Arb,FA,,
Wander Suero\suerowa01,29,4,Amateur Free Agent,2.123,,,,,Arb,Arb,FA,
Brandon Snyder\snydebr03,34,6,,2.063,,,,,Arb,Arb,FA,
Victor Robles\roblevi01,24,5,Amateur Free Agent,2.052,Republik Sports,,,,Arb,Arb,FA,
Rogelio Armenteros\armenro01,27,1st,,1.018,,,,,Arb,Arb,Arb,FA
Carter Kieboom\kieboca01,23,3,Amateur Draft,1.001,,,,,Arb,Arb,Arb,FA
Tanner Rainey\raineta01,28,4,Traded,1.158,,,,,Arb,Arb,Arb,FA
Andrew Stevenson\stevean01,27,5,Amateur Draft,1.127,,,,,Arb,Arb,Arb,FA
Austin Voth\vothau01,29,4,Amateur Draft,1.127,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA
Sean Nolin\nolinse01,31,3,,1.100,LSW Baseball,,,,Arb,Arb,Arb,FA
Jefry Rodriguez\rodrije01,27,2,Amateur Free Agent,1.089,,,,,Arb,Arb,Arb,FA
Kyle Lobstein\lobstky01,31,3,,1.088,Ballengee Group,,,,Arb,Arb,Arb,FA
Adrian Sanchez\sanchad01,30,3,Amateur Free Agent,1.083,,,,,Arb,Arb,Arb,FA
Daniel Palka\palkada01,29,2,,1.046,,,,,Arb,Arb,Arb,FA
Kyle Finnegan\finneky01,29,2,Free Agency,1.000,L. Warner Compani...,,,,Arb,Arb,Arb,FA
Ramon Flores\florera02,29,3,,1.000,,,,,Arb,Arb,Arb,FA
Carlos Tocci\toccica01,25,1st,,1.000,,,,,Arb,Arb,Arb,FA
Seth Romero\romerse01,25,1st,Amateur Draft,0.128,,,,,,Arb,Arb,Arb
Luis Garcia\garcilu04,21,2,Amateur Free Agent,0.125,,,,,,Arb,Arb,Arb
Josh Rogers\rogerjo01,26,2,,0.143,Beverly Hills Spo...,,,,,Arb,Arb,Arb
Kyle McGowin\mcgowky01,29,4,Traded,0.141,,,,,,Arb,Arb,Arb
Ben Braymer\braymbe01,27,1st,Amateur Draft,0.064,,,,,,Arb,Arb,Arb
Dakota Bacus\bacusda01,30,1st,Free Agency,0.125,,,,,,Arb,Arb,Arb
Corban Joseph\josepco01,32,3,,0.113,,,,,,Arb,Arb,Arb
Humberto Arteaga\arteahu01,27,1st,,0.102,,,,,,Arb,Arb,Arb
Sterling Sharp\sharpst01,26,1st,,0.100,,,,,,Arb,Arb,Arb
Raudy Read\readra01,27,2,Amateur Free Agent,0.080,,,,,,Arb,Arb,Arb
Paolo Espino\espinpa01,34,3,Free Agency,0.078,,,,,,Arb,Arb,Arb
Jake Noll\nollja01,27,2,Amateur Draft,0.056,,,,,,Arb,Arb,Arb
Rafael Bautista\bautira01,28,2,Free Agency,0.050,Wasserman,,,,,Arb,Arb,Arb
Yadiel Hernández\hernaya01,33,2,Amateur Free Agent,0.047,,,,,,Arb,Arb,Arb
Tres Barrera\barretr01,26,2,Amateur Draft,0.022,,,,,,Arb,Arb,Arb
Andres Machado\machaan02,28,1st,,0.032,,,,,,Arb,Arb,Arb
