Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022
Chris Davis\davisch02,34,12,Free Agency,10.061,Boras Corporation,7 yrs/$161M (16-22),$23M,$23M,$23M
Alex Cobb\cobbal01,32,8,Free Agency,8.061,Beverly Hills Spo...,4 yrs/$57M (18-21),$14M,$15M,FA
Trey Mancini\mancitr01,28,4,Amateur Draft,3.015,,1 yr/$4.75M (20),$4.75M,Arb,Arb
Mychal Givens\givenmy01,30,5,Amateur Draft,4.069,Excel Sports Mana...,1 yr/$3.23M (20),$3.23M,Arb,FA
José Iglesias\iglesjo01,30,8,,7.036,MVP Sports Group,1 yr/$3M (20) & 21 team option,$2.5M,$500k [FA-*],FA
Hanser Alberto\alberha01,27,4,Waivers,3.085,ISE Baseball,1 yr/$1.65M (20),$1.65M,Arb,Arb
Miguel Castro\castrmi01,25,5,Traded,3.079,Magnus Sports,1 yr/$1.05M (20),$1.05M,Arb,Arb
Richard Bleier\bleieri01,33,4,Traded,3.074,,1 yr/$915k (20),$915k,Arb,Arb
Kohl Stewart\stewako01,25,2,,0.094,,1 yr/$800k (20),$800k,Pre-Arb,Pre-Arb
Wade LeBlanc\leblawa01,35,11,,6.131,CAA Sports (Greg ...,1 yr/$100k (20),$100k,FA,
Tommy Milone\milonto01,33,9,,6.113,Magnus Sports,1 yr/$100k (20),$100k,FA,
Jose Rondon\rondojo02,26,3,Waivers,1.056,,1 yr/$100k (20),$100k,Pre-Arb,Arb
Bryan Holaday\holadbr01,32,8,,5.013,Lagardere Sports,,Arb-3,FA,
Pat Valaika\valaipa01,27,4,,2.079,,,Pre-Arb-3,Arb-1,Arb-2
Ty Blach\blachty01,29,4,Waivers,2.065,Sports Pro Servic...,,Pre-Arb-3,Arb-1,Arb-2
Mason Williams\willima10,28,5,Free Agency,2.002,Bobby Barad,,Pre-Arb-3,Arb-1,Arb-2
Stevie Wilkerson\wilkest01,28,2,Amateur Draft,1.093,,,Pre-Arb-2,Pre-Arb-3,Arb-1
David Hess\hessda01,26,2,Amateur Draft,1.068,,,Pre-Arb-2,Pre-Arb-3,Arb-1
Pedro Severino\severpe01,26,5,Waivers,2.099,Wasserman,,Pre-Arb-3,Arb-1,Arb-2
Dilson Herrera\herredi01,26,3,,1.034,Magnus Sports,,Pre-Arb-2,Pre-Arb-3,Arb-1
Hunter Cervenka\cervehu01,30,2,,1.018,,,Pre-Arb-2,Pre-Arb-3,Arb-1
Shawn Armstrong\armstsh01,29,5,Waivers,2.028,,,Pre-Arb-3,Arb-1,Arb-2
Hector Velazquez\velazhe01,31,3,,2.017,,,Pre-Arb-3,Arb-1,Arb-2
Renato Nunez\nunezre01,26,4,Waivers,1.167,,,Pre-Arb-2,Arb-1,Arb-2
Anthony Santander\santaan02,25,3,Rule 5 Draft,1.162,,,Pre-Arb-2,Arb-1,Arb-2
Asher Wojciechowski\wojcias01,31,3,Purchased,1.156,ISE Baseball,,Pre-Arb-2,Arb-1,Arb-2
Rio Ruiz\ruizri01,26,4,Waivers,1.109,Scott Boras,,Pre-Arb-2,Pre-Arb-3,Arb-1
Chance Sisco\siscoch01,25,3,Amateur Draft,1.103,VC Sports Group,,Pre-Arb-2,Pre-Arb-3,Arb-1
Paul Fry\frypa01,27,2,Traded,1.096,Wasserman,,Pre-Arb-2,Pre-Arb-3,Arb-1
Dwight Smith Jr.\smithdw02,27,3,Traded,1.085,,,Pre-Arb-2,Pre-Arb-3,Arb-1
Tanner Scott\scottta01,25,3,Amateur Draft,1.059,MVP Sports Group,,Pre-Arb-2,Pre-Arb-3,Arb-1
Austin Wynns\wynnsau01,29,2,Amateur Draft,1.016,,,Pre-Arb-2,Pre-Arb-3,Arb-1
Brady Rodgers\rodgebr01,29,2,,1.015,Hendricks Sports,,Pre-Arb-2,Pre-Arb-3,Arb-1
John Means\meansjo01,27,2,Amateur Draft,1.007,Wasserman,,Pre-Arb-2,Pre-Arb-3,Arb-1
Richie Martin\martiri01,25,1st,Rule 5 Draft,1.000,,,Pre-Arb-2,Pre-Arb-3,Arb-1
Richard Urena\urenari01,24,3,,0.156,,,Pre-Arb,Pre-Arb-2,Arb-1
Cesar Valdez\valdece01,35,2,,0.143,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3
Rob Zastryzny\zastrro01,28,3,,0.100,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3
