Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Fernando Tatis Jr.\tatisfe02,22,3,Traded,2.000,,14 yrs/$340M (21-34),$1.71M,$5.71M,$7.71M,$11.71M,$20.71M,$20.71M,$25.71M,$25.71M,$36.7M,$36.7M,$36.7M,$36.7M,$36.7M,$36.7M
Manny Machado\machama01,28,10,Free Agency,8.056,MVP Sports Group,10 yrs/$300M (19-28),$32M,$32M,$32M,$32M,$32M,$32M,$32M,$32M,FA,,,,,
Eric Hosmer\hosmeer01,31,11,Free Agency,9.146,Scott Boras,8 yrs/$144M (18-25),$21M,$21M,$13M,$13M,$13M,FA,,,,,,,,
Yu Darvish\darviyu01,34,9,Traded,9.000,Joel Wolfe & Nick...,6 yrs/$126M (18-23),$22M,$19M,$18M,FA,,,,,,,,,,
Wil Myers\myerswi01,30,9,Traded,7.104,CAA (Jeff Berry),6 yrs/$83M (17-22) & 23 team option,$22.5M,$22.5M,$1M [FA-*],FA,,,,,,,,,,
Blake Snell\snellbl01,28,6,Traded,4.072,Sosnick Cobbe & K...,5 yrs/$50M (19-23),$11.1M,$13.1M,$16.6M,FA,,,,,,,,,,
Drew Pomeranz\pomerdr01,32,11,Free Agency,8.013,Beverly Hills Spo...,4 yrs/$34M (20-23),$8M,$10M,$10M,FA,,,,,,,,,,
Mike Clevinger\clevimi01,30,5,Traded,4.021,ACES,2 yrs/$11.5M (21-22),$3.5M,$8M,FA,,,,,,,,,,,
Craig Stammen\stammcr01,37,12,Free Agency,9.160,Longo Law Group,2 yrs/$9M (20-21) & 22 team option,$4M,$1M [FA-*],FA,,,,,,,,,,,
Tommy Pham\phamth01,33,8,Traded,5.107,The Legacy Agency,1 yr/$8.9M (21),$8.9M,FA,,,,,,,,,,,,
Jurickson Profar\profaju01,28,8,Free Agency,6.165,Scott Boras,1 yr/$5.33M (21) & 22-24 player/mutual option,$4.33M,$1M [FA-*],$0 [FA-*],$0 [FA-*],FA,,,,,,,,,
Pierce Johnson\johnspi01,30,4,Free Agency,1.137,John Boggs,2 yrs/$5M (20-21) & 22 team option,$2M,$1M [*],Arb,Arb,Arb,FA,,,,,,,,
Joe Musgrove\musgrjo01,28,6,Traded,4.063,,1 yr/$4.45M (21),$4.45M,Arb,FA,,,,,,,,,,,
Dinelson Lamet\lametdi01,28,4,Amateur Free Agent,3.130,MVP Sports Group,1 yr/$4.2M (21),$4.2M,Arb,Arb,FA,,,,,,,,,,
Mark Melancon\melanma01,36,13,Free Agency,10.098,ISE Baseball,1 yr/$3M (21) & 22 mutual option,$2M,$1M [FA-*],FA,,,,,,,,,,,
Matt Strahm\strahma01,29,5,Traded,4.064,Platinum Sports,1 yr/$2M (21),$2M,Arb,FA,,,,,,,,,,,
Emilio Pagan\paganem01,30,5,Traded,3.091,,1 yr/$1.57M (21),$1.57M,Arb,Arb,FA,,,,,,,,,,
Victor Caratini\caratvi01,27,5,Traded,3.051,,1 yr/$1.3M (21),$1.3M,Arb,Arb,FA,,,,,,,,,,
Brian O'Grady\ogradbr01,29,3,Free Agency,0.073,L. Warner Compani...,1 yr/$650k (21),$650k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,
Keone Kela\kelake01,28,7,Free Agency,6.000,Beverly Hills Spo...,1 yr/$1.2M (21) & 22 team option,$1.2M,$0 [FA-*],FA,,,,,,,,,,,
Dan Altavilla\altavda01,28,6,Traded,3.063,,1 yr/$850k (21),$850k,Arb,Arb,FA,,,,,,,,,,
Pedro Florimon\floripe01,34,8,,3.126,Reynolds Sports M...,,Arb,,Arb,FA,,,,,,,,,,
Nick Burdi\burdini01,28,3,,3.000,Sosnick Cobbe & K...,,Arb (~$600k),,Arb,FA,,,,,,,,,,
James Norwood\norwoja01,27,3,,1.070,,,,,Arb,Arb,Arb,FA,,,,,,,,
Jose Castillo\castijo03,25,2,Traded,2.121,,,,,Arb,Arb,FA,,,,,,,,,
Tim Hill\hillti01,31,4,Traded,2.112,,,,,Arb,Arb,FA,,,,,,,,,
Trey Wingenter\wingetr01,27,2,Amateur Draft,2.053,,,,,Arb,Arb,FA,,,,,,,,,
Nick Ramirez\ramirni01,31,3,Free Agency,1.021,,,,,Arb,Arb,Arb,FA,,,,,,,,
Taylor Williams\willita01,29,5,Traded,2.034,NWSMG/Nik Lubisic...,,,,Arb,Arb,FA,,,,,,,,,
Miguel Diaz\diazmi02,26,4,Free Agency,2.026,,,,,Arb,Arb,FA,,,,,,,,,
Austin Adams\adamsau02,30,5,Traded,2.015,,,,,Arb,Arb,FA,,,,,,,,,
